GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
131171302013,0.016239864141602074,113,18,95,9.344367467580592e-5,9.988632935719152e-7,3,6.405788708247092e-5,13,1,Atlanta
131350504265,0.005264855490366583,84,0,84,0,1.0002430590633523e-6,3,5.7797982658042375e-5,16,1,Atlanta
130670303451,0.031799646663790586,1110,988,122,0.011761902688632093,1.0047716606162667e-6,3,0.004881187718841459,11,1,Atlanta
131210001003,0.004178535775389824,119,34,85,4.868991801477975e-4,9.951684571405825e-7,3,2.1363391831821218e-4,1,1,Atlanta
130670309044,0.001720296517539352,100,29,71,6.948736261062026e-5,1.0000380014440547e-6,3,8.559416928948608e-5,6,1,Atlanta
131350505112,0.03972354551426473,190,52,138,6.324976472489343e-4,1.0037278452171364e-6,3,1.2048588970748575e-4,2,1,Atlanta
130670301031,0.013937514333933027,223,141,82,7.06443499234988e-4,1.0020562193621312e-6,3,2.6087497763185624e-4,6,1,Atlanta
130890222031,0.014382352946122284,657,595,62,0.0039042503077425807,9.999090082802464e-7,3,0.0033703744621420223,10,1,Atlanta
131210110003,1.9578566504655003e-4,20,1,19,1.880270323495561e-6,9.899774681128257e-7,4,6.632186734962388e-5,3,1,Atlanta
131510701043,0.03282958198730844,283,189,94,0.003059823498652503,1.0057569527978147e-6,3,9.319789976637063e-4,4,1,Atlanta
131171305071,0.005125212341377178,37,5,32,5.527005135117215e-6,9.924720991281132e-7,3,8.621826697527065e-5,13,1,Atlanta
130890234242,0.0024167197199975003,69,7,62,3.836529015327879e-5,1.0020632482281015e-6,3,6.201995969485964e-5,21,1,Atlanta
130890232091,2.68357343639641e-4,42,0,42,0,9.98373649325249e-7,4,5.7797982658042375e-5,10,1,Atlanta
131350507121,0.01804637230225193,203,123,80,5.823741575992838e-4,1.0019086359514875e-6,3,3.6906983694222654e-4,16,1,Atlanta
130890219102,7.399172754979583e-4,35,4,31,9.749719997589108e-6,9.899431673627616e-7,3,6.241936845124295e-5,10,1,Atlanta
130670302141,0.011625391628169075,124,28,96,5.027812531241554e-4,1.0006704492009646e-6,3,8.398039888089686e-5,6,1,Atlanta
130670302272,0.01311989565131564,176,58,118,6.962552889708366e-4,1.002042161926005e-6,3,1.2270035283363487e-4,6,1,Atlanta
130890233034,0.001750769001656284,109,44,65,4.8137125976911916e-4,1.002635929859601e-6,3,1.361972899093223e-4,15,1,Atlanta
130670313094,0.0017458778040403914,84,1,83,2.2560298596352285e-5,1.0019989879810223e-6,3,5.843254040675468e-5,23,1,Atlanta
132470602012,0.00254848117328681,106,76,30,2.8600380370444583e-4,9.938638843778512e-7,3,1.511951732136004e-4,15,1,Atlanta
130670302223,0.006176437259003896,127,73,54,8.74470452549798e-5,9.947170577065207e-7,3,2.8506364659802686e-4,6,1,Atlanta
130890222043,0.007583676814596468,334,242,92,0.005234506059255203,1.0031096398836393e-6,3,0.0011201508196492884,10,1,Atlanta
131210094031,0.002345749888554342,90,29,61,9.581238282074159e-4,9.969632499406808e-7,3,1.623823143318319e-4,5,1,Atlanta
130670302314,0.015314707453195523,189,54,135,4.5280138684585344e-4,1.0042207397692501e-6,3,1.5312233036885033e-4,6,1,Atlanta
132171003004,0.009384994153826359,165,130,35,3.9531084652748023e-4,9.959951036880703e-7,3,6.416864573619731e-4,15,1,Atlanta
131210098011,0.006149144382548477,212,144,68,6.67610928606057e-4,9.89231228842817e-7,3,7.217898918835873e-4,5,1,Atlanta
131350502091,0.04127710460646237,318,224,94,6.984182812930145e-4,9.994143431948878e-7,3,0.0011733453528839075,2,1,Atlanta
131210114162,0.006772274438332326,82,6,76,4.799472468719065e-5,1.0025012405952852e-6,3,6.194819761431209e-5,9,1,Atlanta
130670308003,0.004335755781920957,243,184,59,5.724302854072365e-4,9.931867389706613e-7,3,3.3352769924857546e-4,6,1,Atlanta
130131805031,0.22431580517724214,316,155,161,0.004052802972539385,1.0064017213495042e-6,3,0.0011410791796845853,25,1,Atlanta
130890218144,0.003866058966751653,106,0,106,0,1.0072765659121493e-6,3,5.7797982658042375e-5,12,1,Atlanta
130670315033,0.0036079060705781767,168,69,99,2.0424005484464465e-4,9.993124730185633e-7,3,1.1633860310369845e-4,23,1,Atlanta
131210005001,0.02986194389724657,810,688,122,0.01254484820680364,1.0060179996740501e-6,3,0.003945491350605095,1,1,Atlanta
130670303453,0.008294258592834575,379,289,90,0.002851645904530161,1.0016266416660657e-6,3,8.52985344464239e-4,11,1,Atlanta
