GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
040131162021,3.6100106546903884e-4,45,4,41,1.639167088610137e-5,6.597642134653917e-7,5,6.66143136109218e-5,2,1,Phoenix
040134225043,4.5460165512206386e-4,56,6,50,1.3303102060063438e-4,6.606856992598338e-7,4,6.289444714090149e-5,10,1,Phoenix
040131043012,0.00266009735943506,120,45,75,0.0012473384138718562,6.644650723934697e-7,5,2.649319193548801e-4,12,1,Phoenix
040136104001,0.012177897450064062,84,24,60,9.201114755762077e-5,6.62370092665576e-7,5,1.0098376944243034e-4,11,1,Phoenix
040133191012,5.233410992466027e-4,26,0,26,0,6.580761407256342e-7,5,5.5569970448711356e-5,2,1,Phoenix
040130822041,0.00469937272455591,201,131,70,0.0017181060221279558,6.639638909877525e-7,5,6.542592192153324e-4,4,1,Phoenix
040131132022,2.780468107642437e-4,31,9,22,3.4468768443930507e-5,6.582897106685063e-7,5,7.456536605527964e-5,5,1,Phoenix
040133197032,2.07598835400857e-4,32,9,23,4.9210497404830355e-5,6.606289584061402e-7,5,7.816045285027334e-5,2,1,Phoenix
040136137003,0.06515660351411301,176,76,100,7.512614661832563e-4,6.643458850415881e-7,5,3.091024705520175e-4,6,1,Phoenix
040210008012,0.005536965672435539,157,36,121,2.1467076310325558e-4,6.63719310448734e-7,4,1.2047591493504118e-4,21,1,Phoenix
040130610441,0.012236210255887642,107,3,104,0,6.646218467847257e-7,5,5.861100793595237e-5,14,1,Phoenix
040130405023,0.005209234410888916,51,13,38,1.3178602167233106e-5,6.61544985389779e-7,5,2.1433777787683444e-4,23,1,Phoenix
040134226461,0.0070263377292075395,231,19,212,2.1669448032622107e-4,6.667529000417388e-7,4,8.62297693105515e-5,10,1,Phoenix
040131056021,9.565298286515367e-4,52,0,52,0,6.634185693511236e-7,5,5.5569970448711356e-5,12,1,Phoenix
040134205013,7.511441057095283e-4,82,16,66,3.369515172750496e-4,6.625829471026903e-7,5,8.960902196547996e-5,9,1,Phoenix
040135231044,0.001503512023234403,93,1,92,1.9151326143474844e-5,6.611150631100439e-7,4,6.177077530883219e-5,3,1,Phoenix
040130405311,0.010163490978518567,193,150,43,7.83264723477135e-4,6.605621912697458e-7,5,5.687073074482616e-4,14,1,Phoenix
040134221031,7.618311839465958e-4,106,27,79,0.0017108161125448866,6.636039134049981e-7,4,2.3324684456748525e-4,9,1,Phoenix
040131132031,5.641278057124752e-4,42,6,36,4.2378048752658425e-5,6.587229075502161e-7,5,7.821533470805674e-5,5,1,Phoenix
040134221041,5.573199119991717e-4,74,22,52,8.240026891839445e-4,6.628302054375939e-7,4,1.2687156162794155e-4,2,1,Phoenix
040130405193,0.01855318081171565,19,0,19,0,6.588392175361917e-7,5,5.5569970448711356e-5,6,1,Phoenix
040136152002,0.055806806842471246,1015,938,77,0.0046427569736144465,6.611788819465106e-7,4,0.00883483696313068,1,1,Phoenix
040131076011,0.0019788399337274,89,78,11,9.157433204527847e-5,6.558043604431926e-7,5,5.221101885910665e-4,5,1,Phoenix
040130822112,0.0060497469829511735,135,8,127,9.446446483569476e-4,6.66672444494519e-7,5,6.11148574896672e-5,4,1,Phoenix
040130610311,0.0491242899572038,407,187,220,0.011177695057300612,6.678666003252511e-7,4,8.103309743180784e-4,14,1,Phoenix
040131072021,0.0030405867833753508,70,10,60,1.0484419329636953e-4,6.628956741416993e-7,5,9.169500488792811e-5,13,1,Phoenix
040131116011,3.6123348277464055e-4,45,4,41,4.39838767759632e-5,6.622731466120424e-7,5,6.387345635494655e-5,5,1,Phoenix
040131100011,6.169823042285141e-4,50,0,50,0,6.639757940984503e-7,5,5.65408743517207e-5,4,1,Phoenix
040131086023,0.0025945344807507525,76,40,36,1.4472759417044918e-4,6.606429244812467e-7,5,1.1770684423209923e-4,5,1,Phoenix
040131036113,0.0016443839286012405,74,6,68,4.31185606839601e-5,6.626650532981503e-7,5,5.9970601682418566e-5,11,1,Phoenix
040131172002,5.982520253078206e-5,10,4,6,2.6199093708588465e-6,6.539739051332373e-7,5,1.1601287147815483e-4,16,1,Phoenix
040131068023,0.0010341189396669314,63,45,18,2.586667232044397e-4,6.596088519507931e-7,5,1.3818524042074595e-4,13,1,Phoenix
040130405182,0.02030276662119601,83,3,80,1.114076810050771e-5,6.625991910989076e-7,5,5.656463021303564e-5,14,1,Phoenix
040131125092,0.011603489142065377,741,596,145,0.012088827097042931,6.657146946533125e-7,4,0.004721272108060359,4,1,Phoenix
040131167122,0.00145682881382912,178,131,47,6.036530198864017e-4,6.600851773912905e-7,5,9.420840062392281e-4,3,1,Phoenix
040136191001,0.001405422691659548,92,23,69,0.0010991327478949988,6.613865970006118e-7,5,1.1318596737299961e-4,11,1,Phoenix
040138146001,0.003957426322356689,299,212,87,0.002542881967394563,6.621845601074858e-7,4,0.0011018324997589457,7,1,Phoenix
040131166052,0.0020069854684477573,120,5,115,5.775312486282773e-4,6.653236000926131e-7,5,6.577176765171181e-5,16,1,Phoenix
040131076022,0.0018844898673983383,87,25,62,6.236017550651918e-4,6.617257808364214e-7,4,1.424935580486225e-4,5,1,Phoenix
040134210021,3.9882768409602704e-4,87,52,35,6.924437809840657e-4,6.59436603743226e-7,5,4.8123207367951963e-4,9,1,Phoenix
040132172031,6.3978202303388e-4,34,1,33,1.506125961969498e-6,6.596188590308748e-7,5,5.881242375094796e-5,8,1,Phoenix
040130614022,9.457715204226765e-4,50,20,30,4.281423847930673e-5,6.600220051336511e-7,5,1.1389091190849481e-4,4,1,Phoenix
040130506051,0.0040727187324726575,95,0,95,0,6.665315829325257e-7,5,5.573503938067503e-5,4,1,Phoenix
040131075002,0.006022398768601303,157,121,36,0.0010668904660571124,6.588678673435436e-7,5,6.323712678367167e-4,5,1,Phoenix
040131167301,0.0015261949263703739,68,0,68,0,6.638682407425234e-7,4,5.5569970448711356e-5,3,1,Phoenix
040131138011,0.004829339112727438,436,364,72,0.008465793807896138,6.640780902707911e-7,4,0.0024120055633331536,2,1,Phoenix
040131125121,0.0046280294473187,393,302,91,0.006952238315301054,6.646333317603678e-7,5,9.106524034196929e-4,4,1,Phoenix
040134204011,4.8587278980870383e-4,95,28,67,0.00032870509083919483,6.613542285997346e-7,4,1.0577979156028068e-4,9,1,Phoenix
040134225041,0.0029268724565539726,479,434,45,9.66194546472977e-4,6.611578990517673e-7,4,0.0017922776654179632,10,1,Phoenix
040131042264,0.004016189294359339,104,40,64,1.5677450958876077e-4,6.623867649825263e-7,5,1.599714646215773e-4,6,1,Phoenix
040131089011,2.103307125701095e-4,33,10,23,3.753024656273041e-5,6.598038271261189e-7,5,9.518742188744449e-5,5,1,Phoenix
040131112041,0.005160547804085829,357,276,81,0.007720622909177511,6.640895564612261e-7,4,0.0011165150278127107,2,1,Phoenix
040131167141,9.57723040139034e-4,91,40,51,9.246842364046624e-5,6.599231321535667e-7,5,1.458375880779776e-4,3,1,Phoenix
040132168531,9.933898882111044e-4,29,0,29,0,6.556444099429787e-7,5,5.6337124376776225e-5,1,1,Phoenix
040134216022,2.41014540967277e-4,95,48,47,1.4159802143135086e-4,6.607922237971104e-7,4,1.3480562118210943e-4,9,1,Phoenix
040131157001,5.380328139423836e-4,70,11,59,1.322653028422833e-4,6.632342085593028e-7,5,6.861533045476162e-5,16,1,Phoenix
040136186001,0.0028022736354661104,91,22,69,4.753522020195044e-4,6.619662648752094e-7,5,1.486231255961604e-4,11,1,Phoenix
040130719034,0.0033635467251156735,97,55,42,1.4552569947308975e-4,6.614837212163628e-7,5,3.177837892564838e-4,6,1,Phoenix
040131068011,6.264176869169693e-4,59,21,38,1.7489209057957008e-4,6.60171023905453e-7,5,1.0611136898749467e-4,13,1,Phoenix
040138141003,0.0020590192871555633,96,0,96,0,6.648852175404699e-7,4,5.5569970448711356e-5,7,1,Phoenix
040131166081,0.0018812912450053077,93,0,93,0,6.651510092336264e-7,5,5.5569970448711356e-5,16,1,Phoenix
040131083022,0.001248985580247365,117,62,55,4.5573969795825394e-4,6.6092280685985e-7,5,4.959295279942843e-4,5,1,Phoenix
040131125032,0.0010214478902892594,89,34,55,2.887662973483398e-4,6.6259260559904e-7,5,1.228490696173601e-4,4,1,Phoenix
040131153002,2.9572633196792354e-4,54,23,31,1.8507347943717275e-4,6.600446586216024e-7,5,1.0356271982738794e-4,16,1,Phoenix
040137233052,3.847099347153061e-4,22,1,21,1.5677402058682502e-5,6.614675318661983e-7,4,5.9881628599041124e-5,4,1,Phoenix
040134201071,0.001979996115052357,156,64,92,4.3441044922045964e-4,6.629334673342848e-7,4,1.8073065325554985e-4,10,1,Phoenix
040131042021,0.003136094686580386,102,15,87,1.4661219432635144e-4,6.62994121231127e-7,5,7.800499593529683e-5,12,1,Phoenix
040138147002,0.002038405424666795,104,11,93,2.6690703654616603e-5,6.623253448065744e-7,4,7.210536479084432e-5,7,1,Phoenix
040130718014,5.829738577518499e-4,39,22,17,4.74752201963763e-4,6.580796052575296e-7,5,1.1036452738083539e-4,6,1,Phoenix
040131126021,5.650903472071427e-4,106,47,59,5.470040902441454e-4,6.626518798108526e-7,5,2.0600491074985365e-4,20,1,Phoenix
040131040001,0.002272453418512183,137,74,63,8.379564178482144e-4,6.627924240174765e-7,5,3.2252508907480904e-4,12,1,Phoenix
040132172034,9.554456025939099e-4,61,34,27,2.9608004891040155e-4,6.579466800010527e-7,5,4.1892765944897636e-4,8,1,Phoenix
040131125132,3.407468292309981e-4,20,10,10,1.6756031661749543e-5,6.593205174611149e-7,5,7.256878156198207e-5,4,1,Phoenix
