GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
060816126004,1.8134802419981236e-5,10,0,10,0,4.5759490861600876e-7,5,5.182932849137114e-5,8,1,San Francisco
060816065001,2.141888263718733e-4,22,0,22,0,4.6030576270593505e-7,4,5.182932849137114e-5,9,1,San Francisco
060816082001,9.258063295964193e-4,91,19,72,0.001217376474651883,4.6002519097945807e-7,4,1.1955258611802894e-4,9,1,San Francisco
060411302012,1.7321369819000505e-4,25,10,15,1.6193755335786964e-4,4.572241646628817e-7,4,9.822115785771526e-5,7,1,San Francisco
060133470001,0.003509031437432282,54,0,54,0,4.6197335614865746e-7,4,5.182932849137114e-5,3,1,San Francisco
060014284002,1.8582486283228098e-4,54,27,27,4.00618774647812e-4,4.6103685344191675e-7,4,2.447744633857957e-4,4,1,San Francisco
060133320007,0.0019812479200539924,29,1,28,8.25542939992412e-6,4.6120738559058994e-7,4,5.455407524253612e-5,3,1,San Francisco
060816096034,9.28385257093297e-5,13,0,13,0,4.5873369316404226e-7,4,5.182932849137114e-5,8,1,San Francisco
060133880002,1.1411623412424602e-4,39,20,19,1.8209754900458508e-4,4.5886020043931274e-7,4,2.189826228358758e-4,10,1,San Francisco
060014083003,5.4081417182586104e-5,17,0,17,0,4.598149336854903e-7,5,5.393721984149867e-5,11,1,San Francisco
060014237001,0.0015126904040817742,25,5,20,3.7484400801928846e-4,4.583419845382915e-7,4,8.885941710004665e-5,10,1,San Francisco
060816120002,1.6673916330052892e-4,28,7,21,5.111041266614892e-5,4.596957182102023e-7,4,7.000841293303332e-5,8,1,San Francisco
060816022003,8.614552069499816e-4,65,14,51,0.001453426415528128,4.624512691975083e-7,4,1.0759154766124174e-4,2,1,San Francisco
060014507412,0.0034002938502823068,43,5,38,1.2625659711754455e-5,4.6049801939801855e-7,4,5.888247398393846e-5,6,1,San Francisco
060816126002,1.3969324890754925e-4,64,60,4,1.7386460355934748e-5,4.5425225536244784e-7,4,7.811887548758913e-4,8,1,San Francisco
060133500004,0.0016571757171852395,60,33,27,2.5158008654751986e-4,4.5917793374521597e-7,5,1.182380503241165e-4,3,1,San Francisco
060750477011,2.7355253330223515e-4,49,24,25,2.3798582560966594e-5,4.587235924295928e-7,4,1.239317965117859e-4,15,1,San Francisco
060750615004,5.294945432317222e-4,31,9,22,1.295303457649862e-4,4.5864133009654856e-7,4,1.2177534255136507e-4,1,1,San Francisco
060014321001,3.693638304356561e-4,65,6,59,0.0027603015238841532,4.625075215285688e-7,4,7.161033573712464e-5,11,1,San Francisco
060411261003,5.5681112354987345e-5,28,12,16,4.409589016574748e-5,4.5600342184967757e-7,4,1.0352970544748102e-4,7,1,San Francisco
060816108002,2.089036920288408e-4,75,46,29,0.001146821364362026,4.5958184486263324e-7,4,3.497992184618275e-4,8,1,San Francisco
060014222001,6.221189776183618e-5,25,6,19,0.001027538548928425,4.5881788325287197e-7,4,9.39600560633831e-5,10,1,San Francisco
060750451001,2.1767058748549208e-4,46,7,39,9.440588458138411e-4,4.600258258498632e-7,4,7.319598659322832e-5,15,1,San Francisco
060411241004,2.3587537635509547e-4,58,17,41,0.0016603653898868802,4.5879472789802284e-7,3,1.330886612227114e-4,7,1,San Francisco
060014221001,7.92574973298312e-5,13,2,11,1.3939203454404254e-5,4.5889641835934435e-7,4,6.022752216698564e-5,10,1,San Francisco
060750215003,1.4769072060487586e-4,18,4,14,1.292479529504667e-4,4.593321127347991e-7,4,6.100075776658034e-5,1,1,San Francisco
060816072001,0.001358868080401524,346,261,85,0.0051012064625950634,4.6099285875962496e-7,4,0.0019597651029181224,9,1,San Francisco
060750169001,8.150412765980892e-4,102,78,24,3.9408897912857294e-4,4.5862618526204754e-7,4,7.877140574373125e-4,1,1,San Francisco
060411270001,8.482808809952164e-5,56,44,12,3.4210680436191205e-4,4.5782472821235016e-7,4,3.761576782812903e-4,7,1,San Francisco
060014370002,1.471653306317455e-4,25,3,22,1.9378623586255593e-5,4.603742105733224e-7,4,5.716627892406829e-5,5,1,San Francisco
060750261002,5.676524133498085e-4,116,50,66,0.002497559236270262,4.612154687978511e-7,4,2.8847595416720424e-4,2,1,San Francisco
060816016054,8.342362274164702e-4,65,0,65,0,4.627568647667104e-7,4,5.182932849137114e-5,2,1,San Francisco
060014093001,2.2016769602113386e-4,58,23,35,3.3181986159713605e-4,4.6137336085579224e-7,5,8.733724065746196e-5,11,1,San Francisco
060133610001,1.5068135919951895e-4,22,0,22,0,4.617041778225939e-7,4,5.182932849137114e-5,13,1,San Francisco
060014336003,4.944958360274071e-4,62,0,62,0,4.628496076655301e-7,4,5.359076757237202e-5,11,1,San Francisco
060014328001,1.239651615821888e-5,7,0,7,0,4.586337575542713e-7,5,5.182932849137114e-5,11,1,San Francisco
060411261002,3.44936949754009e-4,131,92,39,0.0015046149820637624,4.577191124277147e-7,4,0.002383821999318982,7,1,San Francisco
060750329011,1.4588877175252977e-4,15,2,13,0,4.568874179144643e-7,4,5.765647988089089e-5,14,1,San Francisco
060816028001,3.0305139875380855e-4,28,1,27,4.03862733233698e-6,4.5982973424600335e-7,4,5.312160617911341e-5,2,1,San Francisco
060014308003,0.0012537731080007515,65,16,49,8.503215264483215e-5,4.6156054543532774e-7,4,7.703278739021541e-5,16,1,San Francisco
060750263031,5.524257928642047e-4,81,13,68,1.9643149434268062e-4,4.61696716966985e-7,4,7.363404587404871e-5,2,1,San Francisco
060014282001,2.4030662242733136e-4,46,7,39,3.841605669535913e-4,4.6100454734885506e-7,4,6.333536416542231e-5,4,1,San Francisco
060014010002,9.391018638164997e-5,15,1,14,1.781747352501609e-7,4.613148303030331e-7,4,5.897881191722869e-5,4,1,San Francisco
060014088002,3.6799350317910087e-4,77,32,45,8.28106355077734e-4,4.6163576015252445e-7,4,1.3337642946312415e-4,11,1,San Francisco
060014324002,9.383046408889818e-4,91,20,71,3.25677346766821e-4,4.625299835061808e-7,4,1.645310799903543e-4,11,1,San Francisco
060014085001,7.716438612438828e-5,28,1,27,1.1878315683344059e-06,4.607426526521038e-7,4,5.382417023209738e-5,11,1,San Francisco
060816083001,4.64608257823943e-4,37,0,37,0,4.6090192053221265e-7,4,5.28433881985004e-5,9,1,San Francisco
060750614003,1.4306899957567534e-4,15,2,13,1.366006303584567e-6,4.5711025865126874e-7,4,5.3227681130205315e-5,1,1,San Francisco
060014024001,1.6778272259943572e-4,32,4,28,1.4464470115709463e-4,4.608148404497737e-7,4,6.600713367369055e-5,4,1,San Francisco
060133141042,0.007698513860563485,87,43,44,8.64010158290321e-4,4.6150707905708563e-7,4,1.5198641586778477e-4,3,1,San Francisco
060133522011,0.0029982022986941312,108,65,43,8.926081593033313e-4,4.6185728517516634e-7,4,4.179703990388437e-4,3,1,San Francisco
060014326001,0.0016845931011096771,330,302,28,0.0044235000622636226,4.6079296940518997e-7,4,0.003513261829643938,11,1,San Francisco
060014234001,9.617246278471893e-6,6,1,5,5.859969070449735e-6,4.585164151169194e-7,4,6.609539480831516e-5,10,1,San Francisco
060816140003,2.7705509391603544e-4,83,62,21,3.3094483928664464e-4,4.5899415103753333e-7,4,2.590323612695791e-4,2,1,San Francisco
060750353001,3.915443991469714e-4,148,101,47,0.003100464912835158,4.6108383287924257e-7,4,2.5849220231881744e-4,14,1,San Francisco
060750131011,1.5553449446353642e-4,18,3,15,3.773355318700435e-4,4.600931320517899e-7,4,7.181189433601455e-5,1,1,San Francisco
060750211001,1.3943709410637394e-4,18,1,17,4.708564336877585e-5,4.57363018632512e-7,4,6.446701724970837e-5,1,1,San Francisco
060014505012,0.015548519041900778,165,114,51,0.0010867391183858022,4.613793211633772e-7,4,5.176277612261873e-4,6,1,San Francisco
060133040051,0.19919431301386023,151,34,117,8.327449256912008e-4,4.634710645744965e-7,4,1.4425650587340135e-4,12,1,San Francisco
060133080014,0.02284499948494292,79,26,53,0.00081965775735432715,4.626078685897584e-7,4,7.507385732364861e-5,12,1,San Francisco
060133650023,1.0051919080521746e-4,60,10,50,0.0015267706804389088,4.6248655898437946e-7,4,9.331633762643622e-5,13,1,San Francisco
060014432001,0.002413242840501674,42,0,42,0,4.619535089988544e-7,4,5.209421432693181e-5,5,1,San Francisco
060133451031,0.005366892661236949,57,13,44,6.510504826040879e-5,4.6168968266683046e-7,4,7.467159571307679e-5,6,1,San Francisco
060014361003,4.909591703964709e-4,93,53,40,6.569141770803509e-4,4.6077025119811786e-7,4,2.1547746497278174e-4,11,1,San Francisco
060133671001,3.6581790036131756e-4,30,6,24,1.067898888786242e-4,4.5991834609683396e-7,4,6.855938698070848e-5,13,1,San Francisco
060750302012,2.9631593507824174e-4,44,19,25,4.294109189139327e-4,4.5825775899124634e-7,4,1.1248736078195507e-4,14,1,San Francisco
060014403061,0.001252781940638746,110,65,45,0.0016570733052680077,4.610698018183671e-7,4,4.7547729802266745e-4,5,1,San Francisco
060133800002,5.02999440603528e-4,171,111,60,0.0055912602263323815,4.627044054549148e-7,4,4.534400411351113e-4,13,1,San Francisco
060014062023,7.792801958085068e-5,54,19,35,5.304005447614286e-4,4.6108680927466894e-7,4,1.1839342133413352e-4,4,1,San Francisco
060133361023,0.0024863394809651763,27,1,26,1.1878315683344059e-7,4.586047317919017e-7,4,5.320518827497214e-5,3,1,San Francisco
060014304001,8.945401671002757e-4,34,0,34,0,4.6063929363728155e-7,5,5.231313443296183e-5,16,1,San Francisco
060014446022,0.0025055374753281973,191,157,34,0.0011789500232106931,4.597574319788879e-7,4,0.001171230468755136,5,1,San Francisco
060014062013,1.0576419323778971e-4,28,2,26,6.013535895042568e-4,4.604969591083305e-7,4,6.219197767469404e-5,4,1,San Francisco
060750130002,7.492527981358453e-5,30,20,10,1.1754734064063933e-4,4.578326932832281e-7,4,1.5257330418763838e-4,1,1,San Francisco
060014403322,0.001066131719006663,50,1,49,6.562769415047593e-6,4.620081461276325e-7,4,5.339582140588348e-5,5,1,San Francisco
060014251021,3.8158294088175347e-4,19,1,18,5.99854942008875e-6,4.5785742869099475e-7,4,8.490366924194693e-5,4,1,San Francisco
060133551161,0.057228908998072696,195,26,169,0.0019538122720081396,4.6362706580629847e-7,4,1.1547221364218047e-4,6,1,San Francisco
060014017002,3.3648880535077616e-4,59,8,51,1.7680076293328045e-4,4.614123185092322e-7,4,8.22762437908103e-5,4,1,San Francisco
060750262005,2.512777143278725e-4,28,1,27,3.5616337688794934e-4,4.5988238967766384e-7,4,5.2511836926833215e-5,2,1,San Francisco
060014006002,2.6021301088460533e-5,11,1,10,2.435054715085532e-6,4.585672981902642e-7,4,5.6950302506084284e-5,4,1,San Francisco
060014039003,1.5129529926948278e-4,28,10,18,1.317090739694129e-4,4.5963190838249094e-7,4,9.477260360507627e-5,4,1,San Francisco
060133300004,0.003111886715935176,60,31,29,3.7980070659989753e-4,4.604609121638578e-7,5,2.0011846976994852e-4,3,1,San Francisco
