GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
291892212011,0.02133532023236877,632,576,56,0.005256707199235295,1.1399570920150565e-6,4,0.008808347440413936,2,1,St. Louis
291892141002,2.0973955709996804e-4,23,0,23,0,1.1417258556378993e-6,4,7.84335821558491e-5,3,1,St. Louis
291892194002,0.0015984549531487446,50,0,50,0,1.1407451347220003e-6,4,7.549232282500475e-5,3,1,St. Louis
291833111501,0.013977141571907777,56,0,56,0,1.1439095396336058e-6,4,7.549232282500475e-5,4,1,St. Louis
291892123004,2.8451286703017644e-4,18,0,18,0,1.1375865418961747e-6,4,7.549232282500475e-5,24,1,St. Louis
291892188003,0.0010148591227966304,31,0,31,0,1.1358886283917634e-6,4,7.549232282500475e-5,3,1,St. Louis
291892179431,0.01485382184851294,156,98,58,0.0012709130531259381,1.1380849899108766e-6,4,7.698720790921119e-4,1,1,St. Louis
291892213024,0.0026365589492337986,79,8,71,9.752396203455499e-5,1.1456407224868652e-6,4,8.348653116073622e-5,2,1,St. Louis
291138101003,0.020099174004352148,49,15,34,5.174123338994921e-4,1.1349191937534047e-6,4,1.6871099153565125e-4,4,1,St. Louis
291892108064,0.0033284753044026697,101,16,85,3.4848777599398974e-4,1.143867668237197e-6,3,1.094301507558497e-4,7,1,St. Louis
295101157002,9.141747991444744e-5,28,7,21,2.464610899534165e-4,1.131942628619811e-6,4,1.0362420039995586e-4,9,1,St. Louis
291892178061,0.044101293881664366,246,210,36,8.744197289685915e-4,1.1328068802158676e-6,4,0.0035653877499151705,1,1,St. Louis
291892179443,0.018346928945183038,92,0,92,0,1.1492707302581147e-6,4,7.549232282500475e-5,1,1,St. Louis
291892172002,5.943208130470016e-4,59,33,26,0.002511717524190553,1.1356912555180398e-6,4,0.0019645392465782465,3,1,St. Louis
295101067004,4.938907673768991e-4,34,16,18,0.0012245795553484829,1.1326503451751926e-6,4,2.525824588313148e-4,17,1,St. Louis
295101066001,8.569651807241917e-5,56,49,7,3.2595167596351183e-4,1.122335715303833e-6,4,5.727894320375184e-4,5,1,St. Louis
291892108053,0.003519916875954942,124,53,71,5.17199831505726e-4,1.1424693561156957e-6,3,3.2106606293629605e-4,7,1,St. Louis
291892178522,0.02830850538464409,110,3,107,5.566022002878434e-4,1.1440273193723867e-6,4,8.267636251518078e-5,1,1,St. Louis
295101021003,2.885258646278347e-4,53,22,31,2.628001363058768e-4,1.1372320681247497e-6,4,1.3919565668813654e-4,9,1,St. Louis
291892126004,8.129002595885792e-4,75,48,27,7.262244410624887e-5,1.1353946802217654e-6,4,4.869815499572728e-4,7,1,St. Louis
291892116005,0.0016250757982680109,39,0,39,0,1.14213792229122e-6,3,7.696505461654167e-5,7,1,St. Louis
291892218003,0.06096496863245763,869,800,69,0.03051718417501914,1.148233500171661e-6,3,0.006478666451275232,7,1,St. Louis
291833111512,0.04396707793812522,72,2,70,6.322500108747002e-7,1.1370381066951079e-6,4,7.692500138053704e-5,4,1,St. Louis
291892152322,0.02939093947232434,79,1,78,5.331894805994305e-5,1.1395634788138057e-6,4,7.880412111039945e-5,1,1,St. Louis
295101272001,0.00061218555950970355,50,22,28,4.2777734664348465e-4,1.1368416265929994e-6,4,1.8985151636469297e-4,9,1,St. Louis
295101255001,0.003511307875536218,133,79,54,0.0017067057971800145,1.1350364176434602e-6,3,0.00302387501394513,5,1,St. Louis
291892179321,0.013498691018721292,133,16,117,8.127363139790647e-5,1.1432870187762026e-6,3,9.38906992475908e-5,1,1,St. Louis
291892115003,0.001683175071900033,45,1,44,8.935800153695763e-6,1.1394907615786505e-6,4,7.908889539472263e-5,7,1,St. Louis
291892152013,0.09751492224137778,1038,933,105,0.019928752557974355,1.1465562609424464e-6,3,0.009184135862356653,1,1,St. Louis
295101142002,6.981715191826186e-4,29,4,25,2.9766330511980885e-5,1.1342292231890896e-6,4,8.747159066864399e-5,9,1,St. Louis
295101165002,1.0480840095301775e-4,25,4,21,2.3856008144089563e-4,1.1339025524146455e-6,4,1.1299716043771884e-4,9,1,St. Louis
