month,name,value,city
1,January,0.9999999999999998,Phoenix
1,February,0.9717860257656097,Phoenix
1,March,0.9602413755298439,Phoenix
1,April,0.892454319392515,Phoenix
1,May,0.9250850308406653,Phoenix
1,June,0.9339185805532346,Phoenix
1,July,0.9270523830302559,Phoenix
1,August,0.9216593996032496,Phoenix
1,September,0.9401882331243723,Phoenix
1,October,0.9401882331243723,Phoenix
1,November,0.9455277056758297,Phoenix
1,December,0.9368718490271434,Phoenix
2,February,1,Phoenix
2,March,0.9557620957146297,Phoenix
2,April,0.8828980358497475,Phoenix
2,May,0.9139608548556664,Phoenix
2,June,0.9217050732378822,Phoenix
2,July,0.9152711936875787,Phoenix
2,August,0.9116931975428542,Phoenix
2,September,0.9392915782871676,Phoenix
2,October,0.9392915782871676,Phoenix
2,November,0.9427233763392052,Phoenix
2,December,0.9328989340415167,Phoenix
3,March,1,Phoenix
3,April,0.9347390355825258,Phoenix
3,May,0.9517871622896326,Phoenix
3,June,0.953066961564915,Phoenix
3,July,0.947396859200156,Phoenix
3,August,0.9444946475583118,Phoenix
3,September,0.9531856913228539,Phoenix
3,October,0.9531856913228539,Phoenix
3,November,0.9548473156627395,Phoenix
3,December,0.9461664644641814,Phoenix
4,April,1,Phoenix
4,May,0.9614519491153072,Phoenix
4,June,0.9450705095827074,Phoenix
4,July,0.9450791965447063,Phoenix
4,August,0.9310146964014133,Phoenix
4,September,0.926517424021779,Phoenix
4,October,0.926517424021779,Phoenix
4,November,0.9220892244003256,Phoenix
4,December,0.9118252188237008,Phoenix
5,May,1,Phoenix
5,June,0.9726777318142843,Phoenix
5,July,0.968048567318267,Phoenix
5,August,0.9570286615672972,Phoenix
5,September,0.9534402643038297,Phoenix
5,October,0.9534402643038297,Phoenix
5,November,0.9522868307399124,Phoenix
5,December,0.9430722340466969,Phoenix
6,June,1,Phoenix
6,July,0.9725295885385473,Phoenix
6,August,0.9633813528902005,Phoenix
6,September,0.9584577768370329,Phoenix
6,October,0.9584577768370329,Phoenix
6,November,0.9575331701324115,Phoenix
6,December,0.9476467391332879,Phoenix
7,July,1,Phoenix
7,August,0.9651892971051553,Phoenix
7,September,0.958915862988285,Phoenix
7,October,0.958915862988285,Phoenix
7,November,0.9566262048077122,Phoenix
7,December,0.9467970802055841,Phoenix
8,August,1,Phoenix
8,September,0.9589665521098377,Phoenix
8,October,0.9589665521098377,Phoenix
8,November,0.9541717951995036,Phoenix
8,December,0.9445379002421097,Phoenix
9,September,1,Phoenix
9,October,1,Phoenix
9,November,0.9745384717339854,Phoenix
9,December,0.9627938429417713,Phoenix
10,October,1,Phoenix
10,November,0.9745384717339854,Phoenix
10,December,0.9627938429417713,Phoenix
11,November,1,Phoenix
11,December,0.9665356158312327,Phoenix
12,December,1,Phoenix
