month,name,value,city
1,January,1,San Diego
1,February,0.9737762316574534,San Diego
1,March,0.9608562622518086,San Diego
1,April,0.8922484526514318,San Diego
1,May,0.9205903793226838,San Diego
1,June,0.943512055120565,San Diego
1,July,0.9396570917942522,San Diego
1,August,0.9359628356747451,San Diego
1,September,0.9419143050883008,San Diego
1,October,0.9419143050883008,San Diego
1,November,0.9432635872114767,San Diego
1,December,0.9400446182682622,San Diego
2,February,1,San Diego
2,March,0.9691016184258361,San Diego
2,April,0.8880047819582579,San Diego
2,May,0.9158828818953307,San Diego
2,June,0.9372328342451126,San Diego
2,July,0.933186015949161,San Diego
2,August,0.9289428209560167,San Diego
2,September,0.9418726556382122,San Diego
2,October,0.9418726556382122,San Diego
2,November,0.9438032978997947,San Diego
2,December,0.9405609168669311,San Diego
3,March,0.9999999999999999,San Diego
3,April,0.9269891642842195,San Diego
3,May,0.943937139509876,San Diego
3,June,0.9514605852630146,San Diego
3,July,0.9480907976521318,San Diego
3,August,0.9427019592664697,San Diego
3,September,0.9515277213136001,San Diego
3,October,0.9515277213136001,San Diego
3,November,0.9506994848107884,San Diego
3,December,0.9469724057373734,San Diego
4,April,1,San Diego
4,May,0.962484360411871,San Diego
4,June,0.9340652658653545,San Diego
4,July,0.9300294556274282,San Diego
4,August,0.9205144476959117,San Diego
4,September,0.9220860449102668,San Diego
4,October,0.9220860449102668,San Diego
4,November,0.919357665420504,San Diego
4,December,0.9181947064911367,San Diego
5,May,1,San Diego
5,June,0.9628523272370888,San Diego
5,July,0.9579593601881301,San Diego
5,August,0.9480014983087673,San Diego
5,September,0.9481394225845624,San Diego
5,October,0.9481394225845624,San Diego
5,November,0.9465600925634515,San Diego
5,December,0.9446398865728649,San Diego
6,June,0.9999999999999999,San Diego
6,July,0.9741607781641864,San Diego
6,August,0.9653591483009644,San Diego
6,September,0.9658232545615175,San Diego
6,October,0.9658232545615175,San Diego
6,November,0.9660405028902029,San Diego
6,December,0.9624971235936224,San Diego
7,July,1,San Diego
7,August,0.9705464627760668,San Diego
7,September,0.9690595480121593,San Diego
7,October,0.9690595480121593,San Diego
7,November,0.9668884248013818,San Diego
7,December,0.9636240095703231,San Diego
8,August,1,San Diego
8,September,0.9714085381727257,San Diego
8,October,0.9714085381727257,San Diego
8,November,0.9667120508096063,San Diego
8,December,0.9612687656204,San Diego
9,September,1,San Diego
9,October,1,San Diego
9,November,0.9772649430648682,San Diego
9,December,0.9716021114334266,San Diego
10,October,1,San Diego
10,November,0.9772649430648682,San Diego
10,December,0.9716021114334266,San Diego
11,November,0.9999999999999999,San Diego
11,December,0.9769120109359241,San Diego
12,December,0.9999999999999999,San Diego
