month,name,value,city
1,January,1,Tampa
1,February,0.9734168685360585,Tampa
1,March,0.9580725773967109,Tampa
1,April,0.8864222069356604,Tampa
1,May,0.9354223772253579,Tampa
1,June,0.9423190286821228,Tampa
1,July,0.9373654973344249,Tampa
1,August,0.9403674071170194,Tampa
1,September,0.9407327331972843,Tampa
1,October,0.9407327331972843,Tampa
1,November,0.9443959352312017,Tampa
1,December,0.9381897401234125,Tampa
2,February,1,Tampa
2,March,0.9623242697793405,Tampa
2,April,0.8861033733617835,Tampa
2,May,0.9333394999595341,Tampa
2,June,0.9400972453687063,Tampa
2,July,0.93528593725163,Tampa
2,August,0.9389533935995669,Tampa
2,September,0.9474302453885804,Tampa
2,October,0.9474302453885804,Tampa
2,November,0.950446931746706,Tampa
2,December,0.9441797117656144,Tampa
3,March,1,Tampa
3,April,0.933716078900293,Tampa
3,May,0.9596849568000053,Tampa
3,June,0.9566045732272128,Tampa
3,July,0.955575762469789,Tampa
3,August,0.952764100936352,Tampa
3,September,0.9593802961403616,Tampa
3,October,0.9593802961403616,Tampa
3,November,0.9589944015473753,Tampa
3,December,0.9509176630006502,Tampa
4,April,0.9999999999999999,Tampa
4,May,0.949416589751433,Tampa
4,June,0.9281594514066731,Tampa
4,July,0.9303258680449353,Tampa
4,August,0.9166556974828597,Tampa
4,September,0.9196980201161433,Tampa
4,October,0.9196980201161433,Tampa
4,November,0.9148188288918048,Tampa
4,December,0.9084203949793043,Tampa
5,May,0.9999999999999998,Tampa
5,June,0.9701629681294586,Tampa
5,July,0.9669748716334234,Tampa
5,August,0.9607497575077832,Tampa
5,September,0.955915516357387,Tampa
5,October,0.955915516357387,Tampa
5,November,0.9555058610843222,Tampa
5,December,0.9520203438522715,Tampa
6,June,1,Tampa
6,July,0.97374506844684,Tampa
6,August,0.9698884687626989,Tampa
6,September,0.9611941295678014,Tampa
6,October,0.9611941295678014,Tampa
6,November,0.9614957445611026,Tampa
6,December,0.9603994509108373,Tampa
7,July,1,Tampa
7,August,0.9712733138304769,Tampa
7,September,0.9623725501786594,Tampa
7,October,0.9623725501786594,Tampa
7,November,0.9604769226347531,Tampa
7,December,0.9598474918668615,Tampa
8,August,1,Tampa
8,September,0.9669864876784847,Tampa
8,October,0.9669864876784847,Tampa
8,November,0.9653907862452484,Tampa
8,December,0.9648453102882469,Tampa
9,September,1,Tampa
9,October,1,Tampa
9,November,0.9755817841410561,Tampa
9,December,0.9695858073687053,Tampa
10,October,1,Tampa
10,November,0.9755817841410561,Tampa
10,December,0.9695858073687053,Tampa
11,November,1,Tampa
11,December,0.9739881542572134,Tampa
12,December,1,Tampa
