month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.9809771675357991,0.44710496854308446,0.5528950314569155,0.5772018755066776,0.364,0.025481891659048912,79.5,Houston
2,0.9664818544059354,0.4575086926002683,0.5424913073997317,0.5843890636797419,0.357,0.022597447010002828,71.92857142857143,Houston
3,0.9766448252316919,0.4503709592922886,0.5496290407077113,0.5744017570885475,0.348,0.01759471777030982,64.27659574468085,Houston
4,0.9978464676170468,0.44185783077497315,0.5581421692250268,0.5691279404356453,0.369,0.01047096373947489,57,Houston
5,0.9829202962932421,0.44603869387322725,0.5539613061267727,0.5718450943440214,0.353,0.015164707971352848,68.6590909090909,Houston
6,0.9992595490014781,0.44270573659052576,0.5572942634094742,0.5674040733707155,0.34,0.01648274440944295,67.13333333333334,Houston
7,0.9771135680583277,0.453919274360247,0.546080725639753,0.5797430252067893,0.369,0.015362112015011916,64.27659574468085,Houston
8,0.9752517782283743,0.45291118374047123,0.5470888162595288,0.5756183763551738,0.363,0.01607072786301628,64.27659574468085,Houston
9,0.9780844608704581,0.4515572924594733,0.5484427075405267,0.576816675846104,0.369,0.015735875362528524,67.13333333333334,Houston
10,0.9781226647914676,0.4521927024306509,0.5478072975693491,0.5800409233580448,0.365,0.015735875362528524,68.6590909090909,Houston
11,0.9599640790994872,0.4614519014482381,0.5385480985517619,0.5832997311932412,0.351,0.017135350559329725,64.27659574468085,Houston
12,0.9799226659402488,0.45238297414263295,0.547617025857367,0.5831236512532446,0.366,0.015608839667580796,68.6590909090909,Houston
