month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.8356804626751878,0.5296272903554183,0.47037270964458167,0.6489772191771782,0.46,0.02041096452743441,110.3225806451613,Miami
2,0.8426552965658042,0.5243834678413883,0.47561653215861166,0.643706330136685,0.455,0.01783446136057703,92.43243243243244,Miami
3,0.8341167058574257,0.5318983596233008,0.46810164037669927,0.6511919684712237,0.46,0.013321924778798904,76,Miami
4,0.804348809022057,0.5421527520775484,0.45784724792245163,0.6546667382461343,0.484,0.006510829574667878,45.6,Miami
5,0.7796508975884107,0.5581808781198048,0.44181912188019523,0.6694986724723958,0.464,0.009145829377968661,53.4375,Miami
6,0.7581983196122841,0.5739784739374576,0.4260215260625424,0.6937110870118249,0.468,0.011360063901588816,71.25,Miami
7,0.7653596582055537,0.568109166746609,0.43189083325339095,0.6841110171367129,0.448,0.010423176983112944,56.0655737704918,Miami
8,0.7808907073340977,0.559241699005483,0.440758300994517,0.6689206978513923,0.452,0.010833765216394793,63.333333333333336,Miami
9,0.8097103477395402,0.5442088134736615,0.4557911865263386,0.6623248656156328,0.453,0.010598923456638086,64.52830188679245,Miami
10,0.7764276586736126,0.5655363859677434,0.4344636140322566,0.677801831709434,0.449,0.010598923456638086,64.52830188679245,Miami
11,0.7938855944017537,0.5527124785053213,0.4472875214946787,0.6705973329713064,0.456,0.011565400778928895,71.25,Miami
12,0.7856344468448175,0.5609656141014779,0.4390343858985221,0.6795705398020003,0.452,0.010670846952616013,65.76923076923077,Miami
