month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.7493164505690693,0.596223924252975,0.403776075747025,0.7250010999370734,0.299,0.02976338031494204,80.68,Tampa
2,0.7997115943617981,0.5662901583505031,0.4337098416494969,0.6970271729084117,0.299,0.026340343193962428,72.03571428571429,Tampa
3,0.7895632154054978,0.5727902956408452,0.4272097043591549,0.7009406858681929,0.3,0.02078636156164664,69.55172413793103,Tampa
4,0.7566383766756364,0.5942471143192106,0.4057528856807894,0.7129968214406114,0.367,0.011471195237308277,48.023809523809526,Tampa
5,0.7284582286862278,0.6106283420893281,0.3893716579106719,0.7341294987504577,0.323,0.01690811632866665,57.628571428571426,Tampa
6,0.7689353263642247,0.5825627863193508,0.4174372136806492,0.7111430734702202,0.299,0.018412934501184378,67.23333333333333,Tampa
7,0.7493646007088848,0.598060604834239,0.40193939516576105,0.7236374562219992,0.299,0.0175755581525289,69.55172413793103,Tampa
8,0.7500949821891244,0.5996027035457226,0.4003972964542773,0.7245008237309881,0.3,0.01843900260484296,67.23333333333333,Tampa
9,0.7503060551076979,0.5973503974760003,0.4026496025239998,0.7194756689836249,0.319,0.01825578810271423,61.121212121212125,Tampa
10,0.743888412343811,0.6016100623210927,0.39838993767890724,0.7245169068440018,0.319,0.01825578810271423,59.3235294117647,Tampa
11,0.7515106978390339,0.5932261992027564,0.40677380079724357,0.7202345475502391,0.299,0.019575916220065947,72.03571428571429,Tampa
12,0.7257413074446759,0.6103577081538379,0.3896422918461621,0.7328237384481464,0.299,0.01773122899796177,74.70370370370371,Tampa
