metro_fips,metro_name,county_fips,county_name,county_population,metro_population,rank
35620,"New York-Newark-Jersey City, NY-NJ-PA",34037,"Sussex County, New Jersey",143570,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",36103,"Suffolk County, New York",1497595,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",34039,"Union County, New Jersey",557320,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",36027,"Dutchess County, New York",295685,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",36059,"Nassau County, New York",1363069,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",34023,"Middlesex County, New Jersey",837288,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",36119,"Westchester County, New York",975321,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",34017,"Hudson County, New Jersey",679756,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",36085,"Richmond County, New York",475948,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",36079,"Putnam County, New York",99464,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",34025,"Monmouth County, New Jersey",627551,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",34035,"Somerset County, New Jersey",333316,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",34029,"Ocean County, New Jersey",589699,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",36105,"Sullivan County, New York",75783,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",34027,"Morris County, New Jersey",498847,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",34013,"Essex County, New Jersey",800401,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",36081,"Queens County, New York",2339280,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",34003,"Bergen County, New Jersey",937920,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",36047,"Kings County, New York",2635121,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",36061,"New York County, New York",1653877,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",34031,"Passaic County, New Jersey",510563,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",36087,"Rockland County, New York",325027,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",34019,"Hunterdon County, New Jersey",125717,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",42103,"Pike County, Pennsylvania",55687,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",36071,"Orange County, New York",378174,20267825,1
35620,"New York-Newark-Jersey City, NY-NJ-PA",36005,"Bronx County, New York",1455846,20267825,1
31080,"Los Angeles-Long Beach-Anaheim, CA",06037,"Los Angeles County, California",10105722,13261538,2
31080,"Los Angeles-Long Beach-Anaheim, CA",06059,"Orange County, California",3155816,13261538,2
16980,"Chicago-Naperville-Elgin, IL-IN-WI",18073,"Jasper County, Indiana",33448,9549229,3
