GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
080050066042,4.52677545040808e-4,45,11,34,1.0808692103708572e-4,1.3123531804879328e-6,4,1.1786851118287068e-4,10,1,Denver
080050057001,6.393355608775026e-5,29,23,6,9.874413997472977e-6,1.2883194516912415e-6,4,3.482379763809974e-4,10,1,Denver
080350141102,0.005959712063835439,76,0,76,0,1.321524193143404e-6,3,8.376988586010488e-5,3,1,Denver
080350146033,0.005003980738323709,55,0,55,0,1.3243770130530598e-6,3,8.376988586010488e-5,12,1,Denver
080310005011,1.5046130688575556e-4,25,2,23,1.101178105477353e-5,1.3050383616026393e-6,3,1.0228623108026553e-4,5,1,Denver
080010085061,0.0025181470836738613,195,160,35,5.038527671227385e-4,1.3151267190350125e-6,3,0.001590567687306622,4,1,Denver
080190149002,4.557773578762627e-4,26,12,14,9.803710140577582e-5,1.3098280326775897e-6,3,2.1306471257587686e-4,14,1,Denver
080310004011,2.5368399672144508e-6,4,0,4,0,1.3004577611319185e-6,4,1.1300336508987755e-4,8,1,Denver
080050826002,0.003691490254580887,46,0,46,0,1.3157842797988956e-6,3,8.376988586010488e-5,2,1,Denver
080310038002,5.044672918173259e-4,24,16,8,1.3116937366740395e-4,1.3098331796462403e-6,3,5.315165917124287e-4,6,1,Denver
080350144041,0.005821038097692804,52,0,52,0,1.321655188091358e-6,3,8.431332721084779e-5,12,1,Denver
080310032033,2.1373467818519256e-4,19,0,19,0,1.3104545442632232e-6,3,8.69135681109256e-5,1,1,Denver
080050076001,9.230510848236049e-4,31,8,23,6.19739492722476e-5,1.3143264208525772e-6,4,9.587523258063337e-5,2,1,Denver
080590120303,7.109951720246158e-4,67,24,43,7.493830891539202e-4,1.3119038217070231e-6,3,3.518159416357258e-4,14,1,Denver
080590120371,6.181235261390285e-4,52,0,52,0,1.3266153531848055e-6,3,8.427824666196891e-5,17,1,Denver
080050872001,0.0031899413332635526,196,134,62,0.00251657591012104,1.3225448937864196e-6,3,0.0011460232118748921,13,1,Denver
080590100001,5.915978634128425e-4,182,163,19,8.213999873041012e-4,1.312894196482494e-6,3,0.0017160930874132172,11,1,Denver
080590159002,0.0014750967529635736,139,66,73,0.001950439534850265,1.3227670699783463e-6,3,2.310302185999695e-4,9,1,Denver
080310068143,0.0013737598512327776,58,4,54,1.6815307247155182e-5,1.3167562499835404e-6,3,9.255095474901615e-5,13,1,Denver
080310030021,7.219301920213898e-5,23,3,20,3.330712957801319e-5,1.3125495487454653e-6,4,1.0231681522619104e-4,18,1,Denver
080590106033,4.75685440800884e-4,168,144,24,8.206688987691573e-4,1.3065320067678357e-6,3,0.0021158048956567434,8,1,Denver
080310019012,0.0023624623507165657,129,57,72,0.0015869734707762778,1.3192229249283002e-6,3,6.065796109614951e-4,1,1,Denver
080050872002,4.893352862322406e-4,58,23,35,1.0827105843266793e-4,1.315010848839503e-6,3,2.0088262551070594e-4,2,1,Denver
080310041045,9.498654920821181e-4,14,0,14,0,1.3079777486825393e-6,4,8.690894844560478e-5,2,1,Denver
080590120503,0.0025099686573841306,316,255,61,0.00534963256465051,1.321154054489678e-6,3,0.002351933057562999,9,1,Denver
080310043042,7.875965085022101e-4,35,6,29,1.015831263177579e-4,1.3081197609803573e-6,3,1.1995457555145415e-4,2,1,Denver
080050056284,0.0031392398453491954,50,4,46,5.791085317004877e-4,1.3125271529054758e-6,3,9.126625655246917e-5,3,1,Denver
080050061002,3.1182464381894086e-4,17,4,13,1.584854524844971e-5,1.3041074167197003e-6,4,1.0722889771029715e-4,10,1,Denver
080010078023,0.0014824901874220173,64,41,23,1.3554910407479715e-4,1.3128235289484153e-6,3,2.908452092933416e-4,2,1,Denver
080310023002,0.0015818448174632772,52,12,40,1.309465217887524e-4,1.311387697347456e-6,3,1.3810604057366976e-4,1,1,Denver
080050056281,0.0016750438473044106,44,3,41,1.4020079993831632e-4,1.3143747913430018e-6,3,8.933507726500526e-5,3,1,Denver
080050059521,0.0011011412535667255,104,65,39,7.735261891588855e-4,1.3136720417747708e-6,3,5.987717655153139e-4,10,1,Denver
080310046023,2.449168363933647e-4,36,5,31,6.0818118464016814e-5,1.3118435862655224e-6,4,9.664448410025473e-5,5,1,Denver
080050810003,0.024990369747545156,487,412,75,0.0049920624008413924,1.3190054171552483e-6,3,0.006654453245293137,2,1,Denver
080310068102,0.0017086811537725902,57,0,57,0,1.3263901231685869e-6,3,8.376988586010488e-5,13,1,Denver
080590110004,2.3552794941551517e-5,17,0,17,0,1.309371828865102e-6,4,8.376988586010488e-5,5,1,Denver
080310036024,4.0037928203162366e-4,15,1,14,2.946814648460522e-6,1.3154934876494893e-6,4,8.94698903415311e-5,2,1,Denver
080590119042,0.0016057618272274556,198,106,92,0.0026908124638831024,1.3243068577906324e-6,3,5.482521118217109e-4,9,1,Denver
080140302001,0.0021245213031761637,228,187,41,0.0023054092696240774,1.3166244907954782e-6,3,0.0018388654703112431,4,1,Denver
080050806002,0.0023325345914602907,80,29,51,5.618058350503637e-4,1.3204056814415662e-6,3,2.2216703637346268e-4,2,1,Denver
080310010003,9.55606327062689e-5,19,2,17,8.253665940819689e-6,1.3054148608427757e-6,4,9.338171074817434e-5,5,1,Denver
080590098233,2.5842619513102643e-4,31,0,31,0,1.3141847848942344e-6,3,8.376988586010488e-5,4,1,Denver
