GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
261390206002,8.606103777273317e-4,19,10,9,4.967833279515139e-6,1.014939915556999e-5,4,3.102943774295727e-4,6,1,"Grand Rapids-Wyoming, MI"
260810109042,0.05211995474472044,177,81,96,0.011504434382610697,1.1127678988716533e-5,3,0.0013647264712987118,1,1,"Grand Rapids-Wyoming, MI"
260150104011,0.0066453414635172315,33,3,30,0.001968089950901248,1.0894907720131612e-5,3,3.1248877779535073e-4,8,1,"Grand Rapids-Wyoming, MI"
260810147042,0.008120070076254217,28,2,26,2.2355249757818128e-5,1.0799835842495194e-5,3,2.5333519762578356e-4,2,1,"Grand Rapids-Wyoming, MI"
260150114005,0.00713010684708476,40,20,20,7.58463945949974e-4,1.0733875036226827e-5,3,5.166730517974782e-4,8,1,"Grand Rapids-Wyoming, MI"
260810017003,0.009736490808555643,38,0,38,0,1.1048502927853275e-5,3,2.3616468550838928e-4,4,1,"Grand Rapids-Wyoming, MI"
260150114001,0.01662194510418075,33,0,33,0,1.0918103307093492e-5,3,2.3616468550838928e-4,8,1,"Grand Rapids-Wyoming, MI"
260810119012,0.027697091455050588,68,7,61,0.0012507900234868118,1.1037771253228547e-5,3,2.829586631598117e-4,1,1,"Grand Rapids-Wyoming, MI"
261390232001,0.015656516526219334,30,1,29,4.967833279515139e-6,1.0878433505575197e-5,3,2.3824231134028697e-4,4,1,"Grand Rapids-Wyoming, MI"
260810041001,0.031019000356639546,167,101,66,0.006666161012207863,1.1066108934776354e-5,3,0.0032957645753602664,1,1,"Grand Rapids-Wyoming, MI"
260810116004,0.023210242320022573,87,40,47,0.0015611327369567764,1.1076650420912715e-5,3,9.249739626912911e-4,4,1,"Grand Rapids-Wyoming, MI"
261390214001,0.050663316982902426,91,1,90,0.001776828369639915,1.1232295094856732e-5,3,2.3867590415523036e-4,4,1,"Grand Rapids-Wyoming, MI"
260810102002,0.018182009148217406,66,21,45,2.542111258174747e-4,1.090857523098908e-5,3,4.3306908302969777e-4,9,1,"Grand Rapids-Wyoming, MI"
261390213041,0.022844562454405852,95,35,60,0.006012817009861149,1.1062069270677773e-5,3,7.734311522414306e-4,6,1,"Grand Rapids-Wyoming, MI"
261390251002,0.019216277510907282,87,52,35,0.006200323145726657,1.0931112131348243e-5,3,0.0015741545710952088,3,1,"Grand Rapids-Wyoming, MI"
260810126081,0.15263794469045416,519,466,53,0.012245237878388233,1.107959581634462e-5,3,0.031620657578423604,1,1,"Grand Rapids-Wyoming, MI"
260810122033,0.054456697650826114,278,213,65,0.021216246019147223,1.1093977079843353e-5,3,0.003557493512353445,1,1,"Grand Rapids-Wyoming, MI"
260810106002,0.02612329375383589,82,2,80,1.9415948400771667e-4,1.1185557208532343e-5,3,2.4101610053518205e-4,4,1,"Grand Rapids-Wyoming, MI"
260810125003,0.005804271702244103,23,0,23,0,1.078353139085988e-5,3,2.3616468550838928e-4,1,1,"Grand Rapids-Wyoming, MI"
260810126062,0.011788508366688424,28,3,25,9.242535534793169e-5,1.0882103292924458e-5,3,2.4626668528867734e-4,1,1,"Grand Rapids-Wyoming, MI"
260810035004,0.004476684460854853,31,0,31,0,1.1008972312434634e-5,3,2.3616468550838928e-4,1,1,"Grand Rapids-Wyoming, MI"
