GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
180594104005,0.019587916854521447,155,82,73,0.002536450897794161,3.391025988823178e-6,3,0.0016515619218613457,12,1,"Indianapolis-Carmel-Anderson, IN"
180973604041,0.0017973106623279393,47,0,47,0,3.3716692122769217e-6,3,1.2832167877432855e-4,6,1,"Indianapolis-Carmel-Anderson, IN"
180139749002,1.755074536096392e-4,15,4,11,3.801364782673194e-5,3.292918250011525e-6,3,2.462210865192065e-4,19,1,"Indianapolis-Carmel-Anderson, IN"
180973910003,0.18199763931947174,1096,1023,73,0.012499944762658685,3.3859280828875195e-6,2,0.054922738182774364,3,1,"Indianapolis-Carmel-Anderson, IN"
180973604021,0.002207879046528685,99,40,59,6.061498819700233e-4,3.3689884612145202e-6,3,3.0465563970428653e-4,6,1,"Indianapolis-Carmel-Anderson, IN"
180594107002,0.007736664806168424,94,0,94,0,3.4256899339526985e-6,3,1.2781458290056288e-4,12,1,"Indianapolis-Carmel-Anderson, IN"
180973506005,3.280872634362911e-4,31,18,13,8.918302118759873e-5,3.2943827479764252e-6,3,3.1532479464463847e-4,18,1,"Indianapolis-Carmel-Anderson, IN"
181457106021,2.187839225098435e-4,36,19,17,0.0010359290983456542,3.303906539091822e-6,3,3.334572364245996e-4,11,1,"Indianapolis-Carmel-Anderson, IN"
181457109003,1.4797500435938805e-4,25,0,25,0,3.3517231208564325e-6,3,1.292930626837702e-4,11,1,"Indianapolis-Carmel-Anderson, IN"
180973616001,0.030626560043191264,522,349,173,0.028308742318249685,3.426488123792163e-6,2,0.007646755889219879,6,1,"Indianapolis-Carmel-Anderson, IN"
180973408002,5.160885925525557e-4,27,2,25,2.6008704246354445e-5,3.3388201277432582e-6,3,1.322562025001885e-4,9,1,"Indianapolis-Carmel-Anderson, IN"
180973216003,0.0023959462150869447,41,0,41,0,3.3492085820120707e-6,3,1.27426411247996e-4,1,1,"Indianapolis-Carmel-Anderson, IN"
180973214001,0.003280394450464908,63,35,28,7.023124215094461e-5,3.296663446925367e-6,3,3.3992712990970833e-4,1,1,"Indianapolis-Carmel-Anderson, IN"
180950016003,0.0066347742780335115,41,2,39,2.8898560273727164e-6,3.3509144645573777e-6,3,1.346309202313675e-4,10,1,"Indianapolis-Carmel-Anderson, IN"
180973554002,9.621270082239024e-4,41,18,23,2.6853987134360966e-4,3.315693842093396e-6,3,1.948174534776756e-4,6,1,"Indianapolis-Carmel-Anderson, IN"
181339562001,7.974623016672955e-4,58,18,40,6.549979096708068e-4,3.3700670643345802e-6,3,2.1708401699186311e-4,14,1,"Indianapolis-Carmel-Anderson, IN"
180973611003,3.4364262750505455e-4,32,17,15,8.497780698747902e-4,3.324501241701214e-6,3,2.1363695720761283e-4,6,1,"Indianapolis-Carmel-Anderson, IN"
180973521003,3.942534689022971e-4,36,13,23,4.682105745428271e-4,3.3534540576794096e-6,3,2.0741704805476736e-4,6,1,"Indianapolis-Carmel-Anderson, IN"
180973213001,0.0036248715984891875,83,49,34,4.0961472989891836e-4,3.3230429769148204e-6,3,5.905559188672094e-4,1,1,"Indianapolis-Carmel-Anderson, IN"
