GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
120310014002,4.5168178124726854e-4,34,0,34,0,1.357330944430871e-5,3,2.1405636817779238e-4,5,1,"Jacksonville, FL"
120310155012,0.002630960518971851,69,18,51,3.312461577264209e-4,1.369900545220417e-5,3,3.1933672690811284e-4,1,1,"Jacksonville, FL"
120310159233,0.07870390453755143,470,314,156,0.012277620876462933,1.4043365913942254e-5,2,0.006885577773784129,1,1,"Jacksonville, FL"
120310143292,0.010130497901785922,195,145,50,8.21899646176665e-4,1.3511687609782462e-5,3,0.002649809168755272,3,1,"Jacksonville, FL"
120310144042,0.016459578650013486,90,0,90,0,1.3635495922986718e-5,3,2.1450498140780167e-4,3,1,"Jacksonville, FL"
120310119012,0.002161910362444511,101,38,63,0.0015287289145318457,1.3825139633910302e-5,3,2.8769832653548623e-4,2,1,"Jacksonville, FL"
120310022003,5.773838412752435e-4,26,6,20,4.1036636431373265e-5,1.3397642015005358e-5,3,2.199337531875618e-4,2,1,"Jacksonville, FL"
120190301022,0.011556819129616475,169,55,114,0.003418786778811017,1.3897574873184628e-5,2,8.235982590352989e-4,4,1,"Jacksonville, FL"
120310149011,0.005995202503340199,150,72,78,0.0021575225541284157,1.3844471210422119e-5,3,0.0010287175582088396,1,1,"Jacksonville, FL"
120310146012,0.007988929429842164,94,0,94,0,1.3908012405947066e-5,3,2.1483633994052358e-4,1,1,"Jacksonville, FL"
120310029022,0.0013979878521111172,83,29,54,0.0028520679425284683,1.3588433525383194e-5,3,5.001771790152222e-4,2,1,"Jacksonville, FL"
120310003003,4.633410404766743e-4,17,0,17,0,1.3189306110605522e-5,3,2.2149566010534264e-4,2,1,"Jacksonville, FL"
120310159223,0.0552437301090354,313,252,61,0.003297521546624418,1.3663442094332404e-5,2,0.008524847234264084,1,1,"Jacksonville, FL"
120310148001,0.0036712504078874296,69,1,68,4.041122462175094e-6,1.3721938635490423e-5,3,2.2097405421274394e-4,1,1,"Jacksonville, FL"
120310015001,4.2178908254317867e-4,40,20,20,3.9212278110304434e-4,1.3373274847544667e-5,3,3.7389003976254876e-4,5,1,"Jacksonville, FL"
120310149013,0.010964046461114887,209,99,110,0.002585324226696834,1.382724243304158e-5,2,0.001363901695401858,1,1,"Jacksonville, FL"
120310137273,0.009667628528040144,116,0,116,0,1.4096618221288712e-5,3,2.1405636817779238e-4,4,1,"Jacksonville, FL"
120310159242,0.02712346694658069,315,208,107,0.007823388291203782,1.4005013794938587e-5,2,0.0020888184285475938,1,1,"Jacksonville, FL"
120310014003,7.160457841984649e-4,109,89,20,0.001105218201136263,1.3426603472119659e-5,3,0.0010004535374051342,5,1,"Jacksonville, FL"
121090210021,8.620263518789293e-4,17,4,13,1.784829087460666e-5,1.262100387464819e-5,3,2.357728810159842e-4,6,1,"Jacksonville, FL"
120310158014,0.006591379399552172,78,0,78,0,1.3904338153503892e-5,3,2.1506188303245456e-4,1,1,"Jacksonville, FL"
120190301041,0.006006039427794958,115,14,101,7.674332098674203e-4,1.401561339332016e-5,2,2.667331857130451e-4,4,1,"Jacksonville, FL"
120190308013,0.002777985593845836,60,0,60,0,1.398151643527257e-5,2,2.1405636817779238e-4,4,1,"Jacksonville, FL"
