GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
370759201001,1.612631641959028e-7,2,0,2,0,9.213872406294917e-6,5,2.5411355123941326e-4,13,1,"Knoxville, TN"
370759203003,2.0937423204886158e-6,8,7,1,0.0027302188190082882,9.916109711837852e-6,5,0.010569776659010963,13,1,"Knoxville, TN"
370759203004,7.939654279827347e-9,1,0,1,0,7.274843590862797e-6,6,2.5411355123941326e-4,13,1,"Knoxville, TN"
470090105002,0.03690349509152784,199,163,36,0.007575729124597743,1.1266336187471835e-5,4,0.004877762754408568,3,1,"Knoxville, TN"
470930057013,0.03575514421239654,58,10,48,9.98977123901842e-5,1.1375399560909577e-5,4,2.9188557685676367e-4,1,1,"Knoxville, TN"
470930023001,0.013696723132582172,79,43,36,9.85443476194573e-4,1.129713730540681e-5,4,6.771624595014258e-4,6,1,"Knoxville, TN"
470139506005,4.398735496178212e-4,8,0,8,0,1.1017219914726718e-5,5,2.5411355123941326e-4,9,1,"Knoxville, TN"
470930046141,0.022894348850018054,34,0,34,0,1.1339539841473234e-5,5,2.5411355123941326e-4,1,1,"Knoxville, TN"
470010213025,0.014465585916070785,49,1,48,5.7357538214459835e-6,1.1454360102172892e-5,4,2.574746711554405e-4,2,1,"Knoxville, TN"
470010209022,0.05221846662665508,248,166,82,0.017376624390519242,1.1630070710829923e-5,4,0.003856006903208934,12,1,"Knoxville, TN"
470575003004,0.0010784772848335801,18,5,13,0.0018077184127257256,1.1124336711423582e-5,4,3.132944054338611e-4,15,1,"Knoxville, TN"
470930057102,0.037258307564778166,39,2,37,3.4919815527231855e-5,1.1313241017286632e-5,4,2.613071439187846e-4,1,1,"Knoxville, TN"
470139501003,0.0012456637326590176,33,10,23,0.0011179940156968461,1.1266336187471835e-5,5,2.9776644441920666e-4,9,1,"Knoxville, TN"
470930046103,0.11863911091969036,425,370,55,0.013283981951494642,1.1503508570113885e-5,4,0.011443536058380272,1,1,"Knoxville, TN"
470010203002,0.011225382864173666,27,0,27,0,1.1434844257421215e-5,4,2.555997813110915e-4,5,1,"Knoxville, TN"
470930060021,0.0434556224891954,130,66,64,0.0011255734046751852,1.1414743282423577e-5,4,9.423399907307734e-4,2,1,"Knoxville, TN"
471450302022,0.018355832984332382,61,29,32,0.0016182268599888834,1.1363119858188264e-5,5,5.140083529285956e-4,8,1,"Knoxville, TN"
470090111011,0.016207854305605757,44,0,44,0,1.1331701568307498e-5,4,2.5411355123941326e-4,3,1,"Knoxville, TN"
470090105001,0.03829722368465864,206,164,42,0.00816870354210112,1.1386020244343995e-5,4,0.0063484948425223935,3,1,"Knoxville, TN"
470930009021,0.17685825045814366,323,273,50,0.007216994140550879,1.1413831280746008e-5,4,0.01445768494918015,4,1,"Knoxville, TN"
470930062021,0.04784647806310799,175,86,89,0.007038896604843435,1.1719894520949313e-5,4,0.0012465471649311562,2,1,"Knoxville, TN"
470930054012,0.019645765051164648,107,38,69,7.021450353636536e-4,1.1438506588579795e-5,4,4.516076701934954e-4,2,1,"Knoxville, TN"
471519752004,0.0027401957071157353,44,16,28,0.0012664066458267609,1.144269498352252e-5,5,8.97964543119236e-4,14,1,"Knoxville, TN"
471450309005,0.018268032757359304,35,0,35,0,1.1244419956596538e-5,4,2.5411355123941326e-4,8,1,"Knoxville, TN"
471050603022,0.05225571235863365,55,0,55,0,1.1543212014175065e-5,4,2.5411355123941326e-4,7,1,"Knoxville, TN"
470499652001,0.0016333484524851307,22,9,13,0.0019816551473610753,1.1008851116297503e-5,5,5.170868279307466e-4,11,1,"Knoxville, TN"
470090110021,0.02107877651595705,98,54,44,0.007314025010617971,1.1366477983132147e-5,4,7.01898586381294e-4,3,1,"Knoxville, TN"
