GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
190291901003,0.0030701830859983285,26,12,14,7.138855207396935e-4,4.06373562961488e-6,3,4.52806675028595e-4,5,1,"Omaha-Council Bluffs, NE-IA"
190852901001,0.0042488447266723515,14,2,12,3.6913899559740223e-6,4.0826824857004045e-6,3,1.8707276747211113e-4,12,1,"Omaha-Council Bluffs, NE-IA"
191550319004,0.0525687693321327,42,0,42,0,4.156673331199575e-6,3,1.6627124184585715e-4,2,1,"Omaha-Council Bluffs, NE-IA"
191550318001,0.06536445797695432,90,29,61,0.003963536215640922,4.17641162712997e-6,3,2.7254137868818493e-4,2,1,"Omaha-Council Bluffs, NE-IA"
191550310003,0.029751455157866424,69,41,28,1.993365224598813e-4,4.10372577262897e-6,3,6.708688706141293e-4,2,1,"Omaha-Council Bluffs, NE-IA"
191454902003,0.007093098783162382,56,43,13,9.801460641990136e-4,4.082249155994987e-6,4,0.0022291971639726254,6,1,"Omaha-Council Bluffs, NE-IA"
191379603003,0.01272391707275472,34,15,19,4.0475211964884685e-4,4.099267870758283e-6,3,6.222782191427271e-4,10,1,"Omaha-Council Bluffs, NE-IA"
191550304022,0.02305841739525537,37,5,32,2.3071187224837636e-5,4.10900364879524e-6,3,2.808719542658084e-4,2,1,"Omaha-Council Bluffs, NE-IA"
190291904002,0.011629772686842496,37,14,23,0.002030674630225265,4.082065851886323e-6,3,3.804035352824686e-4,5,1,"Omaha-Council Bluffs, NE-IA"
191550212001,0.025284819314322072,49,0,49,0,4.187499476562565e-6,3,1.6754630150954893e-4,1,1,"Omaha-Council Bluffs, NE-IA"
191550309001,0.05561750043755577,143,124,19,0.001751051841060233,4.094953788446498e-6,3,0.0059518110748720925,2,1,"Omaha-Council Bluffs, NE-IA"
191550313002,0.48227178256665515,642,598,44,0.018807025427441035,4.1451120838307464e-6,3,0.054354442519812016,2,1,"Omaha-Council Bluffs, NE-IA"
191550212002,0.027093895527087773,41,1,40,2.7553589314234668e-5,4.145919793035684e-6,3,1.7028153242407742e-4,1,1,"Omaha-Council Bluffs, NE-IA"
191550212003,0.03429138239381548,96,27,69,0.0044479940381513166,4.180636961847507e-6,3,7.216769153434909e-4,1,1,"Omaha-Council Bluffs, NE-IA"
190852904002,0.039240432571878904,63,11,52,6.902078908792317e-4,4.157053480493027e-6,3,2.634569295881433e-4,12,1,"Omaha-Council Bluffs, NE-IA"
191550302003,0.02533130117561171,38,0,38,0,4.150359213589936e-6,3,1.6627124184585715e-4,2,1,"Omaha-Council Bluffs, NE-IA"
191659601003,0.003595887182414177,9,1,8,0,4.04185747602168e-6,4,1.6923421675012128e-4,8,1,"Omaha-Council Bluffs, NE-IA"
190719702003,0.023911899073531254,38,9,29,0.0012474847278994433,4.105747636115799e-6,3,3.366667938124718e-4,6,1,"Omaha-Council Bluffs, NE-IA"
191550306022,0.024822272521754243,88,65,23,9.49753620228161e-4,4.0604190352444374e-6,3,0.0025136293459794077,2,1,"Omaha-Council Bluffs, NE-IA"
191550304011,0.028106120342402265,69,32,37,0.003562125389837148,4.108108996347891e-6,3,8.479484782962009e-4,2,1,"Omaha-Council Bluffs, NE-IA"
191550217022,0.02194555198263084,32,0,32,0,4.150858812688345e-6,3,1.6759118668755168e-4,2,1,"Omaha-Council Bluffs, NE-IA"
190291903001,0.008064301669058319,17,2,15,2.276357139517314e-5,4.014226418426905e-6,3,1.8599608658137934e-4,5,1,"Omaha-Council Bluffs, NE-IA"
190291902001,0.007270680145885877,15,0,15,0,4.0867202027013225e-6,3,1.7272270141781718e-4,5,1,"Omaha-Council Bluffs, NE-IA"
191379601002,0.009513847381107048,20,0,20,0,4.078353324061877e-6,3,1.7271955622801652e-4,10,1,"Omaha-Council Bluffs, NE-IA"
191290402011,0.01904466888716594,26,0,26,0,4.150135294410598e-6,3,1.6627124184585715e-4,15,1,"Omaha-Council Bluffs, NE-IA"
191290401004,0.035737089456673664,52,20,32,0.002851708115507147,4.127472872184548e-6,3,3.3279948960369553e-4,15,1,"Omaha-Council Bluffs, NE-IA"
191454906003,0.0020869218188052556,9,0,9,0,3.982762603452258e-6,4,1.7693966268416723e-4,11,1,"Omaha-Council Bluffs, NE-IA"
191550301004,0.04797323640127595,60,11,49,0.0012107055933698416,4.135461165951921e-6,3,1.977942448005387e-4,2,1,"Omaha-Council Bluffs, NE-IA"
191379602003,0.006900226008524973,10,0,10,0,4.095976931457922e-6,3,1.7173779152046846e-4,10,1,"Omaha-Council Bluffs, NE-IA"
191454906002,0.006404115702049045,17,0,17,0,4.1099662571770285e-6,3,1.6840190190377366e-4,6,1,"Omaha-Council Bluffs, NE-IA"
