GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
061110070002,0.12989167932275886,212,162,50,0.011193531286989234,2.1278859453133314e-5,3,0.007355119431573136,1,1,"Oxnard-Thousand Oaks-Ventura, CA"
061110075122,0.07885654876232673,53,1,52,3.405732377694995e-4,2.1057951482479785e-05,3,3.5809122603701495e-4,4,1,"Oxnard-Thousand Oaks-Ventura, CA"
061110075101,0.06710407664561692,51,1,50,2.360049089021052e-5,2.1219258599104547e-5,3,3.554681165192429e-4,1,1,"Oxnard-Thousand Oaks-Ventura, CA"
061110030131,0.03333714231892405,35,1,34,9.984823068935218e-5,2.097447406506282e-5,3,3.526543668221554e-4,3,1,"Oxnard-Thousand Oaks-Ventura, CA"
061110052033,0.09358759643609323,38,2,36,1.2526414395573274e-4,2.1094821221390147e-5,3,3.6033574097180793e-4,5,1,"Oxnard-Thousand Oaks-Ventura, CA"
061110016021,0.03593418682216722,84,49,35,0.004887720016224688,2.100266733875202e-5,3,0.0016336139930538493,2,1,"Oxnard-Thousand Oaks-Ventura, CA"
061110074061,0.03437444647958986,53,22,31,0.0013165572745011996,2.111977021690004e-5,3,8.15736817884677e-4,1,1,"Oxnard-Thousand Oaks-Ventura, CA"
061110075064,0.09695478966144372,61,0,61,0,2.1589878664881905e-5,3,3.5269838715605806e-4,4,1,"Oxnard-Thousand Oaks-Ventura, CA"
061110059113,0.022144839819200967,31,0,31,0,2.1268902737307782e-5,3,3.5707046363509545e-4,1,1,"Oxnard-Thousand Oaks-Ventura, CA"
061110013014,0.09724333483666892,67,0,67,0,2.1598738633663794e-5,3,3.532510258455129e-4,2,1,"Oxnard-Thousand Oaks-Ventura, CA"
061110028005,0.04990105158468294,134,117,17,0.0011479823395711246,2.051618727175742e-5,3,0.012116121039793926,2,1,"Oxnard-Thousand Oaks-Ventura, CA"
061110036081,0.09280045531808492,143,86,57,0.008843026132745757,2.141556911874933e-5,2,0.003093117906663959,3,1,"Oxnard-Thousand Oaks-Ventura, CA"
