GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
060650507004,0.11474863401909202,180,105,75,0.0026752816062770852,9.203331974307979e-7,4,3.9742046929703835e-4,4,1,"Riverside-San Bernardino-Ontario, CA"
060710013082,0.019888942564651343,67,24,43,9.809522460403892e-4,9.109890790629202e-7,4,2.837463450470762e-4,1,1,"Riverside-San Bernardino-Ontario, CA"
060710052001,0.004147756824767553,36,0,36,0,9.184060511937901e-7,4,7.058703584681314e-5,2,1,"Riverside-San Bernardino-Ontario, CA"
060650427241,0.1036114910701313,123,18,105,6.403455526487721e-4,9.212471844382927e-7,4,8.939588215154515e-5,4,1,"Riverside-San Bernardino-Ontario, CA"
060710046043,0.005299114122848271,33,0,33,0,9.174800126979233e-7,4,6.958226823129033e-5,2,1,"Riverside-San Bernardino-Ontario, CA"
060710112052,0.003037943788231869,59,39,20,0.0010203084758601867,9.099826921291958e-7,4,7.887197062164115e-4,21,1,"Riverside-San Bernardino-Ontario, CA"
040120201001,3.2657279351226132e-6,10,4,6,1.3441015996862356e-4,8.949731150076252e-7,5,1.2121116308173173e-4,15,1,"Riverside-San Bernardino-Ontario, CA"
060710121031,0.005252364436777452,43,4,39,9.039530076433595e-5,9.120567518193253e-7,4,9.447545545699157e-5,8,1,"Riverside-San Bernardino-Ontario, CA"
060710008261,0.0038061563280859384,27,1,26,6.0240248413041476e-6,9.089958777036946e-7,4,7.378048036793675e-5,1,1,"Riverside-San Bernardino-Ontario, CA"
060710039001,0.014720773342191478,129,83,46,7.206561681247231e-4,9.171013727173346e-7,4,4.0084538948265017e-4,10,1,"Riverside-San Bernardino-Ontario, CA"
060650430091,0.03361557660316285,79,8,71,2.599595660584405e-4,9.18556213343866e-7,4,8.244799024995755e-5,16,1,"Riverside-San Bernardino-Ontario, CA"
060650464051,0.03806446691768059,86,23,63,5.180418624142571e-4,9.167575020558286e-7,4,1.0058386399934029e-4,16,1,"Riverside-San Bernardino-Ontario, CA"
060710012002,0.008304064561578004,45,1,44,1.8436950137815665e-5,9.160671770382265e-7,4,7.018822131212677e-5,1,1,"Riverside-San Bernardino-Ontario, CA"
060650427261,0.2103583282743662,252,59,193,0.003918915184959525,9.259387861868452e-7,4,1.5795966111625072e-4,4,1,"Riverside-San Bernardino-Ontario, CA"
