GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
060650507004,0.11475045350701599,180,105,75,0.0028182009023276313,9.468020341094902e-7,5,4.0474470315159604e-4,4,1,Riverside
060710013082,0.019889011524271957,67,24,43,9.98800448007835e-4,9.368155391467109e-7,5,2.890873138633793e-4,1,1,Riverside
060710052001,0.004147734360691582,36,0,36,0,9.446313764979491e-7,5,7.182480772917377e-5,2,1,Riverside
060650427241,0.10361279988390841,123,18,105,6.524559849130851e-4,9.477612930496874e-7,5,9.103698772172606e-5,4,1,Riverside
060710046043,0.005299097907572474,33,0,33,0,9.435769302989157e-7,5,7.08024211119762e-5,2,1,Riverside
060710112052,0.0030379198972944354,59,39,20,0.0010460292996954678,9.359877947191568e-7,5,8.027118045584908e-4,19,1,Riverside
060710121031,0.0052523003426193015,43,4,39,8.974789630163116e-5,9.378487625085578e-7,5,9.623969859109266e-5,8,1,Riverside
060710008261,0.0038061682541671786,27,1,26,6.241864078591147e-6,9.348231922155403e-7,5,7.5078547622519e-5,1,1,Riverside
060710039001,0.01472077914839756,129,83,46,7.375291894476928e-4,9.432387233452526e-7,5,4.081370452620555e-4,10,1,Riverside
060650430091,0.03361613100176176,79,8,71,2.655423898184967e-4,9.448348712095586e-7,5,8.389775786642257e-5,15,1,Riverside
060650464051,0.03806514263385645,86,23,63,5.208178451653405e-4,9.42842084322139e-7,5,1.0235795935605897e-4,15,1,Riverside
060710012002,0.008304085716496323,45,1,44,1.858474257129217e-5,9.42016083982618e-7,5,7.141901897360956e-5,1,1,Riverside
060650427261,0.21036110784963832,252,59,193,0.004384783215962665,9.526340808652966e-7,5,1.6083627343551542e-4,4,1,Riverside
060710005033,0.010494848970804924,63,23,40,2.73104851879104e-4,9.419584068845857e-7,5,2.485000191355222e-4,6,1,Riverside
060710020381,0.15084038505594996,235,166,69,0.0035729970121899913,9.465851467538283e-7,5,9.886625649815324e-4,1,1,Riverside
060710005043,0.037924281857999606,221,172,49,0.0036569415589357765,9.428838668798841e-7,5,0.002328476577105427,6,1,Riverside
060710032001,0.019600008716408338,123,103,20,3.253607433006169e-4,9.352463485644436e-7,5,5.768513741285332e-4,10,1,Riverside
060650410022,0.001960764061972222,46,17,29,8.951613939471214e-5,9.378003891871616e-7,5,1.2273599627584734e-4,5,1,Riverside
060710107003,1.005511285390953e-6,8,4,4,0,8.99786300753571e-7,5,3.805915293868055e-4,22,1,Riverside
060710104171,6.810651667299954e-4,56,2,54,1.1193841756143268e-5,9.428972025182898e-7,5,8.364100848170891e-5,17,1,Riverside
060710100141,0.0045535018291375014,35,7,28,2.0008595006593457e-5,9.37770488175183e-7,5,7.936236092739122e-5,8,1,Riverside
060650432671,0.07662645790197087,65,9,56,5.019683475856249e-4,9.43735436982538e-7,5,7.603854753360509e-5,4,1,Riverside
060710023014,0.03503991082289006,40,6,34,3.888192053706719e-5,9.376904683763889e-7,5,8.700688321433141e-5,10,1,Riverside
060650445221,0.0021761161401604675,171,70,101,0.0051710171424417094,9.409621526202973e-7,5,2.868683105488099e-4,3,1,Riverside
060710074101,0.0019319170857967506,25,1,24,2.001547863681247e-6,9.413412606818699e-7,5,7.393760001849406e-5,2,1,Riverside
060710041033,0.007161560084014729,62,17,45,0.0014060515601040252,9.419344507815702e-7,5,1.943167091724669e-4,2,1,Riverside
060710020282,0.07548866711838696,67,3,64,2.0088551019137336e-5,9.43442508500417e-7,5,8.530448413434573e-5,1,1,Riverside
060710082002,0.00658094376615784,94,69,25,9.437346715675297e-4,9.42310791060486e-7,5,2.970003594508491e-4,2,1,Riverside
060650405033,0.006163954766539503,35,16,19,8.798126635921196e-5,9.397754312629454e-7,5,9.683603143070597e-5,12,1,Riverside
060710021032,0.04867336508697076,131,53,78,0.001054197625512776,9.433107944940835e-7,5,4.0706714459970243e-4,1,1,Riverside
060710103001,0.0029042738820172042,46,40,6,0.0012049710618603903,9.239053107925076e-7,5,2.967418329742297e-4,18,1,Riverside
060650306011,0.006633266720855398,68,0,68,0,9.485308206119542e-7,4,7.08024211119762e-5,5,1,Riverside
060650432111,0.021562615792431968,30,0,30,0,9.369410561012196e-7,5,7.08024211119762e-5,4,1,Riverside
060710008131,0.013116864459763596,48,3,45,2.9363448474227478e-5,9.388384315389627e-7,5,7.29394047278607e-5,1,1,Riverside
060710107002,1.0184547689423117e-5,8,3,5,4.927180723463181e-4,9.163097640135833e-7,4,2.1989510690576496e-4,22,1,Riverside
060650422063,0.0012000172322304162,18,1,17,4.077227129721058e-6,9.386621811129906e-7,5,7.225705942446666e-5,14,1,Riverside
060710100162,0.011629774350365149,41,0,41,0,9.39607657426565e-7,5,7.08024211119762e-5,8,1,Riverside
060710026062,0.030784808722140893,85,36,49,6.530194718226802e-4,9.436775491561635e-7,5,2.647369021565807e-4,10,1,Riverside
060710100241,0.010147395772127215,56,3,53,1.0063337870175158e-5,9.413917724241873e-7,5,7.172100355019525e-5,8,1,Riverside
060710123001,0.0015998117231250382,6,1,5,0,9.368497677081e-7,5,9.363330488305531e-5,2,1,Riverside
060650432761,0.09720887988091116,99,5,94,1.342596475666049e-4,9.467500437871896e-7,5,7.471102063144619e-5,4,1,Riverside
060650449272,8.037916419573838e-5,20,2,18,7.783797247649294e-7,9.163777785719718e-7,6,1.0415024032308879e-4,3,1,Riverside
060710043023,0.0063262686931309245,63,2,61,1.2732068355083488e-5,9.431951300949043e-7,5,7.537158116609118e-5,2,1,Riverside
060710091082,0.015462891470928858,48,0,48,0,9.429007587522404e-7,5,7.08024211119762e-5,8,1,Riverside
060710099053,0.02143838058349789,78,19,59,5.080267364433785e-4,9.423152308295389e-7,5,1.2357819884135116e-4,8,1,Riverside
060710074032,0.004000524667959627,60,27,33,9.68495001213637e-5,9.397824967389547e-7,5,1.463788634858404e-4,2,1,Riverside
060710008042,0.015186429190191624,57,4,53,1.0270182133089436e-4,9.417871918825478e-7,5,7.866833289630399e-5,1,1,Riverside
060710018092,0.009189160350142169,47,0,47,0,9.381725524485366e-7,5,7.141296605735807e-5,1,1,Riverside
060710008151,0.020551480202832994,107,65,42,7.380280609244348e-4,9.372976022990036e-7,5,5.518945486409828e-4,1,1,Riverside
060710008182,0.023931864062555215,177,147,30,8.418448618703484e-4,9.390606013368467e-7,5,0.0018212897278558095,1,1,Riverside
060650438133,0.002558243253640506,24,0,24,0,9.416195856873823e-7,5,7.08024211119762e-5,13,1,Riverside
060710099043,0.0689202495002841,246,172,74,0.002845988803312471,9.444565124998819e-7,5,0.0015718423119788002,8,1,Riverside
060710104191,2.0431635327390887e-4,27,0,27,0,9.294863751239702e-7,6,7.130427604849588e-5,17,1,Riverside
060710020362,0.08923903201905306,63,15,48,1.5324531747231977e-4,9.413580973270136e-7,5,1.8798496602590714e-4,1,1,Riverside
060710119002,6.300613330003702e-5,6,0,6,0,9.29666110416444e-7,6,7.08024211119762e-5,18,1,Riverside
060650433151,0.013189550184898967,85,9,76,6.438906308805694e-4,9.433739770288437e-7,5,7.588829591257281e-5,11,1,Riverside
060650456093,7.094164114254403e-5,45,20,25,3.328756778257724e-4,9.279777879236682e-7,6,9.920644208752735e-5,3,1,Riverside
060710018093,0.02855627849156309,140,113,27,4.6834722940911695e-4,9.380933440401054e-7,5,0.0010940201719831875,1,1,Riverside
060710039002,0.004563853068172599,28,0,28,0,9.405125793557488e-7,5,7.08024211119762e-5,10,1,Riverside
060710100181,0.056162778261820104,186,98,88,5.515110697952095e-4,9.445278777403115e-7,5,5.001684463663395e-4,8,1,Riverside
060650468003,0.005433197318257419,49,0,49,0,9.487486005958141e-7,5,7.08024211119762e-5,7,1,Riverside
060650419063,0.0012649609212065148,36,2,34,4.7073440497688576e-6,9.356094840862182e-7,5,7.398584313079145e-5,9,1,Riverside
060650418041,0.003571501211706172,52,1,51,2.446336277832635e-6,9.412677181882103e-7,4,7.245989285818952e-5,9,1,Riverside
060650464011,0.019769780401967148,55,8,47,1.1659307536452532e-4,9.393172854106178e-7,5,8.209156440753983e-5,15,1,Riverside
060650438092,0.02311010103030289,118,4,114,8.931351356159871e-5,9.479373830482253e-7,5,7.227547059151768e-5,13,1,Riverside
060650432702,0.10905511688302882,199,107,92,0.0017765016939378408,9.48026351340462e-7,5,4.5195145989442747e-4,4,1,Riverside
060650449161,3.187883137120454e-4,48,0,48,0,9.31261710616011e-7,5,7.123637417972176e-5,3,1,Riverside
060650438072,0.02374706001912798,125,63,62,0.0031346645285758247,9.443851580428562e-7,5,8.025424440092749e-4,13,1,Riverside
060710094001,0.0014191847874840055,55,35,20,4.656008053635553e-5,9.304853039151099e-7,5,5.668299576064713e-4,18,1,Riverside
