GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
360979503001,1.7381045497549178e-05,6,0,6,0,2.8452497133410914e-6,5,1.5789486202308334e-4,11,1,"Rochester, NY"
360550118003,0.028561694362998165,63,18,45,2.6159755233776577e-4,2.9323449375996995e-6,4,3.169019929499373e-4,3,1,"Rochester, NY"
360550107004,0.014333736288389472,24,0,24,0,2.9115217650809552e-6,4,1.5789486202308334e-4,4,1,"Rochester, NY"
360550151022,0.01797176495163139,52,8,44,0.002347532257004534,2.9515067441929104e-6,4,1.9622372842177758e-4,14,1,"Rochester, NY"
360690514003,0.002746788455130632,18,0,18,0,2.9175358492217477e-6,4,1.6307673973426563e-4,6,1,"Rochester, NY"
360550096012,0.012134877427215997,64,38,26,0.0017305326148071888,2.9176975864805565e-6,4,6.947083957497286e-4,15,1,"Rochester, NY"
360550139012,0.00987058651029446,56,35,21,5.686141353954448e-4,2.9240963080360013e-6,4,7.196933392745093e-4,2,1,"Rochester, NY"
361170208001,0.0134566848056506,19,2,17,0.0011559216339167707,2.9265266226126857e-6,4,1.7307557008958537e-4,5,1,"Rochester, NY"
360550093011,0.00257040653384337,35,19,16,6.061495114376887e-4,2.8898560273727164e-6,4,5.13680967962557e-4,4,1,"Rochester, NY"
360690510001,0.012099289071782593,85,76,9,0.0020473066222699288,2.9048740882326456e-6,4,0.002671867169652512,6,1,"Rochester, NY"
360550066001,0.0056573894338695675,17,0,17,0,2.9326717225927164e-6,4,1.5789486202308334e-4,1,1,"Rochester, NY"
360550146013,0.10676988201501565,91,4,87,0.00041329857536127115,2.9555281676612017e-6,4,1.6663478121880498e-4,2,1,"Rochester, NY"
360690520002,0.016334026472520077,36,13,23,7.789509810364595e-4,2.9290124541609552e-6,4,4.0770917171345885e-4,6,1,"Rochester, NY"
361219711001,0.0010770643592123558,13,1,12,0.0012456461258735132,2.882376000184472e-6,4,1.765588756940645e-4,12,1,"Rochester, NY"
360690506011,0.012955810598291203,35,5,30,0.006578402593704133,2.92926985019714e-6,4,2.5526800761344786e-4,6,1,"Rochester, NY"
360550071001,0.007415975929461755,16,0,16,0,2.923882565180652e-6,4,1.5789486202308334e-4,1,1,"Rochester, NY"
360550134011,0.021820940246398354,61,11,50,0.0012516312358587106,2.929553038092978e-6,4,1.9654249135528387e-4,2,1,"Rochester, NY"
360550142021,0.05770865622522757,109,30,79,0.0066155720352142995,2.9518639544940654e-6,4,3.8405214554741013e-4,2,1,"Rochester, NY"
360550117081,0.042019089434843546,59,8,51,0.001163588833636371,2.9429855411120366e-6,4,1.9797757237137028e-4,3,1,"Rochester, NY"
360550086002,0.01590199476726046,38,0,38,0,2.939196835072848e-6,4,1.5789486202308334e-4,2,1,"Rochester, NY"
360979504004,7.391066262117987e-5,28,25,3,1.1500799579399329e-5,2.738930611931877e-6,5,0.007280586620034293,11,1,"Rochester, NY"
360550010003,0.044093478717140616,251,237,14,0.007134103321862088,2.9219005209748626e-6,4,0.005663200767743596,1,1,"Rochester, NY"
360510307001,0.05208576916070444,62,26,36,0.006897785796173492,2.94092562693182e-6,4,8.309951877026973e-4,10,1,"Rochester, NY"
360550119014,0.032610870498221964,93,44,49,0.0040189048630909375,2.9303857559809175e-6,4,6.411635326873948e-4,3,1,"Rochester, NY"
360550118004,0.005529520599531149,15,0,15,0,2.9240877577217848e-6,4,1.5789486202308334e-4,3,1,"Rochester, NY"
360730406003,0.0018799364598146332,17,0,17,0,2.930128163805885e-6,5,1.5789486202308334e-4,16,1,"Rochester, NY"
360550132033,0.08245919965766674,48,16,32,0.004075520874081632,2.941513879533241e-6,4,7.78190299808749e-4,1,1,"Rochester, NY"
360039505001,3.911623079123762e-5,24,19,5,0.006900479747639598,2.73224043715847e-6,4,0.003108591730676922,19,1,"Rochester, NY"
360550124022,0.06483520806038436,45,0,45,0,2.9558251924981156e-6,4,1.5789486202308334e-4,1,1,"Rochester, NY"
361219703002,4.516919908865932e-6,5,0,5,0,2.8606819293583203e-6,4,1.5789486202308334e-4,20,1,"Rochester, NY"
360550139022,0.007770491156740212,22,0,22,0,2.9313564265592617e-6,4,1.5789486202308334e-4,2,1,"Rochester, NY"
360550118005,0.015224941219410088,58,44,14,2.4828166057984884e-4,2.9117930530441337e-6,4,8.450477338454304e-4,3,1,"Rochester, NY"
360550021004,0.005769928586945003,26,4,22,5.2940188540092153e-5,2.9261583929538102e-6,4,1.802745202782779e-4,15,1,"Rochester, NY"
