GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
060610206025,0.12067429659393732,351,297,54,0.006522230198165129,2.188059322664356e-6,3,0.0036122134323168676,1,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670049061,0.0018616583484253855,71,10,61,2.99961863604805e-4,2.193150790082572e-6,4,1.3659306166671553e-4,2,1,"Sacramento--Roseville--Arden-Arcade, CA"
061130104013,0.0019574382471895403,52,16,36,0.0019672019921546644,2.186327581834241e-6,4,1.778446037035897e-4,2,1,"Sacramento--Roseville--Arden-Arcade, CA"
060170305042,1.1220836547479493e-5,12,0,12,0,2.009036646837475e-6,5,1.0619296835403513e-4,10,1,"Sacramento--Roseville--Arden-Arcade, CA"
060170309011,0.0064260325113670936,57,2,55,8.324165022978595e-5,2.1854531865000187e-6,4,1.088120202216738e-4,13,1,"Sacramento--Roseville--Arden-Arcade, CA"
060610214031,0.02202519157595252,29,1,28,6.938180808991882e-6,2.1829628481552874e-6,4,1.0716319115971537e-4,1,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670046011,1.4937599028898288e-4,23,2,21,1.8700049228044788e-5,2.167349743060688e-6,5,1.1296257613726678e-4,2,1,"Sacramento--Roseville--Arden-Arcade, CA"
060610201042,3.537173996833865e-5,15,7,8,0.002113807640589018,2.066406023986841e-6,4,1.6888955858415747e-4,16,1,"Sacramento--Roseville--Arden-Arcade, CA"
060170313013,0.0026643802773686793,43,10,33,1.1129998381091145e-4,2.17716459146595e-6,4,1.253442075234089e-4,13,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670074021,0.013216488124292481,140,79,61,0.0017472518274869327,2.1948644561455107e-6,4,5.739219019029739e-4,12,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670057022,0.0033948605015762575,75,31,44,0.004761934260972827,2.1867961249972664e-6,3,3.6871652809749363e-4,3,1,"Sacramento--Roseville--Arden-Arcade, CA"
061130113003,0.0011945341186432405,41,6,35,1.4888179652628413e-4,2.173237450097035e-6,4,1.9134359592278902e-4,21,1,"Sacramento--Roseville--Arden-Arcade, CA"
060610207142,0.04306381276100099,106,40,66,4.770831179901366e-4,2.1880114476758944e-6,4,3.396954987490792e-4,1,1,"Sacramento--Roseville--Arden-Arcade, CA"
060610209081,0.04860454946791429,123,67,56,0.0010055801617115307,2.1939447125932427e-6,4,3.122411369914608e-4,1,1,"Sacramento--Roseville--Arden-Arcade, CA"
060170304021,5.219504178256379e-6,4,0,4,0,2.0137985476484876e-6,5,1.0619296835403513e-4,10,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670065001,0.001762697606216867,54,25,29,7.582171030719466e-4,2.181267709167214e-6,4,1.519985825817721e-4,7,1,"Sacramento--Roseville--Arden-Arcade, CA"
060610219023,0.004612857812382909,18,2,16,1.9658178958810336e-5,2.156473734149918e-6,4,1.0750766657016621e-4,15,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670089092,0.001484924080836892,31,7,24,4.0328765933626627e-5,2.1793139519679206e-6,4,1.493144638277332e-4,8,1,"Sacramento--Roseville--Arden-Arcade, CA"
060170318002,0.03222822184216962,99,1,98,8.301037753615288e-6,2.1945513678638673e-6,3,1.0659311671189448e-4,5,1,"Sacramento--Roseville--Arden-Arcade, CA"
060170308102,0.004111534572477669,38,1,37,8.548829925364999e-6,2.177648183514768e-6,4,1.0642064278192999e-4,13,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670091092,9.88344148250727e-4,45,0,45,0,2.181624612216225e-6,5,1.0619296835403513e-4,8,1,"Sacramento--Roseville--Arden-Arcade, CA"
060170315044,0.0038196510211716745,74,41,33,0.0027859763911914246,2.1745039412883934e-6,4,3.6513114934182654e-4,13,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670071042,0.012915911801199864,97,10,87,5.320935700999336e-4,2.209925216130686e-6,4,2.1329009898075113e-4,7,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670040053,4.241221611861957e-4,48,23,25,2.0309105394742367e-4,2.1724725996893364e-6,4,1.6339688824324714e-4,2,1,"Sacramento--Roseville--Arden-Arcade, CA"
060050003011,7.60951373553241e-4,23,1,22,1.6271685944897627e-5,2.1745133982643033e-6,5,1.10849228006039e-4,17,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670066003,0.001314797665308152,55,3,52,0.001358586659530252,2.1906572848117346e-6,3,1.1251423498143843e-4,7,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670012002,0.0018367709485170736,53,31,22,6.80919586570239e-4,2.163387692054742e-6,4,0.0010843780375721936,4,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670096011,0.006955057806913723,391,366,25,0.004795475333977281,2.1730863258542944e-6,4,0.005853462546296024,2,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670093181,0.0026834282630916885,173,114,59,0.003098292380854601,2.18750410157019e-6,4,0.0011480945854536516,2,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670040043,0.0018750203394760894,81,23,58,3.698842912821365e-4,2.1889645540969756e-6,4,1.8974106641475718e-4,2,1,"Sacramento--Roseville--Arden-Arcade, CA"
061130105104,1.951657048426809e-4,23,0,23,0,2.1737381993187506e-6,4,1.0760404524469133e-4,9,1,"Sacramento--Roseville--Arden-Arcade, CA"
060610211281,0.05373642937316042,75,43,32,1.322274093383509e-4,2.1723498960530574e-6,4,7.01172422874991e-4,1,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670056063,9.110667551366333e-4,29,0,29,0,2.1808728725585128e-6,4,1.0833446356402161e-4,3,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670081451,0.008973685552147925,56,0,56,0,2.202119319633215e-6,4,1.0619296835403513e-4,6,1,"Sacramento--Roseville--Arden-Arcade, CA"
060610210401,0.008108114473009019,11,0,11,0,2.1479324002714986e-6,4,1.0619296835403513e-4,1,1,"Sacramento--Roseville--Arden-Arcade, CA"
060610212041,0.023947359431579596,45,1,44,3.0164567040998044e-5,2.1677678927561868e-6,3,1.1128379364427368e-4,1,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670065005,0.004440819851617779,55,0,55,0,2.2020902240406594e-6,4,1.0619296835403513e-4,7,1,"Sacramento--Roseville--Arden-Arcade, CA"
060610222001,1.5295100614786186e-4,30,25,5,0.0013789144673341486,2.0594989239118123e-6,4,0.001177619186576723,16,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670064004,9.945568912544094e-4,48,11,37,0.0016104473427475479,2.1839974141470618e-6,4,1.3554286477697263e-4,7,1,"Sacramento--Roseville--Arden-Arcade, CA"
060610211081,0.02982664891756257,72,47,25,2.73661996288395e-4,2.176150694083264e-6,4,6.262128251748521e-4,1,1,"Sacramento--Roseville--Arden-Arcade, CA"
060610223002,1.6290242406733878e-5,8,4,4,2.2136100676307432e-5,1.918837031252099e-6,4,2.1408102678100916e-4,16,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670086001,0.0024191421078273915,70,26,44,0.0034279567073250373,2.1879013431526346e-6,4,3.2861991258967434e-4,8,1,"Sacramento--Roseville--Arden-Arcade, CA"
060170316002,1.4323949881948033e-05,11,0,11,0,2.0474433574795156e-6,5,1.0619296835403513e-4,10,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670081353,0.0028892111857623565,14,0,14,0,2.16915504903375e-6,4,1.0619296835403513e-4,6,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670012001,0.0018700857877202348,52,41,11,2.417672820880242e-4,2.1430852283564463e-6,4,0.0013868111919956322,4,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670015005,0.0025374767357701925,124,84,40,0.0032717557684353495,2.1768328388294735e-6,4,0.0014699464344902367,4,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670074322,0.043024238806443266,106,0,106,0,2.2118951296281143e-6,4,1.0675805015267449e-4,12,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670047022,0.0013757407216225877,66,18,48,4.499758343634411e-4,2.18318207520189e-6,4,1.8462716835237878e-4,2,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670074064,0.0034345589203943747,43,12,31,3.0866644860955554e-5,2.1830915195626833e-6,4,1.4142794289197775e-4,12,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670074211,0.04306916581408683,133,13,120,2.8281641526380893e-4,2.209066006892286e-6,4,1.2965247618455436e-4,12,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670095031,1.4723143325323762e-4,18,10,8,2.197090589514096e-5,2.1598132193527903e-6,5,1.5828474343631893e-4,20,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670087052,0.03305800751855023,471,321,150,0.028961846306200398,2.214814896844996e-6,4,0.0024333851910558163,8,1,"Sacramento--Roseville--Arden-Arcade, CA"
060670089133,0.0043984936520602156,90,29,61,5.810150391183389e-4,2.1948644561455107e-6,4,2.9772393139306565e-4,8,1,"Sacramento--Roseville--Arden-Arcade, CA"
061130101023,6.547375243792788e-4,34,14,20,8.627297446419073e-5,2.170011739763512e-6,4,3.050415003060145e-4,14,1,"Sacramento--Roseville--Arden-Arcade, CA"
061130107041,8.019186783118886e-4,80,49,31,5.659006820656525e-4,2.1539700899713307e-6,3,0.001026141901891985,9,1,"Sacramento--Roseville--Arden-Arcade, CA"
061130105091,3.8561816645858753e-4,20,0,20,0,2.151856514207633e-6,4,1.0619296835403513e-4,9,1,"Sacramento--Roseville--Arden-Arcade, CA"
