GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
484930001032,0.005211360349518886,139,62,77,0.0013693850187711683,3.1977487848554616e-6,3,4.810886705851095e-4,13,1,"San Antonio-New Braunfels, TX"
480291201001,0.06545120966578138,599,468,131,0.007384550692806859,3.184642380583872e-6,3,0.004073959472814148,1,1,"San Antonio-New Braunfels, TX"
480291813012,0.007680097638258011,106,18,88,5.30269182316795e-4,3.183537291955838e-6,3,2.7990757966705364e-4,2,1,"San Antonio-New Braunfels, TX"
482599703011,0.015509510518762305,82,19,63,5.708489791258237e-4,3.1596974273743548e-6,3,1.4904489821891784e-4,12,1,"San Antonio-New Braunfels, TX"
480913106041,0.010869284303191184,66,7,59,2.1586574133815085e-5,3.1535594225201982e-6,3,1.203906336166687e-4,7,1,"San Antonio-New Braunfels, TX"
483250003001,0.002700908719522139,63,18,45,1.8845501873136718e-4,3.159368000025275e-6,3,2.713894956055361e-4,20,1,"San Antonio-New Braunfels, TX"
480291619022,0.007906742618161725,158,5,153,2.3820841263952496e-4,3.211654451674236e-6,3,1.120949112814273e-4,4,1,"San Antonio-New Braunfels, TX"
480291203003,0.004871730728310438,133,108,25,6.972100802814177e-4,3.1311252637973035e-6,3,0.0018374506113472595,1,1,"San Antonio-New Braunfels, TX"
480291807025,0.0014116480306432953,38,0,38,0,3.1719447827852212e-6,3,1.0644737489401406e-4,4,1,"San Antonio-New Braunfels, TX"
480291817223,0.005999873560595246,110,50,60,5.468294741493818e-4,3.1747341953794923e-6,3,2.5140541224395247e-4,2,1,"San Antonio-New Braunfels, TX"
480291719121,0.10016849970856331,609,431,178,0.011779455244133086,3.2220854625948094e-6,3,0.0043126763058042705,4,1,"San Antonio-New Braunfels, TX"
480291810053,0.0036868218529588445,90,22,68,4.129272115563571e-4,3.1740187521027877e-6,3,2.8432090174851463e-4,2,1,"San Antonio-New Braunfels, TX"
480291505011,7.594671036071299e-4,60,29,31,3.1144559372691034e-4,3.155022006278494e-6,3,2.3517025996404377e-4,3,1,"San Antonio-New Braunfels, TX"
480291914132,0.029905702055180942,249,128,121,0.0024130579926347874,3.1872713132832724e-6,3,5.811560829517471e-4,6,1,"San Antonio-New Braunfels, TX"
480291205022,0.0014286323286892718,57,14,43,2.2603164777911934e-4,3.1657691711066583e-6,3,1.377375899363569e-4,5,1,"San Antonio-New Braunfels, TX"
480291316131,0.005346827258909076,126,31,95,7.760647518152032e-4,3.1919409873950253e-6,3,1.866178838912876e-4,5,1,"San Antonio-New Braunfels, TX"
480913102001,0.0012383676712200752,42,24,18,2.7127086156096095e-5,3.056627073157312e-6,3,2.1232187876430253e-4,7,1,"San Antonio-New Braunfels, TX"
480291817131,0.006522787867857724,91,2,89,8.023031055767039e-6,3.1642865957655515e-6,3,1.0728026521045736e-4,4,1,"San Antonio-New Braunfels, TX"
480291701013,0.0010312235747240754,53,5,48,3.972830556400464e-5,3.1269543464665416e-6,3,1.2112584423673879e-4,8,1,"San Antonio-New Braunfels, TX"
480291218031,0.021528859446856886,440,316,124,0.0039332616371338764,3.1932048600577973e-6,3,0.0017305564041122095,5,1,"San Antonio-New Braunfels, TX"
480291719254,0.006540883057930531,120,47,73,2.10359202912654e-4,3.1621553250695673e-6,3,3.422611301053941e-4,4,1,"San Antonio-New Braunfels, TX"
483250004023,0.003923430254650587,78,0,78,0,3.1924504930739784e-6,3,1.0675990697100175e-4,21,1,"San Antonio-New Braunfels, TX"
