GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
120570066001,0.002613487950148954,110,85,25,7.365726916824348e-4,1.1901347351533667e-6,3,9.003560874456701e-4,1,1,Tampa
121010321051,0.016351803501797393,159,0,159,0,1.2156665378060136e-6,3,7.509460870613706e-5,8,1,Tampa
120570044002,4.813469859549821e-4,18,2,16,0,1.186473255706343e-6,3,9.898393217280581e-5,1,1,Tampa
121030275014,0.0010859534314605836,79,0,79,0,1.2014754118056974e-6,3,7.468609403477568e-5,13,1,Tampa
120570064002,0.002370092199401401,74,5,69,5.714417004739585e-4,1.192081242720854e-6,3,7.772476316447576e-5,1,1,Tampa
121030251161,1.9461072737046853e-4,51,4,47,2.1744981422400776e-5,1.195477270390658e-6,3,8.071754146806345e-5,6,1,Tampa
121010303021,5.771526782646692e-4,76,5,71,3.095258413998813e-4,1.1994391422570804e-6,3,9.249342865672948e-5,9,1,Tampa
121010310033,6.279490961090988e-4,89,6,83,2.6350697433646747e-5,1.201414786052055e-6,3,1.0183183212489154e-4,9,1,Tampa
120570139201,0.05134153356050023,113,22,91,3.286262668463129e-4,1.1978170981203854e-6,3,9.343713450925377e-5,4,1,Tampa
120570024004,0.0024637943950152146,55,18,37,8.25863844297024e-5,1.191206513517216e-6,3,1.4961595507893372e-4,1,1,Tampa
121030269113,1.2919269240250085e-4,40,0,40,0,1.1941995340233418e-6,4,7.54235967474251e-5,3,1,Tampa
120570114173,0.0018256031118655876,67,10,57,2.4153926803696394e-5,1.192856222653771e-6,3,8.774518577528657e-5,5,1,Tampa
120570108142,0.01347332715632148,153,94,59,0.0016617309629665628,1.2001560202826368e-6,3,3.7698814301545015e-4,7,1,Tampa
120570035003,9.844264820775771e-4,15,1,14,5.002986857825568e-4,1.1869478466985639e-6,3,8.414172753531851e-5,14,1,Tampa
120570028001,0.0018164108122793777,42,5,37,9.520941452585075e-5,1.192059927236662e-6,3,9.72608510311002e-5,1,1,Tampa
121030244131,8.275619768734866e-4,75,0,75,0,1.1968666032327365e-6,3,7.49893817802788e-5,2,1,Tampa
120570133221,0.045143824900461135,119,65,54,7.716746863252242e-4,1.1993211842097373e-6,3,2.5147020337631227e-4,4,1,Tampa
121030276041,7.824220934227773e-4,72,9,63,2.9774657270817027e-4,1.1967434218005962e-6,3,1.2569646310351982e-4,3,1,Tampa
120570065021,0.0024077372801156256,62,20,42,8.9522529974719e-4,1.1917630107747294e-6,3,1.1519320508624972e-4,1,1,Tampa
120530410031,3.778565422986957e-4,58,5,53,1.1410468975753153e-4,1.1964141076365916e-6,3,8.767730504602191e-5,10,1,Tampa
121030268163,0.0012635862425108663,217,198,19,7.570943681254742e-4,1.1898869131477745e-6,3,0.002017713001237104,3,1,Tampa
121010318062,0.0015721543667179152,147,19,128,1.0339738666351569e-4,1.208592123121697e-6,3,9.925944487489682e-5,10,1,Tampa
120570122061,0.024248256465691717,72,0,72,0,1.1998507385681221e-6,3,7.546598568010195e-5,4,1,Tampa
120570030002,6.816815237080682e-4,28,0,28,0,1.1978386199940827e-6,3,8.207998388770331e-5,1,1,Tampa
121030240041,8.278648595658745e-4,62,3,59,5.010536058923155e-4,1.192142351333888e-6,3,7.722939963815466e-5,2,1,Tampa
120570061012,0.01787190931793705,323,298,25,0.0014151894165261155,1.189204873837255e-6,3,0.0029378043765046513,1,1,Tampa
120570015003,0.002262004176208006,61,7,54,8.368594198087284e-5,1.1962852949022693e-6,3,1.0399490700234693e-4,1,1,Tampa
120570110083,0.0031061870507126327,67,19,48,2.263944648257245e-4,1.2008449144818295e-6,3,1.0544404172169239e-4,8,1,Tampa
121030265006,1.603910141058256e-4,65,16,49,8.469560691364426e-5,1.1898954081936198e-6,3,1.1773344798374859e-4,3,1,Tampa
120570101053,0.011317504657928861,84,1,83,5.079299434138143e-4,1.2001272134846294e-6,3,7.530912260609672e-5,12,1,Tampa
120570123011,0.020071606758472502,68,2,66,1.3641898722543883e-5,1.20014593774603e-6,3,7.608355071546433e-5,4,1,Tampa
120570116064,0.003626625210231301,163,102,61,0.0014028754901502876,1.2014335505124714e-6,3,7.63218690884801e-4,5,1,Tampa
120570045001,0.003562453374532872,146,128,18,0.0010033141311747672,1.1898132944978275e-6,3,0.00163856741968808,1,1,Tampa
121030258002,1.4206937148651612e-4,84,26,58,2.9691865425352366e-4,1.1953086526002743e-6,3,1.5200774493375762e-4,6,1,Tampa
121030278021,0.005406149258883945,266,227,39,0.00233865457815114,1.1889645070315362e-6,3,0.0013483290217975693,2,1,Tampa
121010312052,6.807514702815621e-4,135,79,56,7.526223041185229e-4,1.1997111095648167e-6,3,3.8395059189116036e-4,9,1,Tampa
121030252082,3.3820394828371325e-4,131,85,46,3.1903921258103076e-4,1.192866183078716e-6,3,6.107607247421634e-4,6,1,Tampa
120570124012,0.004824958390255247,46,2,44,0,1.1915201891180845e-6,3,7.942494272762734e-5,12,1,Tampa
121030269041,4.236372309090135e-4,79,0,79,0,1.2034606715069854e-6,3,7.518012656341038e-5,3,1,Tampa
121010317041,0.0015332619232219056,251,184,67,0.0011789020713161087,1.2001848284635834e-6,3,8.732096413275974e-4,9,1,Tampa
121030201014,1.9923513805806314e-4,50,17,33,3.565033872696638e-4,1.18925578751329e-6,3,1.3118871522895518e-4,2,1,Tampa
121030257003,4.654804081773548e-4,67,2,65,5.0779806684184576e-5,1.1940868817615168e-6,3,7.807038029613093e-5,6,1,Tampa
120570116141,0.002216627867253194,97,33,64,5.193138488069362e-4,1.198770540933219e-6,3,1.6159562660904249e-4,5,1,Tampa
121030281021,3.684322283186056e-4,35,0,35,0,1.196658928272264e-6,3,7.468609403477568e-5,2,1,Tampa
121010310123,8.554191271373347e-4,87,0,87,0,1.2050080133032885e-6,3,7.468609403477568e-5,9,1,Tampa
121030245052,0.0013015546818804778,138,11,127,8.437222428999356e-4,1.1990278282368656e-6,3,1.1679701549431915e-4,2,1,Tampa
120570101082,0.00297048789850493,33,0,33,0,1.198066799412468e-6,3,7.468609403477568e-5,12,1,Tampa
121030254082,2.2158870283168567e-4,42,2,40,7.984393785085029e-6,1.1928192282459594e-6,3,7.91711785787347e-5,6,1,Tampa
121030277031,2.23231726784876e-4,61,29,32,5.883593244384335e-4,1.1908972577208848e-6,3,1.5836504821551743e-4,6,1,Tampa
121030212001,9.342371593952188e-5,38,8,30,5.212195851596773e-4,1.1838802860254771e-6,4,1.3477526641528532e-4,2,1,Tampa
121010318092,9.978416085045657e-4,104,0,104,0,1.2080343951552989e-6,3,7.512622520129812e-5,10,1,Tampa
