month,name,value,city
1,January,1,"Allentown-Bethlehem-Easton, PA-NJ"
1,February,0.9607532901037923,"Allentown-Bethlehem-Easton, PA-NJ"
1,March,0.9447600046207371,"Allentown-Bethlehem-Easton, PA-NJ"
1,April,0.859632906543162,"Allentown-Bethlehem-Easton, PA-NJ"
1,May,0.89473723960733,"Allentown-Bethlehem-Easton, PA-NJ"
1,June,0.9248041548753488,"Allentown-Bethlehem-Easton, PA-NJ"
1,July,0.931175250444915,"Allentown-Bethlehem-Easton, PA-NJ"
1,August,0.9335501127354151,"Allentown-Bethlehem-Easton, PA-NJ"
1,September,0.934534399142145,"Allentown-Bethlehem-Easton, PA-NJ"
1,October,0.934534399142145,"Allentown-Bethlehem-Easton, PA-NJ"
1,November,0.9355771743073508,"Allentown-Bethlehem-Easton, PA-NJ"
1,December,0.928299543655296,"Allentown-Bethlehem-Easton, PA-NJ"
2,February,1,"Allentown-Bethlehem-Easton, PA-NJ"
2,March,0.9438778990831383,"Allentown-Bethlehem-Easton, PA-NJ"
2,April,0.853942869672689,"Allentown-Bethlehem-Easton, PA-NJ"
2,May,0.8881262394188395,"Allentown-Bethlehem-Easton, PA-NJ"
2,June,0.9186248155344516,"Allentown-Bethlehem-Easton, PA-NJ"
2,July,0.9235384324450591,"Allentown-Bethlehem-Easton, PA-NJ"
2,August,0.9268688409688044,"Allentown-Bethlehem-Easton, PA-NJ"
2,September,0.9320136689822618,"Allentown-Bethlehem-Easton, PA-NJ"
2,October,0.9320136689822618,"Allentown-Bethlehem-Easton, PA-NJ"
2,November,0.9318220845844744,"Allentown-Bethlehem-Easton, PA-NJ"
2,December,0.9225304737133304,"Allentown-Bethlehem-Easton, PA-NJ"
3,March,1,"Allentown-Bethlehem-Easton, PA-NJ"
3,April,0.9048452446433688,"Allentown-Bethlehem-Easton, PA-NJ"
3,May,0.9311710205002692,"Allentown-Bethlehem-Easton, PA-NJ"
3,June,0.9466527361908407,"Allentown-Bethlehem-Easton, PA-NJ"
3,July,0.9456513825913233,"Allentown-Bethlehem-Easton, PA-NJ"
3,August,0.9452687645878302,"Allentown-Bethlehem-Easton, PA-NJ"
3,September,0.9445199895919587,"Allentown-Bethlehem-Easton, PA-NJ"
3,October,0.9445199895919587,"Allentown-Bethlehem-Easton, PA-NJ"
3,November,0.9465807657322707,"Allentown-Bethlehem-Easton, PA-NJ"
3,December,0.9405161828738092,"Allentown-Bethlehem-Easton, PA-NJ"
4,April,1,"Allentown-Bethlehem-Easton, PA-NJ"
4,May,0.9389096186563526,"Allentown-Bethlehem-Easton, PA-NJ"
4,June,0.9135279809345513,"Allentown-Bethlehem-Easton, PA-NJ"
4,July,0.9015836355281948,"Allentown-Bethlehem-Easton, PA-NJ"
4,August,0.8934467138567328,"Allentown-Bethlehem-Easton, PA-NJ"
4,September,0.8873515774862002,"Allentown-Bethlehem-Easton, PA-NJ"
4,October,0.8873515774862002,"Allentown-Bethlehem-Easton, PA-NJ"
4,November,0.8861458021911465,"Allentown-Bethlehem-Easton, PA-NJ"
4,December,0.8857882115022838,"Allentown-Bethlehem-Easton, PA-NJ"
5,May,1,"Allentown-Bethlehem-Easton, PA-NJ"
5,June,0.9468334513486638,"Allentown-Bethlehem-Easton, PA-NJ"
5,July,0.9340987535470602,"Allentown-Bethlehem-Easton, PA-NJ"
5,August,0.9252458803720794,"Allentown-Bethlehem-Easton, PA-NJ"
5,September,0.9191076600753537,"Allentown-Bethlehem-Easton, PA-NJ"
5,October,0.9191076600753537,"Allentown-Bethlehem-Easton, PA-NJ"
5,November,0.9184451003399595,"Allentown-Bethlehem-Easton, PA-NJ"
5,December,0.9139029066817859,"Allentown-Bethlehem-Easton, PA-NJ"
6,June,1,"Allentown-Bethlehem-Easton, PA-NJ"
6,July,0.9600315194126439,"Allentown-Bethlehem-Easton, PA-NJ"
6,August,0.9547723551848801,"Allentown-Bethlehem-Easton, PA-NJ"
6,September,0.9446781327974902,"Allentown-Bethlehem-Easton, PA-NJ"
6,October,0.9446781327974902,"Allentown-Bethlehem-Easton, PA-NJ"
