month,name,value,city
1,January,0.9999999999999999,"Baton Rouge, LA"
1,February,0.9750361994354522,"Baton Rouge, LA"
1,March,0.9704627358392305,"Baton Rouge, LA"
1,April,0.8993355913986706,"Baton Rouge, LA"
1,May,0.9404785686440111,"Baton Rouge, LA"
1,June,0.9536901078261519,"Baton Rouge, LA"
1,July,0.952606412558297,"Baton Rouge, LA"
1,August,0.958004636458579,"Baton Rouge, LA"
1,September,0.9575865247421943,"Baton Rouge, LA"
1,October,0.9575865247421943,"Baton Rouge, LA"
1,November,0.9598978414302357,"Baton Rouge, LA"
1,December,0.9633102223884656,"Baton Rouge, LA"
2,February,1,"Baton Rouge, LA"
2,March,0.9720155718456357,"Baton Rouge, LA"
2,April,0.8712436474458163,"Baton Rouge, LA"
2,May,0.90815766477241,"Baton Rouge, LA"
2,June,0.9202279285611096,"Baton Rouge, LA"
2,July,0.9197833237175647,"Baton Rouge, LA"
2,August,0.9275735436185656,"Baton Rouge, LA"
2,September,0.9625383753886226,"Baton Rouge, LA"
2,October,0.9625383753886226,"Baton Rouge, LA"
2,November,0.9660759959928527,"Baton Rouge, LA"
2,December,0.9632033404787126,"Baton Rouge, LA"
3,March,1,"Baton Rouge, LA"
3,April,0.9293842706037219,"Baton Rouge, LA"
3,May,0.9474096082002658,"Baton Rouge, LA"
3,June,0.9450664069738163,"Baton Rouge, LA"
3,July,0.9455360063792674,"Baton Rouge, LA"
3,August,0.9502641717705524,"Baton Rouge, LA"
3,September,0.962713460054851,"Baton Rouge, LA"
3,October,0.962713460054851,"Baton Rouge, LA"
3,November,0.9655106184985254,"Baton Rouge, LA"
3,December,0.9636961090019385,"Baton Rouge, LA"
4,April,1,"Baton Rouge, LA"
4,May,0.9696579641168966,"Baton Rouge, LA"
4,June,0.941416321004891,"Baton Rouge, LA"
4,July,0.9447311839358621,"Baton Rouge, LA"
4,August,0.9376904642770476,"Baton Rouge, LA"
4,September,0.888511488098578,"Baton Rouge, LA"
4,October,0.888511488098578,"Baton Rouge, LA"
4,November,0.8900202455627247,"Baton Rouge, LA"
4,December,0.8938431813446901,"Baton Rouge, LA"
5,May,1,"Baton Rouge, LA"
5,June,0.9768254922103033,"Baton Rouge, LA"
5,July,0.9773052588753189,"Baton Rouge, LA"
5,August,0.9724457630480406,"Baton Rouge, LA"
5,September,0.9203792424326781,"Baton Rouge, LA"
5,October,0.9203792424326781,"Baton Rouge, LA"
5,November,0.9199865130137674,"Baton Rouge, LA"
5,December,0.930732644198532,"Baton Rouge, LA"
6,June,1,"Baton Rouge, LA"
6,July,0.984571281026179,"Baton Rouge, LA"
6,August,0.9816412397035822,"Baton Rouge, LA"
6,September,0.9309692591065593,"Baton Rouge, LA"
6,October,0.9309692591065593,"Baton Rouge, LA"
6,November,0.9285494743247974,"Baton Rouge, LA"
6,December,0.9439605646927036,"Baton Rouge, LA"
7,July,1,"Baton Rouge, LA"
7,August,0.9842584782109022,"Baton Rouge, LA"
7,September,0.9356740929442443,"Baton Rouge, LA"
7,October,0.9356740929442443,"Baton Rouge, LA"
7,November,0.9325760137286853,"Baton Rouge, LA"
7,December,0.9474698221774035,"Baton Rouge, LA"
8,August,1,"Baton Rouge, LA"
8,September,0.9450016867579571,"Baton Rouge, LA"
8,October,0.9450016867579571,"Baton Rouge, LA"
8,November,0.941598833768877,"Baton Rouge, LA"
8,December,0.9558630896073075,"Baton Rouge, LA"
9,September,0.9999999999999998,"Baton Rouge, LA"
9,October,0.9999999999999998,"Baton Rouge, LA"
9,November,0.9865433211638417,"Baton Rouge, LA"
9,December,0.984025581371512,"Baton Rouge, LA"
10,October,0.9999999999999998,"Baton Rouge, LA"
10,November,0.9865433211638417,"Baton Rouge, LA"
10,December,0.984025581371512,"Baton Rouge, LA"
11,November,1,"Baton Rouge, LA"
11,December,0.9839345709402622,"Baton Rouge, LA"
12,December,1,"Baton Rouge, LA"
