month,name,value,city
1,January,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
1,February,0.9011547146425692,"Buffalo-Cheektowaga-Niagara Falls, NY"
1,March,0.8719300157297116,"Buffalo-Cheektowaga-Niagara Falls, NY"
1,April,0.7724822301514768,"Buffalo-Cheektowaga-Niagara Falls, NY"
1,May,0.8142368599165603,"Buffalo-Cheektowaga-Niagara Falls, NY"
1,June,0.858787233952707,"Buffalo-Cheektowaga-Niagara Falls, NY"
1,July,0.8726652718064871,"Buffalo-Cheektowaga-Niagara Falls, NY"
1,August,0.8731190328593975,"Buffalo-Cheektowaga-Niagara Falls, NY"
1,September,0.8591176736652717,"Buffalo-Cheektowaga-Niagara Falls, NY"
1,October,0.8591176736652717,"Buffalo-Cheektowaga-Niagara Falls, NY"
1,November,0.8596206044083431,"Buffalo-Cheektowaga-Niagara Falls, NY"
1,December,0.8500045957507819,"Buffalo-Cheektowaga-Niagara Falls, NY"
2,February,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
2,March,0.903014551836157,"Buffalo-Cheektowaga-Niagara Falls, NY"
2,April,0.7520342460999725,"Buffalo-Cheektowaga-Niagara Falls, NY"
2,May,0.7866524464016161,"Buffalo-Cheektowaga-Niagara Falls, NY"
2,June,0.8227900871582288,"Buffalo-Cheektowaga-Niagara Falls, NY"
2,July,0.8338616412186652,"Buffalo-Cheektowaga-Niagara Falls, NY"
2,August,0.8347182851216393,"Buffalo-Cheektowaga-Niagara Falls, NY"
2,September,0.8683160578437041,"Buffalo-Cheektowaga-Niagara Falls, NY"
2,October,0.8683160578437041,"Buffalo-Cheektowaga-Niagara Falls, NY"
2,November,0.8749261144532064,"Buffalo-Cheektowaga-Niagara Falls, NY"
2,December,0.8547958605100252,"Buffalo-Cheektowaga-Niagara Falls, NY"
3,March,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
3,April,0.8333290661353193,"Buffalo-Cheektowaga-Niagara Falls, NY"
3,May,0.8562425196236112,"Buffalo-Cheektowaga-Niagara Falls, NY"
3,June,0.8743202346200558,"Buffalo-Cheektowaga-Niagara Falls, NY"
3,July,0.8738706558227979,"Buffalo-Cheektowaga-Niagara Falls, NY"
3,August,0.8727216950034075,"Buffalo-Cheektowaga-Niagara Falls, NY"
3,September,0.8948456503357142,"Buffalo-Cheektowaga-Niagara Falls, NY"
3,October,0.8948456503357142,"Buffalo-Cheektowaga-Niagara Falls, NY"
