month,name,value,city
1,January,1,"Columbus, OH"
1,February,0.9818650224904166,"Columbus, OH"
1,March,0.9552308101636449,"Columbus, OH"
1,April,0.8803851220710812,"Columbus, OH"
1,May,0.9229325499378278,"Columbus, OH"
1,June,0.9396739259702546,"Columbus, OH"
1,July,0.9399561218149609,"Columbus, OH"
1,August,0.9446067516528814,"Columbus, OH"
1,September,0.9624330901928544,"Columbus, OH"
1,October,0.9624330901928544,"Columbus, OH"
1,November,0.9630995270021735,"Columbus, OH"
1,December,0.9548941346296284,"Columbus, OH"
2,February,1,"Columbus, OH"
2,March,0.9546421694189066,"Columbus, OH"
2,April,0.8764590147897059,"Columbus, OH"
2,May,0.9174812984416182,"Columbus, OH"
2,June,0.9328225591347927,"Columbus, OH"
2,July,0.9338544936059128,"Columbus, OH"
2,August,0.9382007324505811,"Columbus, OH"
2,September,0.9602920375879924,"Columbus, OH"
2,October,0.9602920375879924,"Columbus, OH"
2,November,0.9604744066129154,"Columbus, OH"
2,December,0.9511023445051997,"Columbus, OH"
3,March,1,"Columbus, OH"
3,April,0.9425852334102769,"Columbus, OH"
3,May,0.9666671769715621,"Columbus, OH"
3,June,0.9642711611679173,"Columbus, OH"
3,July,0.9682269784934168,"Columbus, OH"
3,August,0.966718463458995,"Columbus, OH"
3,September,0.9662723592424987,"Columbus, OH"
3,October,0.9662723592424987,"Columbus, OH"
3,November,0.9664373511519849,"Columbus, OH"
3,December,0.9636863198500332,"Columbus, OH"
4,April,1,"Columbus, OH"
4,May,0.963861909372004,"Columbus, OH"
4,June,0.9302305177808491,"Columbus, OH"
4,July,0.936235943962961,"Columbus, OH"
4,August,0.9234766588390049,"Columbus, OH"
4,September,0.9159991852463063,"Columbus, OH"
4,October,0.9159991852463063,"Columbus, OH"
4,November,0.9175493137950398,"Columbus, OH"
4,December,0.9203623282610081,"Columbus, OH"
5,May,1,"Columbus, OH"
5,June,0.9709202163859093,"Columbus, OH"
5,July,0.9729092730623512,"Columbus, OH"
5,August,0.965720917421789,"Columbus, OH"
5,September,0.9522346620322076,"Columbus, OH"
5,October,0.9522346620322076,"Columbus, OH"
5,November,0.9550881813275586,"Columbus, OH"
5,December,0.9568113991332974,"Columbus, OH"
6,June,0.9999999999999999,"Columbus, OH"
6,July,0.9802191585946624,"Columbus, OH"
6,August,0.9772335692021489,"Columbus, OH"
6,September,0.9604914497552844,"Columbus, OH"
6,October,0.9604914497552844,"Columbus, OH"
6,November,0.9628941937360037,"Columbus, OH"
6,December,0.9649355542276098,"Columbus, OH"
7,July,1,"Columbus, OH"
7,August,0.9818133497761501,"Columbus, OH"
7,September,0.9643871079869232,"Columbus, OH"
7,October,0.9643871079869232,"Columbus, OH"
7,November,0.9668088516767782,"Columbus, OH"
7,December,0.9683520327780225,"Columbus, OH"
8,August,0.9999999999999999,"Columbus, OH"
8,September,0.967932113169905,"Columbus, OH"
8,October,0.967932113169905,"Columbus, OH"
8,November,0.9700567315827587,"Columbus, OH"
8,December,0.972033082413944,"Columbus, OH"
9,September,1,"Columbus, OH"
9,October,1,"Columbus, OH"
9,November,0.9833582562164316,"Columbus, OH"
9,December,0.9766735395653248,"Columbus, OH"
10,October,1,"Columbus, OH"
10,November,0.9833582562164316,"Columbus, OH"
10,December,0.9766735395653248,"Columbus, OH"
11,November,1,"Columbus, OH"
11,December,0.980945944895601,"Columbus, OH"
12,December,1,"Columbus, OH"
