month,name,value,city
1,January,1,"Fayetteville-Springdale-Rogers, AR-MO"
1,February,0.9775501262729929,"Fayetteville-Springdale-Rogers, AR-MO"
1,March,0.970478691692053,"Fayetteville-Springdale-Rogers, AR-MO"
1,April,0.8778353228265369,"Fayetteville-Springdale-Rogers, AR-MO"
1,May,0.9284712812136741,"Fayetteville-Springdale-Rogers, AR-MO"
1,June,0.9387616135438872,"Fayetteville-Springdale-Rogers, AR-MO"
1,July,0.93970229768526925,"Fayetteville-Springdale-Rogers, AR-MO"
1,August,0.9533159933249252,"Fayetteville-Springdale-Rogers, AR-MO"
1,September,0.9582434388557238,"Fayetteville-Springdale-Rogers, AR-MO"
1,October,0.9582434388557238,"Fayetteville-Springdale-Rogers, AR-MO"
1,November,0.95147266308633,"Fayetteville-Springdale-Rogers, AR-MO"
1,December,0.9635979871951099,"Fayetteville-Springdale-Rogers, AR-MO"
2,February,1,"Fayetteville-Springdale-Rogers, AR-MO"
2,March,0.9751506314835537,"Fayetteville-Springdale-Rogers, AR-MO"
2,April,0.836481924635668,"Fayetteville-Springdale-Rogers, AR-MO"
2,May,0.8848036652718988,"Fayetteville-Springdale-Rogers, AR-MO"
2,June,0.8952393058695749,"Fayetteville-Springdale-Rogers, AR-MO"
2,July,0.8959512910775896,"Fayetteville-Springdale-Rogers, AR-MO"
2,August,0.9163823962154624,"Fayetteville-Springdale-Rogers, AR-MO"
2,September,0.9738213282976174,"Fayetteville-Springdale-Rogers, AR-MO"
2,October,0.9738213282976174,"Fayetteville-Springdale-Rogers, AR-MO"
2,November,0.9738074162486503,"Fayetteville-Springdale-Rogers, AR-MO"
2,December,0.9722132476841708,"Fayetteville-Springdale-Rogers, AR-MO"
3,March,1,"Fayetteville-Springdale-Rogers, AR-MO"
3,April,0.8938887935705188,"Fayetteville-Springdale-Rogers, AR-MO"
3,May,0.919255012024171,"Fayetteville-Springdale-Rogers, AR-MO"
3,June,0.920582181945303,"Fayetteville-Springdale-Rogers, AR-MO"
