month,name,value,city
1,January,1,"Milwaukee-Waukesha-West Allis, WI"
1,February,0.9416382278106964,"Milwaukee-Waukesha-West Allis, WI"
1,March,0.9210873159422902,"Milwaukee-Waukesha-West Allis, WI"
1,April,0.8293536464837046,"Milwaukee-Waukesha-West Allis, WI"
1,May,0.8777986061417853,"Milwaukee-Waukesha-West Allis, WI"
1,June,0.904529582331124,"Milwaukee-Waukesha-West Allis, WI"
1,July,0.8867931732360587,"Milwaukee-Waukesha-West Allis, WI"
1,August,0.8849368272498722,"Milwaukee-Waukesha-West Allis, WI"
1,September,0.8750745332723402,"Milwaukee-Waukesha-West Allis, WI"
1,October,0.8750745332723402,"Milwaukee-Waukesha-West Allis, WI"
1,November,0.8843936638370734,"Milwaukee-Waukesha-West Allis, WI"
1,December,0.8935196081274553,"Milwaukee-Waukesha-West Allis, WI"
2,February,1,"Milwaukee-Waukesha-West Allis, WI"
2,March,0.9234289326790526,"Milwaukee-Waukesha-West Allis, WI"
2,April,0.8155914239033422,"Milwaukee-Waukesha-West Allis, WI"
2,May,0.8592292043912753,"Milwaukee-Waukesha-West Allis, WI"
2,June,0.8759569770639685,"Milwaukee-Waukesha-West Allis, WI"
2,July,0.8694242884141935,"Milwaukee-Waukesha-West Allis, WI"
2,August,0.8663981140370371,"Milwaukee-Waukesha-West Allis, WI"
2,September,0.8780877145886667,"Milwaukee-Waukesha-West Allis, WI"
2,October,0.8780877145886667,"Milwaukee-Waukesha-West Allis, WI"
2,November,0.8846477460447381,"Milwaukee-Waukesha-West Allis, WI"
2,December,0.8923244203793885,"Milwaukee-Waukesha-West Allis, WI"
3,March,1,"Milwaukee-Waukesha-West Allis, WI"
3,April,0.8797373589686526,"Milwaukee-Waukesha-West Allis, WI"
3,May,0.9102959573616457,"Milwaukee-Waukesha-West Allis, WI"
3,June,0.9059559287090215,"Milwaukee-Waukesha-West Allis, WI"
3,July,0.8975807085213241,"Milwaukee-Waukesha-West Allis, WI"
3,August,0.8920732570438459,"Milwaukee-Waukesha-West Allis, WI"
3,September,0.8795513835201672,"Milwaukee-Waukesha-West Allis, WI"
3,October,0.8795513835201672,"Milwaukee-Waukesha-West Allis, WI"
3,November,0.8872119173660323,"Milwaukee-Waukesha-West Allis, WI"
3,December,0.9053010055674242,"Milwaukee-Waukesha-West Allis, WI"
4,April,1,"Milwaukee-Waukesha-West Allis, WI"
4,May,0.9188786551421642,"Milwaukee-Waukesha-West Allis, WI"
4,June,0.8698946929826971,"Milwaukee-Waukesha-West Allis, WI"
4,July,0.8503404316180758,"Milwaukee-Waukesha-West Allis, WI"
4,August,0.8375124418551907,"Milwaukee-Waukesha-West Allis, WI"
4,September,0.8099814526777415,"Milwaukee-Waukesha-West Allis, WI"
4,October,0.8099814526777415,"Milwaukee-Waukesha-West Allis, WI"
4,November,0.820434560006308,"Milwaukee-Waukesha-West Allis, WI"
4,December,0.8467179820227932,"Milwaukee-Waukesha-West Allis, WI"
5,May,1,"Milwaukee-Waukesha-West Allis, WI"
5,June,0.9280886616118329,"Milwaukee-Waukesha-West Allis, WI"
5,July,0.9009393362709579,"Milwaukee-Waukesha-West Allis, WI"
5,August,0.8876425984784618,"Milwaukee-Waukesha-West Allis, WI"
5,September,0.8547966282981345,"Milwaukee-Waukesha-West Allis, WI"
5,October,0.8547966282981345,"Milwaukee-Waukesha-West Allis, WI"
5,November,0.8634737932540403,"Milwaukee-Waukesha-West Allis, WI"
5,December,0.8875759163177392,"Milwaukee-Waukesha-West Allis, WI"
6,June,1,"Milwaukee-Waukesha-West Allis, WI"
6,July,0.9134298794652763,"Milwaukee-Waukesha-West Allis, WI"
6,August,0.901318375638757,"Milwaukee-Waukesha-West Allis, WI"
6,September,0.8642356184193106,"Milwaukee-Waukesha-West Allis, WI"
6,October,0.8642356184193106,"Milwaukee-Waukesha-West Allis, WI"
6,November,0.8726399160498882,"Milwaukee-Waukesha-West Allis, WI"
6,December,0.8970880165160203,"Milwaukee-Waukesha-West Allis, WI"
7,July,1,"Milwaukee-Waukesha-West Allis, WI"
7,August,0.9329238529220232,"Milwaukee-Waukesha-West Allis, WI"
7,September,0.8993774574131915,"Milwaukee-Waukesha-West Allis, WI"
7,October,0.8993774574131915,"Milwaukee-Waukesha-West Allis, WI"
7,November,0.9037239805184591,"Milwaukee-Waukesha-West Allis, WI"
7,December,0.8922911858554317,"Milwaukee-Waukesha-West Allis, WI"
8,August,1,"Milwaukee-Waukesha-West Allis, WI"
8,September,0.9110909820839891,"Milwaukee-Waukesha-West Allis, WI"
8,October,0.9110909820839891,"Milwaukee-Waukesha-West Allis, WI"
8,November,0.9111462230543849,"Milwaukee-Waukesha-West Allis, WI"
8,December,0.8883020067586026,"Milwaukee-Waukesha-West Allis, WI"
9,September,1,"Milwaukee-Waukesha-West Allis, WI"
9,October,1,"Milwaukee-Waukesha-West Allis, WI"
9,November,0.9333001954470886,"Milwaukee-Waukesha-West Allis, WI"
9,December,0.8889622839686233,"Milwaukee-Waukesha-West Allis, WI"
10,October,1,"Milwaukee-Waukesha-West Allis, WI"
10,November,0.9333001954470886,"Milwaukee-Waukesha-West Allis, WI"
10,December,0.8889622839686233,"Milwaukee-Waukesha-West Allis, WI"
11,November,1,"Milwaukee-Waukesha-West Allis, WI"
11,December,0.9049006379099843,"Milwaukee-Waukesha-West Allis, WI"
12,December,1,"Milwaukee-Waukesha-West Allis, WI"
