month,name,value,city
1,January,0.9999999999999999,"Tulsa, OK"
1,February,0.9864580393419149,"Tulsa, OK"
1,March,0.9776227435820884,"Tulsa, OK"
1,April,0.9387545693725163,"Tulsa, OK"
1,May,0.968195216579846,"Tulsa, OK"
1,June,0.9734054151943782,"Tulsa, OK"
1,July,0.9705419285843128,"Tulsa, OK"
1,August,0.9731433592970371,"Tulsa, OK"
1,September,0.9725637586679227,"Tulsa, OK"
1,October,0.9725637586679227,"Tulsa, OK"
1,November,0.9732992849233723,"Tulsa, OK"
1,December,0.9716803165418118,"Tulsa, OK"
2,February,1,"Tulsa, OK"
2,March,0.9800270254645895,"Tulsa, OK"
2,April,0.9412343282797138,"Tulsa, OK"
2,May,0.969628545580583,"Tulsa, OK"
2,June,0.9746422158712373,"Tulsa, OK"
2,July,0.9723282936621076,"Tulsa, OK"
2,August,0.9745753533324546,"Tulsa, OK"
2,September,0.9749844642793145,"Tulsa, OK"
2,October,0.9749844642793145,"Tulsa, OK"
2,November,0.9754959579580321,"Tulsa, OK"
2,December,0.9742059080649287,"Tulsa, OK"
3,March,1,"Tulsa, OK"
3,April,0.9659172548294508,"Tulsa, OK"
3,May,0.979198462525714,"Tulsa, OK"
3,June,0.9783374941392796,"Tulsa, OK"
3,July,0.9765696684514322,"Tulsa, OK"
3,August,0.9784166958438675,"Tulsa, OK"
3,September,0.9802341867232212,"Tulsa, OK"
3,October,0.9802341867232212,"Tulsa, OK"
3,November,0.9780402568127672,"Tulsa, OK"
3,December,0.9771701975106706,"Tulsa, OK"
4,April,0.9999999999999998,"Tulsa, OK"
4,May,0.9706550937358535,"Tulsa, OK"
4,June,0.960283485656332,"Tulsa, OK"
4,July,0.9608259823887095,"Tulsa, OK"
4,August,0.9572839920119537,"Tulsa, OK"
4,September,0.9571634305555563,"Tulsa, OK"
4,October,0.9571634305555563,"Tulsa, OK"
4,November,0.9531975984933331,"Tulsa, OK"
4,December,0.9537830266845605,"Tulsa, OK"
5,May,1,"Tulsa, OK"
5,June,0.9855786880687314,"Tulsa, OK"
5,July,0.9833933724750876,"Tulsa, OK"
5,August,0.9806605648082453,"Tulsa, OK"
5,September,0.9766372048803968,"Tulsa, OK"
5,October,0.9766372048803968,"Tulsa, OK"
5,November,0.9753947573511285,"Tulsa, OK"
5,December,0.9770380763996787,"Tulsa, OK"
6,June,1,"Tulsa, OK"
6,July,0.9855903090142866,"Tulsa, OK"
6,August,0.9832118598444115,"Tulsa, OK"
6,September,0.9788173365078469,"Tulsa, OK"
6,October,0.9788173365078469,"Tulsa, OK"
6,November,0.9792421199007901,"Tulsa, OK"
6,December,0.9796187621837738,"Tulsa, OK"
7,July,1,"Tulsa, OK"
7,August,0.9851433168891066,"Tulsa, OK"
7,September,0.9800128738716175,"Tulsa, OK"
7,October,0.9800128738716175,"Tulsa, OK"
7,November,0.9797109321081894,"Tulsa, OK"
7,December,0.9801025870137854,"Tulsa, OK"
8,August,1,"Tulsa, OK"
8,September,0.9846132478612396,"Tulsa, OK"
8,October,0.9846132478612396,"Tulsa, OK"
8,November,0.9833418860285157,"Tulsa, OK"
8,December,0.9833904964426639,"Tulsa, OK"
9,September,1,"Tulsa, OK"
9,October,1,"Tulsa, OK"
9,November,0.9874040222677581,"Tulsa, OK"
9,December,0.9848653911270451,"Tulsa, OK"
10,October,1,"Tulsa, OK"
10,November,0.9874040222677581,"Tulsa, OK"
10,December,0.9848653911270451,"Tulsa, OK"
11,November,0.9999999999999998,"Tulsa, OK"
11,December,0.9855430367222071,"Tulsa, OK"
12,December,0.9999999999999998,"Tulsa, OK"
