GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
240054026031,0.04164982743926962,34,0,34,0,9.78952520802741e-6,3,2.8493066128287484e-4,3,1,"Baltimore County, Maryland"
240054112011,0.04218027728128675,24,0,24,0,9.85289625885529e-6,3,2.8493066128287484e-4,1,1,"Baltimore County, Maryland"
240054042024,0.15680224566272652,147,124,23,0.004853512763854319,9.854741115950883e-6,3,0.007956923875751719,3,1,"Baltimore County, Maryland"
240054086021,0.05304827150726939,57,31,26,0.001974919977766278,9.839517470063268e-6,3,0.0011794258330484286,1,1,"Baltimore County, Maryland"
240054044021,0.06794296219662227,59,28,31,0.001649560117302053,9.776031126883109e-6,3,0.0010167627472991096,3,1,"Baltimore County, Maryland"
240054515002,0.03630777615539942,23,0,23,0,9.881032370262045e-6,3,2.8493066128287484e-4,2,1,"Baltimore County, Maryland"
240054521002,0.03564362797046158,28,1,27,7.187625783451211e-6,9.898539965355109e-6,3,2.871142473284896e-4,5,1,"Baltimore County, Maryland"
240054211022,0.021052056172891073,37,15,22,7.427213309566252e-4,9.7617165002294e-6,3,5.582356086782176e-4,5,1,"Baltimore County, Maryland"
240054926001,9.866905743828353e-5,1,1,0,0,3.580225697427966e-6,4,2.869855222464613e-4,7,1,"Baltimore County, Maryland"
240054204011,0.06967897951955616,49,1,48,8.984532229314012e-5,1.0020542111328222e-5,3,2.8786512983197655e-4,5,1,"Baltimore County, Maryland"
240054906021,0.024079602100573323,35,19,16,1.2033283499127901e-4,9.541256392641783e-6,3,8.756633628267054e-4,1,1,"Baltimore County, Maryland"
240054114073,0.09051184361817709,53,0,53,0,9.91768322919766e-6,3,2.8493066128287484e-4,2,1,"Baltimore County, Maryland"
240054519002,0.025859544923527433,27,6,21,2.3180093151630154e-4,9.770873027505007e-6,3,3.443345041555577e-4,5,1,"Baltimore County, Maryland"
240054024042,0.01690268967619024,44,6,38,0.003911865332643321,9.797677950325772e-6,3,3.186501264425747e-4,4,1,"Baltimore County, Maryland"
240054501002,0.08028505972933012,84,50,34,0.0033487490792993664,9.871083647562829e-6,3,0.0013378654625553668,2,1,"Baltimore County, Maryland"
240054921022,0.0520267277415383,95,77,18,0.00453195207701849,9.738425880840622e-6,3,0.0027143738538128364,2,1,"Baltimore County, Maryland"
240054901001,0.050355552471655164,31,3,28,0.001956831119544592,9.796526151826563e-6,3,2.9807799833080447e-4,1,1,"Baltimore County, Maryland"
240054517011,0.3141604215460048,148,68,80,0.012122709543250346,9.975659391085752e-6,3,0.001882794714657021,2,1,"Baltimore County, Maryland"
240054113091,0.1740963955751444,102,56,46,0.007520729455027368,9.943718552990076e-6,3,0.0018756868186342156,2,1,"Baltimore County, Maryland"
240054101001,0.034987969669657386,13,0,13,0,9.649622217290192e-6,3,2.8493066128287484e-4,1,1,"Baltimore County, Maryland"
240054508001,0.03949340198865182,35,0,35,0,9.948367970234483e-6,3,2.916950480208183e-4,2,1,"Baltimore County, Maryland"
240054523002,0.06785393887630822,122,98,24,0.007595681845563248,9.732360097323602e-6,3,0.0034688726099056997,5,1,"Baltimore County, Maryland"
240054518014,0.05806548751291866,35,0,35,0,9.975062344139652e-6,3,2.8493066128287484e-4,2,1,"Baltimore County, Maryland"
240054113063,0.10536526944215308,43,1,42,1.2195005079255553e-4,9.785980604186442e-6,3,2.9226049819866393e-4,2,1,"Baltimore County, Maryland"
240054906022,0.03218804398436294,26,4,22,3.833400417840645e-5,9.632148258025987e-6,3,3.239935682442815e-4,1,1,"Baltimore County, Maryland"
240054037021,0.05871061423169253,72,43,29,0.002030204799417323,9.733591597963732e-6,3,0.0011821508373321952,3,1,"Baltimore County, Maryland"
240054044041,0.12397469935752456,84,52,32,0.001918830826563274,9.860668750554662e-6,3,0.0026256218713269896,3,1,"Baltimore County, Maryland"
240054925001,0.0034299911918894963,28,19,9,3.3084470347278697e-4,9.46414037213e-6,3,0.001811608563781598,6,1,"Baltimore County, Maryland"
240054921013,0.028933183498236863,28,2,26,9.221124911352615e-4,9.832841691248771e-6,3,3.075986119097936e-4,2,1,"Baltimore County, Maryland"
240054037022,0.433246032330997,269,226,43,0.016084708565733234,9.834292176820574e-6,3,0.02394358280897831,3,1,"Baltimore County, Maryland"
240054510002,0.01914439180181892,18,0,18,0,9.687481835971557e-6,3,2.8493066128287484e-4,2,1,"Baltimore County, Maryland"
240054917013,0.032780734739159635,20,0,20,0,9.882106469815104e-6,3,2.8493066128287484e-4,1,1,"Baltimore County, Maryland"
