GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
120090682002,0.006231799909048174,118,82,36,0.007759638270659314,5.591277606933184e-5,2,0.006637282551083077,2,1,"Brevard County, Florida"
120090681011,0.008432835693157637,132,86,46,0.0040312804832830385,5.4629882545752524e-5,2,0.004964613559507343,2,1,"Brevard County, Florida"
120090610022,0.002060005233460833,57,16,41,0.0023297547266320985,5.5915902482666075e-5,3,6.452173775818097e-4,4,1,"Brevard County, Florida"
120090652313,0.005305162617647847,86,28,58,0.0027953495080037427,5.43980851874014e-5,3,6.5231889024021e-4,1,1,"Brevard County, Florida"
120090641242,0.007764871579844755,53,0,53,0,5.52883286338254e-5,3,4.763558571028851e-4,1,1,"Brevard County, Florida"
120090648002,0.021110640000209513,235,209,26,0.0040185642599490775,5.2432885906040274e-5,2,0.017221321190664305,1,1,"Brevard County, Florida"
120090699013,0.026860105691346933,212,116,96,0.012732588043802753,5.675368898978434e-5,2,0.0030314578772104007,2,1,"Brevard County, Florida"
120090645002,0.015275523772234146,185,117,68,0.003400151739008905,5.335894562723441e-5,3,0.003960168999315341,1,1,"Brevard County, Florida"
120090714002,0.002750541806045061,85,61,24,9.94955343475888e-4,5.138482092389908e-5,3,0.002826703106855496,4,1,"Brevard County, Florida"
120090623011,0.007270441108408394,125,82,43,0.0030899590799063708,5.545389009038984e-5,3,0.002541580171411073,2,1,"Brevard County, Florida"
120090652312,0.005288064771330097,103,36,67,0.006468310403541807,5.634437683119225e-5,3,8.973074258139495e-4,1,1,"Brevard County, Florida"
120090631053,0.018641956331308825,63,5,58,0.002718490862383367,5.685694791903571e-5,2,5.287847153572996e-4,3,1,"Brevard County, Florida"
120090641233,0.016709165621593077,85,1,84,6.746728959522953e-4,5.5928411633109614e-5,3,4.966494372704606e-4,1,1,"Brevard County, Florida"
120090711001,0.004351312438313884,105,46,59,0.0028100952076713765,5.636978579481398e-5,3,0.0010803652820195221,4,1,"Brevard County, Florida"
120090641251,0.02276951737415301,212,144,68,0.008849747049792972,5.467767510525452e-5,2,0.00546360940487306,1,1,"Brevard County, Florida"
120090715001,0.01025376322595273,130,80,50,0.006109974360583316,5.577555914998048e-5,2,0.0027194721146798755,2,1,"Brevard County, Florida"
120090683002,0.0045909711015241295,106,87,19,0.004017827432054959,5.245213742460005e-5,3,0.0027917862211613693,2,1,"Brevard County, Florida"
120090612021,0.010303946386082084,141,99,42,0.007708919230352366,5.4531573781219325e-5,2,0.007645960286811271,4,1,"Brevard County, Florida"
120090604004,0.0010866888575312966,40,8,32,0.0012473545501737009,5.3908355795148246e-5,3,5.423338136718749e-4,4,1,"Brevard County, Florida"
120090716002,0.011843824367242123,117,54,63,0.006733315882828722,5.662834815108444e-5,2,0.002484959030680767,2,1,"Brevard County, Florida"
120090649012,0.003026803098632058,51,12,39,2.4957073833007228e-5,5.0403225806451606e-5,3,7.682075314103347e-4,1,1,"Brevard County, Florida"
120090663013,0.006305159015275173,95,33,62,0.0018692016398461314,5.5169369965794985e-5,3,0.0013337581417741991,1,1,"Brevard County, Florida"
120090624004,0.008438072593478552,58,3,55,8.380585393123828e-4,5.546927002440648e-5,3,5.016610588363937e-4,2,1,"Brevard County, Florida"
120090713341,0.013060981995047294,148,69,79,0.004239838430280871,5.5099454515400294e-5,3,0.002282519582050559,1,1,"Brevard County, Florida"
120090604001,0.003614392068501147,111,69,42,0.005371652532535814,5.5676187294694064e-5,3,0.0029279635678761263,4,1,"Brevard County, Florida"
120090685022,0.0017746023722072036,33,2,31,1.9965659066405783e-5,5.355612682090831e-5,3,5.311529260286822e-4,2,1,"Brevard County, Florida"
120090650012,0.011871192641630552,121,60,61,0.00311068929694893,5.4611981868822016e-5,3,0.002108196932566223,1,1,"Brevard County, Florida"
120090621061,0.013455275501577596,159,81,78,0.008018208681068563,5.7415169087672966e-5,2,0.0036352608655257296,4,1,"Brevard County, Florida"
120090685023,0.0014337913559214566,25,0,25,0,5.3319114902692615e-5,3,4.790918113900744e-4,2,1,"Brevard County, Florida"
120090645001,0.010884734409363387,99,29,70,0.004001062616743645,5.543237250554323e-5,3,9.40247066274896e-4,1,1,"Brevard County, Florida"
120090621032,0.008592457004702962,77,12,65,2.495707383300723e-4,5.668612890425713e-5,3,5.803212869261556e-4,2,1,"Brevard County, Florida"
120090652023,0.003955467287254344,100,60,40,0.0036177774228327276,5.470758794244762e-5,3,0.0013387938154241314,1,1,"Brevard County, Florida"
120090603003,0.003728021439439344,62,18,44,0.0018904151526041876,5.380972879896686e-5,3,6.641639066040373e-4,4,1,"Brevard County, Florida"
120090713321,0.031363096535555746,166,21,145,0.00897351793011259,5.782352260899734e-5,3,6.07749451386055e-4,1,1,"Brevard County, Florida"
120090713363,0.018275254274344715,176,85,91,0.00968417654966791,5.701254275940706e-5,3,0.003373401088920163,1,1,"Brevard County, Florida"
120090662002,0.009975712895758614,152,80,72,0.004459524063055987,5.664438654129375e-5,3,0.002589240339671565,1,1,"Brevard County, Florida"
120090641252,0.022420015546050824,188,104,84,0.009661141134506949,5.667327854916407e-5,3,0.003569190377904654,1,1,"Brevard County, Florida"
120090652311,0.010742810736859704,137,47,90,0.00335156863528065,5.667327854916407e-5,3,0.0010154840588200143,1,1,"Brevard County, Florida"
120090685012,0.003847755404201811,78,44,34,9.107668144125437e-4,5.2815041723882956e-5,2,0.0024805110230333477,2,1,"Brevard County, Florida"
120090602003,0.008857665110668902,97,22,75,0.010744531310907145,5.7372346528973036e-05,3,7.690846202806158e-4,4,1,"Brevard County, Florida"
120090652011,0.0023949190511332024,53,7,46,1.2312156424283566e-4,5.29296564865294e-5,3,5.123571166322808e-4,1,1,"Brevard County, Florida"
120090650221,0.02313173567769195,267,188,79,0.005194850571303073,5.426524853483829e-5,3,0.010404176847202845,1,1,"Brevard County, Florida"
120090651251,0.009056505270615274,151,77,74,0.004067864384369994,5.583784689262382e-5,3,0.002322795190933745,1,1,"Brevard County, Florida"
120090713342,0.00519314450703798,73,13,60,1.630528823756472e-4,5.348737697903294e-5,3,5.407004479571314e-4,1,1,"Brevard County, Florida"
120090698021,0.01087367680695105,132,64,68,0.0039492905535811725,5.517545795630104e-5,2,0.002699540142062005,2,1,"Brevard County, Florida"
120090652342,4.987054404896436e-4,25,0,25,0,5.432125590743658e-5,3,4.729623206705024e-4,5,1,"Brevard County, Florida"
120090699011,0.011092969054123296,67,3,64,3.4939903366210116e-5,5.6198718669214335e-5,2,5.283796711119542e-4,2,1,"Brevard County, Florida"
120090601011,0.0031878927447444813,44,2,42,4.7418440282713735e-5,5.338743259836635e-5,3,4.881527750230296e-4,4,1,"Brevard County, Florida"
120090652013,0.005018134532497878,83,7,76,5.692708541308949e-4,5.50812448361333e-5,3,5.458806074191056e-4,1,1,"Brevard County, Florida"
120090716003,0.0024791309109856753,21,0,21,0,5.3293540822852274e-5,3,4.729623206705024e-4,2,1,"Brevard County, Florida"
120090641283,0.02699600656318312,54,7,47,7.487122149902169e-5,5.31434341287134e-5,3,5.97434454801443e-4,3,1,"Brevard County, Florida"
120090683004,0.0018409840273992599,38,8,30,3.541527620112454e-4,5.4344872561273845e-5,3,5.888437346200118e-4,2,1,"Brevard County, Florida"
120090631071,0.045723604461797025,116,43,73,0.005505580767380474,5.6866647711117435e-5,2,0.001382504813985575,3,1,"Brevard County, Florida"
120090606003,0.00287408733262054,83,47,36,5.094570671777876e-4,5.211590577444236e-5,3,0.0018978626850361209,4,1,"Brevard County, Florida"
120090610011,0.006278869581873557,92,29,63,0.0038427476169559773,5.661231884057971e-5,3,9.576454076580386e-4,4,1,"Brevard County, Florida"
120090642021,0.002428079167446549,38,11,27,2.4990349931451237e-4,5.323679727427598e-5,3,6.958826928802605e-4,1,1,"Brevard County, Florida"
120090683003,0.0027664141445616444,49,30,19,4.567144511440323e-4,4.950495049504951e-5,3,0.0011206727672779233,2,1,"Brevard County, Florida"
120090661012,0.0023829216736602375,66,38,28,8.434851030586365e-4,5.1546391752577315e-5,3,0.0011384445296453599,1,1,"Brevard County, Florida"
120090713223,0.009269408446753525,99,15,84,0.0014985177875007367,5.6802044873615446e-5,2,5.382550113102562e-4,1,1,"Brevard County, Florida"
120090651234,0.004425674243187971,109,54,55,0.006789021296069173,5.605066980550418e-5,3,0.0012519337451265477,1,1,"Brevard County, Florida"
120090713222,0.011138155704790959,90,0,90,0,5.666364460562103e-5,2,4.729623206705024e-4,1,1,"Brevard County, Florida"
120090621042,0.007660458971270042,65,0,65,0,5.650675255693055e-5,3,4.7627301796581594e-4,4,1,"Brevard County, Florida"
120090713011,0.01595262377621249,95,0,95,0,5.731972945087699e-5,3,4.737981820371784e-4,1,1,"Brevard County, Florida"
120090624003,0.010844271240822196,96,13,83,0.004851750227703588,5.7191878753217045e-5,2,6.287953655414145e-4,2,1,"Brevard County, Florida"
120090651221,0.00540153994252665,125,75,50,0.0013299624645609544,5.4324206866579744e-5,3,0.002220434682838517,1,1,"Brevard County, Florida"
120090661043,0.0015834720093034999,43,8,35,9.65608384348152e-4,5.3384582532564594e-5,3,5.388370903502616e-4,1,1,"Brevard County, Florida"
120090646011,0.02522821839035682,258,171,87,0.01440629260529033,5.5950316119286074e-5,3,0.008459948250083935,1,1,"Brevard County, Florida"
120090649023,0.002671609322865832,84,62,22,0.002044578562966935,5.1805418846811377e-5,3,0.0013172976880592008,1,1,"Brevard County, Florida"
120090651222,0.011308111554559373,186,113,73,0.006272128605465266,5.5346468895284486e-5,3,0.005700543533988078,1,1,"Brevard County, Florida"
120090601013,0.0010754366020702337,49,26,23,4.501543060222132e-4,5.145091582630171e-5,3,0.0010451268553877877,4,1,"Brevard County, Florida"
