GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
390351042002,0.007401647002259369,13,4,9,0.0010650870731731467,1.9070940082920449e-6,4,3.732839505225878e-4,1,1,"Cuyahoga County, Ohio"
390351801031,0.003032171043900728,26,0,26,0,1.924998219376647e-6,3,1.2956164975211102e-4,2,1,"Cuyahoga County, Ohio"
390351066003,0.01698740382112874,31,3,28,1.2990436306394606e-4,1.9238501628539165e-6,4,1.4726563582353024e-4,5,1,"Cuyahoga County, Ohio"
390351962003,0.007479555863319053,37,23,14,0.0013857537926414332,1.9194889552605514e-6,4,5.911906084645999e-4,10,1,"Cuyahoga County, Ohio"
390351415001,0.004349257705622748,29,14,15,9.736577662934255e-4,1.9190174630589138e-6,4,2.543552272839509e-4,2,1,"Cuyahoga County, Ohio"
390351179002,0.0028087424817808087,9,0,9,0,1.9186639958863847e-6,4,1.2956164975211102e-4,10,1,"Cuyahoga County, Ohio"
390351204002,0.004977706587795481,12,1,11,0.0017152276574890848,1.919418953494398e-6,4,1.589912115716384e-4,13,1,"Cuyahoga County, Ohio"
390351751033,0.09516196420445644,98,33,65,0.003851199080026041,1.930658470377907e-6,4,5.276513404348454e-4,4,1,"Cuyahoga County, Ohio"
390351841062,0.01961405558199706,47,21,26,0.0010710520062965935,1.9262218506754297e-6,4,3.437783452118605e-4,11,1,"Cuyahoga County, Ohio"
390351415002,0.0014124456691713486,24,4,20,0.0035009331036462816,1.919256863742359e-6,4,1.582938413786118e-4,2,1,"Cuyahoga County, Ohio"
390351776061,0.41211930148149845,454,383,71,0.03489577396097494,1.9400297988577106e-6,4,0.020653547031958396,5,1,"Cuyahoga County, Ohio"
390351217004,0.0021675070115164756,22,4,18,9.980743908838001e-5,1.937057261349703e-6,4,1.4903512383749936e-4,6,1,"Cuyahoga County, Ohio"
390351945001,0.004175687876171501,17,2,15,5.383290267011197e-6,1.9158996681661775e-6,4,1.38255773743563e-4,2,1,"Cuyahoga County, Ohio"
390351742061,0.05906786172459816,78,41,37,8.691724335937115e-4,1.925928779153747e-6,4,0.0011418729073446698,3,1,"Cuyahoga County, Ohio"
390351610001,0.02163944441933454,73,35,38,8.381399898262592e-4,1.923354329951435e-6,4,5.145323951056011e-4,8,1,"Cuyahoga County, Ohio"
390351177004,0.009472024568802055,33,0,33,0,1.937293678223269e-6,4,1.3249815016606756e-4,10,1,"Cuyahoga County, Ohio"
390351062003,0.033212737657568374,45,13,32,0.0011951316905428997,1.928603112765424e-6,4,2.797704847444619e-4,5,1,"Cuyahoga County, Ohio"
390351152001,0.013649523422410376,45,30,15,0.005943748240928142,1.9043375095454917e-6,4,7.700341261863134e-4,14,1,"Cuyahoga County, Ohio"
390351525023,0.001773497161782823,22,4,18,9.032789806647064e-4,1.9189769550057472e-6,4,1.588130992565677e-4,10,1,"Cuyahoga County, Ohio"
390351801021,0.017102329759884984,125,87,38,0.006640937073196717,1.9291649223800494e-6,4,0.0023351770068391147,2,1,"Cuyahoga County, Ohio"
390351891114,0.036002961081631556,43,2,41,2.2894452859702793e-5,1.920694523139567e-6,4,1.3644573537286282e-4,3,1,"Cuyahoga County, Ohio"
390351546043,0.009798107383297554,35,3,32,4.651162790697675e-4,1.9285287254353654e-6,4,1.7290380220794183e-4,6,1,"Cuyahoga County, Ohio"
390351083013,0.005275530138180091,19,14,5,4.927628778203492e-4,1.902435497924443e-6,4,4.941865246942446e-4,1,1,"Cuyahoga County, Ohio"
390351245001,0.01762100558508517,72,42,30,0.004295519122437058,1.923528212388291e-6,4,5.814567225546088e-4,15,1,"Cuyahoga County, Ohio"
390351522011,0.006329328413564156,29,23,6,1.16291445147366e-4,1.899328017747321e-6,4,7.57028844660916e-4,10,1,"Cuyahoga County, Ohio"
390351702011,0.03279786882890987,278,249,29,0.006211428592643505,1.9186419085114793e-6,4,0.008332810854593501,2,1,"Cuyahoga County, Ohio"
390351361023,0.07386066311309337,99,43,56,0.0017282005914724431,1.936989724269513e-6,4,4.7582076850408655e-4,7,1,"Cuyahoga County, Ohio"
390351410001,3.5709519570531055e-4,7,4,3,1.2622887522646945e-5,1.8942622795552272e-6,4,2.1289331224377055e-4,12,1,"Cuyahoga County, Ohio"
390351801024,0.004333548538306695,18,0,18,0,1.9283762493467623e-6,4,1.2956164975211102e-4,2,1,"Cuyahoga County, Ohio"
390351711025,0.005010043219163219,25,6,19,2.8863805761694027e-4,1.923191574882349e-6,4,2.0750439614121465e-4,6,1,"Cuyahoga County, Ohio"
390351158002,0.002442248623510386,10,0,10,0,1.9260400616332823e-6,4,1.4126095444037823e-4,14,1,"Cuyahoga County, Ohio"
390351521025,3.9536962847835466e-4,12,3,9,6.313506324644166e-5,1.907981851276631e-6,4,1.8781516096684798e-4,10,1,"Cuyahoga County, Ohio"
390351774062,0.04381715302636444,50,5,45,4.159171525851558e-4,1.9316355544566696e-6,4,1.398321883911957e-4,5,1,"Cuyahoga County, Ohio"
390351241006,0.004680387521303755,25,8,17,7.975932361123486e-5,1.9113149847094803e-6,4,1.7796612507773357e-4,8,1,"Cuyahoga County, Ohio"
390351832002,0.005921066613119932,32,0,32,0,1.943831057755108e-6,4,1.2956164975211102e-4,2,1,"Cuyahoga County, Ohio"
390351835024,0.006960072408604107,25,0,25,0,1.930304428311389e-6,4,1.2956164975211102e-4,2,1,"Cuyahoga County, Ohio"
390351775012,0.057732131940616015,68,10,58,2.8038367920752317e-4,1.9315833188464583e-6,4,1.9144647305809715e-4,5,1,"Cuyahoga County, Ohio"
390351521022,0.0060399421563099185,12,0,12,0,1.9180530993820035e-6,4,1.2956164975211102e-4,10,1,"Cuyahoga County, Ohio"
390351211001,0.002348161660655987,14,1,13,1.9543199976239275e-4,1.928008174754661e-6,4,1.6705195610341975e-4,6,1,"Cuyahoga County, Ohio"
390351861052,0.07765488730765796,40,0,40,0,1.9337385160103878e-6,4,1.2956164975211102e-4,4,1,"Cuyahoga County, Ohio"
390351405003,0.005726095115503024,30,0,30,0,1.9260734488848995e-6,3,1.3221078647870034e-4,2,1,"Cuyahoga County, Ohio"
390351836042,0.01373628641244107,48,3,45,1.3943340560555208e-4,1.9476624155688344e-6,3,1.4498576858036763e-4,2,1,"Cuyahoga County, Ohio"
390351183012,0.0011266826007687186,7,0,7,0,1.914080743582087e-6,4,1.2956164975211102e-4,2,1,"Cuyahoga County, Ohio"
390351184003,4.5865623906341614e-4,5,0,5,0,1.9062505957033113e-6,3,1.2956164975211102e-4,12,1,"Cuyahoga County, Ohio"
390351525011,0.006730631269027054,19,7,12,7.005702575069054e-5,1.909413599989307e-6,4,1.533144692029837e-4,10,1,"Cuyahoga County, Ohio"
390351851033,0.005724220986360272,41,22,19,7.112130842416862e-5,1.9121080417527913e-6,3,2.898027317692123e-4,2,1,"Cuyahoga County, Ohio"
390351056021,0.012752357000280224,39,24,15,0.004218675084753672,1.920735103738903e-6,4,8.34431720900514e-4,1,1,"Cuyahoga County, Ohio"
390351188002,0.003837864660554685,16,2,14,0,1.92102659661323e-6,4,2.2582966729477327e-4,9,1,"Cuyahoga County, Ohio"
390351891051,0.00919068602342713,19,2,17,1.3489164117338401e-5,1.9103984900210337e-6,4,1.3613782243302954e-4,3,1,"Cuyahoga County, Ohio"
390351891115,0.039675487507214474,56,32,24,0.0014613838644846394,1.923820553714032e-6,4,0.0010693569703928464,3,1,"Cuyahoga County, Ohio"
390351321002,0.004129951079596105,47,24,23,1.2661251200411853e-4,1.9183658592264768e-6,4,3.551513717742115e-4,6,1,"Cuyahoga County, Ohio"
390351771043,0.017851096640113143,39,21,18,3.919901590978842e-4,1.9264630523651185e-6,4,3.3082516222707507e-4,5,1,"Cuyahoga County, Ohio"
390351168004,0.002524247036366426,9,7,2,4.442761392774758e-5,1.9038806799900238e-6,4,3.8328127986187127e-4,1,1,"Cuyahoga County, Ohio"
390351781012,0.014102855078692881,18,0,18,0,1.9263368777931887e-6,4,1.2956164975211102e-4,5,1,"Cuyahoga County, Ohio"
390351407011,0.012654536968240801,33,2,31,9.207592048075873e-4,1.9211262410475515e-6,3,2.1045212900489246e-4,2,1,"Cuyahoga County, Ohio"
390351177005,0.007166031802088542,37,10,27,0.008322168088774612,1.918056778316752e-6,3,3.5346175656017563e-4,10,1,"Cuyahoga County, Ohio"
390351049002,0.0026139855503031955,10,1,9,9.900303939330937e-7,1.9045913984843263e-6,4,1.5861784596212398e-4,1,1,"Cuyahoga County, Ohio"
390351773042,0.12520316233888407,233,160,73,0.010205106600344066,1.9373912639153127e-6,4,0.0029863170951676225,5,1,"Cuyahoga County, Ohio"
390351205002,0.006562764687995932,28,0,28,0,1.937800480186959e-6,3,1.2956164975211102e-4,13,1,"Cuyahoga County, Ohio"
390351405002,0.0011880067518502551,18,7,11,1.2027631748294674e-4,1.9150997958503617e-6,4,1.7384409669877348e-4,2,1,"Cuyahoga County, Ohio"
390351246005,0.01133403023107256,18,2,16,2.7411466532022536e-5,1.9209823135158393e-6,4,1.5179836636972565e-4,15,1,"Cuyahoga County, Ohio"
390351159002,0.00548426512003729,16,0,16,0,1.9311058670858453e-6,4,1.2956164975211102e-4,6,1,"Cuyahoga County, Ohio"
390351712042,0.0018908116320304471,36,28,8,0.001358464901301041,1.910737965216926e-6,4,5.943506750141605e-4,6,1,"Cuyahoga County, Ohio"
390351301053,0.041795779634448284,60,14,46,9.050362846139379e-4,1.923602214450869e-6,4,1.9007223992238774e-4,3,1,"Cuyahoga County, Ohio"
390351515001,0.011896981060513246,119,92,27,0.018632050253942798,1.9218129614753374e-6,3,0.0028566721856628095,12,1,"Cuyahoga County, Ohio"
390351604002,0.01947699078028379,59,0,59,0,1.938213626029434e-6,4,1.2956164975211102e-4,8,1,"Cuyahoga County, Ohio"
390351742032,0.0522529718181102,41,7,34,1.787252368647718e-4,1.9235578125300554e-6,4,1.702785998036244e-4,3,1,"Cuyahoga County, Ohio"
390351836032,0.003379713533600279,18,0,18,0,1.9370797747563637e-6,4,1.3298707439563494e-4,2,1,"Cuyahoga County, Ohio"
390351068002,0.032305884391828465,89,31,58,0.007857179099326924,1.9399131306900077e-6,4,6.642641075985412e-4,5,1,"Cuyahoga County, Ohio"
390351852031,0.00918000450484363,75,51,24,8.069118971952436e-4,1.918789167283877e-6,4,8.720043761985659e-4,2,1,"Cuyahoga County, Ohio"
390351161001,1.2360770983725444e-5,1,0,1,0,1.8410544086809396e-6,5,1.2956164975211102e-4,9,1,"Cuyahoga County, Ohio"
390351547001,0.006983294081154627,21,1,20,1.4850455908996406e-6,1.9219200750317598e-6,4,1.443635536393419e-4,6,1,"Cuyahoga County, Ohio"
390351605003,0.013159221207302618,65,39,26,0.0011645391620665612,1.916806753293553e-6,4,6.650615345951325e-4,8,1,"Cuyahoga County, Ohio"
390351381102,0.06535732886144863,65,5,60,3.983634797588286e-4,1.932210332687975e-6,4,2.0931309716370442e-4,4,1,"Cuyahoga County, Ohio"
390351712052,0.0036500540156834717,14,0,14,0,1.923535612338327e-6,4,1.2956164975211102e-4,6,1,"Cuyahoga County, Ohio"
390351221003,0.006018855936212785,30,7,23,3.671775223499362e-4,1.923554112462515e-6,4,2.4249058638010776e-4,6,1,"Cuyahoga County, Ohio"
390351206001,0.003224763574497736,23,12,11,0.0012340110091379804,1.9147367715623297e-6,3,3.4705671003124007e-4,13,1,"Cuyahoga County, Ohio"
390351561022,0.07712997400735762,73,16,57,0.002683334503369256,1.934969543579384e-6,4,4.867582526693786e-4,7,1,"Cuyahoga County, Ohio"
390351219001,0.005127283155071768,40,19,21,7.527466271785972e-4,1.925038982039386e-6,4,4.178187012172416e-4,6,1,"Cuyahoga County, Ohio"
390351821031,0.022604219267007702,26,2,24,1.4850455908996406e-6,1.924498090897894e-6,4,1.3598762969633466e-4,5,1,"Cuyahoga County, Ohio"
390351404002,0.00413460900525044,21,1,20,4.0838753749740115e-6,1.9243388452812324e-6,3,1.316530734836289e-4,2,1,"Cuyahoga County, Ohio"
390351613001,0.013716886193261318,46,3,43,7.928905917411665e-5,1.9314228985636006e-6,4,1.6090073510049546e-4,8,1,"Cuyahoga County, Ohio"
390351525013,0.009297258275763009,51,38,13,0.002054005450824483,1.916325560716859e-6,3,6.756457854865857e-4,10,1,"Cuyahoga County, Ohio"
390351411003,0.010264047146211281,36,0,36,0,1.9257618795435946e-6,3,1.3341761661415032e-4,9,1,"Cuyahoga County, Ohio"
390351064001,0.018468566153485643,32,0,32,0,1.929838781268213e-6,4,1.3325513445717398e-4,5,1,"Cuyahoga County, Ohio"
390351261002,0.00845813086477485,48,1,47,8.119486768243784e-5,1.9396045922078324e-6,3,1.3441200959796553e-4,2,1,"Cuyahoga County, Ohio"
390351943002,0.00668754194625746,58,41,17,0.0016668195910043008,1.920749860745635e-6,4,0.0011210646811621614,2,1,"Cuyahoga County, Ohio"
390351774034,0.023569844839826465,16,0,16,0,1.9227737164524054e-6,4,1.2956164975211102e-4,5,1,"Cuyahoga County, Ohio"
