GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
481130184022,0.007686206560736014,59,26,33,1.0418814812294979e-4,1.6670084033893613e-6,3,2.5105637465536564e-4,7,1,"Dallas County, Texas"
481130139011,0.001847578894119444,69,32,37,6.095064090569294e-4,1.6631491063068278e-6,3,2.9302205979601134e-4,3,1,"Dallas County, Texas"
481130136072,9.458636892013804e-4,27,0,27,0,1.667233526065529e-6,3,8.991997122589583e-5,8,1,"Dallas County, Texas"
481130046002,8.61218413874602e-4,36,2,34,4.044754598241023e-5,1.66977523155608e-6,3,1.031752671137923e-4,6,1,"Dallas County, Texas"
481130126041,0.010688966788415364,119,11,108,0.0020380533258802917,1.6877152891815762e-6,3,1.242084187859534e-4,7,1,"Dallas County, Texas"
481130068002,0.0030271907885393106,128,82,46,0.001350718351248103,1.6601974306784562e-6,3,7.742355480976996e-4,6,1,"Dallas County, Texas"
481130096102,0.003388788986771353,81,58,23,5.079466409187874e-4,1.6505817475369195e-6,3,9.034072381656733e-4,10,1,"Dallas County, Texas"
481130126012,0.004631558704635597,83,15,68,1.59224931410782e-4,1.6764571765778817e-6,3,1.1269474097273548e-4,13,1,"Dallas County, Texas"
481130165212,0.004581844173151733,125,21,104,0.002558161129511815,1.6816784496270036e-6,3,1.8457657792092107e-4,12,1,"Dallas County, Texas"
481130111041,0.0015022612145152675,61,16,45,7.302505799483797e-4,1.6663222933926988e-6,3,1.452221901507148e-4,5,1,"Dallas County, Texas"
481130098024,0.0015322977340083714,56,36,20,1.4675807558597902e-4,1.648076365266461e-6,3,7.39725419602609e-4,10,1,"Dallas County, Texas"
481130084002,0.0012279861711664147,43,6,37,6.2990271079049e-4,1.6731053336924932e-6,3,1.0419270769989953e-4,4,1,"Dallas County, Texas"
481130177021,0.016846254888835243,192,66,126,0.0024640767238290878,1.6883022601302357e-6,3,3.4750282533703745e-4,4,1,"Dallas County, Texas"
481130071012,8.37934656145565e-4,33,0,33,0,1.662162207085465e-6,3,8.991997122589583e-5,2,1,"Dallas County, Texas"
481130164121,0.0015572912735267966,51,10,41,1.617216810149447e-4,1.6764037786141172e-6,3,1.3565100085187744e-4,12,1,"Dallas County, Texas"
481130137262,0.003999762999703612,123,65,58,0.0018526182831001714,1.6729877721323735e-6,3,8.353799233019186e-4,3,1,"Dallas County, Texas"
481130169034,0.0012306325868843776,45,8,37,4.4472520364032704e-5,1.6745622275696575e-6,3,1.363921197185885e-4,5,1,"Dallas County, Texas"
481130178082,0.006455629362843767,104,62,42,5.877460430344812e-4,1.6729989677596368e-6,3,3.50568107511744e-4,4,1,"Dallas County, Texas"
481130181102,0.042765591380191904,97,1,96,5.574424683408642e-6,1.675232689820616e-6,3,9.108012173250961e-5,7,1,"Dallas County, Texas"
481130002012,9.625913648116463e-4,100,74,26,4.1546015518936785e-4,1.6640153355653328e-6,3,5.236321448911144e-4,2,1,"Dallas County, Texas"
481130122102,0.003887691018996482,117,31,86,6.954137736614325e-4,1.6833543191505119e-6,3,1.8646693329571907e-4,4,1,"Dallas County, Texas"
481130141311,0.0017076633753703285,46,26,20,1.8540199691019884e-4,1.6563448775050146e-6,3,2.571318128691925e-4,9,1,"Dallas County, Texas"
481130098021,0.002047289137711135,39,1,38,1.882117581279907e-5,1.6635392129463276e-6,3,9.184509490600779e-5,10,1,"Dallas County, Texas"
481130190143,0.03259256467581026,176,122,54,0.0013239617507850834,1.6728450410181605e-6,3,5.840550619844511e-4,7,1,"Dallas County, Texas"
481130178121,0.04936075271415074,456,411,45,0.00587029651748184,1.6807570129586367e-6,3,0.0061086926168909495,4,1,"Dallas County, Texas"
481130193012,0.0017286315268346252,40,0,40,0,1.6663694974396233e-6,3,8.991997122589583e-5,2,1,"Dallas County, Texas"
481130177043,0.002630462654096956,53,10,43,2.1728268255221855e-5,1.6726967384086298e-6,3,1.2558011671045036e-4,4,1,"Dallas County, Texas"
481130170043,0.008785024167663379,110,0,110,0,1.6951336104311741e-6,2,9.151466461556059e-5,4,1,"Dallas County, Texas"
481130190043,0.004169669928358513,52,31,21,7.88916801128028e-5,1.6565204787344185e-6,3,1.8522034508236006e-4,8,1,"Dallas County, Texas"
481130091041,0.002218588352068897,62,3,59,7.364919616282294e-5,1.6780747783682737e-6,3,9.807693429538405e-5,4,1,"Dallas County, Texas"
481130166211,0.003645953544718444,75,0,75,0,1.6741108797117853e-6,3,8.991997122589583e-5,5,1,"Dallas County, Texas"
481130071021,0.0014286158150697103,72,37,35,5.697504570841413e-4,1.6670334140177506e-6,3,2.9293370378877275e-4,2,1,"Dallas County, Texas"
481130131022,0.0014894585659076603,42,0,42,0,1.6640430254964674e-6,3,8.991997122589583e-5,2,1,"Dallas County, Texas"
481130078012,8.125579873818885e-4,25,0,25,0,1.6588259493460908e-6,3,8.991997122589583e-5,2,1,"Dallas County, Texas"
481130080003,9.991356394815029e-4,78,35,43,8.433279786473178e-4,1.6639488834902991e-6,3,2.494440584331321e-4,2,1,"Dallas County, Texas"
481130087031,4.784952248848381e-4,28,1,27,9.110887654603371e-6,1.6675810569462254e-6,3,9.384555617218903e-5,5,1,"Dallas County, Texas"
481130163022,2.3657248922623206e-4,35,2,33,7.102895967569076e-6,1.6628034200540743e-6,3,9.55387317739509e-5,12,1,"Dallas County, Texas"
481130202003,0.0015068827982920709,56,19,37,3.447961486839324e-4,1.6716174403190783e-6,3,1.354856689817031e-4,5,1,"Dallas County, Texas"
481130081004,0.0019860887072742036,77,0,77,0,1.676805752114452e-6,3,8.991997122589583e-5,2,1,"Dallas County, Texas"
481130105002,0.004285497283795061,156,109,47,0.0016416341940535667,1.6698728224858394e-6,3,9.4943157844169e-4,6,1,"Dallas County, Texas"
481130192082,0.005624383636879949,129,95,34,0.003255406452449808,1.667962117244393e-6,3,0.00135916027069386,8,1,"Dallas County, Texas"
481130084005,0.002270433196889496,66,1,65,1.2359638384073785e-5,1.6829152130486515e-6,3,9.15877419170192e-5,4,1,"Dallas County, Texas"
481130008001,0.0011343887163130324,44,11,33,3.1764329688917464e-4,1.6692372920964953e-6,3,1.8785082799496937e-4,1,1,"Dallas County, Texas"
481130125004,0.0014288169864336117,31,0,31,0,1.669008842408847e-6,3,8.991997122589583e-5,13,1,"Dallas County, Texas"
481130096044,0.0025303442663135245,50,13,37,4.2076887808460933e-4,1.6639239653304801e-6,3,1.600420114618202e-4,3,1,"Dallas County, Texas"
481130078254,7.182504653916928e-4,43,11,32,6.851447456312094e-4,1.6635281435691328e-6,3,1.0440690474558794e-4,14,1,"Dallas County, Texas"
481130198004,0.002060504682214891,74,40,34,3.8051842468836796e-4,1.6595196686271124e-6,3,4.766025518704888e-4,2,1,"Dallas County, Texas"
481130195021,8.303129089204357e-4,49,23,26,7.603224130781927e-5,1.6642562688373006e-6,3,1.9856209410531805e-4,2,1,"Dallas County, Texas"
481130109021,0.014452183022096483,473,386,87,0.00972158782575115,1.6822838685799843e-6,3,0.0047342588073045104,5,1,"Dallas County, Texas"
481130154031,2.2853111241211805e-4,17,0,17,0,1.6664500281630054e-6,3,9.420291783928665e-5,12,1,"Dallas County, Texas"
481130187003,0.010505122404235453,44,1,43,1.438561208621585e-6,1.670955452327641e-6,3,9.28149287670444e-5,7,1,"Dallas County, Texas"
481130182033,0.03682571014340151,86,17,69,1.6597742459045016e-4,1.6806553211228122e-6,3,1.1858771242940645e-4,7,1,"Dallas County, Texas"
481130006061,0.0024196213198463233,114,72,42,7.063317086249547e-4,1.6555743187311678e-6,3,0.0012364506011559259,1,1,"Dallas County, Texas"
481130192102,0.0028212590876513445,25,0,25,0,1.6598612356007038e-6,3,8.991997122589583e-5,8,1,"Dallas County, Texas"
481130134002,0.007096792793122794,219,162,57,0.001334259288468808,1.663215494515547e-6,3,0.003019424315105959,2,1,"Dallas County, Texas"
481130055003,0.001015059537950688,44,13,31,3.703438825766878e-5,1.666375051032736e-6,3,1.2348484439141867e-4,6,1,"Dallas County, Texas"
481130127011,0.0026697695249506496,63,27,36,0.0016088490364048929,1.664278427123744e-6,3,1.466420422958751e-4,13,1,"Dallas County, Texas"
481130063013,7.842906814231988e-4,28,0,28,0,1.6803362016672296e-6,3,8.991997122589583e-5,6,1,"Dallas County, Texas"
481130079141,0.012555831179845201,382,318,64,0.002835625321078767,1.669460230118398e-6,3,0.004432099889436515,2,1,"Dallas County, Texas"
481130109042,0.009966381748613197,407,316,91,0.01416971980753691,1.6869949558850818e-6,3,0.0034082731783854096,5,1,"Dallas County, Texas"
481130165201,0.0015831073362344789,61,7,54,5.812089837371114e-4,1.679675755392179e-6,3,9.568748415340485e-5,5,1,"Dallas County, Texas"
481130141232,0.001573477830448382,39,2,37,2.958983400305208e-5,1.656676904929939e-6,3,9.75063849537393e-5,9,1,"Dallas County, Texas"
481130166051,0.0023320841794206002,66,11,55,6.743495425615116e-4,1.6751541141785044e-6,3,1.3555124616214511e-4,5,1,"Dallas County, Texas"
481130177032,0.004544172449610875,88,36,52,3.1692042740795765e-4,1.6750446818168875e-6,3,3.183717907113806e-4,4,1,"Dallas County, Texas"
481130053003,8.470579010581597e-4,28,9,19,1.1748249870409611e-5,1.6486442374113648e-6,3,1.209387511153729e-4,6,1,"Dallas County, Texas"
481130170031,0.004450582736981713,76,14,62,3.7744849111712435e-4,1.6790524771061195e-6,3,1.2008639862722281e-4,4,1,"Dallas County, Texas"
481130001002,0.0019127736877699792,108,59,49,7.441999796496524e-4,1.6679287327411072e-6,3,5.408175940400882e-4,2,1,"Dallas County, Texas"
481130131012,0.001729028257297091,47,0,47,0,1.668972630517832e-6,3,8.991997122589583e-5,2,1,"Dallas County, Texas"
481130169021,0.003271706614003247,113,25,88,0.0050459150892526545,1.6851329148586595e-6,3,2.2338914289724493e-4,5,1,"Dallas County, Texas"
481130057003,9.919166319801683e-4,52,29,23,2.9634392035293147e-4,1.6703274677000426e-6,3,1.9601541885929118e-4,6,1,"Dallas County, Texas"
481130131054,0.0013952419499942265,42,2,40,8.991007553884906e-8,1.6701907691896568e-6,3,1.319623026103221e-4,2,1,"Dallas County, Texas"
481130164132,0.0016151249694782099,64,11,53,1.388810966823422e-4,1.6751877885510966e-6,3,1.189628421449262e-4,12,1,"Dallas County, Texas"
481130046001,5.040929681407975e-4,56,38,18,4.0798123919808915e-4,1.653422750435677e-6,3,3.7999883836122266e-4,6,1,"Dallas County, Texas"
481130166161,0.005940439986846316,87,6,81,6.846695066605042e-5,1.6794867488495516e-6,3,9.444065906436603e-5,5,1,"Dallas County, Texas"
481130073012,0.01083430601868611,334,296,38,0.0016011738299637284,1.6628310696659705e-6,3,0.006232566153969265,2,1,"Dallas County, Texas"
