GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
310550036005,0.00795994459193313,18,0,18,0,1.1722092627975947e-5,3,3.0181086519212726e-4,1,1,"Douglas County, Nebraska"
310550062023,0.0038340759238804784,19,2,17,4.001710654936461e-4,1.1676377520637997e-5,3,3.3901019171993e-4,1,1,"Douglas County, Nebraska"
310550066022,0.04284236376595731,157,103,54,0.008602325094260578,1.1948287810356776e-5,2,0.003098617351343075,1,1,"Douglas County, Nebraska"
310550061025,0.005926150553942573,58,42,16,0.008123962357833324,1.1724566484154248e-5,2,0.0010805181701933552,1,1,"Douglas County, Nebraska"
310550074613,0.06877281678776322,55,0,55,0,1.1894142134998514e-5,3,3.0408870965452085e-4,1,1,"Douglas County, Nebraska"
310550074515,0.10997556142655021,119,72,47,0.003354541963412933,1.1869717975500902e-5,3,0.0012743016660454027,1,1,"Douglas County, Nebraska"
310550054002,0.006085874600546277,31,0,31,0,1.1966875688095352e-5,3,3.132278316101651e-4,1,1,"Douglas County, Nebraska"
310550074634,0.042253576205831665,43,5,38,0.0017327169544911478,1.1864366561469282e-5,3,7.239682904935721e-4,1,1,"Douglas County, Nebraska"
310550067032,0.04224718043702893,93,73,20,8.694132182035407e-4,1.1653110215116415e-5,3,0.0015160992111192977,1,1,"Douglas County, Nebraska"
310550074683,0.014984014590400234,44,22,22,8.318108116495212e-4,1.163710841130196e-5,3,0.0010146782876499197,1,1,"Douglas County, Nebraska"
310550075132,0.28712231840065,110,21,89,0.003612303914723269,1.196487113833784e-5,3,5.155869540319055e-4,1,1,"Douglas County, Nebraska"
310550074461,0.07950296057200146,87,44,43,0.0014278925972474354,1.1833199223742131e-5,3,9.141856045011997e-4,1,1,"Douglas County, Nebraska"
310550053002,0.002954945968843935,19,0,19,0,1.1909015124449208e-5,3,3.280926309146062e-4,1,1,"Douglas County, Nebraska"
310550066031,0.006518145119243683,22,6,16,4.0008055465044713e-4,1.177038336138608e-5,2,4.2235810518680996e-4,1,1,"Douglas County, Nebraska"
310550065032,0.031013121219247965,95,41,54,0.001857886985575157,1.1838522552385461e-5,2,0.001067189735518605,1,1,"Douglas County, Nebraska"
310550068063,0.07342411795084466,296,289,7,0.0028429908403026674,1.1472494693971205e-5,2,0.017563852919877252,1,1,"Douglas County, Nebraska"
310550073122,0.012088309811699595,22,0,22,0,1.1815023984498687e-5,2,3.2114452370165343e-4,1,1,"Douglas County, Nebraska"
310550029003,0.006295959621195891,24,3,21,6.275116758987727e-4,1.1804145615940319e-5,3,3.4958903928805694e-4,1,1,"Douglas County, Nebraska"
310550069063,0.014800506475955847,39,8,31,0.0025379854613725573,1.1766367016519978e-5,3,5.452657941056023e-4,1,1,"Douglas County, Nebraska"
310550069051,0.07082665632663179,206,165,41,0.0060266468624239865,1.165650607886792e-5,2,0.009145173689256275,1,1,"Douglas County, Nebraska"
310550074091,0.3120940870261439,312,295,17,0.007945846716008004,1.1720581340834507e-5,2,0.021180502873428216,1,1,"Douglas County, Nebraska"
310550038001,0.004173637473382255,33,15,18,6.71577526416236e-4,1.170343495816022e-5,3,5.475941257345934e-4,1,1,"Douglas County, Nebraska"
310550074692,0.1447034692806351,105,26,79,9.008770500705984e-4,1.1925205113527954e-5,2,4.5656236927630673e-4,1,1,"Douglas County, Nebraska"
310550074451,0.10572034948154439,230,175,55,0.01742867583929412,1.1923356663367872e-5,2,0.005122068278189294,1,1,"Douglas County, Nebraska"
310550074651,0.017626945855888677,34,11,23,0.0027770989464537842,1.1748810432943663e-5,3,4.544005318512724e-4,1,1,"Douglas County, Nebraska"
310550075172,0.28530926417705366,104,25,79,5.560986206147497e-4,1.1879447368108435e-5,3,5.820962049958227e-4,1,1,"Douglas County, Nebraska"
310550059013,0.0013366963325381557,12,0,12,0,1.158144652267068e-5,3,3.0181086519212726e-4,1,1,"Douglas County, Nebraska"
310550071012,0.02292573240653881,123,90,33,0.004646639203090814,1.1703845883757403e-5,3,0.004999501861953227,1,1,"Douglas County, Nebraska"
310550074312,0.04446902669181588,54,10,44,5.632263495166721e-4,1.1843289592117107e-5,3,3.5681506935187637e-4,1,1,"Douglas County, Nebraska"
310550075052,0.31832928884186074,110,23,87,0.001241175192788096,1.197490060832495e-5,2,4.4762402253269395e-4,1,1,"Douglas County, Nebraska"
310550036001,0.013814400357158621,82,56,26,0.0032031916709336066,1.1729654913552443e-5,3,0.0027418557078599183,1,1,"Douglas County, Nebraska"
310550067013,0.03688519700024542,44,0,44,0,1.1887920683793196e-5,3,3.0181086519212726e-4,1,1,"Douglas County, Nebraska"
