GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
220330040142,0.11941608734313215,66,0,66,0,4.334821622090251e-5,2,5.038258895898498e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330035043,0.03162926576212614,75,0,75,0,4.517119884361731e-5,2,5.052153847663658e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330033001,0.017693277970772362,112,87,25,0.00709543558683292,4.2736869096969954e-5,2,0.003440083680785774,1,1,"East Baton Rouge Parish, Louisiana"
220330040162,0.7458525381802804,204,92,112,0.03094384655653935,4.3907793633369924e-5,2,0.005823820044655163,1,1,"East Baton Rouge Parish, Louisiana"
220330010005,0.005957047709202899,24,9,15,4.530825626621099e-4,4.051699688019124e-5,2,9.459583238781592e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330011032,0.02823359493075873,87,27,60,0.007089201767261654,4.366430879399179e-5,2,0.0012476057177657084,1,1,"East Baton Rouge Parish, Louisiana"
220330049003,0.09115768661203376,61,0,61,0,4.236031685517007e-5,2,4.990364915713815e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330039102,0.1509265147676329,229,205,24,0.009081339296846111,4.2642104814293634e-5,2,0.019722187842480032,1,1,"East Baton Rouge Parish, Louisiana"
220330047002,0.02552429439410855,52,3,49,1.9618196886023775e-4,4.42008486562942e-5,2,5.208011879132924e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330019002,0.042893158337865805,56,17,39,8.406489039478413e-4,4.007212983370066e-5,2,0.0011949694153851457,1,1,"East Baton Rouge Parish, Louisiana"
220330020001,0.1966574572346301,320,265,55,0.008406515231997622,4.1851510839541305e-5,2,0.024411485047146964,1,1,"East Baton Rouge Parish, Louisiana"
220330039041,0.034222579081830996,45,4,41,1.100085806692922e-5,4.2813717515091834e-5,2,6.997377563992265e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330040151,0.17092271236881187,108,15,93,0.006322193131064222,4.434983147064041e-5,2,8.898215609600444e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330009004,0.009573145916736102,23,2,21,3.850300323425227e-5,4.119294776734223e-5,2,5.157477821151288e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330043022,0.03419328388583186,50,5,45,5.365668522144727e-4,4.288164665523156e-5,2,5.259050971611819e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330040143,0.21992478150472466,130,80,50,0.00527767038844903,4.213009774182676e-5,2,0.007406071952803929,1,1,"East Baton Rouge Parish, Louisiana"
220330018002,0.09204492170797249,275,240,35,0.005115001747914115,4.171185450905147e-5,2,0.016426129765489777,1,1,"East Baton Rouge Parish, Louisiana"
220330036043,0.013574814340709774,39,9,30,5.614104566822879e-4,4.254051984515251e-5,2,7.28368550182171e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330024002,0.016025235326625826,33,1,32,6.600514840157532e-5,4.137873960359168e-5,2,5.349623871719539e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330010002,0.002160131540375491,13,0,13,0,4.309787527474896e-5,2,5.273224789110264e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330026011,0.17325081627044356,195,143,52,0.013370992937449122,4.220834036805673e-5,2,0.012957726187084174,1,1,"East Baton Rouge Parish, Louisiana"
220330020002,0.1287179650441521,240,179,61,0.01044599574004868,4.2149631190727085e-5,2,0.007714038817550928,1,1,"East Baton Rouge Parish, Louisiana"
220330006024,0.009834271344331354,38,12,26,0.0012324627987649703,4.2140750105351876e-5,2,9.048039809877376e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330002005,0.013862240291514729,70,29,41,0.0012474973047897737,4.241241835609467e-5,2,0.001337931124290584,1,1,"East Baton Rouge Parish, Louisiana"
220330011021,0.02049836174531178,106,67,39,0.0064677318640377745,4.2326250740709385e-5,2,0.0020646392451742295,1,1,"East Baton Rouge Parish, Louisiana"
220330045033,0.03786519616372189,101,39,62,0.009002918894340423,4.3713936002797696e-5,2,0.00146636256806484,1,1,"East Baton Rouge Parish, Louisiana"
220330032021,0.015198072330949332,38,0,38,0,4.401989699344103e-5,2,5.051643774961565e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330011041,0.027497677694294422,87,28,59,0.010801969537750929,4.429875077522814e-5,2,0.001416753381027067,1,1,"East Baton Rouge Parish, Louisiana"
220330042043,0.01699344728553543,58,37,21,8.576347526535642e-4,4.218519299725796e-5,2,0.0016676169812020777,3,1,"East Baton Rouge Parish, Louisiana"
220330040111,0.11909641955164804,97,30,67,0.0026593177442443684,4.259850905218317e-5,2,0.0012445957791834572,1,1,"East Baton Rouge Parish, Louisiana"
220330007023,0.005102040467126549,21,10,11,2.6072033618622245e-4,3.978832610512076e-5,2,7.980814859011214e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330042051,0.016229588952861362,57,21,36,0.002693525174328677,4.3554006968641115e-5,2,0.0011020873989507785,3,1,"East Baton Rouge Parish, Louisiana"
220330040093,0.20095566934284592,121,47,74,0.005760721558503785,4.3303165461395225e-5,2,0.004626210535040997,1,1,"East Baton Rouge Parish, Louisiana"
220330045051,0.14556785494961064,117,21,96,0.0058351345055708,4.3911649760681505e-5,2,9.834954208228807e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330031031,0.0020404815508354864,23,13,10,0.0014154568342044968,4.144047076374787e-5,2,7.471778436835007e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330034005,0.01509894690444165,90,45,45,0.01610554432769565,4.3913578078341826e-5,2,0.0013740748983382936,1,1,"East Baton Rouge Parish, Louisiana"
220330040131,0.05520973117447118,64,25,39,0.0016783642457445015,4.2450227108715035e-5,2,0.0019025515115946414,1,1,"East Baton Rouge Parish, Louisiana"
220330007022,0.010394358734747458,26,0,26,0,4.2020337843516266e-5,2,4.990364915713815e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330037012,0.013697321622409416,30,10,20,2.200171613385844e-4,4.067024564828371e-5,2,6.879318264768794e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330037021,0.0308728369604763,98,61,37,0.00233689656364625,4.236390595212879e-5,2,0.0019127098426243154,1,1,"East Baton Rouge Parish, Louisiana"
220330043012,0.05889745276202025,79,10,69,9.928274405403622e-4,4.331629559040111e-5,2,5.502822852223817e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330006012,0.004180312328729872,32,0,32,0,4.362050163576881e-5,2,5.139987849694652e-4,1,1,"East Baton Rouge Parish, Louisiana"
220330017004,0.04972360970985156,139,110,29,0.0043411786913029994,4.118446521971912e-5,2,0.0067394767820194695,1,1,"East Baton Rouge Parish, Louisiana"
