GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
510594826012,0.525930952147919,305,240,65,0.026834175035989692,6.874978515692138e-6,3,0.011939157257304,2,1,"Fairfax County, Virginia"
510594615001,0.03097905433509491,20,0,20,0,6.863841966902554e-6,3,2.3216055466050112e-4,1,1,"Fairfax County, Virginia"
510594825032,0.02914039944900281,24,0,24,0,6.8059157019281165e-6,3,2.3216055466050112e-4,2,1,"Fairfax County, Virginia"
510594324021,0.017790201829306816,35,4,31,2.3255481138015913e-4,6.845892122431935e-6,3,2.444699998080503e-4,8,1,"Fairfax County, Virginia"
510594509001,0.00865754486661993,11,0,11,0,6.767594052638346e-6,3,2.3216055466050112e-4,1,1,"Fairfax County, Virginia"
510594202031,0.01841094262005825,62,30,32,0.003085704199820635,6.829434864264982e-6,3,0.0011765802554621692,3,1,"Fairfax County, Virginia"
510594322022,0.037309415823862956,44,5,39,3.235493350124983e-4,6.895362868470953e-6,3,2.457033848448885e-4,8,1,"Fairfax County, Virginia"
510594506012,0.04776001384362597,61,37,24,0.0025232282219659857,6.837045849229465e-6,3,0.0011599094327234378,1,1,"Fairfax County, Virginia"
510594505002,0.03279853606907137,37,3,34,7.652444647979594e-5,6.8261715416908426e-06,3,2.4397980267479516e-4,6,1,"Fairfax County, Virginia"
510594712022,0.11249654516971261,86,46,40,0.0068545762546563995,6.871529877411907e-6,3,0.001989329430270514,1,1,"Fairfax County, Virginia"
510594220001,0.04079012508628143,113,51,62,0.008773853857824036,6.9076038903625115e-6,2,9.957027575741683e-4,3,1,"Fairfax County, Virginia"
510594805031,0.02903721506334736,48,20,28,2.81450951208808e-4,6.741906341437104e-6,3,6.989350850915599e-4,4,1,"Fairfax County, Virginia"
510594214004,0.009396068991117803,47,23,24,0.001411746840434802,6.77181030804965e-6,3,8.551879596664584e-4,7,1,"Fairfax County, Virginia"
510594712023,0.031420787639129734,13,0,13,0,6.698103097202872e-6,3,2.4172687111874284e-4,1,1,"Fairfax County, Virginia"
510594914011,0.06929326887849628,64,26,38,0.004960095979544716,6.846032724036421e-6,3,4.621311454485101e-4,2,1,"Fairfax County, Virginia"
510594315001,0.03179065032235773,69,33,36,9.42463156957404e-4,6.795694248124388e-6,3,5.567110795723038e-4,8,1,"Fairfax County, Virginia"
510594408002,0.03159325432007452,37,8,29,1.264144102887019e-4,6.8257987891032945e-6,3,2.674669919721763e-4,1,1,"Fairfax County, Virginia"
510594825012,0.04068401065031166,37,4,33,1.528501281635405e-4,6.799483239273815e-6,3,2.665820925510376e-4,4,1,"Fairfax County, Virginia"
510594922021,0.04986064369170025,94,33,61,0.011693429494605865,6.921181584120041e-6,3,4.3158781833091224e-4,8,1,"Fairfax County, Virginia"
510594201002,0.05108180261327676,71,27,44,0.001271140623708029,6.856829402084475e-6,3,0.0013115825876165526,3,1,"Fairfax County, Virginia"
510594320002,0.06143970873037191,126,106,20,0.003880036472772175,6.8095306190544295e-6,3,0.0036576861366241315,8,1,"Fairfax County, Virginia"
510594701002,0.05702959469643636,43,19,24,7.099878514956653e-4,6.769289089259846e-6,3,4.4177265353600087e-4,1,1,"Fairfax County, Virginia"
510594918021,0.07195414326934031,71,47,24,8.371575680093627e-4,6.776169566867242e-6,3,0.0014278932628341344,2,1,"Fairfax County, Virginia"
510594810002,0.05746831986940603,69,33,36,0.00274573689265429,6.7519209215021665e-6,3,0.001067137015936811,4,1,"Fairfax County, Virginia"
510594306004,0.07623094407254367,214,184,30,0.008198258456930963,6.849924993321323e-6,3,0.009597641028699746,3,1,"Fairfax County, Virginia"
510594822022,0.10107155026576103,182,154,28,0.007488940726747702,6.828595426206783e-6,3,0.007162861325097497,4,1,"Fairfax County, Virginia"
510594914041,0.0805188200663018,44,0,44,0,6.881459970547351e-6,3,2.3216055466050112e-4,2,1,"Fairfax County, Virginia"
510594151002,0.024513017065821555,135,110,25,0.013078273046645593,6.854385435801826e-6,3,0.005866288223017215,7,1,"Fairfax County, Virginia"
510594310012,0.007891630398801256,19,0,19,0,6.835550330157081e-6,3,2.3216055466050112e-4,8,1,"Fairfax County, Virginia"
510594504001,0.03113325749534432,77,59,18,0.004332391074620164,6.811664293936938e-6,3,0.0019198779476167556,6,1,"Fairfax County, Virginia"
510594320001,0.04122755757797863,49,3,46,9.381698373626932e-5,6.911327666044647e-6,3,2.4069847644092547e-4,8,1,"Fairfax County, Virginia"
510594224023,0.024419330598558144,35,0,35,0,6.910897794732513e-6,2,2.385502946970287e-4,3,1,"Fairfax County, Virginia"
510594809022,0.021618615821616435,44,23,21,0.0010183515560898352,6.818398767233503e-6,3,0.0010036706583459374,4,1,"Fairfax County, Virginia"
510594155003,0.004826933595595074,60,34,26,0.005048665572665229,6.791955607778148e-6,3,7.774871058983743e-4,7,1,"Fairfax County, Virginia"
510594151001,0.011532895020892718,22,2,20,1.749130205252479e-5,6.771902024121515e-6,3,3.2331132712318857e-4,7,1,"Fairfax County, Virginia"
510594302021,0.03927091925171237,39,1,38,0.0015380419918458728,6.86252307523384e-6,3,2.3941823898461774e-4,8,1,"Fairfax County, Virginia"
510594820011,0.01242048593616234,21,6,15,1.7491302052524788e-4,6.799853123172539e-6,3,2.8831313591422427e-4,4,1,"Fairfax County, Virginia"
510594917051,0.16957367724157713,75,3,72,0.005393323729018388,6.913621216520789e-6,3,2.59460538535748e-4,2,1,"Fairfax County, Virginia"
510594505001,0.024537515471530102,40,10,30,0.004687742777000891,6.8024897112343115e-6,3,3.5267637435609675e-4,6,1,"Fairfax County, Virginia"
510594216001,0.01800606534932283,46,2,44,1.1130828578879412e-4,6.853164105867679e-6,3,2.4016146815272063e-4,7,1,"Fairfax County, Virginia"
510594219001,0.007462429876529183,27,0,27,0,6.769793182818264e-6,3,2.3216055466050112e-4,3,1,"Fairfax County, Virginia"
510594401004,0.01851344002846744,36,19,17,9.452856170613341e-4,6.829341583177966e-6,3,4.3502972807107394e-4,1,1,"Fairfax County, Virginia"
510594805041,0.05358671891787735,107,78,29,0.003919403260378704,6.785411365564038e-6,3,0.0043477535745936186,4,1,"Fairfax County, Virginia"
510594913011,0.06102613728341943,42,6,36,2.5481646853791793e-4,6.837934123342656e-6,3,2.4738274642624474e-4,2,1,"Fairfax County, Virginia"
510594203001,0.019041020968780156,34,6,28,1.1269963936115404e-4,6.7614166520169305e-6,3,2.783971937626592e-4,3,1,"Fairfax County, Virginia"
510594617003,0.07334423387780772,36,16,20,0.0024617815050152338,6.812174718657184e-6,3,0.001025015756424628,1,1,"Fairfax County, Virginia"
510594915013,0.10710758022141502,64,11,53,0.0016412009209965587,6.888807754042008e-6,3,4.7158708516069564e-4,2,1,"Fairfax County, Virginia"
510594820021,0.021667057448989713,32,9,23,5.076452891153219e-4,6.72617085819214e-6,3,2.873513263589012e-4,4,1,"Fairfax County, Virginia"
510594527002,0.026651239811411126,35,2,33,6.0822027591733926e-5,6.7991133956132114e-6,3,3.283629544892227e-4,6,1,"Fairfax County, Virginia"
510594223024,0.02357530679574338,117,100,17,0.0018037507712074087,6.750462406674858e-6,3,0.0034943917601088894,3,1,"Fairfax County, Virginia"
510594605022,0.07748958586169867,38,13,25,7.541931421375007e-4,6.782051977646357e-6,3,4.816787662060416e-4,1,1,"Fairfax County, Virginia"
510594502002,0.029001050380643517,34,17,17,0.0018276422996927892,6.729067553109166e-6,3,8.715480384684784e-4,1,1,"Fairfax County, Virginia"
510594924002,0.03164888886235116,52,1,51,4.0150488802386445e-5,6.984264452189217e-6,3,2.362201124123898e-4,3,1,"Fairfax County, Virginia"
510594920002,0.04753074717224989,71,25,46,0.0030164034339287644,6.914147036250874e-6,3,5.670092848731935e-4,2,1,"Fairfax County, Virginia"
510594905021,0.06626566058484847,49,0,49,0,6.923194084822973e-6,3,2.3216055466050112e-4,2,1,"Fairfax County, Virginia"
510594713032,0.045435937028691024,16,1,15,2.385177552617017e-6,6.73999784320069e-6,3,2.5519565074563544e-4,1,1,"Fairfax County, Virginia"
510594823011,0.07226631881740453,121,86,35,0.008897861321082461,6.795232464902624e-6,3,0.0020344403356934667,4,1,"Fairfax County, Virginia"
510594805013,0.025880393276869047,23,0,23,0,6.797218578157818e-6,3,2.3216055466050112e-4,4,1,"Fairfax County, Virginia"
510594915022,0.1472782172607313,50,0,50,0,6.842893996729097e-6,3,2.3216055466050112e-4,2,1,"Fairfax County, Virginia"
510594161002,0.004072061906462071,17,0,17,0,6.75488547091684e-6,3,2.3216055466050112e-4,7,1,"Fairfax County, Virginia"
510594504002,0.0369571828406096,40,3,37,0.002429382843258852,6.904360794277665e-6,3,2.4924919594231245e-4,6,1,"Fairfax County, Virginia"
510594601002,0.06567979390510889,42,6,36,1.1365371038220085e-4,6.783754265285495e-6,3,2.594037852544326e-4,1,1,"Fairfax County, Virginia"
510594514001,0.03537221092517582,76,58,18,0.0016768422884256646,6.727166315732824e-6,3,0.00554508509868796,6,1,"Fairfax County, Virginia"
510594611003,0.11885715581501279,79,28,51,0.0026397782193763645,6.8571115103473805e-6,3,7.633041696319428e-4,1,1,"Fairfax County, Virginia"
510594816001,0.060807793473980014,47,1,46,0.0018739544971727695,6.877768301741451e-6,3,2.438704398573297e-4,1,1,"Fairfax County, Virginia"
510594205033,0.001771528367009831,14,3,11,3.100730818402122e-5,6.645931360820905e-6,3,3.190653767445027e-4,7,1,"Fairfax County, Virginia"
