GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
131210039002,0.0013145386900573703,30,10,20,3.9641280390704457e-4,1.5396932930960152e-5,3,4.7884389032459943e-4,6,1,"Fulton County, Georgia"
131210103032,0.006722421931048417,208,71,137,0.01868373771214692,1.6274982097519693e-5,3,0.001896027653095923,4,1,"Fulton County, Georgia"
131210113012,6.788312488755182e-4,12,0,12,0,1.5449264615004324e-5,3,2.7573529411888505e-4,4,1,"Fulton County, Georgia"
131210082013,2.760066748970975e-4,25,2,23,6.455865663629012e-5,1.5250179189605479e-5,3,3.0726795836938603e-4,7,1,"Fulton County, Georgia"
131210112021,9.396085674359404e-5,8,0,8,0,1.5472211907414285e-5,3,3.0055232931052556e-4,4,1,"Fulton County, Georgia"
131210065002,0.001439770736388623,28,1,27,1.6989120167444767e-5,1.5780088684098407e-5,3,2.983640514331147e-4,4,1,"Fulton County, Georgia"
131210085002,0.00204160792642181,29,10,19,1.2685209725025426e-4,1.5230204541646995e-5,3,3.8469500638315654e-4,7,1,"Fulton County, Georgia"
131210001004,8.738905790938073e-4,54,12,42,5.554875990748857e-4,1.551301541993733e-5,3,7.829093001143148e-4,1,1,"Fulton County, Georgia"
131210060001,5.876303936818947e-5,10,1,9,4.756953646884535e-5,1.5146236917437863e-5,3,3.1038536071048664e-4,6,1,"Fulton County, Georgia"
131210113031,0.0010347903659047978,75,7,68,0.004021041591631387,1.6016913861037253e-5,3,3.100421085090823e-4,4,1,"Fulton County, Georgia"
131210097002,5.039334498046024e-4,63,27,36,3.762523813083435e-4,1.527417137620284e-5,3,6.990281029169993e-4,2,1,"Fulton County, Georgia"
131210080002,5.066093747844937e-4,24,0,24,0,1.5558390640072193e-5,3,2.7573529411888505e-4,4,1,"Fulton County, Georgia"
131210106031,0.001182632872661904,95,80,15,0.005099269709063597,1.5354614829487e-5,3,0.002851057481208812,4,1,"Fulton County, Georgia"
131210060002,0.0012041423605371742,23,9,14,3.566906229441142e-4,1.5165071806615006e-5,3,4.115500431266411e-4,6,1,"Fulton County, Georgia"
131210023003,0.0013705274249100497,18,0,18,0,1.538390535821424e-5,3,2.9355848803531493e-4,6,1,"Fulton County, Georgia"
131210063001,6.76678186663487e-4,64,40,24,0.0039494308943453715,1.552361141295911e-5,3,9.257901593697235e-4,6,1,"Fulton County, Georgia"
131210084003,9.145464116543249e-4,19,3,16,1.394240461741634e-4,1.5246691467951456e-5,3,3.3064907001215165e-4,6,1,"Fulton County, Georgia"
131210101141,4.978745699813454e-4,44,11,33,4.0465657221686665e-4,1.5511812245024587e-5,3,5.502544402016592e-4,5,1,"Fulton County, Georgia"
131210062002,1.3477751875348888e-4,16,4,12,0.0018805257113344615,1.51666818333485e-5,3,3.4988484486057425e-4,6,1,"Fulton County, Georgia"
131210076022,2.3592865272290607e-4,47,25,22,0.002374496515288753,1.5446162400951483e-5,3,6.294065233614226e-4,4,1,"Fulton County, Georgia"
131210114103,0.0010277870196571208,74,19,55,6.296734238060614e-4,1.5321443892872463e-5,3,3.995561593447626e-4,3,1,"Fulton County, Georgia"
131210114211,0.007809147116859143,218,164,54,0.006222375825442021,1.559016572346164e-5,3,0.012152458751253557,3,1,"Fulton County, Georgia"
131210061002,0.00053832542235810995,35,0,35,0,1.596449496320184e-5,3,2.7573529411888505e-4,6,1,"Fulton County, Georgia"
131210097003,0.002918800407641252,52,0,52,0,1.5687751004016063e-5,3,2.7726067648140414e-4,2,1,"Fulton County, Georgia"
131210102111,0.0015245661944601004,50,3,47,0.0011272281231099605,1.538414202639919e-5,3,3.8553477743321854e-4,2,1,"Fulton County, Georgia"
131210105123,0.0018934919655396669,81,44,37,0.00490886604472464,1.563135023603339e-5,3,0.0030336629725242737,4,1,"Fulton County, Georgia"
131210101201,0.0013958881622950611,43,0,43,0,1.572500117937509e-5,3,2.8002774973583637e-4,5,1,"Fulton County, Georgia"
131210113016,8.349488009673788e-5,17,0,17,0,1.532919445083161e-5,3,2.7573529411888505e-4,4,1,"Fulton County, Georgia"
131210114161,0.0022398431361483604,69,24,45,0.0012975157375883148,1.5247853864568562e-5,4,4.1352989439003837e-4,3,1,"Fulton County, Georgia"
131210041003,3.817055407080468e-4,71,62,9,0.0021686611893743245,1.5089556517933937e-5,3,0.0020468253030212795,6,1,"Fulton County, Georgia"
131210092001,0.008175213629175022,130,79,51,0.010305771448255811,1.577237311125832e-5,3,0.0030108948533636116,1,1,"Fulton County, Georgia"
131210091014,0.004041286535390465,72,36,36,0.0021993332929909144,1.539314081645219e-5,3,9.935637591802933e-4,2,1,"Fulton County, Georgia"
131210014001,0.005564207502459594,85,64,21,9.000148209848317e-4,1.5249481517628399e-5,3,0.004118762376301241,1,1,"Fulton County, Georgia"
131210036001,0.0013492369046787468,41,24,17,7.923698679238833e-4,1.5182570409170272e-5,3,9.974615161279564e-4,1,1,"Fulton County, Georgia"
131210092002,0.002258322389910856,88,56,32,0.0034443325466953934,1.5511331027315454e-5,3,0.0032260065421608522,2,1,"Fulton County, Georgia"
131210068011,4.1149152954261267e-7,1,1,0,0,3.3853320333658323e-6,4,0.0018678471041780845,8,1,"Fulton County, Georgia"
131210116241,0.0010909320091021372,46,5,41,3.189492802344732e-4,1.5526744817948914e-5,3,2.9035856251164984e-4,3,1,"Fulton County, Georgia"
131210094033,0.0028223925289273593,127,107,20,0.007147925808860349,1.5319096786053493e-5,3,0.006183185966743667,2,1,"Fulton County, Georgia"
