GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
450450022014,0.014441459919227304,83,28,55,0.004348863506686171,8.67227473766369e-5,2,0.00142736011253273,1,1,"Greenville County, South Carolina"
450450044001,0.026440821911072977,112,88,24,0.0026479212331660122,7.529553497477599e-5,2,0.0026589681613399256,1,1,"Greenville County, South Carolina"
450450031031,0.20045107652197852,78,14,64,0.005599213635844927,8.457374830852504e-5,2,7.238164173818863e-4,1,1,"Greenville County, South Carolina"
450450011013,0.02366820982994697,53,6,47,0.004994916643324723,8.423890152472411e-5,2,6.47739447815932e-4,1,1,"Greenville County, South Carolina"
450450040011,0.017653528376610928,57,9,48,4.3571628645233576e-4,8.16259897151253e-5,2,6.285459560264877e-4,1,1,"Greenville County, South Carolina"
450450030151,0.3825544879950773,88,2,86,6.74322824271472e-5,8.534607834769993e-5,2,5.947870560817349e-4,1,1,"Greenville County, South Carolina"
450450018033,0.022098491182200364,76,31,45,0.002732909374470484,8.35282325425994e-5,2,9.296444049779255e-4,1,1,"Greenville County, South Carolina"
450450025052,0.016022401885123497,39,0,39,0,8.574123295892996e-5,2,5.952283011136809e-4,1,1,"Greenville County, South Carolina"
450450012052,0.006754612478215859,39,23,16,0.0019617977594697895,7.818608287724784e-5,2,0.0015390404225605584,1,1,"Greenville County, South Carolina"
450450009001,0.015795311524103395,76,45,31,0.002245754359756414,7.996161842315688e-5,2,0.0027065950480073763,1,1,"Greenville County, South Carolina"
450450010002,0.03702900249580197,149,127,22,0.002802348570065106,7.937137868084768e-5,2,0.006117052355302061,1,1,"Greenville County, South Carolina"
450450020031,0.037118442632761296,92,19,73,0.002022060730550973,8.505571149102662e-5,2,7.983431347270124e-4,1,1,"Greenville County, South Carolina"
450450035002,0.00930703975830565,27,0,27,0,7.989773090444231e-5,2,5.882352941206384e-4,1,1,"Greenville County, South Carolina"
450450033043,0.056458322192272106,50,2,48,2.567613830879836e-4,7.984669434685404e-5,2,5.992339562495606e-4,1,1,"Greenville County, South Carolina"
450450035001,0.02608349136894112,51,0,51,0,8.413967185527977e-5,2,5.946169150523876e-4,1,1,"Greenville County, South Carolina"
450450023042,0.13498310285646817,286,237,49,0.0016253773614266595,8.340283569641367e-5,2,0.03660378854209939,1,1,"Greenville County, South Carolina"
450450018091,0.07359613548381941,204,156,48,0.007540324751896129,8.298066550493735e-5,2,0.011805842748556184,1,1,"Greenville County, South Carolina"
450450018054,0.043194855266851094,180,146,34,0.006616743312224312,8.095199546668825e-5,2,0.007060270095206348,1,1,"Greenville County, South Carolina"
450450020053,0.008265732321892962,18,0,18,0,7.412898443291327e-5,2,5.882352941206384e-4,1,1,"Greenville County, South Carolina"
450450032013,0.10928433458882299,71,0,71,0,8.82223202470225e-5,2,5.907222376670326e-4,1,1,"Greenville County, South Carolina"
450450018053,0.05344791182963916,211,171,40,0.01045196055038575,8.3500334001336e-5,2,0.009383254133908498,1,1,"Greenville County, South Carolina"
450450025041,0.04065780971068932,108,76,32,0.0029382320292967337,7.880220646178094e-5,2,0.0034050094936422574,1,1,"Greenville County, South Carolina"
450450010001,0.026804637912287196,86,46,40,0.0055177020856582645,8.320852055250458e-5,2,0.0015653646248234838,1,1,"Greenville County, South Carolina"
450450026091,0.08926829081127342,155,71,84,0.015332007659121669,8.716875871687587e-5,2,0.0023622646552074527,1,1,"Greenville County, South Carolina"
450450028152,0.2429100193934951,107,52,55,0.0017428651458093428,8.129420372327454e-5,2,0.002468359444433876,1,1,"Greenville County, South Carolina"
450450030122,0.1899089195609372,76,5,71,0.005171537352297366,8.524422470377632e-5,2,6.057098598395389e-4,1,1,"Greenville County, South Carolina"
450450030152,0.4125744027715115,133,40,93,0.007809177014928469,8.997660608241857e-5,2,0.0014128759271553864,1,1,"Greenville County, South Carolina"
450450025033,0.21767080201307343,254,148,106,0.0350498183774459,8.844078889183692e-5,2,0.009552564660751082,1,1,"Greenville County, South Carolina"
450450007001,0.0861577644767511,229,185,44,0.004488952220893336,8.246062505153789e-5,2,0.012868403192168783,1,1,"Greenville County, South Carolina"
450450039021,0.055636489610573055,123,31,92,0.004692508792132208,8.825346394845997e-5,2,9.054723770360588e-4,1,1,"Greenville County, South Carolina"
450450021081,0.008768341795248068,27,0,27,0,7.977026164645819e-5,2,5.954375464614071e-4,1,1,"Greenville County, South Carolina"
450450037011,0.062432484778918,117,17,100,0.014323654207255716,8.751969193068441e-5,2,0.0012212580962900454,1,1,"Greenville County, South Carolina"
450450029051,0.1746817860329938,95,7,88,0.003337935030848417,8.555051758063137e-5,2,6.311341629519697e-4,1,1,"Greenville County, South Carolina"
450450019001,0.028219592179910765,37,0,37,0,8.107012565869476e-5,2,5.882352941206384e-4,1,1,"Greenville County, South Carolina"
450450021072,0.013669775182288534,83,54,29,0.004039934731478724,7.928327915642591e-5,2,0.002330234200275129,1,1,"Greenville County, South Carolina"
450450021051,0.043629695077971396,198,153,45,0.012534031072202934,8.292561572269674e-5,2,0.005199169853074053,1,1,"Greenville County, South Carolina"
450450011012,0.011156911115721374,59,34,25,0.002804034377125785,8.065166545689168e-5,2,0.0010957518958557106,1,1,"Greenville County, South Carolina"
450450030052,0.09631935192297965,81,53,28,0.0012135217287562376,8.017317405596088e-5,2,0.0020143498544884573,1,1,"Greenville County, South Carolina"
450450019002,0.03646151214140565,95,59,36,0.006236510455955853,8.31186102568365e-5,2,0.002348800472201443,1,1,"Greenville County, South Carolina"
450450017001,0.09502957205550634,241,212,29,0.0053643121684888205,8.164598301763554e-5,2,0.022891897629374946,1,1,"Greenville County, South Carolina"
450450040021,0.016604676279786307,40,3,37,4.668388783417883e-4,8.31739166597355e-5,2,6.284620326887029e-4,1,1,"Greenville County, South Carolina"
450450033041,0.21279679764400466,105,7,98,0.006975091552291141,8.849557522123894e-5,2,6.138442949073938e-4,1,1,"Greenville County, South Carolina"
450450022022,0.00862334838370676,33,1,32,2.533897689666262e-4,8.382932349735938e-5,2,6.011974211968335e-4,1,1,"Greenville County, South Carolina"
450450018032,0.01974239635079321,42,0,42,0,8.17594636579184e-5,2,5.919787430849699e-4,1,1,"Greenville County, South Carolina"
450450023022,0.015378583890871675,98,63,35,0.0017467554697955243,7.868439688409789e-5,2,0.0023474477822756613,1,1,"Greenville County, South Carolina"
450450028151,0.2380600497472997,105,27,78,0.0026179286877677835,8.824567596187787e-5,2,0.0011331379898179958,1,1,"Greenville County, South Carolina"
450450030121,0.08462303150501568,56,9,47,0.0014141759947990692,8.249463784853984e-5,2,6.665893979077795e-4,1,1,"Greenville County, South Carolina"
