GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
390610244004,0.024538566234624498,42,13,29,0.004383941122963698,7.122557852976161e-6,3,4.8754687309175265e-4,2,1,"Hamilton County, Ohio"
390610072001,0.04276337814846926,55,45,10,5.624744867488603e-4,6.972965811548626e-6,3,0.0020297147073712455,5,1,"Hamilton County, Ohio"
390610215012,0.046460112864572634,27,3,24,2.143113095730312e-4,7.05965407695023e-6,3,2.380832029598645e-4,7,1,"Hamilton County, Ohio"
390610038001,0.014306597779762998,29,10,19,8.498947968062331e-4,7.086569533420262e-6,3,3.1852110761216174e-4,2,1,"Hamilton County, Ohio"
390610227002,0.022325818274240534,32,4,28,2.154827861848452e-4,7.1788539677525875e-6,3,2.6877402470504985e-4,7,1,"Hamilton County, Ohio"
390610083001,0.057065466443098144,63,15,48,0.001872078691726422,7.254788160185723e-6,3,2.862634654579954e-4,6,1,"Hamilton County, Ohio"
390610243225,0.02748740175524555,34,3,31,7.407866810000275e-5,7.0667382762812e-6,3,2.6578174920514013e-4,1,1,"Hamilton County, Ohio"
390610097004,0.04199688539095676,44,12,32,0.0012584415226439538,7.201705363830155e-6,3,3.1464516041561423e-4,4,1,"Hamilton County, Ohio"
390610092002,0.04147337879808284,36,2,34,1.50052371895587e-4,7.220529409216284e-6,3,2.274440606440784e-4,4,1,"Hamilton County, Ohio"
390610074001,0.009989223343623147,17,1,16,1.8605805011163482e-5,7.135059542071879e-6,3,2.3870878958896612e-4,9,1,"Hamilton County, Ohio"
390610102022,0.054513592493164155,33,6,27,0.0010179270376802002,7.142806122813409e-6,3,3.03467569263733e-4,4,1,"Hamilton County, Ohio"
390610070001,0.03253313782040964,57,40,17,0.0010640453154717607,7.080047011512156e-6,3,0.0013320838189169336,9,1,"Hamilton County, Ohio"
390610083003,0.11313400874154979,84,11,73,0.0012723811098904125,7.253577827263297e-6,3,2.7433096125565595e-4,6,1,"Hamilton County, Ohio"
390610204041,0.14773631393138015,56,0,56,0,7.302041650845577e-6,3,2.152080344340157e-4,4,1,"Hamilton County, Ohio"
390610254011,0.013213622560552585,14,0,14,0,7.007070133764969e-6,3,2.3075591792859478e-4,2,1,"Hamilton County, Ohio"
390610056003,0.013202565840605982,19,4,15,3.617795418837344e-5,7.051390534213346e-6,3,3.512693183123648e-4,2,1,"Hamilton County, Ohio"
390610227003,0.01934991894250343,26,4,22,3.52114859836269e-4,7.124587664488918e-6,3,2.761654787432491e-4,7,1,"Hamilton County, Ohio"
390610207424,0.03968169317836812,22,4,18,1.4815733620000551e-5,7.139593328763994e-6,3,2.2713977035801857e-4,6,1,"Hamilton County, Ohio"
390610241002,0.014127320305802172,15,3,12,7.432805807898838e-5,7.020499859590003e-6,3,2.830181599410029e-4,1,1,"Hamilton County, Ohio"
390610009001,0.025959427099788712,49,37,12,8.783515059873282e-4,6.948884009228118e-6,3,0.0024802746608737158,3,1,"Hamilton County, Ohio"
390610221021,0.024888081039332297,57,30,27,0.0025603655007028856,7.1867476373567144e-6,3,7.094956297492977e-4,6,1,"Hamilton County, Ohio"
390610205021,0.11376700845191508,44,0,44,0,7.282313445335314e-6,3,2.152080344340157e-4,6,1,"Hamilton County, Ohio"
390610018002,0.02885542238928512,26,2,24,8.308525593318449e-4,7.100911046887316e-6,3,3.2427525114095494e-4,5,1,"Hamilton County, Ohio"
390610079002,0.00834109250773321,14,0,14,0,7.208350152817023e-6,3,2.2857662122589728e-4,9,1,"Hamilton County, Ohio"
390610077001,0.05543766264952731,54,3,51,0.003102093038213108,7.247006986114735e-6,3,3.342788884938254e-4,4,1,"Hamilton County, Ohio"
390610260013,0.6004809548388472,103,47,56,0.003507957181053186,7.24942367081817e-6,3,0.0012011167592934256,10,1,"Hamilton County, Ohio"
390610250021,0.04176464843842175,22,0,22,0,7.090840760989031e-6,3,2.152080344340157e-4,8,1,"Hamilton County, Ohio"
390610215053,0.03143595093518924,26,1,25,4.021413411143007e-5,7.141071874888421e-6,3,2.2016445557503377e-4,7,1,"Hamilton County, Ohio"
390610214014,0.06862448699172899,38,3,35,6.07582899197883e-4,7.2246505075316984e-6,3,2.4921530079759777e-4,4,1,"Hamilton County, Ohio"
390610204031,0.10274576287894725,50,0,50,0,7.275055290420207e-6,2,2.166834491075114e-4,4,1,"Hamilton County, Ohio"
390610100031,0.1605997966396534,113,30,83,0.012791921635105712,7.293414047115455e-6,2,5.573841477942749e-4,4,1,"Hamilton County, Ohio"
390610213043,0.10486367372691102,54,14,40,0.005115727614952372,7.158759816449398e-6,3,2.765147735549729e-4,4,1,"Hamilton County, Ohio"
390610068003,0.04955608415272154,66,16,50,0.0027655855611077628,7.208609963740692e-6,3,3.7234449364200215e-4,5,1,"Hamilton County, Ohio"
390610214211,0.0880538211586094,58,39,19,2.2120234846605475e-4,7.145868616059625e-6,3,6.455271450572943e-4,4,1,"Hamilton County, Ohio"
390610215041,0.02802865237395816,33,12,21,0.0014198746242593914,7.126872585771912e-6,3,3.358661377469056e-4,7,1,"Hamilton County, Ohio"
390610069002,0.022453513817243056,19,3,16,5.202734364232751e-5,7.078994499621273e-6,3,2.4700929217611237e-4,5,1,"Hamilton County, Ohio"
390610207012,0.5230460109442356,321,286,35,0.01120096697682905,7.19170939740667e-6,3,0.010834130213638295,6,1,"Hamilton County, Ohio"
390610260011,0.5544287224237234,94,26,68,0.002462830228428095,7.292828961282371e-6,3,5.931697440427003e-4,10,1,"Hamilton County, Ohio"
390610101003,0.06863131011721411,62,28,34,0.001676331348714132,7.2298738387015146e-6,3,5.242626212077237e-4,4,1,"Hamilton County, Ohio"
390610099021,0.10035781372491932,58,4,54,5.542118029714159e-4,7.268234182505361e-6,3,2.3143803945859274e-4,4,1,"Hamilton County, Ohio"
390610267002,0.018968177319406705,45,23,22,9.69960484814119e-4,7.071235627713587e-6,3,7.276184319902857e-4,13,1,"Hamilton County, Ohio"
390610251022,0.04303415504594329,21,2,19,1.8147550924777422e-4,6.958264330545389e-6,3,2.7693555828419656e-4,8,1,"Hamilton County, Ohio"
390610244002,0.03192857442693113,33,0,33,0,7.136434351940396e-6,3,2.152080344340157e-4,1,1,"Hamilton County, Ohio"
390610052003,0.03373025504796723,65,41,24,0.0036032405602611493,7.088327650857333e-6,3,0.0019218095476876945,2,1,"Hamilton County, Ohio"
390610039003,0.015413671153762834,21,5,16,3.242233799167562e-4,7.10929113258117e-6,3,2.7440999762656787e-4,2,1,"Hamilton County, Ohio"
390610207072,0.3204747330211371,131,47,84,0.004827519757592941,7.281146926263824e-6,3,7.383499121209795e-4,6,1,"Hamilton County, Ohio"
390610266003,0.02069697697435325,56,49,7,3.753548885029907e-4,6.938325227056694e-6,3,0.0011377427624630631,2,1,"Hamilton County, Ohio"
390610217021,0.07271794068351776,102,65,37,0.0063378673087802345,7.213654004299338e-6,3,0.0013846622339395579,6,1,"Hamilton County, Ohio"
390610214013,0.12364780628264711,58,21,37,4.351198843880561e-4,7.184114486048449e-6,3,3.5950875745213885e-4,4,1,"Hamilton County, Ohio"
390610208112,0.18081952760760392,91,35,56,0.0016960938638251968,7.2577894224976955e-6,3,5.423081890052463e-4,4,1,"Hamilton County, Ohio"
390610268001,0.04894269561606065,44,8,36,7.952603434493782e-4,7.131141695785495e-6,3,7.489004398593601e-4,3,1,"Hamilton County, Ohio"
390610248003,0.02406727227808762,30,6,24,3.429325505113151e-4,7.083708179557835e-6,3,4.380197719907464e-4,2,1,"Hamilton County, Ohio"
390610081002,0.01772270479125431,25,0,25,0,7.237094451319684e-6,3,2.152080344340157e-4,6,1,"Hamilton County, Ohio"
390610026001,0.40873001621650906,125,75,50,0.010416245821077134,7.199164896871963e-6,3,0.0037154594998692436,5,1,"Hamilton County, Ohio"
390610030002,0.8441128907723311,121,85,36,0.007937873838859952,7.170309183732003e-6,3,0.00791424668087495,5,1,"Hamilton County, Ohio"
390610050004,0.021549708950659018,18,0,18,0,7.069236098347212e-6,3,2.2126410014459218e-4,2,1,"Hamilton County, Ohio"
390610209011,0.12289375801273451,62,19,43,3.7587417750528635e-4,7.204247624399347e-6,3,4.7849298479073844e-4,4,1,"Hamilton County, Ohio"
390610205023,0.06647619419507182,31,0,31,0,7.292563044207517e-6,3,2.152080344340157e-4,6,1,"Hamilton County, Ohio"
390610227001,0.014751280854729536,18,0,18,0,7.146277146920313e-6,3,2.2084388887292047e-4,7,1,"Hamilton County, Ohio"
390610239023,0.07950922323665459,130,95,35,0.002638029149750806,7.090790481322858e-6,3,0.003724164658664316,1,1,"Hamilton County, Ohio"
390610212024,0.05757576106196386,35,13,22,6.684307726232806e-5,7.123166674977028e-6,3,2.613145690195451e-4,4,1,"Hamilton County, Ohio"
