GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
250138103001,0.032336173831709975,33,12,21,0.004654998815446576,3.2460155159541666e-5,3,8.041975257245967e-4,7,1,"Hampden County, Massachusetts"
250138001022,0.05969528088294853,55,23,32,0.0033435501066098076,3.278688524590164e-5,3,0.0010719620450390095,1,1,"Hampden County, Massachusetts"
250138129031,0.006388554509971285,10,4,6,9.846600331674957e-5,3.0098723814110284e-5,4,9.875467143542153e-4,4,1,"Hampden County, Massachusetts"
250138111023,0.07733169288918304,24,0,24,0,3.173394262503173e-5,3,4.4510385756838173e-4,3,1,"Hampden County, Massachusetts"
250138134041,0.0612618344730962,45,3,42,3.5536602700781806e-5,3.2762179340169704e-5,3,4.8412594353215114e-4,6,1,"Hampden County, Massachusetts"
250138017006,0.03790048257552629,31,8,23,1.1549395877754087e-4,3.0490593651858403e-5,3,5.621784099861083e-4,1,1,"Hampden County, Massachusetts"
250138017004,0.0535679095598805,44,4,40,0.0014291637052831084,3.225494307002548e-5,3,5.140230286753983e-4,1,1,"Hampden County, Massachusetts"
250138005002,0.06433828085094673,36,0,36,0,3.315759806359627e-5,3,4.4510385756838173e-4,1,1,"Hampden County, Massachusetts"
250138120013,0.031545871247395704,27,13,14,8.684257285003553e-4,3.075314450902605e-5,3,9.613267567001428e-4,5,1,"Hampden County, Massachusetts"
250138134013,0.03637100807832358,57,30,27,0.006189686488193952,3.273643893017317e-5,3,0.0014936258336380257,6,1,"Hampden County, Massachusetts"
250138128004,0.07728519355482973,45,0,45,0,3.410175965079798e-5,3,4.495905834006857e-4,4,1,"Hampden County, Massachusetts"
250138025001,0.04169560599340413,37,5,32,0.0013638651978204218,3.225910513242363e-5,3,9.423702567740492e-4,1,1,"Hampden County, Massachusetts"
250138101001,0.07270679061756022,39,0,39,0,3.3191715347849174e-5,3,4.49165460133418e-4,7,1,"Hampden County, Massachusetts"
250138111024,0.07862149264857138,28,1,27,1.7768301350390903e-5,3.2178138172925313e-5,3,4.6658783577699245e-4,3,1,"Hampden County, Massachusetts"
250138015011,0.10847208946686412,68,7,61,0.006195214404169629,3.3346672002134185e-5,3,6.198124525849457e-4,1,1,"Hampden County, Massachusetts"
250138133042,0.021519538456340814,30,8,22,2.0951788675669275e-4,3.188165529554294e-5,3,6.63729938130883e-4,6,1,"Hampden County, Massachusetts"
250138122021,0.21403494814836438,222,181,41,0.035523149558330795,3.323473694705706e-5,3,0.01435509720031861,2,1,"Hampden County, Massachusetts"
250138102001,0.017326759569013726,16,5,11,0.0031692726841980575,3.150201612903226e-5,3,6.65070864280754e-4,7,1,"Hampden County, Massachusetts"
250138124013,0.044566605871372414,25,0,25,0,3.229661208539224e-5,3,4.4510385756838173e-4,2,1,"Hampden County, Massachusetts"
250138124011,0.02902546337858855,21,0,21,0,3.273001014630314e-5,3,4.4510385756838173e-4,2,1,"Hampden County, Massachusetts"
