GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
010730112092,0.01227394020020176,46,5,41,2.808265735034661e-4,1.360599752370845e-5,2,3.118407795721771e-4,2,1,"Jefferson County, Alabama"
010730134002,0.024824181231671662,76,0,76,0,1.3916528661090778e-5,2,2.9005124238743656e-4,4,1,"Jefferson County, Alabama"
010730120021,0.07788612465137248,73,28,45,0.0013168935175367634,1.371949128126329e-5,2,5.833256576474421e-4,5,1,"Jefferson County, Alabama"
010730019021,0.004776010908411928,42,21,21,6.350973508321356e-4,1.3325870845659763e-5,3,5.000794854758263e-4,1,1,"Jefferson County, Alabama"
010730039001,0.028589044695378082,301,252,49,0.018144821026214127,1.3740793668242278e-5,2,0.006239332732455985,4,1,"Jefferson County, Alabama"
010730120012,0.08233162688162232,76,5,71,3.993422598073761e-4,1.383546860732173e-5,2,3.140862622938615e-4,5,1,"Jefferson County, Alabama"
010730023052,0.013541676620851763,54,20,34,0.00115936347999683,1.3507307453332253e-5,3,5.884311549912547e-4,1,1,"Jefferson County, Alabama"
010730144133,0.08960744350021664,93,22,71,0.003639624848184968,1.3557483731019524e-5,3,8.418638665836818e-4,1,1,"Jefferson County, Alabama"
010730136014,0.009815928196154951,37,0,37,0,1.369131559851586e-5,3,2.9005124238743656e-4,4,1,"Jefferson County, Alabama"
010730112071,0.044461731255114996,110,17,93,0.003314284607580006,1.389564371569513e-5,2,3.196979358766972e-4,2,1,"Jefferson County, Alabama"
010730059081,0.014398089570227528,46,6,40,1.4369324116973793e-4,1.3501836249729963e-5,2,3.4681015617309396e-4,2,1,"Jefferson County, Alabama"
010730118021,0.009120435859340604,33,0,33,0,1.3594529561304532e-5,3,2.9005124238743656e-4,2,1,"Jefferson County, Alabama"
010730131003,0.0014779217420364933,15,5,10,2.8145132672594323e-4,1.3409139669598798e-5,3,3.979574808084098e-4,4,1,"Jefferson County, Alabama"
010730113021,0.39875560707661567,138,15,123,8.630965768521434e-4,1.3979952747759712e-5,2,3.709761575729445e-4,5,1,"Jefferson County, Alabama"
010730056001,0.0070043511690373265,56,38,18,3.91553669633828e-4,1.3329778725673154e-5,2,0.0011400026889759537,1,1,"Jefferson County, Alabama"
010730111092,0.035769662984339215,68,42,26,0.0012331379105253427,1.3569809886963484e-5,3,0.0011486995341604856,2,1,"Jefferson County, Alabama"
010730059104,0.0125894780158754,58,15,43,3.415525867282424e-4,1.3587325742547352e-5,2,3.344505098842225e-4,2,1,"Jefferson County, Alabama"
010730118025,0.038348655512319786,119,50,69,0.00635086640776893,1.3690003559400925e-5,2,8.786611034524943e-4,2,1,"Jefferson County, Alabama"
010730112072,0.046668190374116694,95,3,92,0.0020326346093293155,1.3898347486483857e-5,2,2.9428756399793127e-4,2,1,"Jefferson County, Alabama"
010730142044,0.04481199289446747,60,5,55,0.002268478950814428,1.3713846871185838e-5,3,2.9583503767561473e-4,1,1,"Jefferson County, Alabama"
010730140013,0.030343537906757343,66,2,64,0.0033904107877388433,1.3798051715097828e-5,3,2.9308163557510773e-4,3,1,"Jefferson County, Alabama"
010730021003,0.0014535658515881418,14,0,14,0,1.3412197051999087e-5,3,3.0627375429912617e-4,1,1,"Jefferson County, Alabama"
010730049012,0.05556255132361943,231,218,13,0.0020064812494302842,1.325609448944152e-5,2,0.008817691115879815,1,1,"Jefferson County, Alabama"
010730023061,0.007879159738413717,26,0,26,0,1.3549584705228786e-5,2,2.9005124238743656e-4,1,1,"Jefferson County, Alabama"
010730141041,0.08151390417811474,101,23,78,0.002263168548423373,1.381387189015209e-5,2,6.095244461806865e-4,3,1,"Jefferson County, Alabama"
010730034004,0.003907817247841672,29,0,29,0,1.3537111992527515e-5,3,2.9005124238743656e-4,4,1,"Jefferson County, Alabama"
010730012001,0.031765086228250916,254,215,39,0.026141421297678328,1.3678954927843512e-5,2,0.0033067189942944525,1,1,"Jefferson County, Alabama"
010730111071,0.190679105724714,130,16,114,0.003039986705251426,1.3804527885146328e-5,2,4.4051662594030264e-4,2,1,"Jefferson County, Alabama"
010730107064,0.10304830091984095,420,370,50,0.009560427500185043,1.3659895911593154e-5,2,0.014429347454360896,1,1,"Jefferson County, Alabama"
010730100021,0.022468654569409222,58,6,52,8.322962429840214e-4,1.3832023901737303e-5,3,3.1144452044196006e-4,3,1,"Jefferson County, Alabama"
010730047011,0.10484601342195578,394,371,23,0.004408526489179632,1.3363981397337895e-5,2,0.01638159907997562,1,1,"Jefferson County, Alabama"
010730008003,0.006160496262381153,18,5,13,3.467380384748024e-5,1.3004577611319185e-5,2,4.855166683508008e-4,1,1,"Jefferson County, Alabama"
010730128031,0.012350947845851213,43,0,43,0,1.3426603472119657e-5,2,2.9005124238743656e-4,1,1,"Jefferson County, Alabama"
010730144091,0.09887340571689612,282,211,71,0.013844665691467459,1.3775812428537972e-5,2,0.0077163014210762685,1,1,"Jefferson County, Alabama"
010730117052,0.34162139768385275,148,54,94,0.016163463646145484,1.3992472050037081e-5,2,0.0016128068692611295,5,1,"Jefferson County, Alabama"
010730128032,0.2185039870216062,385,324,61,0.005071844835575662,1.3610627177700348e-5,2,0.02749115805666885,1,1,"Jefferson County, Alabama"
010730052002,0.008097145751478872,29,0,29,0,1.3729662936774902e-5,2,2.9005124238743656e-4,1,1,"Jefferson County, Alabama"
010730114002,0.23637367732578776,119,44,75,0.01025393778981112,1.3911108019753774e-5,2,0.0014036116345475323,5,1,"Jefferson County, Alabama"
010730107023,0.016252833520710108,42,3,39,4.7793621519499794e-5,1.3424440536440645e-5,3,3.136805627642775e-4,1,1,"Jefferson County, Alabama"
010730107021,0.09287128950054771,307,256,51,0.005848179552410131,1.3540228017439815e-5,2,0.014702548695457465,1,1,"Jefferson County, Alabama"
010730003003,0.0033177536984060037,31,24,7,5.640673719595046e-4,1.3035940086819362e-5,3,6.447085677723777e-4,1,1,"Jefferson County, Alabama"
010730104015,0.009271324478347788,31,0,31,0,1.361618692301408e-5,3,2.945874623695768e-4,3,1,"Jefferson County, Alabama"
010730031001,0.0027341189362761814,13,0,13,0,1.3354700854700855e-5,2,2.9005124238743656e-4,1,1,"Jefferson County, Alabama"
010730103011,0.0027440289973552842,20,0,20,0,1.3451889317854693e-5,3,2.9005124238743656e-4,3,1,"Jefferson County, Alabama"
010730141024,0.028226476374747532,63,13,50,0.004215522368664377,1.3613221160390972e-5,3,4.1461291776565527e-4,3,1,"Jefferson County, Alabama"
010730129082,0.02943467814463164,54,4,50,1.4269363601377458e-4,1.3572572545400255e-5,3,3.9669978812186386e-4,1,1,"Jefferson County, Alabama"
010730127041,0.055920583376676145,220,138,82,0.006990225468082962,1.3728155073239707e-5,2,0.0024765568094235564,7,1,"Jefferson County, Alabama"
010730101003,0.0030092092285077883,37,21,16,9.030807830906793e-4,1.3399975880043416e-5,3,5.240649134208112e-4,3,1,"Jefferson County, Alabama"
010730111081,0.23111376672143594,315,266,49,0.005889869929949098,1.359508401761923e-5,2,0.012811038787365989,2,1,"Jefferson County, Alabama"
010730019023,0.005435448173225227,48,31,17,7.852032375782994e-4,1.3295397133512379e-5,3,7.548859781469292e-4,2,1,"Jefferson County, Alabama"
010730108053,0.011452146543952144,34,0,34,0,1.371497538161919e-5,2,2.9005124238743656e-4,1,1,"Jefferson County, Alabama"
010730138012,0.005571834257942427,29,3,26,2.831381604266314e-4,1.3405185125606586e-5,3,3.433355178946445e-4,3,1,"Jefferson County, Alabama"
010730059082,0.042950048372268367,182,115,67,0.011849033917316945,1.3771449031867134e-5,2,0.0029557761635656894,2,1,"Jefferson County, Alabama"
010730118031,0.0410294085634051,108,24,84,0.004961723155068034,1.3823228553260901e-5,2,3.863591526936616e-4,2,1,"Jefferson County, Alabama"
010730143021,0.29090778025090236,302,132,170,0.04230083135018811,1.4062324220947238e-5,2,0.002616006528503345,1,1,"Jefferson County, Alabama"
010730141021,0.04456992565344224,68,3,65,0.0014444919256893529,1.3710650433256554e-5,3,3.116029382370717e-4,3,1,"Jefferson County, Alabama"
010730144082,0.06401643312866355,155,87,68,0.004670756241760697,1.3727589709798753e-5,2,0.0029688771018369286,1,1,"Jefferson County, Alabama"
010730120011,0.050395980794139636,89,1,88,3.4486377880737106e-5,1.391304347826087e-5,2,2.944694081194799e-4,1,1,"Jefferson County, Alabama"
010730057021,0.005158553255957617,36,9,27,0.001551199776088445,1.364256480218281e-5,3,4.068051317705503e-4,4,1,"Jefferson County, Alabama"
010730111093,0.11779182812736604,156,84,72,0.002663677014246039,1.363623967054845e-5,2,0.0020590189157420843,2,1,"Jefferson County, Alabama"
010730143013,0.014500778918279302,36,2,34,1.2804317294668605e-4,1.3624349437314368e-5,3,3.02055769531409e-4,3,1,"Jefferson County, Alabama"
010730129084,0.03835038071011554,152,112,40,0.0036264395801753535,1.350347714536493e-5,3,0.005045364252195586,1,1,"Jefferson County, Alabama"
010730107012,0.014114710571535464,41,1,40,1.1089369698968906e-4,1.3556380988531302e-5,2,2.971863892875678e-4,1,1,"Jefferson County, Alabama"
010730036006,0.005446880811294226,40,2,38,0.00017745074029091841,1.3903371567605144e-5,2,3.140531796051126e-4,4,1,"Jefferson County, Alabama"
010730129122,0.10121307113274762,276,229,47,0.004941864927639297,1.3415255828928659e-5,2,0.011243187039438076,1,1,"Jefferson County, Alabama"
010730019022,0.002086908938719365,13,1,12,0,1.3112174654166395e-5,3,3.257580756119927e-4,1,1,"Jefferson County, Alabama"
010730131002,0.006981078413545256,27,0,27,0,1.3691503053205181e-5,3,2.952211209718081e-4,1,1,"Jefferson County, Alabama"
010730024005,0.010524239870010792,50,34,16,6.150979454024752e-4,1.3340982163106849e-5,2,0.0013613280033690593,1,1,"Jefferson County, Alabama"
010730106021,0.02036117143175707,164,125,39,0.006206673364021214,1.3620452471431101e-5,2,0.0020670281955154374,4,1,"Jefferson County, Alabama"
010730101001,4.717037276553151e-4,10,3,7,3.49861804587188e-5,1.3089176559902616e-5,3,3.025455570911583e-4,3,1,"Jefferson County, Alabama"
010730123053,0.015657946703615967,62,15,47,9.433148906182057e-4,1.3806433798149938e-5,2,3.9350955246539223e-4,3,1,"Jefferson County, Alabama"
010730029002,0.004177966707807712,28,7,21,1.6868337006882282e-4,1.3556380988531302e-5,2,5.606565882715448e-4,1,1,"Jefferson County, Alabama"
010730129062,0.05191415341780128,99,28,71,0.0010156077635048442,1.3402490182675942e-5,2,7.477177238276186e-4,1,1,"Jefferson County, Alabama"
010730129131,0.09943653167453262,256,197,59,0.010403496544189723,1.3690003559400925e-5,2,0.00816025193344538,1,1,"Jefferson County, Alabama"
010730117031,0.40761722059443295,149,17,132,0.003919695767790771,1.413727292005372e-5,2,3.248385183561591e-4,5,1,"Jefferson County, Alabama"
010730144121,0.04372530537688985,49,0,49,0,1.3570178176439456e-5,3,2.9005124238743656e-4,1,1,"Jefferson County, Alabama"
010730058001,0.08961289417655123,399,366,33,0.014599486179149716,1.3653927552260407e-5,2,0.01917833536320687,1,1,"Jefferson County, Alabama"
