GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
220510223012,0.03109325072495214,27,6,21,2.3487151146725616e-4,3.5466023549439636e-5,4,5.365323253347492e-4,1,1,"Jefferson Parish, Louisiana"
220510234001,0.08102658490932987,41,0,41,0,3.651234117131591e-5,4,4.585114257817447e-4,1,1,"Jefferson Parish, Louisiana"
220510205162,0.07969777206187485,75,25,50,0.0022070246538331644,3.7080984870958175e-5,4,0.0010006432095034123,1,1,"Jefferson Parish, Louisiana"
220510220011,0.27033387776122764,274,235,39,0.01150433996938556,3.6869077904361614e-5,3,0.022810789211559747,1,1,"Jefferson Parish, Louisiana"
220510216003,0.35436920942590094,255,189,66,0.014638218923933211,3.821753420469311e-5,3,0.02075445510725416,1,1,"Jefferson Parish, Louisiana"
220510210003,0.028617194561897336,35,8,27,5.304675061513968e-4,3.655237955990935e-5,4,6.656796097079371e-4,1,1,"Jefferson Parish, Louisiana"
220510278071,0.4546325691023948,200,137,63,0.028480403981923745,3.865630677645058e-5,4,0.015099569916592231,2,1,"Jefferson Parish, Louisiana"
220510220013,0.0769239110255968,54,9,45,5.841085628319671e-4,3.757562093713599e-5,4,8.207160383444858e-4,1,1,"Jefferson Parish, Louisiana"
220510251033,0.04500760112725735,66,40,26,8.500660096404776e-4,3.529328721677137e-5,4,0.0017186519276790873,2,1,"Jefferson Parish, Louisiana"
220510262001,0.04397121319477572,36,7,29,2.901353965183752e-4,3.6322690784933346e-5,4,7.2611100147244e-4,2,1,"Jefferson Parish, Louisiana"
220510205084,0.15074675174323368,84,9,75,0.003688250283994965,3.767471649775835e-5,4,5.645348225949455e-4,1,1,"Jefferson Parish, Louisiana"
220519800001,0.05436971115558847,122,107,15,0.009197642951442346,3.686635944700461e-5,3,0.005590790888170573,1,1,"Jefferson Parish, Louisiana"
220510201011,0.058420060002325254,83,42,41,0.005704154002026343,3.7904631946023805e-5,3,0.0020403981250486348,1,1,"Jefferson Parish, Louisiana"
220510230033,0.07513626694967528,49,6,43,8.43848822572227e-4,3.7185780157667706e-5,4,5.6460335560932e-4,1,1,"Jefferson Parish, Louisiana"
220510205163,0.03966634561816489,37,2,35,2.640385619109023e-4,3.6584473549425625e-5,4,4.958323203949708e-4,1,1,"Jefferson Parish, Louisiana"
220510279023,0.08806195887021542,46,4,42,0.0035589941972920696,3.726476616359232e-5,4,4.994133346582207e-4,2,1,"Jefferson Parish, Louisiana"
220510229001,0.06023429132404491,42,7,35,0.0010952994995548188,3.6601881336700707e-5,4,8.105223960318824e-4,1,1,"Jefferson Parish, Louisiana"
220510203033,0.08966873359555894,104,57,47,0.0026390917424352076,3.721899657585232e-5,3,0.0016872539881775763,1,1,"Jefferson Parish, Louisiana"
220510206001,0.016958459352265347,45,23,22,6.266310521629671e-4,3.6165057321615855e-5,4,9.631546831507338e-4,1,1,"Jefferson Parish, Louisiana"
220510264002,0.04492121304978348,36,1,35,7.368518006815879e-5,3.581918475535497e-5,4,4.584950539500361e-4,2,1,"Jefferson Parish, Louisiana"
220510230011,0.1429809157797134,63,1,62,8.596604341285192e-5,3.694262809856293e-5,4,4.5955485711963724e-4,1,1,"Jefferson Parish, Louisiana"
220510202033,0.1363037068870405,142,86,56,0.011672072439549644,3.71843974268397e-5,3,0.0033438293317606597,1,1,"Jefferson Parish, Louisiana"
220510230022,0.12661076317241485,74,22,52,0.014045162874950105,3.8227761000038225e-5,3,9.607577183460634e-4,1,1,"Jefferson Parish, Louisiana"
220510215002,0.05519783030360162,46,0,46,0,3.819855609457963e-5,4,4.5551169146860776e-4,1,1,"Jefferson Parish, Louisiana"
220510270002,0.13799566696797463,114,49,65,0.007663916630481981,3.8380349261178276e-5,4,0.001084472681381618,2,1,"Jefferson Parish, Louisiana"
220510205143,0.08082243394720419,66,15,51,0.002331134473991617,3.721761137370204e-5,3,7.875542083776228e-4,1,1,"Jefferson Parish, Louisiana"
220510213002,0.09156881803804368,155,127,28,0.0032217309876884344,3.690173069116942e-5,3,0.0081709312622285,1,1,"Jefferson Parish, Louisiana"
220510254002,0.03820936116334834,47,15,32,0.003672438672438671,3.64963503649635e-5,4,7.713950943402482e-4,2,1,"Jefferson Parish, Louisiana"
220510239032,0.2471088450051971,101,33,68,0.011910478354247352,3.8678734431809386e-5,3,0.0025641142899517455,1,1,"Jefferson Parish, Louisiana"
220510202022,0.08690171019136815,127,111,16,0.0016078062430646017,3.516174402250352e-5,3,0.008138152833906651,1,1,"Jefferson Parish, Louisiana"
220510224002,0.117347243541746,124,79,45,0.008864414882651968,3.7037037037037037e-5,3,0.004670297940143314,1,1,"Jefferson Parish, Louisiana"
220510227002,0.0605473464158998,81,56,25,0.0020220441497037244,3.628315373172236e-5,3,0.001979487250144086,1,1,"Jefferson Parish, Louisiana"
220510225002,0.03659303440604801,60,37,23,0.002298911827787209,3.6561734488684145e-5,4,0.0020206688480908525,1,1,"Jefferson Parish, Louisiana"
220510254003,0.05097379035807446,46,5,41,7.489791532344725e-4,3.7162287710431455e-5,4,5.431266167661592e-4,2,1,"Jefferson Parish, Louisiana"
220510278094,0.19253461755399562,88,0,88,0,4.025440785766041e-5,4,4.572494884162239e-4,2,1,"Jefferson Parish, Louisiana"
220510218032,0.06748271008077121,48,4,44,6.455128795554328e-4,3.726476616359232e-5,4,5.689879473331807e-4,1,1,"Jefferson Parish, Louisiana"
220510211001,0.07219654859017106,112,85,27,0.003782220818694982,3.6301593639960794e-5,3,0.005479364378411679,1,1,"Jefferson Parish, Louisiana"
220510278091,0.09682450692427665,64,6,58,0.0010058027079303676,3.8024259477546675e-5,4,4.8043544315201734e-4,2,1,"Jefferson Parish, Louisiana"
220510201012,0.10595963442089107,58,0,58,0,3.844822945903341e-5,4,4.6028659435435855e-4,1,1,"Jefferson Parish, Louisiana"
220510278103,0.06488379899170066,43,0,43,0,3.756432891326396e-5,4,4.6052143600219776e-4,2,1,"Jefferson Parish, Louisiana"
220510230023,0.13996556745081118,88,20,68,0.005689888463444695,3.753331081334684e-5,4,9.166596992420726e-4,1,1,"Jefferson Parish, Louisiana"
220510230031,0.061992213938788836,37,0,37,0,3.653768862581753e-5,4,4.5551169146860776e-4,1,1,"Jefferson Parish, Louisiana"
220510218033,0.0433937808585699,32,1,31,0.0014506769825918763,3.5933738186783574e-5,4,5.474292323565199e-4,1,1,"Jefferson Parish, Louisiana"
220510223031,0.027935688536530598,27,0,27,0,3.640202395253176e-5,4,4.782031262200698e-4,1,1,"Jefferson Parish, Louisiana"
220510258001,0.02196483516142283,21,0,21,0,3.6507009345794397e-5,4,4.74726824855621e-4,2,1,"Jefferson Parish, Louisiana"
220510205161,0.06098922620506713,76,38,38,0.004491045934814932,3.711125955614934e-5,4,0.0017582858942424557,1,1,"Jefferson Parish, Louisiana"
220510214001,0.1045295865340032,58,0,58,0,3.743916136278547e-5,3,4.5551169146860776e-4,1,1,"Jefferson Parish, Louisiana"
220510225003,0.14953558582754142,130,86,44,0.004367250446277802,3.619778469557663e-5,3,0.005155342990594768,1,1,"Jefferson Parish, Louisiana"
220510279012,0.20033545620484275,78,15,63,0.005546805440422462,3.7484069270560014e-5,4,7.992266435112392e-4,2,1,"Jefferson Parish, Louisiana"
220510205082,0.08405127518872178,64,0,64,0,3.7845816145025166e-5,3,4.5551169146860776e-4,1,1,"Jefferson Parish, Louisiana"
220510205121,0.050785726047515974,55,22,33,2.5022259064812257e-4,3.6408650695405226e-5,3,8.050931536715462e-4,1,1,"Jefferson Parish, Louisiana"
220510278044,0.09783493802413587,69,7,62,7.897362684596727e-4,3.7949223938370464e-5,4,5.286613256290472e-4,2,1,"Jefferson Parish, Louisiana"
220510260001,0.02416552478466384,37,15,22,7.624881029136348e-4,3.6968576709796674e-5,4,0.001229700689359347,2,1,"Jefferson Parish, Louisiana"
220510251031,0.061818496417292264,96,61,35,0.007590110834791688,3.699729919715861e-5,4,0.0022251473412581314,2,1,"Jefferson Parish, Louisiana"
220510219001,0.14012730023269107,155,107,48,0.0065082654596332395,3.685005711758853e-5,3,0.00553641358959246,1,1,"Jefferson Parish, Louisiana"
220510252011,0.033059393566854285,73,43,30,0.0030369039943508023,3.676740936833591e-5,4,0.0014827899560733,2,1,"Jefferson Parish, Louisiana"
220510205071,0.20978216760263654,197,134,63,0.011363636363636359,3.7377588397996563e-5,3,0.005429832247447648,1,1,"Jefferson Parish, Louisiana"
220510278101,0.06656468559533515,51,6,45,0.003738843054952478,3.751641343087601e-5,4,5.53278132919432e-4,2,1,"Jefferson Parish, Louisiana"
220510266002,0.08655178978836459,92,44,48,0.007608652745430861,3.7758646730101195e-5,4,0.001473285425344587,2,1,"Jefferson Parish, Louisiana"
220510205133,0.22260799214500426,214,175,39,0.011926560437198731,3.625027187703908e-5,3,0.014821101676089828,1,1,"Jefferson Parish, Louisiana"
220510261003,0.05635944851833615,64,22,42,0.0038367061847305,3.719407870267053e-5,4,7.698696186752211e-4,2,1,"Jefferson Parish, Louisiana"
220510215001,0.2420876575597813,223,198,25,0.008508522041956694,3.6943992906753366e-05,3,0.02103105981434093,1,1,"Jefferson Parish, Louisiana"
220510205141,0.1274314851860637,68,0,68,0,3.693580556991948e-5,3,4.5840059232850935e-4,1,1,"Jefferson Parish, Louisiana"
220510231002,0.11928474264617854,93,43,50,0.007918210912131884,3.804595951909907e-5,4,0.0015597016521421124,1,1,"Jefferson Parish, Louisiana"
220510228002,0.07612406675608771,48,10,38,0.003434803966718861,3.736920777279521e-5,3,5.098230417887868e-4,1,1,"Jefferson Parish, Louisiana"
220510205063,0.09918762881065307,88,34,54,0.0027922077922077925,3.749390724007349e-5,4,0.0015500830617994012,1,1,"Jefferson Parish, Louisiana"
220510253001,0.038718931496266595,79,66,13,0.0017632249547143164,3.532570298148933e-5,4,0.0025352770569280355,2,1,"Jefferson Parish, Louisiana"
220510278111,0.04334025357085692,56,30,26,0.0016757238033833779,3.6871796762656245e-5,4,0.0010512850428877941,2,1,"Jefferson Parish, Louisiana"
220510205153,0.08120023716402426,86,50,36,0.002053053329649074,3.637686431429611e-5,3,0.001783879145647821,1,1,"Jefferson Parish, Louisiana"
220510265001,0.1607088890501158,165,119,46,0.015172239108409319,3.766478342749529e-5,4,0.005730799411330603,2,1,"Jefferson Parish, Louisiana"
220510278122,0.0315083574537162,30,2,28,1.8421295017039696e-5,3.6875875802050296e-5,4,4.832590331616684e-4,2,1,"Jefferson Parish, Louisiana"
220510242011,0.23998971820370169,234,189,45,0.01493528423619609,3.7353853049942106e-5,3,0.012382227147739271,1,1,"Jefferson Parish, Louisiana"
220510218031,0.19262379982892253,212,172,40,0.023178879546660702,3.707548568886253e-5,3,0.011896375254107586,1,1,"Jefferson Parish, Louisiana"
220510216001,0.05735919073691252,42,4,38,4.8348223880138777e-4,3.672824769530246e-5,4,5.979897786696605e-4,1,1,"Jefferson Parish, Louisiana"
220510277013,0.06778410233221237,53,0,53,0,3.867275117951891e-5,4,4.6261582610285327e-4,2,1,"Jefferson Parish, Louisiana"
220510229002,0.08807415028871124,98,66,32,0.0059071720241933015,3.6382158189623806e-5,3,0.002777041229372231,1,1,"Jefferson Parish, Louisiana"
220510278062,0.25141857478051355,169,108,61,0.019638843932157,3.833326944455093e-5,4,0.0059928605345481506,2,1,"Jefferson Parish, Louisiana"
