GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
060290022002,0.0013853383191328068,8,1,7,9.681948007939197e-6,2.2452232874559376e-5,4,3.757040534676594e-4,1,1,"Kern County, California"
060290028133,0.05207798025148197,170,121,49,0.00691544662595638,2.3339946318123467e-5,4,0.005438034690334504,1,1,"Kern County, California"
060290031033,0.002187154195721589,20,10,10,4.556163366736054e-4,2.188375350140056e-5,4,4.4565961772638176e-4,1,1,"Kern County, California"
060290011033,0.011629178261456463,94,61,33,0.002799231745109655,2.2815423226100844e-5,3,0.001749440006856999,1,1,"Kern County, California"
060290012011,0.018927265776985377,106,66,40,0.004383959163694847,2.3838470523731198e-5,3,0.0017798748700176795,1,1,"Kern County, California"
060290008001,0.03237788242733259,141,117,24,0.007508494756764106,2.3343760212895093e-5,3,0.002481119467113909,1,1,"Kern County, California"
060290028081,0.05611611198770939,44,1,43,0.001693534072388698,2.3613866062151694e-5,4,3.31940918515808e-4,1,1,"Kern County, California"
060290054011,6.423590874900042e-5,35,25,10,4.986203224088687e-4,2.0650916900710394e-5,4,0.003109036367501373,2,1,"Kern County, California"
060290001015,0.39704821731415546,372,215,157,0.07192859793866725,2.4204870019847995e-5,3,0.009076339954913585,1,1,"Kern County, California"
060290005051,0.08364919131770414,72,23,49,3.5742524729308876e-4,2.3632840194734604e-5,3,7.440495288444635e-4,1,1,"Kern County, California"
060290029001,0.0101608555516184,37,1,36,1.6943409013893596e-5,2.313850710352168e-5,4,3.375493774158454e-4,1,1,"Kern County, California"
060290062021,0.026339745131873534,73,12,61,0.003981505174079121,2.3182492581602375e-5,3,8.344054067396328e-4,1,1,"Kern County, California"
060290063012,0.0021917904881987023,18,10,8,1.9985154346387825e-4,2.2495163539838932e-5,4,7.93020639019282e-4,12,1,"Kern County, California"
060290048004,0.007451047824736035,47,21,26,8.891255587290829e-4,2.2287102453809978e-5,3,9.194531147475073e-4,5,1,"Kern County, California"
060290032051,0.10218733693377305,119,48,71,0.0026377276314343656,2.317873119625432e-5,3,0.0013349188122151392,1,1,"Kern County, California"
060290009102,0.01411285695065623,34,2,32,1.4329283051750012e-4,2.3113371085172773e-5,3,3.365825775145056e-4,1,1,"Kern County, California"
060290031224,0.0204874836313148,58,0,58,0,2.4077819512664933e-5,3,3.308238903513339e-4,1,1,"Kern County, California"
060290060072,0.024024605136881306,49,8,41,0.005876458343418696,2.307284095890727e-5,3,4.989335468675704e-4,3,1,"Kern County, California"
060290028122,0.01940165136255638,45,3,42,3.1659969985961187e-4,2.3347575354299457e-5,4,3.796365608169985e-4,1,1,"Kern County, California"
060290016002,0.395015476718196,393,370,23,0.009121858841808494,2.3101624044170303e-5,3,0.06652233702790909,1,1,"Kern County, California"
060290031031,0.011788176608266338,55,27,28,0.001923318971777121,2.3220173686899178e-5,3,6.058954190282418e-4,1,1,"Kern County, California"
060290032061,0.10216323538417789,107,6,101,0.001506234482949398,2.3944066660281583e-5,3,3.7429423392239394e-4,1,1,"Kern County, California"
060290056002,5.921036493765565e-4,13,2,11,4.840974003969598e-6,2.1179261267366996e-5,3,8.108822184731565e-4,14,1,"Kern County, California"
060290030001,0.002522383843477127,23,7,16,2.0130383566506913e-4,2.2742261945373084e-5,3,3.9615302386645157e-4,1,1,"Kern County, California"
060290033042,0.022961313495207403,34,2,32,2.739184457246131e-4,2.3176045239640308e-5,3,3.4342677709174667e-4,7,1,"Kern County, California"
060290028212,0.02274054613769296,26,0,26,0,2.2708692887637386e-5,4,3.308238903513339e-4,1,1,"Kern County, California"
060290052032,6.954091006441435e-5,7,3,4,2.1784383017863194e-5,1.992309684617377e-5,4,4.5082478779425193e-4,6,1,"Kern County, California"
060290028131,0.05914947107924046,231,187,44,0.0065646258503401335,2.3012841165370277e-5,3,0.006326208975824834,1,1,"Kern County, California"
060290046044,0.0096635123363098,32,1,31,0.0022147456068160915,2.2918433295899892e-5,4,3.481658712879882e-4,5,1,"Kern County, California"
060290015002,0.0046803026850547646,17,3,14,4.437559503638798e-5,2.232093033637642e-5,4,4.6955213730760526e-4,1,1,"Kern County, California"
060290055081,1.5684270863042281e-4,18,3,15,0.004427070726630198,2.1316053119604375e-5,4,3.7058584128765444e-4,11,1,"Kern County, California"
060290041012,0.0211727675770947,65,48,17,0.002014940167866536,2.2610111241747312e-5,4,0.002815608178903609,10,1,"Kern County, California"
060290042001,0.011472740712907402,24,0,24,0,2.2834699609526637e-5,4,3.350748398116307e-4,10,1,"Kern County, California"
060290028071,0.061232418199542796,49,12,37,5.887892262970928e-4,2.2948938611589217e-5,4,4.072767211300827e-4,1,1,"Kern County, California"
060290015003,0.013259090571186311,113,97,16,0.00971880472509799,2.2372365653944245e-5,3,0.0025965375791000378,1,1,"Kern County, California"
060290028124,0.0205584726543225,55,33,22,5.132642687708767e-4,2.2461814914645103e-5,4,8.189229442751864e-4,1,1,"Kern County, California"
060290032024,0.015277380355109867,48,10,38,7.101708863823402e-4,2.345820920030965e-5,4,4.055659474098768e-4,1,1,"Kern County, California"
060290023014,0.0261926324757505,124,83,41,0.006899903641565063,2.3414268655318552e-5,3,0.001813341637980996,1,1,"Kern County, California"
060290060081,0.008169089909606186,26,0,26,0,2.3120852697047464e-5,3,3.308238903513339e-4,1,1,"Kern County, California"
060290013004,0.0045445080817750625,23,0,23,0,2.2899539719251644e-5,3,3.308238903513339e-4,1,1,"Kern County, California"
060290065001,4.22172355997943e-5,9,0,9,0,2.04398659144796e-5,4,3.427499863682405e-4,11,1,"Kern County, California"
060290050042,0.011968769291551457,66,52,14,0.0017453324942311725,2.1735350373848025e-5,4,0.008940425653190526,5,1,"Kern County, California"
060290064032,0.004713127292357958,42,27,15,0.00769655507068975,2.284774264302687e-5,4,0.0016650949007053868,9,1,"Kern County, California"
060290031141,0.021188180654076575,54,10,44,6.758652856827812e-4,2.3528858144514246e-05,4,4.781017493932588e-4,1,1,"Kern County, California"
060290055073,0.001072404494469596,25,8,17,0.0031724516306014107,2.1719299769775422e-5,3,0.0012331720201426276,11,1,"Kern County, California"
060290047011,0.018063613920174866,51,12,39,0.002479708250633361,2.275054032533273e-5,3,8.155439168007111e-4,5,1,"Kern County, California"
060290028042,0.034120365516908564,66,37,29,4.0023328884247696e-4,2.2188200315072443e-5,4,6.357204229573137e-4,1,1,"Kern County, California"
060290028191,0.12009816754849262,139,106,33,0.0035267763493062416,2.270302177219788e-5,3,0.004474402383893988,1,1,"Kern County, California"
060290052034,0.001204975247788046,10,0,10,0,2.267008229239872e-5,3,3.308238903513339e-4,6,1,"Kern County, California"
060290060073,0.05304506839698328,158,135,23,0.014679481416422889,2.3088289619504987e-5,3,0.008845276584387878,3,1,"Kern County, California"
060290038111,0.10131407299813142,89,52,37,0.004023321968570554,2.3221252089912686e-5,4,0.0014718605728344953,1,1,"Kern County, California"
060290033041,0.030886193069584466,45,11,34,7.911822811130551e-4,2.3242300987797795e-5,3,4.0796675068997514e-4,7,1,"Kern County, California"
060290007004,0.01957733736930523,68,33,35,0.0016679921714534676,2.324662342794709e-5,4,7.514855302388661e-4,1,1,"Kern County, California"
060290052013,0.004280361076917172,28,9,19,0.001911942682867793,2.273502330339889e-5,3,7.104431929665051e-4,6,1,"Kern County, California"
060290013002,0.011802568718770714,51,28,23,0.003034933390502931,2.2973718066531886e-5,4,8.200732532195523e-4,1,1,"Kern County, California"
060290060042,4.451752587097687e-4,9,0,9,0,2.1715998175856154e-5,4,3.308238903513339e-4,3,1,"Kern County, California"
060290052043,0.011129782154925539,35,11,24,0.015248295861889322,2.2825317842550957e-5,3,0.0010936358226316006,6,1,"Kern County, California"
060290021003,0.008821171801028087,58,37,21,0.001820125542592503,2.2789945076232365e-5,4,0.0012442910311902052,1,1,"Kern County, California"
060290027001,0.003932334831254512,21,4,17,5.94632973487599e-5,2.2824275899847077e-5,4,3.876325030224657e-4,1,1,"Kern County, California"
060290020002,0.02360279290970862,123,76,47,0.006518786436973979,2.3563787171874265e-5,3,0.0024523024600718603,1,1,"Kern County, California"
060290019022,0.00953829158210807,36,10,26,4.3625244065772703e-4,2.2895869585126844e-5,4,5.616710061605546e-4,1,1,"Kern County, California"
060290055072,0.0019847060301567752,32,12,20,0.00295541462942344,2.2355860588853366e-5,3,0.001951855365733607,11,1,"Kern County, California"
060290046042,0.036608581170646484,104,66,38,0.007399985861282273,2.2720043622483754e-5,4,0.006521418023694471,5,1,"Kern County, California"
060290065002,2.0009914282965926e-6,4,1,3,0.0023212470349034224,2.077274615704196e-5,4,5.507737627637895e-4,11,1,"Kern County, California"
060290060062,0.005549858129873095,33,18,15,2.4729308870278036e-4,2.23179413930859e-5,3,0.0010510648294963679,3,1,"Kern County, California"
060290022004,0.0034519698520307784,19,1,18,5.647803004631198e-5,2.2579989613204776e-5,3,3.5342201938098596e-4,1,1,"Kern County, California"
060290011032,0.004962223574999374,33,7,26,6.132822495314628e-4,2.318303002202388e-5,3,4.2595462965645505e-4,1,1,"Kern County, California"
060290047023,0.0016271393535104985,9,2,7,7.503509706152878e-5,2.1364325848697845e-5,4,3.8475981509069734e-4,5,1,"Kern County, California"
060290054044,4.2844821811274526e-4,37,24,13,0.0022393538913362703,2.241700105359905e-5,3,0.0027253254754295263,2,1,"Kern County, California"
060290060082,0.01241583647424719,33,3,30,5.244388504300399e-5,2.2950518681722205e-5,3,3.5866913264053743e-4,3,1,"Kern County, California"
060290031143,0.038880575748059434,89,49,40,0.0038511331337007866,2.3447208609815e-5,3,0.0013670671061833946,1,1,"Kern County, California"
060290009061,0.03342180419362208,91,30,61,0.0029417446409265168,2.3159942563342443e-5,3,9.231850937355559e-4,1,1,"Kern County, California"
060290031243,0.03158687316066294,35,1,34,3.630730502977199e-5,2.2428565020409992e-5,3,3.344785387649867e-4,1,1,"Kern County, California"
060290017003,0.035471756307744844,41,3,38,4.8506559519775373e-4,2.3668639053254438e-5,3,3.443266053171819e-4,1,1,"Kern County, California"
060290027005,0.055101251229390365,211,170,41,0.00606877179879068,2.317389692250649e-5,3,0.005262001545759808,1,1,"Kern County, California"
060290046031,0,0,0,0,0,4.8197416618469246e-6,0,0.002205492602342226,16,1,"Kern County, California"
060290031151,0.05209837580709076,183,147,36,0.00995367841025487,2.3597706302947353e-5,3,0.0057673155278088585,1,1,"Kern County, California"
060290005031,0.21698002675776987,114,13,101,0.0015937696664568913,2.3889725029264915e-5,3,4.7767842744286e-4,1,1,"Kern County, California"
060290044012,0.010396364701222979,33,14,19,3.267657452679479e-4,2.261215629522431e-5,4,8.240499322302899e-4,8,1,"Kern County, California"
060290038054,0.10042220842962159,71,24,47,0.0011317044608422837,2.3163161308255353e-5,3,8.548459369026142e-4,1,1,"Kern County, California"
060290028061,1,395,348,47,0.02068356858161767,2.3363940094857598e-5,3,0.05675416584800792,1,1,"Kern County, California"
060290064034,0.0012441330639529097,13,3,10,4.356876603572639e-5,2.2061418990469467e-5,4,4.179766869513095e-4,9,1,"Kern County, California"
060290033043,0.01669886166826866,50,38,12,4.885349599005987e-4,2.2234574763757643e-5,3,8.058193950248782e-4,7,1,"Kern County, California"
060290040002,0.0033198354777215938,15,0,15,0,2.2601423889705054e-5,4,3.4642446215708334e-4,10,1,"Kern County, California"
060290025003,0.025172455999307515,90,27,63,0.008167453132840168,2.3252569408919687e-5,4,6.370570454777327e-4,1,1,"Kern County, California"
060290008004,0.01158526072298002,29,0,29,0,2.3247704289201438e-5,4,3.308238903513339e-4,1,1,"Kern County, California"
060290050031,0.004519573614153491,36,20,16,6.252924755127398e-4,2.1870352550083107e-5,4,8.546371579506364e-4,5,1,"Kern County, California"
060290009081,0.035241406353227235,75,14,61,8.793629278210776e-4,2.359882005899705e-5,3,4.586274956614315e-4,1,1,"Kern County, California"
060290054014,8.207323866541219e-4,28,10,18,0.0015543560697745722,2.1660024259227168e-5,3,4.993367519658893e-4,2,1,"Kern County, California"
060290028141,0.039409106490187,133,108,25,0.001903597765775236,2.308669052291354e-5,4,0.003926633627430593,1,1,"Kern County, California"
060290018021,0.2973732951716954,381,354,27,0.01408094108534637,2.2824275899847077e-5,3,0.034893503176159,1,1,"Kern County, California"
060290012022,0.010378869647549261,57,11,46,0.002617652957489333,2.343072705546053e-5,3,5.152107963065405e-4,1,1,"Kern County, California"
060290032025,0.02981759913237897,70,6,64,7.211437607913377e-4,2.387717580764547e-5,3,3.574475169053578e-4,1,1,"Kern County, California"
060290054012,7.021117219428822e-5,39,25,14,6.123832115021542e-4,2.011546275622071e-5,4,0.002859912062836162,2,1,"Kern County, California"
060290038051,0.12635566525578648,99,30,69,0.003155371829065977,2.3669199270988663e-5,4,0.0010846901750120967,1,1,"Kern County, California"
060290049025,0.003572741257307099,38,23,15,0.002625824982653177,2.1581957483543757e-5,4,0.0022118633569467145,5,1,"Kern County, California"
060290053001,2.2544342253306225e-5,26,17,9,0.005326120282067417,1.8118239631837368e-5,4,9.181299533221912e-4,2,1,"Kern County, California"
060290031241,0.06642742984554746,133,91,42,0.005186792439781742,2.3486307482737563e-5,3,0.0017472222485186524,1,1,"Kern County, California"
060290014004,0.03996720351270487,198,160,38,0.00965227975297201,2.3359573921371674e-5,3,0.008006820813590028,1,1,"Kern County, California"
060290038072,0.30492540887734804,257,219,38,0.006492378155373751,2.3166380947968308e-5,3,0.014942947992454434,1,1,"Kern County, California"
060290057001,2.8183901397502446e-4,33,27,6,6.474802730309338e-4,2.0151945670354474e-5,4,0.008392600483470798,4,1,"Kern County, California"
060290056001,3.482765924172794e-5,11,2,9,1.4764970712107276e-4,2.0660730150203508e-5,4,4.891156520332482e-4,14,1,"Kern County, California"
060290054031,5.101683813120511e-5,34,14,20,5.357344564393022e-4,1.9885855191202498e-5,4,7.497492776055243e-4,2,1,"Kern County, California"
060290064042,0.0015322491629407482,15,1,14,2.6625357021832793e-5,2.2834699609526637e-5,4,3.332352324120596e-4,9,1,"Kern County, California"
060290032062,0.07489606838126078,109,13,96,0.001611202935935472,2.3953817040745443e-5,3,4.3655132176328786e-4,1,1,"Kern County, California"
060290037002,0.09894409940589749,123,51,72,0.0038129989372909455,2.3717477409102766e-5,3,0.0011932986034862798,1,1,"Kern County, California"
060290033031,0.018791022601859452,29,5,24,1.1497313259427796e-4,2.2808658166640057e-5,3,4.124382614494283e-4,7,1,"Kern County, California"
060290034001,0.029874731334320292,43,6,37,0.002315760597698924,2.3101624044170303e-5,4,3.919161601988193e-4,7,1,"Kern County, California"
060290014001,0.010699074198822755,49,10,39,0.002874420523885596,2.334921079667507e-5,3,5.388123091824562e-4,1,1,"Kern County, California"
060290046041,0.004819637874435703,21,0,21,0,2.312780424626486e-5,4,3.3902812979111894e-4,5,1,"Kern County, California"
060290025002,0.0047514002351706,40,5,35,0.0034184537929031313,2.3651844843897824e-5,3,4.4093913513391556e-4,1,1,"Kern County, California"
060290031234,0.059238371753679596,62,9,53,0.0010764712526827066,2.299167701292132e-5,4,5.246169754822021e-4,1,1,"Kern County, California"
060290060071,0.006560092546120422,21,0,21,0,2.2723657599927283e-5,3,3.308238903513339e-4,3,1,"Kern County, California"
060290038052,0.13451248944023428,90,6,84,3.775959723096287e-4,2.396759581046425e-5,3,3.786916921185651e-4,1,1,"Kern County, California"
060290028213,0.056489632613811874,64,5,59,0.002393054815962305,2.374845635033723e-5,3,4.2432241270301893e-4,1,1,"Kern County, California"
060290060021,5.765158753333337e-5,2,2,0,0,4.8197416618469246e-6,4,0.0022576405778266685,15,1,"Kern County, California"
060290043012,0.01769944493963093,63,31,32,0.0015347962295728184,2.2974245870379304e-5,4,0.0017412320443332705,8,1,"Kern County, California"
060290028171,0.020419186917327813,35,2,33,1.9363896015878393e-5,2.2751057924193473e-5,4,3.4711465559917877e-4,1,1,"Kern County, California"
060290031242,0.04984129451151161,55,0,55,0,2.3565453045834804e-5,3,3.3280536439977927e-4,1,1,"Kern County, California"
060290021004,0.0016466560484435775,23,11,12,0.0010135846951454253,2.2705599200762908e-5,3,8.021790548494394e-4,1,1,"Kern County, California"
060290038101,0.06409088781644487,54,23,31,3.4480413649702515e-4,2.3039351211869873e-5,4,7.825747125684861e-4,1,1,"Kern County, California"
060290063031,0.009384755494049398,41,7,34,0.0011058398283067888,2.3029800561927133e-5,3,5.931580461118108e-4,12,1,"Kern County, California"
060290064015,0.006363399141959198,28,7,21,3.2923233678425624e-4,2.3286140089418778e-5,3,5.697052974874467e-4,9,1,"Kern County, California"
060290028082,0.036249778638684116,28,3,25,1.0972874408997756e-4,2.2617782100287247e-5,4,3.628106874067975e-4,1,1,"Kern County, California"
060290059002,0.0028530704725522786,68,56,12,0.021091720320795208,2.1218358123448406e-5,3,0.007941030152952241,4,1,"Kern County, California"
060290009082,0.03299906995286699,98,50,48,0.003726114980048272,2.3763693828568715e-5,3,0.001372123898895956,1,1,"Kern County, California"
060290019021,0.026339283762215206,83,45,38,0.0027629916758299383,2.3217478117526874e-5,4,8.102907276208217e-4,1,1,"Kern County, California"
060290049021,0.003963769089675349,29,9,20,6.926626970679833e-4,2.24290680722216e-5,4,8.785539420524282e-4,5,1,"Kern County, California"
060290009051,0.013098805392566639,58,33,25,4.1156347323748207e-4,2.300701714022777e-5,4,9.61951508796647e-4,1,1,"Kern County, California"
060290015001,0.04925687988384003,204,177,27,0.006843500531354527,2.3048909786567097e-5,3,0.006482103136845371,1,1,"Kern County, California"
060290031211,0.013033603357676263,45,8,37,1.7443642994303786e-4,2.3297532791277406e-5,4,5.037576944425565e-4,1,1,"Kern County, California"
060290027002,0.00992326841365605,34,1,33,6.923745438534615e-5,2.3453257657488624e-5,4,3.426883237131279e-4,1,1,"Kern County, California"
060290032021,0.07307910019799027,186,112,74,0.007291567253807658,2.3308393352446218e-5,3,0.0032193643114060257,1,1,"Kern County, California"
060290061001,0.016740063408515388,68,53,15,0.003936115279727615,2.1646427257181206e-5,3,0.009742731838476657,3,1,"Kern County, California"
060290038082,0.4777136155825208,374,313,61,0.027694451552223744,2.385666913185581e-5,3,0.03128354310875968,1,1,"Kern County, California"
060290029003,0.024612850471321484,90,39,51,0.002659158546509083,2.3403309227924828e-5,4,0.0013981163032464427,1,1,"Kern County, California"
060290003001,0.01534011365592347,34,4,30,1.6822384663794354e-4,2.2831050228310503e-5,4,3.866296315781826e-4,1,1,"Kern County, California"
060290013006,0.0134355368326849,47,16,31,6.021480093223328e-4,2.2963694399154937e-5,3,6.708341342547744e-4,1,1,"Kern County, California"
060290055063,1.722489972850189e-5,19,11,8,2.5818528021171193e-4,1.815936660129295e-5,4,0.0013489588705490922,4,1,"Kern County, California"
060290011023,0.006968866112997071,28,0,28,0,2.2971079411021525e-5,4,3.308238903513339e-4,1,1,"Kern County, California"
060290009091,0.03960626586255905,116,70,46,0.004600504383386701,2.3195936072000187e-5,4,0.0019625561358867713,1,1,"Kern County, California"
060290009052,0.020421106062859944,73,34,39,0.0017167765106720426,2.2868119554529032e-5,3,9.230985467901924e-4,1,1,"Kern County, California"
060290002003,0.01001902066166564,40,21,19,4.271352729502509e-4,2.2590701667193785e-5,4,5.715362853533916e-4,1,1,"Kern County, California"
060290040004,0.027711242080258474,42,1,41,1.6943409013893596e-5,2.3285055651283005e-5,3,3.4182670501715494e-4,10,1,"Kern County, California"
060290050043,0.005773795176872095,21,3,18,1.2989946910651757e-4,2.2183278244859025e-5,4,3.857201408616956e-4,5,1,"Kern County, California"
060290009103,0.11927565687323657,120,9,111,0.01992926414889915,2.4117306579201234e-5,3,3.856277224936499e-4,1,1,"Kern County, California"
060290031214,0.019448225858880105,51,0,51,0,2.3602161958035354e-5,4,3.3492003466012676e-4,1,1,"Kern County, California"
060290041011,0.03370348978677904,57,19,38,0.005283196979232221,2.2907933017203857e-5,4,6.054430292430482e-4,10,1,"Kern County, California"
060290041013,0.015630424218819574,41,15,26,2.6907747172064356e-4,2.284043670914988e-5,4,7.392979119025279e-4,10,1,"Kern County, California"
060290044022,0.009964287631268703,41,13,28,4.054315728324539e-4,2.263518866429752e-5,4,5.749080607622604e-4,8,1,"Kern County, California"
060290038092,0.3296502690214502,115,4,111,9.867518678091365e-4,2.4333268444617483e-5,3,3.399113904628234e-4,1,1,"Kern County, California"
060290060083,0.012250346135514565,27,3,24,0.0019609978861080185,2.258406919758802e-5,3,3.680407556691755e-4,3,1,"Kern County, California"
060290059003,1.8323221531762289e-4,17,0,17,0,2.1795989537925023e-5,4,3.369006122702671e-4,4,1,"Kern County, California"
060290028192,0.06622362158486556,77,2,75,1.2747898210453275e-4,2.3566008389498986e-5,3,3.353833369943729e-4,1,1,"Kern County, California"
060290001014,0.051848733124296116,59,1,58,4.447241451646738e-4,2.3664718271528974e-5,4,3.40776963578917e-4,1,1,"Kern County, California"
060290063041,0.0016962077327868992,21,9,12,1.727075106559058e-4,2.2383382576775e-5,4,6.016470120304544e-4,12,1,"Kern County, California"
060290060084,0.020804248231057254,39,3,36,2.513272337060883e-4,2.327909304653491e-5,3,3.428167069996727e-4,3,1,"Kern County, California"
060290028111,0.18175413684998087,96,32,64,0.0036095109002597997,2.342523835180023e-5,3,9.249863534514355e-4,1,1,"Kern County, California"
060290031144,0.05811618505705293,115,49,66,0.0037469196421367613,2.349624060150376e-5,3,0.0013438558431614228,1,1,"Kern County, California"
060290014003,0.01757757531079567,44,5,39,3.057881912507463e-4,2.3377048413867265e-5,3,4.839891223267181e-4,1,1,"Kern County, California"
060290012021,0.004521383092451901,42,18,24,0.002904630506896082,2.273192243868064e-5,3,5.808798573076265e-4,1,1,"Kern County, California"
060290001011,0.03809408613000586,61,15,46,4.284261993513095e-4,2.330187580100198e-5,3,6.114745317382632e-4,1,1,"Kern County, California"
060290002001,0.016752695902558994,54,21,33,0.0014103831976708,2.2998551091281247e-5,4,6.607742268828873e-4,1,1,"Kern County, California"
060290009042,0.006669378459027428,29,0,29,0,2.3128874086409473e-5,3,3.308238903513339e-4,1,1,"Kern County, California"
060290011031,0.0030408476326416406,34,18,16,2.3962821319649513e-4,2.2388393856624726e-5,3,6.066286320929817e-4,1,1,"Kern County, California"
060290019023,0.021469697256527136,119,101,18,0.0030642135991412254,2.2721076070162683e-5,3,0.005325157252567252,1,1,"Kern County, California"
060290033061,0.036698086869551894,90,61,29,0.010449104074025403,2.2990091270662345e-5,3,0.002240328605733307,13,1,"Kern County, California"
060290060032,0.0082074935149106,22,0,22,0,2.281698496360691e-5,3,3.308238903513339e-4,3,1,"Kern County, California"
060290044013,0.020984813181848447,58,25,33,7.367155605041068e-4,2.3035636129091703e-5,4,0.001506352306545048,8,1,"Kern County, California"
060290031222,0.016444185225537273,41,0,41,0,2.2985335356042843e-5,4,3.308238903513339e-4,1,1,"Kern County, California"
060290038053,0.12575093965746706,100,59,41,0.006654644914556808,2.3771602443720734e-5,4,0.003823542210436771,1,1,"Kern County, California"
060290035003,0.04057905140557405,48,12,36,0.001485735263268303,2.280917841339355e-5,4,5.836176983900276e-4,7,1,"Kern County, California"
060290054042,8.882391762350571e-4,44,25,19,1.0892191508931596e-4,2.0689797860674902e-5,3,0.0044710200595762676,2,1,"Kern County, California"
060290032041,0.8616878892411262,288,103,185,0.05703946200642238,2.4599035717799865e-5,3,0.002760626438336829,1,1,"Kern County, California"
060290061004,0.012262421580831002,53,37,16,0.002664149360184603,2.1874179718260565e-5,3,0.005950117215978602,3,1,"Kern County, California"
060290006001,0.07626360665755899,237,192,45,0.013487462645738291,2.331763279391876e-5,3,0.0055035124148841786,1,1,"Kern County, California"
060290058023,2.959288904501052e-5,15,5,10,0.0028428619838311467,2.1038900927815533e-5,4,5.921029198299166e-4,4,1,"Kern County, California"
060290033051,0.0015303633379711433,11,5,6,0.0038191250746316837,2.1964987809431767e-5,4,6.276411099692933e-4,13,1,"Kern County, California"
060290001022,0.04649229673879086,87,41,46,0.0020388050170932486,2.333177788147457e-5,4,0.0010269976649824783,1,1,"Kern County, California"
060290053002,3.3376809738157337e-4,44,30,14,0.01898345308980929,2.0713368407970505e-5,3,0.01046549267940431,2,1,"Kern County, California"
060290055064,2.670826218683986e-6,5,0,5,0,1.736955464461891e-5,5,3.308238903513339e-4,4,1,"Kern County, California"
060290026001,0.004863781917910713,27,10,17,3.6993109680334344e-4,2.2632627195364837e-5,4,4.359978103944749e-4,1,1,"Kern County, California"
060290028211,0.05758657188925321,57,1,56,1.9363896015878393e-5,2.3492928628482827e-5,3,3.351599411964765e-4,1,1,"Kern County, California"
060290021002,0.0033125642640377917,13,0,13,0,2.2173932325158542e-5,4,3.4641810080827983e-4,1,1,"Kern County, California"
060290010002,0.021381927552867212,64,5,59,2.2135929939580033e-4,2.3534395519051093e-5,3,3.58448162860848e-4,1,1,"Kern County, California"
060290055016,1.3087315169659238e-5,15,3,12,1.4522922011908797e-5,1.994216771363047e-5,4,3.83887855388749e-4,2,1,"Kern County, California"
060290055082,3.4098801454751203e-4,20,6,14,7.987607106549838e-4,2.205752602788071e-5,4,5.594525667110918e-4,11,1,"Kern County, California"
060290017001,0.013041106475399522,17,1,16,0,2.157730067968497e-5,4,3.3202684375922625e-4,1,1,"Kern County, California"
060290035001,0.06836221510592463,87,52,35,0.010075115779961598,2.3282887077997672e-5,3,0.0041653524818462155,7,1,"Kern County, California"
060290041021,0.02579027311372438,57,26,31,0.0017806716044601507,2.3176582381162073e-5,4,8.760768941518517e-4,10,1,"Kern County, California"
060290012023,0.0027839499820105367,25,5,20,1.2223459360023237e-4,2.2359359627940255e-5,3,3.8728324725411474e-4,1,1,"Kern County, California"
060290028151,0.03306426662892459,99,33,66,0.0027862225879847014,2.3424689622862496e-5,3,0.0010895708331593416,1,1,"Kern County, California"
060290003004,0.03683297408980286,89,54,35,0.003510997079279018,2.3125130078856696e-5,4,0.0015914790976398999,1,1,"Kern County, California"
060290022003,0.0046383714385951225,27,1,26,0.0022002226848041825,2.2851919561243146e-5,3,3.426655678399913e-4,1,1,"Kern County, California"
060290014002,0.006863140990557901,31,10,21,5.996353132917009e-4,2.2969496508636532e-5,3,6.951851759865506e-4,1,1,"Kern County, California"
