GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
040131162021,3.331771574654577e-4,45,4,41,1.8482879118008337e-5,7.692798847926444e-7,3,7.153348323247423e-5,2,1,"Maricopa County, Arizona"
040134225043,3.649237838314686e-4,56,6,50,1.3871153186083887e-4,7.702225789208565e-7,3,6.74553485842922e-5,10,1,"Maricopa County, Arizona"
040131043012,0.0026142699823099008,119,45,74,8.578412764914522e-4,7.743546141468394e-7,3,2.8307339915706933e-4,12,1,"Maricopa County, Arizona"
040136104001,0.012102151210630498,84,24,60,9.964144755589914e-5,7.729588090250671e-7,3,1.0866157179548105e-4,11,1,"Maricopa County, Arizona"
040133191012,4.833710895860691e-4,26,0,26,0,7.672283033590022e-7,3,5.992090440646104e-5,2,1,"Maricopa County, Arizona"
040130822041,0.004634900633054084,200,130,70,0.0018276900099782945,7.747595727355908e-7,3,7.018798838679829e-4,3,1,"Maricopa County, Arizona"
040131132022,2.677471962192089e-4,31,9,22,4.065802751150302e-5,7.674938715614355e-7,3,8.025117479585711e-5,5,1,"Maricopa County, Arizona"
040133197032,1.9268870893941322e-4,32,9,23,5.776114778379152e-5,7.70471821534071e-7,3,8.354466205096354e-5,2,1,"Maricopa County, Arizona"
040136137003,0.06512056059769536,176,76,100,8.409252123656793e-4,7.75478741801251e-7,3,3.3266693502587223e-4,6,1,"Maricopa County, Arizona"
040130610441,0.01217222389208513,107,3,104,0,7.759547152828161e-7,3,6.319780215534178e-5,13,1,"Maricopa County, Arizona"
040130405023,0.005201111344371173,51,13,38,1.533037883825884e-5,7.718562680131957e-7,3,2.3035056769756746e-4,18,1,"Maricopa County, Arizona"
040134226461,0.005053064396644017,224,18,206,2.186758706770157e-4,7.777319780057396e-7,3,8.695551146172994e-5,10,1,"Maricopa County, Arizona"
040131056021,9.423262675265225e-4,52,0,52,0,7.743636086273399e-7,3,5.992090440646104e-5,12,1,"Maricopa County, Arizona"
040134205013,6.748156177109469e-4,82,16,66,3.7488605126768395e-4,7.729456650115323e-7,3,9.61173095377971e-5,8,1,"Maricopa County, Arizona"
040135231044,0.001269846587578479,93,1,92,2.183057849724304e-5,7.709274025374305e-7,3,6.606480079406731e-5,4,1,"Maricopa County, Arizona"
040130405311,0.01014535996444701,193,150,43,8.611492930749107e-4,7.70521095711819e-7,3,6.124088718227971e-4,13,1,"Maricopa County, Arizona"
040134221031,6.481349940224306e-4,105,26,79,0.0018976387363037466,7.739890155478914e-7,3,2.4251739406488395e-4,8,1,"Maricopa County, Arizona"
040131132031,5.428014054043119e-4,42,6,36,4.838576030382284e-5,7.682692507146824e-7,3,8.4122046574547e-5,5,1,"Maricopa County, Arizona"
