GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
550791602042,0.06122120094199817,27,13,14,1.044916447483542e-4,4.331460698491352e-6,3,2.6826800140934866e-4,5,1,"Milwaukee County, Wisconsin"
550790174001,0.0076985507986545255,32,10,22,0.003986594243303698,4.358437935843794e-6,3,3.5047246290521584e-4,2,1,"Milwaukee County, Wisconsin"
550790049003,0.007838691318843025,49,30,19,0.004405909467169675,4.379376639529129e-6,3,8.113510475660241e-4,3,1,"Milwaukee County, Wisconsin"
550791002002,0.003724482661975087,18,4,14,3.644741100983808e-4,4.342237815680689e-6,3,3.688797823301395e-4,7,1,"Milwaukee County, Wisconsin"
550790146002,0.023762129287326465,33,14,19,0.0013349997597372155,4.333769599473013e-6,3,0.0022673274606571582,9,1,"Milwaukee County, Wisconsin"
550790052002,0.010305433399550468,40,14,26,7.415960158083845e-4,4.402609867129235e-6,3,3.125727086374377e-4,8,1,"Milwaukee County, Wisconsin"
550790206001,0.02374027785666698,74,42,32,0.005078868147712953,4.398852779195186e-6,3,0.001177924437396983,2,1,"Milwaukee County, Wisconsin"
550790057002,0.014012114556179296,33,6,27,7.070806370689684e-4,4.381007456474691e-6,3,2.3842714202563234e-4,3,1,"Milwaukee County, Wisconsin"
550791017002,0.012435472701412504,34,5,29,4.229963389823367e-4,4.3895073216982125e-6,3,2.1818560789873414e-4,7,1,"Milwaukee County, Wisconsin"
550790001021,0.0068267545815796195,76,59,17,0.0049487905672269735,4.3584569319078275e-6,3,0.0015339665147959891,8,1,"Milwaukee County, Wisconsin"
550790196002,0.013975569034041646,74,46,28,0.0050022420209118,4.376348462369968e-6,3,8.347276964269897e-4,7,1,"Milwaukee County, Wisconsin"
550790147001,0.013446922477563118,32,3,29,4.227265020730598e-5,4.404607219151232e-6,3,3.4352107882531743e-4,9,1,"Milwaukee County, Wisconsin"
550790024001,8.182461708990848e-4,7,0,7,0,4.33668269793704e-6,3,1.9937092359632535e-4,4,1,"Milwaukee County, Wisconsin"
550790301001,0.011038517677533267,45,24,21,7.892405792055732e-4,4.366621544910703e-6,3,8.311324801118986e-4,4,1,"Milwaukee County, Wisconsin"
550790069001,0.0016624754859517303,10,0,10,0,4.383273428596476e-6,3,1.9194793190934655e-4,4,1,"Milwaukee County, Wisconsin"
550790089001,0.0015729989791441194,8,0,8,0,4.340409647862566e-6,3,1.7496792254813513e-4,8,1,"Milwaukee County, Wisconsin"
550790160002,0.016799334551697995,52,12,40,0.0033227144954099453,4.38658057271196e-6,3,6.180079626054718e-4,2,1,"Milwaukee County, Wisconsin"
550790199003,0.0047767849194811675,15,0,15,0,4.349830791582208e-6,3,1.7496792254813513e-4,6,1,"Milwaukee County, Wisconsin"
550791602024,0.1507875156321724,46,6,40,2.714289470415492e-4,4.3911842584826706e-6,3,1.874456796578853e-4,5,1,"Milwaukee County, Wisconsin"
550790216001,0.1423674750678867,174,110,64,0.009518434372576722,4.4119528626956145e-6,3,0.0031413785604453574,5,1,"Milwaukee County, Wisconsin"
550791501003,0.2354296714191751,128,68,60,0.0033734611039161785,4.390316717447996e-6,3,0.0020509922193590164,6,1,"Milwaukee County, Wisconsin"
550790130001,0.009258457224223672,23,0,23,0,4.4223523376554455e-6,3,1.7496792254813513e-4,7,1,"Milwaukee County, Wisconsin"
550790209003,0.012920978966832499,34,12,22,0.0014117931854221233,4.3654015732907265e-6,3,2.6654574995967236e-4,2,1,"Milwaukee County, Wisconsin"
550790026003,0.0019185426674427656,8,0,8,0,4.377191331410287e-6,3,1.7496792254813513e-4,8,1,"Milwaukee County, Wisconsin"
550790137002,0.003861123900411165,18,6,12,5.349246889503598e-5,4.345615491250103e-6,3,3.576670995301383e-4,1,1,"Milwaukee County, Wisconsin"
550790161003,0.01512176835757161,44,11,33,5.085216870514418e-4,4.394136464302035e-6,3,5.162173519586842e-4,2,1,"Milwaukee County, Wisconsin"
550790081002,0.0016406807302061935,10,1,9,0.0015233567158888053,4.341219882787063e-6,3,2.327215066437557e-4,4,1,"Milwaukee County, Wisconsin"
550790168002,0.012565582489676784,46,27,19,9.94237837878445e-4,4.358950887700348e-6,3,5.735798991598673e-4,2,1,"Milwaukee County, Wisconsin"
550790164003,0.013194377830540593,33,10,23,3.5839954159674116e-4,4.344558223597033e-6,3,3.1415228187410007e-4,2,1,"Milwaukee County, Wisconsin"
550790056001,0.011908034544535701,25,0,25,0,4.363839480528548e-6,3,1.8058363308932763e-4,3,1,"Milwaukee County, Wisconsin"
550790070001,0.0011714987310676942,11,1,10,1.51864212540992e-5,4.363649057888168e-6,3,1.787438175197405e-4,4,1,"Milwaukee County, Wisconsin"
550791862001,0.0055986496538056605,40,22,18,0.0023788832715320465,4.363896610561502e-6,3,5.910047381044344e-4,9,1,"Milwaukee County, Wisconsin"
550790062004,6.047681774814737e-4,3,0,3,0,4.276263742842604e-6,3,1.7496792254813513e-4,8,1,"Milwaukee County, Wisconsin"
550790106001,0.007777636719433099,28,1,27,2.4479604409592742e-5,4.374625422698182e-6,3,1.974160928893774e-4,4,1,"Milwaukee County, Wisconsin"
550790024003,0.00325574254161371,51,36,15,0.0018885237671702078,4.381391354638579e-6,3,7.083938036814717e-4,8,1,"Milwaukee County, Wisconsin"
550790208004,0.006953209217439399,7,0,7,0,4.336043360433604e-6,3,1.9277902843626863e-4,2,1,"Milwaukee County, Wisconsin"
550790066002,0.0017528534302469316,19,3,16,1.1033955024620135e-4,4.391473515023231e-6,3,2.289530808328941e-4,4,1,"Milwaukee County, Wisconsin"
550790179003,0.02047885158849925,37,13,24,3.0873767746579885e-4,4.337585613096038e-6,3,3.958551335499308e-4,2,1,"Milwaukee County, Wisconsin"
550790005013,0.0028079684433181392,28,16,12,0.003035946939097466,4.377363776439277e-6,3,4.0809061177208997e-4,8,1,"Milwaukee County, Wisconsin"
550790190002,0.01540024284393046,33,1,32,0.0012597023098773392,4.40695593925452e-6,3,5.736379096810215e-4,2,1,"Milwaukee County, Wisconsin"
550790050003,0.005553444208248421,13,0,13,0,4.385157120179616e-6,3,1.94816523866751e-4,8,1,"Milwaukee County, Wisconsin"
550790129001,0.00991585529810529,28,1,27,7.371080883332924e-5,4.41688309393827e-6,3,1.7945710078984302e-4,7,1,"Milwaukee County, Wisconsin"
550790126001,0.0070266114089669925,30,5,25,0.002705439899138849,4.391704947694794e-6,3,2.898816926835298e-4,3,1,"Milwaukee County, Wisconsin"
550790207005,0.016598394259597617,16,0,16,0,4.37791952508329e-6,3,1.7496792254813513e-4,2,1,"Milwaukee County, Wisconsin"
