GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
360550118003,0.01486210687057144,60,18,42,5.370007081129512e-4,6.729203396901875e-6,3,4.729856766045043e-4,6,1,"Monroe County, New York"
360550107004,0.009271475491205078,24,0,24,0,6.692768463674999e-6,3,2.4765675898540953e-4,3,1,"Monroe County, New York"
360550151022,0.014805214090859794,46,7,39,1.8515708546489786e-4,6.759908335642969e-6,3,2.933831216894347e-4,8,1,"Monroe County, New York"
360550096012,0.010167823560643406,64,38,26,0.003401961452230247,6.73722790020818e-6,3,0.0010745659336416457,7,1,"Monroe County, New York"
360550139012,0.007857933793314181,56,35,21,0.0010773432758172201,6.732419968357626e-6,3,0.00109680732836448,2,1,"Monroe County, New York"
360550093011,0.0019410961645836226,35,19,16,0.0010068093937479613,6.639312698349467e-6,3,7.685520047734545e-4,3,1,"Monroe County, New York"
360550066001,0.004801450171391289,17,0,17,0,6.761828127852646e-6,3,2.4765675898540953e-4,1,1,"Monroe County, New York"
360550146013,0.08848889574826763,86,4,82,4.8366643544611114e-4,6.826590937017872e-6,3,2.6172076446772725e-4,5,1,"Monroe County, New York"
360550071001,0.006768332023179882,16,0,16,0,6.74277006479802e-6,3,2.4765675898540953e-4,1,1,"Monroe County, New York"
360550134011,0.016953702837308536,60,11,49,0.0018973182028382324,6.765121738365682e-6,3,3.063840071159573e-4,2,1,"Monroe County, New York"
360550142021,0.04661617459123489,108,30,78,0.009746907683128747,6.824960244606575e-6,3,5.870515646358185e-4,5,1,"Monroe County, New York"
360550117081,0.015924445341316207,48,4,44,3.838622503540565e-5,6.725040013988083e-6,3,2.6971729263762214e-4,6,1,"Monroe County, New York"
360550086002,0.0126647667720496,38,0,38,0,6.800315534640807e-6,3,2.4765675898540953e-4,2,1,"Monroe County, New York"
360550010003,0.02898883757301526,225,211,14,0.007377142144900968,6.710013352926572e-6,3,0.007206194026761856,1,1,"Monroe County, New York"
360550119014,0.01500332973064189,83,37,46,0.0032313433327778025,6.743906880133799e-6,3,6.190301324575866e-4,6,1,"Monroe County, New York"
360550118004,0.002467214123994485,13,0,13,0,6.681365671143181e-6,3,2.4765675898540953e-4,6,1,"Monroe County, New York"
360550132033,0.0696981874098616,47,16,31,0.004744789021565443,6.76535058046708e-6,3,0.0010963864654157443,1,1,"Monroe County, New York"
360550124022,0.040396164818753,35,0,35,0,6.774425190022626e-6,3,2.4765675898540953e-4,1,1,"Monroe County, New York"
360550139022,0.005595060893374207,21,0,21,0,6.757213325224677e-6,3,2.4765675898540953e-4,2,1,"Monroe County, New York"
360550118005,0.006722869124459327,47,35,12,2.2133045752767422e-4,6.650616512150676e-6,3,0.0010689272118688546,6,1,"Monroe County, New York"
360550021004,0.004725045730210101,26,4,22,1.2057790687592126e-4,6.751738572682466e-6,3,2.823387333402049e-4,7,1,"Monroe County, New York"
360550149033,0.04087106459746637,72,0,72,0,6.843268618823095e-6,3,2.4765675898540953e-4,5,1,"Monroe County, New York"
360550123014,0.03279046122825206,82,46,36,0.004535961505906448,6.7440888061613985e-6,3,0.002143276710740444,1,1,"Monroe County, New York"
360550148041,0.027737164715042905,83,22,61,0.0015728417006271858,6.811989100817438e-6,3,4.2664335961830864e-4,2,1,"Monroe County, New York"
360550143021,0.0405647108692838,120,71,49,0.008773521186271555,6.808000762496085e-6,2,0.0020969382655514563,5,1,"Monroe County, New York"
360550096041,0.003607631309171239,19,5,14,0.00197928408335501,6.6855645290688345e-6,3,4.502405231072333e-4,5,1,"Monroe County, New York"
360550142035,0.02853460056580181,72,12,60,9.271724925988778e-4,6.775159555007521e-6,3,3.2826853817172354e-4,5,1,"Monroe County, New York"
360550116042,0.017097009863038738,32,0,32,0,6.784582714240161e-6,3,2.4765675898540953e-4,6,1,"Monroe County, New York"
360550135051,0.02412878953824859,96,50,46,0.004828348414281172,6.785917863250184e-6,3,9.703929754451946e-4,2,1,"Monroe County, New York"
360550116032,0.005464786105310142,16,1,15,4.064423827278245e-5,6.731604208598951e-6,3,2.4844305948288877e-4,6,1,"Monroe County, New York"
360550096031,0.0035397135333989347,29,2,27,2.365946270123414e-4,6.7560263755269695e-6,3,2.8766898418188983e-4,5,1,"Monroe County, New York"
360550077001,0.00894853919928994,25,0,25,0,6.761188075968709e-6,3,2.5394762921738856e-4,1,1,"Monroe County, New York"
360550117074,0.022220386682812614,75,18,57,0.0013034413670089556,6.7609595153744215e-6,3,4.110305062045645e-4,6,1,"Monroe County, New York"
360550068001,0.01065997034726976,20,0,20,0,6.759908335642969e-6,3,2.545473725742016e-4,1,1,"Monroe County, New York"
360550137024,0.03332479572605132,218,189,29,0.013405249530051726,6.757441632597898e-6,3,0.008237812545605353,2,1,"Monroe County, New York"
360550112082,0.05716143442627153,53,19,34,5.060207664961416e-4,6.751328323847717e-6,3,7.203206046208972e-4,4,1,"Monroe County, New York"
360550130013,0.07606579710479791,173,156,17,0.002399010035385004,6.653891195571169e-6,2,0.006754815981590468,1,1,"Monroe County, New York"
360550083012,0.0074974172494219815,28,0,28,0,6.793662871273676e-6,3,2.4765675898540953e-4,3,1,"Monroe County, New York"
360550121004,0.019804033385071668,93,71,22,0.004146412287927397,6.6972956320237886e-6,3,0.003870444678836525,6,1,"Monroe County, New York"
360550032001,0.008509367126929053,49,28,21,0.0033383628965329313,6.695367475243879e-6,3,0.0016131549248288612,1,1,"Monroe County, New York"
360550145052,0.02357532869261761,44,4,40,1.8786670134974994e-4,6.764572580481503e-6,3,2.508112872478327e-4,5,1,"Monroe County, New York"
360550119013,0.01380799744672278,38,0,38,0,6.725808946671061e-6,3,2.4765675898540953e-4,6,1,"Monroe County, New York"
360550143011,0.08249678978102726,262,195,67,0.013838717105497746,6.787622092352385e-6,3,0.007714330806577349,5,1,"Monroe County, New York"
360550119023,0.013546870152097266,56,14,42,0.0011699218185496688,6.740724762726489e-6,3,4.0691566308685657e-4,6,1,"Monroe County, New York"
360550024002,0.0018987955296931793,25,11,14,3.430373710222839e-4,6.688247411648251e-6,3,5.113588976231023e-4,7,1,"Monroe County, New York"
360550132032,0.04497784930803973,35,13,22,7.52821613341426e-4,6.741724533135575e-6,3,0.0012215316672572094,1,1,"Monroe County, New York"
360550111006,0.00910579048997939,19,0,19,0,6.7326466033797896e-6,3,2.4765675898540953e-4,4,1,"Monroe County, New York"
360550130026,0.042621563383256754,46,7,39,0.0024649375704500136,6.721469044274317e-6,3,7.372696544361316e-4,1,1,"Monroe County, New York"
360550119022,0.01585311298076914,65,23,42,0.0015155849363937028,6.702457791272059e-6,3,5.604150503501108e-4,6,1,"Monroe County, New York"
360550094003,0.04611832379905864,358,343,15,0.007846633633438344,6.647433425954238e-6,2,0.014407813829392362,1,1,"Monroe County, New York"
360550136013,0.006090033811806054,37,19,18,0.0017946947269326533,6.698596644003081e-6,3,5.893901028756193e-4,2,1,"Monroe County, New York"
360550029001,0.0019394249338518898,11,0,11,0,6.693843671974885e-6,3,2.627469557694668e-4,1,1,"Monroe County, New York"
