GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
060530126001,0.18026657287596676,38,14,24,0.010239401403194506,5.3310587482674056e-5,3,0.001770773202675824,1,1,"Monterey County, California"
060530018012,0.09834038054828732,54,26,28,0.003043053689605414,5.357621216180016e-5,3,0.002348873513612998,2,1,"Monterey County, California"
060530128003,0.05276451151246309,20,4,16,8.490073145245557e-4,5.212405525149857e-5,3,7.480496838894225e-4,1,1,"Monterey County, California"
060530122001,0.028542605881538945,15,0,15,0,5.159426271798576e-5,3,6.509798470856065e-4,1,1,"Monterey County, California"
060530106083,0.011581719101555268,17,6,11,0.0011786585062447132,5.4144783150143485e-5,3,8.163014555729501e-4,2,1,"Monterey County, California"
060530124021,0.01511574695626141,14,2,12,2.6123301985370953e-4,5.1668905652578275e-5,3,6.686978199980452e-4,1,1,"Monterey County, California"
060530105014,0.06895700856573589,33,1,32,1.212867592177937e-4,5.565449688334817e-5,3,6.64570101074614e-4,2,1,"Monterey County, California"
060530117001,0.06721823632179884,18,1,17,1.3683634373289546e-4,5.190760446405398e-5,3,6.712269998908432e-4,1,1,"Monterey County, California"
060530106051,0.23469087374281886,113,61,52,0.0360000870776733,5.720169317011783e-5,3,0.004598716553621938,2,1,"Monterey County, California"
060530008001,0.07734377588065933,34,0,34,0,5.477651183172656e-5,3,6.509798470856065e-4,2,1,"Monterey County, California"
060530005022,0.10821328154702231,116,79,37,0.018211051400706574,5.5549383401844235e-5,3,0.005475162886319805,2,1,"Monterey County, California"
060530002001,0.1068235400961768,44,10,34,4.7270736925909335e-4,5.428292259255238e-5,3,0.0011948114830957425,2,1,"Monterey County, California"
060530139001,0.11077288807419017,28,1,27,4.2761357416529823e-4,5.408621342419817e-5,3,6.65047736639935e-4,1,1,"Monterey County, California"
060530111021,0.12179517181026703,49,12,37,0.007542170473204954,5.5230310394344414e-5,3,0.0012238069046851343,5,1,"Monterey County, California"
060530143021,0.11647553498526088,35,3,32,0.001185189331741056,5.479752315195354e-5,3,7.055243091745885e-4,1,1,"Monterey County, California"
060530104003,0.05627219579190936,31,8,23,3.45200776235259e-4,5.4083288263926445e-5,3,8.585105504535513e-4,3,1,"Monterey County, California"
060530117002,0.0557305336525857,25,6,19,6.033238791859482e-4,5.1939957409234925e-5,3,9.313621850992954e-4,1,1,"Monterey County, California"
060530124023,0.08287022811806996,49,23,26,0.01017129422301836,5.4027770273920795e-5,3,0.004388899649436943,1,1,"Monterey County, California"
060530009002,0.022825066416799836,18,3,15,3.9806936358660497e-4,5.2279381012128815e-5,3,8.77043847151978e-4,2,1,"Monterey County, California"
060530137003,0.13988530880022634,68,41,27,0.005994986813952331,5.397527932207049e-5,3,0.006228976365071103,1,1,"Monterey County, California"
060530106032,0.17358088020167625,48,3,45,3.5453052694432003e-4,5.5700997047847156e-5,2,9.096690678284313e-4,2,1,"Monterey County, California"
060530123021,0.08373300539478984,60,35,25,0.007199457630492114,5.323963158174946e-5,3,0.005757026537508849,1,1,"Monterey County, California"
060530141051,0.22138409125855646,49,0,49,0,5.538938739337543e-5,2,6.544213661554242e-4,1,1,"Monterey County, California"
060530113042,0.01649108755836387,18,7,11,0.005014430014430015,5.206706237634073e-5,3,0.0011800151536739887,4,1,"Monterey County, California"
060530119001,0.02632806695321669,14,0,14,0,5.051525560719337e-5,3,6.509798470856065e-4,1,1,"Monterey County, California"
060530139002,0.10895503378924315,43,16,27,0.0031783350748867986,5.535259603675413e-5,3,0.00130765191277938,1,1,"Monterey County, California"
060530127002,0.5385791831849349,190,177,13,0.009209241429069013,5.2924053982535066e-5,2,0.10195616711447497,1,1,"Monterey County, California"
060530112032,0.051648582199769755,39,13,26,0.012520525451559935,5.657388549445576e-5,3,0.0012938724642769018,5,1,"Monterey County, California"
060530133004,0.0706738400379797,43,27,16,0.002973080559287456,5.207790855119258e-5,3,0.0021613044859613985,1,1,"Monterey County, California"
060530116022,0.05263552700945953,25,4,21,6.359780066676619e-4,5.3033517182859566e-5,3,8.148901692744637e-4,1,1,"Monterey County, California"
060530119002,0.153367578418297,64,31,33,0.020663842862118725,5.428586938819825e-5,3,0.0027997924569082974,1,1,"Monterey County, California"
060530130002,0.08156431742365987,58,43,15,0.00460578693337314,5.1279421568124716e-5,3,0.006163531942088975,1,1,"Monterey County, California"
060530113032,0.008251551947190645,28,17,11,0.007030589142658109,5.424758598242378e-5,4,0.002344566602045766,4,1,"Monterey County, California"
060530107011,0.12151942227964366,41,5,36,0.005568306214857939,5.623031938821413e-5,3,7.061461254618412e-4,2,1,"Monterey County, California"
060530143012,0.08503854146343569,34,8,26,0.004250012439667611,5.442176870748299e-5,3,7.579868663846492e-4,1,1,"Monterey County, California"
060530106072,0.02844899937284054,20,0,20,0,5.3821313240043054e-5,3,6.509798470856065e-4,2,1,"Monterey County, California"
060530108041,0.04301871483418163,24,3,21,5.597850425436632e-5,5.490885130683066e-5,3,7.451526480497954e-4,2,1,"Monterey County, California"
060530138002,0.2046844429168687,50,9,41,0.006575297308055928,5.604752830400179e-5,3,8.912756920158601e-4,1,1,"Monterey County, California"
060530116041,0.1393685528624266,85,62,23,0.004941657958899339,5.320280910832092e-5,3,0.009262357860671503,1,1,"Monterey County, California"
060530105061,0.09351801845237051,51,26,25,0.0018992262526745282,5.45583501554913e-5,3,0.0031052929767339853,2,1,"Monterey County, California"
060530005011,0.07208546021686996,54,24,30,0.004518398268398268,5.4522654162804645e-5,3,0.002424768658769105,2,1,"Monterey County, California"
060530017002,0.07734615027423795,34,4,30,0.001726003881176295,5.4722556637846116e-5,3,8.430711194783838e-4,2,1,"Monterey County, California"
060530112031,0.034731451328078804,29,15,14,0.01653853809026223,5.349596105494035e-5,3,0.0019067056428650733,5,1,"Monterey County, California"
060530141041,0.06344100987242442,24,10,14,0.005375491366870677,5.2427388067526476e-5,3,0.0012003258034443342,1,1,"Monterey County, California"
060530105052,0.16729434452128117,51,0,51,0,5.6853715390300756e-5,3,6.547673481923524e-4,2,1,"Monterey County, California"
060530147004,0.10029615255286745,39,0,39,0,5.634755169887869e-5,3,6.623147641908868e-4,3,1,"Monterey County, California"
060530015003,0.3585612444961832,148,117,31,0.011893099716375576,5.4445472858931784e-5,3,0.017617925727299415,2,1,"Monterey County, California"
060530009001,0.10289897480478924,97,75,22,0.0030913092335506137,5.311520688373082e-5,3,0.00805043354464499,2,1,"Monterey County, California"
060530112042,0.04345750403095034,25,3,22,1.5549584515101757e-4,5.507517761744781e-5,3,7.563997322971424e-4,5,1,"Monterey County, California"
060530148002,0.023838578586617684,21,8,13,0.0010859829825347067,5.339598462195643e-5,3,9.59196108432417e-4,2,1,"Monterey County, California"
060530016002,0.04336039425714563,19,0,19,0,5.406574394463668e-5,3,6.509798470856065e-4,2,1,"Monterey County, California"
060530120002,0.17186262709471145,89,59,30,0.015931171319102357,5.444843732984863e-5,3,0.006174238451843739,1,1,"Monterey County, California"
060530014002,0.1467221095591025,92,60,32,0.006032305816788575,5.48847420417124e-5,3,0.005358968714537277,2,1,"Monterey County, California"
060530104001,0.05063633099250515,27,0,27,0,5.525777753218766e-5,3,6.509798470856065e-4,3,1,"Monterey County, California"
060530103051,0.09772757407721111,39,0,39,0,5.611987204669174e-5,3,6.509798470856065e-4,3,1,"Monterey County, California"
060530101022,0.030378627656065638,11,0,11,0,5.306447333510215e-5,3,6.797909308588484e-4,3,1,"Monterey County, California"
060530134001,0.18473504851282063,94,66,28,0.018390493606010846,5.538631957906397e-5,3,0.008238833748365086,1,1,"Monterey County, California"
060530012002,0.18922843569949818,120,92,28,0.00931186868686869,5.5002475111380014e-5,3,0.011239466667653313,2,1,"Monterey County, California"
060530142022,0.17100923461915662,69,27,42,0.011776011344976862,5.5704099821746884e-5,2,0.002433446729884796,1,1,"Monterey County, California"
060530110001,0.07746577885275897,43,22,21,0.007013380935794729,5.3490238031559244e-5,3,0.0017414447087192482,1,1,"Monterey County, California"
060530119004,0.04474831697614121,42,26,16,0.005907909140667762,5.2339579189783314e-5,3,0.0020955282586697724,1,1,"Monterey County, California"
060530018021,0.06984710073660887,31,5,26,0.0017726526347216001,5.386189809328881e-5,3,9.568509246849932e-4,2,1,"Monterey County, California"
060530101021,0.02473995988423905,15,0,15,0,5.434191935659167e-5,3,6.509798470856065e-4,3,1,"Monterey County, California"
060530016001,0.11331420960329995,37,0,37,0,5.6360254748351465e-5,3,6.610602507941868e-4,2,1,"Monterey County, California"
060530121002,0.07126429708104184,51,37,14,0.0012470766781111611,5.217028380634391e-5,3,0.004779864731139312,1,1,"Monterey County, California"
060530133002,0.19037205176580443,103,79,24,0.008861086231775884,5.28597103287874e-5,3,0.012303771303657557,1,1,"Monterey County, California"
060530001032,0.45412503245328206,188,154,34,0.016340747375230134,5.518154729058603e-5,3,0.03264193723501664,2,1,"Monterey County, California"
060530112033,0.03996166522463244,25,0,25,0,5.577244841048522e-5,3,6.576221918940426e-4,5,1,"Monterey County, California"
060530005021,0.08652118711004936,67,38,29,0.009270973279593971,5.436259853220984e-5,3,0.0026984402518745107,2,1,"Monterey County, California"
060530111013,0.14062253844367542,55,31,24,0.017300467731502216,5.494203615185979e-5,3,0.004771141353434097,5,1,"Monterey County, California"
060530112041,0.0328133492366127,29,6,23,0.004916778623675175,5.509338328466751e-5,3,7.113275187556405e-4,5,1,"Monterey County, California"
060539900000,0.005144125238992446,0,0,0,0,1.8499334023975136e-5,0,6.509798470856065e-4,7,1,"Monterey County, California"
060530103052,0.08530510162580915,48,23,25,0.005903244265313231,5.529138560212319e-5,3,0.0018511003114221403,3,1,"Monterey County, California"
060530135003,0.1834113060969623,49,8,41,0.01333439070508036,5.716245569909683e-5,3,8.474723682782536e-4,1,1,"Monterey County, California"
060530119003,0.039559796009828355,21,1,20,0,5.115874558755819e-5,3,6.780361076828604e-4,1,1,"Monterey County, California"
060530113043,0.03410873542039468,27,6,21,0.00281789570582674,5.544774050457444e-5,3,0.0011964482013487171,4,1,"Monterey County, California"
060530105041,0.8144708241145725,224,179,45,0.028523173027483365,5.643977875606728e-5,2,0.06067670163122869,2,1,"Monterey County, California"
060530133001,0.3090385271144503,149,113,36,0.03216938029130147,5.505698397841766e-5,3,0.020045602561306632,1,1,"Monterey County, California"
060530105051,0.13497787498266797,43,0,43,0,5.5800457563752025e-5,3,6.509798470856065e-4,2,1,"Monterey County, California"
060530143011,0.23144035307853572,90,49,41,0.019559407705959427,5.529750055297501e-5,2,0.006068409069241352,1,1,"Monterey County, California"
060530128005,0.013465567538240497,10,0,10,0,5.244113482615764e-5,3,6.509798470856065e-4,1,1,"Monterey County, California"
060530014001,0.12098725548124813,94,62,32,0.022802532716325822,5.569789461958338e-5,3,0.0038154853364984393,2,1,"Monterey County, California"
060530107012,0.2899899255614565,65,1,64,3.731900283624421e-5,5.6776244819167665e-5,3,6.606129070514133e-4,2,1,"Monterey County, California"
060530132002,0.154693795258127,45,11,34,0.002828469423297009,5.483658697082693e-5,3,9.87521005465778e-4,1,1,"Monterey County, California"
060530135001,0.056056805983371115,21,3,18,5.691147932527243e-4,5.39257981018119e-5,3,7.505593346741801e-4,1,1,"Monterey County, California"
060530142011,0.08047148939898364,25,0,25,0,5.5404731564075574e-5,3,6.509798470856065e-4,1,1,"Monterey County, California"
