GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
090091842001,0.12294570530736057,136,111,25,0.004985537228685034,8.619872253493202e-6,3,0.005108052121716089,6,1,"New Haven County, Connecticut"
090091414001,0.05466484820628919,36,1,35,9.80886721596323e-5,8.787655102112552e-6,3,2.425807595650605e-4,2,1,"New Haven County, Connecticut"
090091545004,0.09716825414479208,61,24,37,0.002286103000749041,8.809020436927414e-6,3,5.340469181587904e-4,1,1,"New Haven County, Connecticut"
090091658021,0.15710021873659735,46,0,46,0,9.043553754883519e-6,3,2.3917723032835437e-4,4,1,"New Haven County, Connecticut"
090091427003,0.06359494056992104,33,0,33,0,8.798866705968272e-6,3,2.4210512770610093e-4,2,1,"New Haven County, Connecticut"
090093453001,0.02895540001872644,86,69,17,0.007295197889194863,8.7356843971941e-6,3,0.002915570317004618,10,1,"New Haven County, Connecticut"
090091571001,1,433,395,38,0.02722607904212074,8.882809099549641e-6,3,0.05244511257634766,1,1,"New Haven County, Connecticut"
090091754001,0.5097586409441844,248,224,24,0.022692277455183114,8.791981712678038e-6,3,0.029751668861659874,5,1,"New Haven County, Connecticut"
090091420003,0.07611834486847255,85,72,13,0.004570913924369448,8.683646089319984e-6,3,0.0037903907271506585,2,1,"New Haven County, Connecticut"
090099900000,0.0049917755599809864,0,0,0,0,2.53964384034783e-6,0,2.3917723032835437e-4,13,1,"New Haven County, Connecticut"
090091711002,0.0207252812992561,24,11,13,1.316341487856537e-4,8.518976019082506e-6,4,5.399544885539377e-4,5,1,"New Haven County, Connecticut"
090091546003,0.11380025530183979,84,60,24,0.0032108177307437437,8.718623852411135e-6,3,0.0023146601308491996,1,1,"New Haven County, Connecticut"
090091550002,0.12648560691583696,69,31,38,0.0025199477297173614,8.766162612316459e-6,3,9.191512702362457e-4,1,1,"New Haven County, Connecticut"
090091651001,0.05016967476536473,23,0,23,0,8.897588753447816e-6,3,2.4313891878134108e-4,4,1,"New Haven County, Connecticut"
090093481252,0.036912377383336144,20,0,20,0,8.987713795241905e-6,3,2.4275781787509918e-4,9,1,"New Haven County, Connecticut"
090091408001,0.1659234228614228,236,219,17,0.00914021426885056,8.68628609151871e-6,3,0.007609388535900462,2,1,"New Haven County, Connecticut"
090091657004,0.08728656238368687,26,0,26,0,8.834624660971278e-6,3,2.3917723032835437e-4,4,1,"New Haven County, Connecticut"
090093481111,0.011116231915136119,17,13,4,0.0012413949483059958,8.436753874579218e-6,4,8.240744205729994e-4,9,1,"New Haven County, Connecticut"
090091841005,0.0623942402667644,82,66,16,5.323964378950086e-4,8.588999209812073e-6,3,0.0030076024606954786,6,1,"New Haven County, Connecticut"
090091861004,0.04742087468171937,42,2,40,2.3405400906662045e-4,8.899489169321681e-6,3,2.7017466812561124e-4,6,1,"New Haven County, Connecticut"
090091501002,0.14143971006879844,94,71,23,0.008297148096626829,8.758408071748879e-6,3,0.006559462072808503,1,1,"New Haven County, Connecticut"
090091942021,0.04692005159698442,41,6,35,0.001835447122987059,8.840326031224032e-6,3,3.2435462706882965e-4,8,1,"New Haven County, Connecticut"
090091707002,0.025068782394854595,15,0,15,0,8.639756704451203e-6,4,2.3917723032835437e-4,5,1,"New Haven County, Connecticut"
090091546004,0.09977732887111707,73,50,23,0.0013936659346109488,8.729431277552268e-6,3,0.0020360741067531663,1,1,"New Haven County, Connecticut"
090091404001,0.15261014717592394,98,60,38,0.0043853431380756055,8.783024170882518e-6,3,0.0025704206705459793,2,1,"New Haven County, Connecticut"
090093526002,0.0036140220968239683,16,2,14,0,8.600374976348968e-6,4,2.9734502049306104e-4,3,1,"New Haven County, Connecticut"
090091902002,0.010747622004683235,10,0,10,0,8.622027556000069e-6,3,2.3917723032835437e-4,8,1,"New Haven County, Connecticut"
090091405003,0.07413507739363633,40,3,37,6.348162981759753e-5,8.838450796344417e-6,3,3.131009114847562e-4,2,1,"New Haven County, Connecticut"
090091542005,0.2100280971223571,168,144,24,0.014779524326354666,8.8467390919707e-6,3,0.0058535745749893325,1,1,"New Haven County, Connecticut"
090093431021,0.12141155644889978,102,85,17,0.008210391891239377,8.730269590724962e-6,3,0.004160080516462496,11,1,"New Haven County, Connecticut"
090091416001,0.04907549535162709,19,1,18,2.547757718432008e-6,8.706705904887945e-6,3,2.7417325860953e-4,2,1,"New Haven County, Connecticut"
090093471001,0.03214844781781582,44,0,44,0,9.02608538676776e-6,3,2.3917723032835437e-4,11,1,"New Haven County, Connecticut"
090091420001,0.019399761843285974,14,5,9,1.1242284237071524e-4,8.647227698799765e-6,3,3.425015925004311e-4,2,1,"New Haven County, Connecticut"
090091660023,0.058665421784207555,51,35,16,0.003177138800141995,8.813756511162622e-6,3,5.82238974885291e-4,4,1,"New Haven County, Connecticut"
090091803002,0.07467752908037284,75,42,33,0.0032459282585396597,8.803901889317345e-6,3,9.875722258648998e-4,6,1,"New Haven County, Connecticut"
090093432002,0.05009337558223704,33,2,31,1.4394831109140846e-4,8.869966294128083e-6,3,2.48353053862928e-4,11,1,"New Haven County, Connecticut"
090091659002,0.08117174519421007,25,0,25,0,8.816009873931059e-6,3,2.3917723032835437e-4,4,1,"New Haven County, Connecticut"
090091651002,0.06957476279750198,63,37,26,0.0045559913434472035,8.836732529779788e-6,3,6.578511041261043e-4,4,1,"New Haven County, Connecticut"
090091602001,0.19552371353769082,140,105,35,0.02633031169267927,8.889916168090534e-6,3,0.003816349141036758,1,1,"New Haven County, Connecticut"
090091601003,0.03745893216306889,17,0,17,0,8.726003490401396e-6,3,2.3917723032835437e-4,1,1,"New Haven County, Connecticut"
090093451004,0.030126466561917063,77,25,52,0.004471830413481664,8.969172952562043e-6,3,4.835834555339961e-4,10,1,"New Haven County, Connecticut"
090091252001,0.09750748732750827,39,7,32,0.0038438445324270117,8.90551251224508e-6,3,0.00029990719611900914,7,1,"New Haven County, Connecticut"
090091419002,0.05209897207510162,33,9,24,0.0010395700743775404,8.726003490401396e-6,3,4.350062678657737e-4,2,1,"New Haven County, Connecticut"
090091415003,0.08862680906689775,48,4,44,0.0011777070714350012,8.882335698995407e-6,3,2.9406607724718505e-4,2,1,"New Haven County, Connecticut"
090091803001,0.08252236325881492,82,54,28,0.0014977418374088965,8.761554299732773e-6,3,0.002139316616136454,6,1,"New Haven County, Connecticut"
090091841004,0.019897128493118834,32,12,20,0.001003179601632603,8.750131251968779e-6,3,5.187434202711901e-4,6,1,"New Haven County, Connecticut"
