GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
360670114022,0.008736200660512242,43,1,42,6.980218062012258e-6,2.1550795224343778e-5,2,4.1456400343580966e-4,4,1,"Onondaga County, New York"
360670045003,0.018404618524997175,20,4,16,1.8323072412782174e-4,2.0419831740586458e-5,2,6.896681271104226e-4,1,1,"Onondaga County, New York"
360670003001,7.81934142986565e-4,9,1,8,0,2.07671380807011e-5,2,4.0010049546759465e-4,1,1,"Onondaga County, New York"
360670110221,0.005663593184171834,50,0,50,0,2.1632379345404202e-5,2,3.976269572832714e-4,3,1,"Onondaga County, New York"
360670165024,0.003418408676363,23,0,23,0,2.1059281878487944e-5,2,3.9473684210681817e-4,5,1,"Onondaga County, New York"
360670154003,0.004307811326905368,28,0,28,0,2.1056621254553494e-5,2,3.9473684210681817e-4,1,1,"Onondaga County, New York"
360670101001,0.00500075792835899,34,1,33,6.980218062012258e-6,2.092663123090445e-5,2,4.023314496429051e-4,3,1,"Onondaga County, New York"
360670006001,0.0026617686126027985,39,10,29,0.005759494259934016,2.1030936507602685e-5,2,6.902078233447845e-4,1,1,"Onondaga County, New York"
360670165011,0.007018454813534367,44,15,29,0.006684605827086037,2.0973594244845738e-5,2,5.876044481719347e-4,5,1,"Onondaga County, New York"
360670109001,0.002496806861773342,25,0,25,0,2.121070716497688e-5,2,3.9473684210681817e-4,3,1,"Onondaga County, New York"
360670003002,0.0018606757754380744,20,0,20,0,2.0907380305247755e-5,2,4.0834845735188087e-4,1,1,"Onondaga County, New York"
360670169012,0.0019710030104978086,22,6,16,3.4901090310061285e-5,2.064409578860446e-5,2,7.672249224008723e-4,1,1,"Onondaga County, New York"
360670111022,0.010138267708731824,88,47,41,0.0030651633271309114,2.1110407430863417e-5,2,0.0017326886913491702,4,1,"Onondaga County, New York"
360670009001,0.006438873478386078,32,0,32,0,2.1268902737307782e-5,2,3.9473684210681817e-4,1,1,"Onondaga County, New York"
360670111011,0.0034109228436678784,42,8,34,0.00032923361859157814,2.0803861196638098e-5,2,5.198830149366683e-4,4,1,"Onondaga County, New York"
360670123002,0.0061279536010247875,49,18,31,0.0032804199565099174,2.128701279349469e-5,2,0.0010517422572307175,2,1,"Onondaga County, New York"
360670112011,0.0016301333788555977,25,11,14,4.2230319275174155e-4,2.0642817331709434e-5,2,5.291955533414805e-4,4,1,"Onondaga County, New York"
360670014003,1.6649524357987915e-4,5,0,5,0,2.0235951190885725e-5,3,3.9473684210681817e-4,1,1,"Onondaga County, New York"
360670160011,0.0034794350156442423,44,1,43,1.0121316189917773e-4,2.1668002860176377e-5,2,4.0629612392604244e-4,2,1,"Onondaga County, New York"
360670112014,0.0025789183929034246,52,46,6,0.0010792081906543522,2.0549493454986334e-5,3,0.0024386327632169905,4,1,"Onondaga County, New York"
360670167002,0.005408482371712151,20,7,13,3.664614482556435e-4,2.0387775489816307e-5,2,5.747012207330295e-4,5,1,"Onondaga County, New York"
360670127002,0.011276619041819,118,85,33,0.011385550017915889,2.108725907806503e-5,2,0.006550811022154361,2,1,"Onondaga County, New York"
