GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
421010198002,0.007220386039668126,18,0,18,0,2.406901066738553e-6,3,1.2122191692300295e-4,5,1,"Philadelphia County, Pennsylvania"
421010254001,0.005835931559184831,9,0,9,0,2.369101234064833e-6,3,1.122754491021885e-4,16,1,"Philadelphia County, Pennsylvania"
421010264007,0.005980555781892274,17,1,16,7.243569226622643e-5,2.402679468142873e-6,3,1.2634427648414542e-4,14,1,"Philadelphia County, Pennsylvania"
421019803001,0.10475810282623799,396,384,12,0.01172584681036916,2.3905315825080023e-6,3,0.013999299607693028,2,1,"Philadelphia County, Pennsylvania"
421010300006,0.007835222654973377,51,39,12,0.0015301097444857038,2.388681471714428e-6,3,5.903183141508936e-4,5,1,"Philadelphia County, Pennsylvania"
421010348012,0.02930183601552228,62,21,41,0.0017846387132811339,2.411213105425471e-6,3,3.585381334305705e-4,2,1,"Philadelphia County, Pennsylvania"
421010259002,0.0021434101728180998,10,0,10,0,2.3763580886476624e-6,3,1.122754491021885e-4,14,1,"Philadelphia County, Pennsylvania"
421010083011,0.025574563443396772,37,12,25,0.0011811042044520812,2.403152936652889e-6,3,2.228412254636385e-4,12,1,"Philadelphia County, Pennsylvania"
421010134023,0.013136642793832358,21,6,15,2.7820359483179735e-4,2.3697244010521576e-6,3,2.4369744345906653e-4,1,1,"Philadelphia County, Pennsylvania"
421010100004,0.020264738794517678,50,18,32,0.012301872982473693,2.423179162597745e-6,3,2.453904531643111e-4,8,1,"Philadelphia County, Pennsylvania"
421010361003,0.029711817174479804,31,2,29,3.0883434687150807e-6,2.389377782131755e-6,3,1.224399629478437e-4,2,1,"Philadelphia County, Pennsylvania"
421010168002,0.0018766620567826488,8,1,7,0.0014560790765665856,2.375353333808404e-6,3,1.371184451867334e-4,7,1,"Philadelphia County, Pennsylvania"
421010169022,0.006700370590550343,28,16,12,4.2497009922005285e-4,2.3990423023129166e-6,3,2.915748191897753e-4,7,1,"Philadelphia County, Pennsylvania"
421010335003,0.009472642400316289,41,23,18,2.3638528515303615e-4,2.3864184155136286e-6,3,4.592114063205415e-4,2,1,"Philadelphia County, Pennsylvania"
421010165002,0.0021673944968983775,9,2,7,2.21799212753174e-5,2.3702467663908487e-6,3,1.745086786333231e-4,7,1,"Philadelphia County, Pennsylvania"
421010283001,0.008637139551598937,18,2,16,4.595080736785166e-5,2.3831369231319185e-6,3,1.3689179363975796e-4,6,1,"Philadelphia County, Pennsylvania"
421010027011,0.02031768349123954,29,0,29,0,2.372631224301438e-6,3,1.1684868881188629e-4,4,1,"Philadelphia County, Pennsylvania"
421010240003,0.0011040287227104875,10,5,5,6.56039021687658e-5,2.3588132338857676e-6,3,3.0091638514271224e-4,13,1,"Philadelphia County, Pennsylvania"
421010065006,0.017308234289786447,33,2,31,0.001014792229353488,2.3937074219292326e-6,3,1.3763034234378371e-4,12,1,"Philadelphia County, Pennsylvania"
421010314022,0.008295412064809058,25,0,25,0,2.4155114483165096e-6,3,1.1785985613706108e-4,2,1,"Philadelphia County, Pennsylvania"
421010372002,0.03778617685730489,54,9,45,0.003137461944968302,2.3813379309030986e-6,3,2.3807402675104104e-4,4,1,"Philadelphia County, Pennsylvania"
421010136022,0.01926407366441516,25,2,23,1.4453447433586576e-4,2.3758668944331065e-6,3,1.2459682300900002e-4,1,1,"Philadelphia County, Pennsylvania"
421010029001,0.026187343639261316,78,53,25,5.362768054175162e-4,2.349210078111235e-6,3,5.992180654369232e-4,4,1,"Philadelphia County, Pennsylvania"
421010012023,0.01216874530644275,16,3,13,9.283747639288968e-6,2.343242907589529e-6,3,1.5328394114678913e-4,1,1,"Philadelphia County, Pennsylvania"
421010375001,0.018486368294113847,33,9,24,7.62286058682804e-5,2.3719896486371734e-6,3,2.1498923002551555e-4,8,1,"Philadelphia County, Pennsylvania"
421010240004,0.008442155769010166,17,3,14,2.5268264744032476e-6,2.3920926983762477e-6,3,1.4713667032540808e-4,13,1,"Philadelphia County, Pennsylvania"
421010385001,0.0016688405204061537,20,12,8,4.4040713725534237e-4,2.350806091408744e-6,3,4.0438035037879746e-4,16,1,"Philadelphia County, Pennsylvania"
421010110004,0.008642740720432286,15,0,15,0,2.3929570488139307e-6,3,1.3302199947976679e-4,8,1,"Philadelphia County, Pennsylvania"
421010175005,0.0026464667651147594,22,3,19,7.650669047498723e-4,2.3835004564403374e-6,3,1.42824498513966e-4,5,1,"Philadelphia County, Pennsylvania"
421010069001,0.01592550589119161,23,0,23,0,2.3836993106341596e-6,3,1.2183750017202761e-4,10,1,"Philadelphia County, Pennsylvania"
421010300003,0.012092883244121165,38,4,34,1.510667887030268e-4,2.4103819973389386e-6,3,1.4655861564517316e-4,5,1,"Philadelphia County, Pennsylvania"
421010242003,0.006366550865566827,22,5,17,0.0014112513031873575,2.39598433026248e-6,3,1.5674095999133883e-4,13,1,"Philadelphia County, Pennsylvania"
421010079001,0.011679616333740444,18,0,18,0,2.388287836450049e-6,3,1.122754491021885e-4,19,1,"Philadelphia County, Pennsylvania"
421010315023,0.005635446324880754,22,0,22,0,2.396030257070086e-6,4,1.1486290861606632e-4,2,1,"Philadelphia County, Pennsylvania"
421010252002,0.0041885803648594715,18,8,10,5.921303660636242e-4,2.3781156287381004e-6,3,3.201918955901422e-4,13,1,"Philadelphia County, Pennsylvania"
421010248002,0.007875697068150202,28,4,24,0.0016820014283922772,2.396926181864377e-6,3,1.7091680044739867e-4,6,1,"Philadelphia County, Pennsylvania"
421010319003,0.004631114745919301,16,0,16,0,2.3954276077822653e-6,3,1.2186681912599356e-4,5,1,"Philadelphia County, Pennsylvania"
421010055001,0.027606787625905148,43,14,29,0.0032313901660969676,2.384165327560474e-6,3,3.3575290006409566e-4,10,1,"Philadelphia County, Pennsylvania"
421010078005,0.02454413664739897,36,11,25,7.86722743497165e-4,2.3683325517835913e-6,3,1.8318832050701037e-4,19,1,"Philadelphia County, Pennsylvania"
421019802001,0.011874344380296187,80,73,7,3.6051797536223854e-4,2.3560178586153683e-6,4,0.0010422553797180098,2,1,"Philadelphia County, Pennsylvania"
421010326004,0.007951386751945441,38,0,38,0,2.422597994088861e-6,3,1.1698824573116926e-4,2,1,"Philadelphia County, Pennsylvania"
421010209001,0.004115396787573713,15,4,11,2.6555742995276038e-5,2.3849443234747685e-6,3,1.4231830151744085e-4,11,1,"Philadelphia County, Pennsylvania"
