GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
191530102053,0.5576632289149731,276,180,96,0.02987532299741602,5.501760563380282e-5,2,0.024575757238805437,1,1,"Polk County, Iowa"
191530006001,0.004656019505719191,39,8,31,7.631967515688444e-4,5.36135535063264e-5,2,6.188849573799763e-4,1,1,"Polk County, Iowa"
191530104053,0.023449716226936035,210,147,63,0.011182394663291673,5.413012882970661e-5,2,0.014908635558294834,1,1,"Polk County, Iowa"
191530102051,0.3250533943843672,110,81,29,0.0016037283130306385,4.920533385819023e-5,2,0.010813145668693331,1,1,"Polk County, Iowa"
191530031001,0.006056634031131616,79,30,49,0.006562674682276013,5.253756435851634e-5,2,0.002182573013588932,1,1,"Polk County, Iowa"
191530107061,0.10240392717676039,170,57,113,0.015695222274956497,5.4303556882975834e-5,2,0.00542875018827731,1,1,"Polk County, Iowa"
191530045012,0.003335700474040625,54,6,48,9.874492432631967e-4,5.305884225606197e-5,2,6.015944502352859e-4,1,1,"Polk County, Iowa"
191530043003,8.435737011180442e-4,26,8,18,1.6925064599483206e-4,4.993009786299181e-5,2,6.421530220930717e-4,1,1,"Polk County, Iowa"
191530002024,0.0027619140218726303,30,0,30,0,5.401901469317199e-5,2,4.966887417239771e-4,1,1,"Polk County, Iowa"
191530046021,0.012639670439929033,182,128,54,0.009938195433212045,5.343878587078501e-5,2,0.0097953578697454,1,1,"Polk County, Iowa"
191530051002,0.03163067587131869,208,191,17,0.0076177160786795334,5.109078833086395e-5,2,0.011132615253001021,1,1,"Polk County, Iowa"
191530021006,0.0021634746090392395,31,0,31,0,5.339028296849973e-5,2,4.966887417239771e-4,1,1,"Polk County, Iowa"
191530008016,0.0019114090798055456,56,37,19,0.0016997178716447819,5.047191238076011e-5,2,0.0023960281690949855,1,1,"Polk County, Iowa"
191530027003,0.006793813628040577,101,70,31,0.006640044648350297,5.3743214919116456e-5,2,0.0037545861018643562,1,1,"Polk County, Iowa"
191530104054,0.013984204692932734,162,117,45,0.007850537889574434,5.265374894692502e-5,2,0.005962548322569702,1,1,"Polk County, Iowa"
191530102083,0.058384694241508,50,5,45,8.2687338501292e-4,5.2559655208661824e-5,2,5.960061814231768e-4,1,1,"Polk County, Iowa"
191530105003,0.04770890641721958,174,123,51,0.005886300515038056,5.356186395286556e-5,2,0.0041620500346051656,1,1,"Polk County, Iowa"
191530007011,0.001806103489921539,90,57,33,0.011577519379844962,5.246589716684155e-5,2,0.0030451477156096716,1,1,"Polk County, Iowa"
191530002021,0.0053828668550594235,39,0,39,0,5.341880341880341e-5,2,4.966887417239771e-4,1,1,"Polk County, Iowa"
191530046031,0.0015979888533326977,43,16,27,0.004346991509782207,5.230399079449762e-5,2,8.27903250903452e-4,1,1,"Polk County, Iowa"
191530112052,0.004818335133757881,107,60,47,0.00871141169646153,5.2966101694915246e-5,2,0.003678241969837375,1,1,"Polk County, Iowa"
191530105004,0.040090960306049014,84,45,39,0.0033588039867109634,5.137426149499101e-5,2,0.0014688452943472953,1,1,"Polk County, Iowa"
191530113001,0.013953066127511583,75,9,66,2.416943521594684e-4,5.336179295624333e-5,2,6.456746605419457e-4,1,1,"Polk County, Iowa"
191530008013,0.0037789904514179415,56,1,55,1.301218161683278e-4,5.2826201796090856e-5,2,5.160263782508872e-4,1,1,"Polk County, Iowa"
191530007044,4.0837117036512726e-4,14,0,14,0,4.9234405002215545e-5,2,5.213779481839407e-4,1,1,"Polk County, Iowa"
191530001032,0.008372566504855176,91,64,27,0.0010049833887043188,5.218934293617243e-5,2,0.003020842224682498,1,1,"Polk County, Iowa"
191530005004,0.005545264799810151,58,16,42,0.0012355112587670728,5.3350405463081515e-5,2,7.319387620460766e-4,1,1,"Polk County, Iowa"
191530010002,4.7824595181215093e-4,19,0,19,0,5.2870889288357824e-5,2,4.966887417239771e-4,1,1,"Polk County, Iowa"
191530117022,0.016990928557828404,92,52,40,9.973544973544972e-4,4.981071926678621e-5,2,0.0025875566439854452,1,1,"Polk County, Iowa"
191530001022,0.0037296635266013825,47,6,41,4.798818752307125e-4,5.3387432598366345e-5,2,5.448224830902523e-4,1,1,"Polk County, Iowa"
191530111144,0.0017585612114903446,22,3,19,1.716500553709856e-4,5.0704796673765336e-5,2,5.244419628298365e-4,1,1,"Polk County, Iowa"
191530002022,0.006072363760228806,93,69,24,0.001494001476559616,5.14668039114771e-5,2,0.0024265434238517776,1,1,"Polk County, Iowa"
191530110013,0.0015840269135755825,36,0,36,0,5.2792735719564995e-5,2,4.966887417239771e-4,1,1,"Polk County, Iowa"
191530051003,0.10111324563900143,354,295,59,0.012870273690871695,5.266206751277055e-5,2,0.04854921948181907,1,1,"Polk County, Iowa"
191530107022,0.01597280319469876,56,11,45,3.38422190581659e-4,5.261496369567505e-5,2,6.58140809866868e-4,1,1,"Polk County, Iowa"
191530104081,0.009875890562222047,120,70,50,0.005506815904656436,5.320563979781857e-5,2,0.003398134987731669,1,1,"Polk County, Iowa"
