GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
060650507004,0.2024114606236996,178,104,74,0.007465109281169222,4.134657526317095e-6,3,8.439930211762532e-4,1,1,"Riverside County, California"
060650427241,0.17862148295896169,116,18,98,0.001578539115691275,4.13371749347906e-6,3,1.8891526443525156e-4,1,1,"Riverside County, California"
060650430091,0.05444102658105646,72,8,64,4.408864713200454e-4,4.076640847941296e-6,3,1.734345593859973e-4,11,1,"Riverside County, California"
060650464051,0.06666549903425391,84,23,61,0.0012769662848788434,4.0758765172450336e-6,4,2.1252585838493708e-4,11,1,"Riverside County, California"
060650427261,0.353022904275468,233,59,174,0.010180817373021659,4.174633258468243e-6,3,0.00033255199561423097,1,1,"Riverside County, California"
060650410022,4.8061132230746206e-4,44,17,27,2.3410069446132568e-4,3.990741479766941e-6,4,2.6456182732506215e-4,3,1,"Riverside County, California"
060650432671,0.13741286993170654,62,8,54,8.190693890515785e-4,4.0842332260541405e-6,4,1.5688637847013033e-4,1,1,"Riverside County, California"
060650445221,0.002050481511852313,147,50,97,0.01336347371474598,4.0651563255865e-6,3,4.3418194423595094e-4,6,1,"Riverside County, California"
060650405033,3.0975496573967224e-4,21,10,11,1.704776778230284e-4,4.009124767971903e-6,4,2.1624946121854817e-4,9,1,"Riverside County, California"
060650306011,0.0045212690901311366,60,0,60,0,4.128069219464672e-6,3,1.4611774324944845e-4,3,1,"Riverside County, California"
060650432111,0.03842256129539582,29,0,29,0,4.010813152258489e-6,4,1.4611774324944845e-4,1,1,"Riverside County, California"
060650422063,8.794958014313068e-4,16,1,15,1.775677845716756e-5,3.995652729829945e-6,3,1.4925792930167974e-4,10,1,"Riverside County, California"
060650432761,0.16757218686661202,90,5,85,1.8119161690987305e-4,4.099385502113233e-6,3,1.5440710030742257e-4,1,1,"Riverside County, California"
060650449272,4.710749020701031e-5,20,2,18,3.3087164827020303e-6,3.818586588360184e-6,4,2.1190247540495358e-4,2,1,"Riverside County, California"
060650438133,9.404081880379495e-4,18,0,18,0,4.00729327375824e-6,3,1.4611774324944845e-4,8,1,"Riverside County, California"
060650433151,0.02182607635302641,82,9,73,0.001495114443776399,4.0996880137421545e-6,3,1.5674699705291604e-4,7,1,"Riverside County, California"
060650456093,3.629423730447681e-5,45,20,25,6.698777872672667e-4,3.94382416854327e-6,4,2.0439038981992874e-4,2,1,"Riverside County, California"
060650468003,0.0032474135774833066,43,0,43,0,4.103052260576643e-6,3,1.4611774324944845e-4,5,1,"Riverside County, California"
060650419063,8.15076053924351e-4,34,2,32,1.512556106378071e-5,3.962655930510866e-6,4,1.5280273862813314e-4,4,1,"Riverside County, California"
060650418041,0.0015830346105654587,48,1,47,8.508128098376648e-6,4.020633893139592e-6,4,1.4969280556932968e-4,4,1,"Riverside County, California"
060650464011,0.03431506439958379,53,8,45,2.836249025316648e-4,4.048730520545283e-6,4,1.6967098294941944e-4,11,1,"Riverside County, California"
060650438092,0.006766271284355321,69,3,66,1.6614483480996623e-4,4.116429080101593e-6,3,1.5017902500866488e-4,8,1,"Riverside County, California"
060650432702,0.18893618965244885,191,107,84,0.0034959943372780446,4.111960459388222e-6,3,9.490607694258475e-4,1,1,"Riverside County, California"
060650449161,1.893425136913468e-4,48,0,48,0,3.965830405228551e-6,3,1.4701330927585415e-4,6,1,"Riverside County, California"
060650438072,0.0049746999963869425,76,44,32,0.0018041170516752186,4.036897240780736e-6,3,0.002088578091732199,8,1,"Riverside County, California"
060650432182,0.09481828715245519,50,8,42,5.542055091975113e-4,4.03416127769956e-6,4,1.5350447348591706e-4,1,1,"Riverside County, California"
060650507002,0.1328886526861438,194,131,63,0.00407917812562967,4.098461437576334e-6,3,5.583861148464226e-4,1,1,"Riverside County, California"
060650487002,0.01726597017353449,225,197,28,0.004675015793579395,4.063124705423459e-6,3,0.0025251836203625264,5,1,"Riverside County, California"
060650406052,8.026312621838453e-4,49,21,28,3.811416305318814e-4,4.0339334481659725e-6,4,3.6421442720959677e-4,9,1,"Riverside County, California"
060650407032,0.0036145468437321546,59,16,43,4.584463023675284e-4,4.035284527912063e-6,3,2.703568868823259e-4,4,1,"Riverside County, California"
060650312004,0.0024052804344172063,99,42,57,0.0018477482181098691,4.053111979377766e-6,3,7.077339592996166e-4,3,1,"Riverside County, California"
060650432503,0.12850954244892926,67,19,48,6.332253116180696e-5,4.075660562685697e-6,3,3.265167460088139e-4,1,1,"Riverside County, California"
060650425061,0.0190881326811877,98,20,78,0.0012800186116427568,4.099486334362304e-6,3,7.665983132311806e-4,5,1,"Riverside County, California"
060650514002,4.241662077857533e-4,145,114,31,0.002590405388445116,3.952053684697253e-6,4,0.0013691104005267866,2,1,"Riverside County, California"
060659415001,0.03216710419266759,86,1,85,7.156281078301248e-5,4.101352626096086e-6,3,1.4774857118031787e-4,7,1,"Riverside County, California"
060650437011,0.0063781079682370635,56,13,43,0.00208219554001224,4.0981423120899294e-6,3,1.68105230574961e-4,7,1,"Riverside County, California"
060650483001,0.008601101063311805,72,3,69,4.324965116674797e-5,4.090197024790684e-6,3,1.5399479715324588e-4,5,1,"Riverside County, California"
060650479004,0.004887441247510202,54,0,54,0,4.061771419751582e-6,3,1.4611774324944845e-4,4,1,"Riverside County, California"
060650432422,0.39282611075609214,201,115,86,0.0031582513217718712,4.104247896572953e-6,3,9.45433926964475e-4,1,1,"Riverside County, California"
060650432163,0.09312640078565045,41,1,40,3.401000411811407e-5,4.068894522047305e-6,4,1.47898852342589e-4,1,1,"Riverside County, California"
060650432063,0.08223114806759631,111,65,46,0.0011031835055385557,4.0768735272294384e-6,3,4.679818229513137e-4,1,1,"Riverside County, California"
060650452161,1.7014935781879432e-4,53,0,53,0,4.000672112914969e-6,3,1.4611774324944845e-4,2,1,"Riverside County, California"
060650438023,0.0019987920358535568,55,25,30,0.001583331127522345,4.05418006235329e-6,3,0.0010010293372437105,8,1,"Riverside County, California"
060650418051,0.001013629163372382,37,0,37,0,3.948979188879675e-6,4,1.501500612046505e-4,4,1,"Riverside County, California"
