GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
060670049061,0.026498015677651383,67,10,57,5.773467032679828e-4,5.030358211808263e-6,3,2.1423698367838102e-4,1,1,"Sacramento County, California"
060670046011,0.003892829339056536,23,2,21,3.532325705761491e-5,4.9409311678879e-6,3,1.755783065093459e-4,1,1,"Sacramento County, California"
060670074021,0.010359029026561316,129,77,52,0.003209685180047421,5.016403639902481e-6,3,0.001095533279750442,8,1,"Sacramento County, California"
060670057022,0.008699087399585657,66,27,39,0.0014586345388446695,4.995903359245418e-6,3,5.779080150032466e-4,2,1,"Sacramento County, California"
060670065001,0.009565756674868314,51,25,26,0.001567592670775986,4.949980447577232e-6,3,2.490897407222299e-4,6,1,"Sacramento County, California"
060670089092,0.007837510647224148,28,7,21,7.521482992225204e-5,4.978121157512732e-6,3,2.3561344469661546e-4,7,1,"Sacramento County, California"
060670091092,0.010578366298198113,45,0,45,0,5.006683923037255e-6,3,1.6462711957477977e-4,7,1,"Sacramento County, California"
060670071042,0.06026350782461026,77,10,67,5.078547504453101e-4,5.0397129379510546e-6,3,3.033432087484691e-4,6,1,"Sacramento County, California"
060670040053,0.007812543940234229,46,23,23,2.6736422847446837e-4,4.93732071354159e-6,3,2.593675404433283e-4,1,1,"Sacramento County, California"
060670066003,0.00790905705101315,52,3,49,0.0021064884621415903,5.022526029241146e-6,3,1.7498824537772449e-4,6,1,"Sacramento County, California"
060670012002,0.008175397664470003,49,28,21,0.001268427746003409,4.915623325615805e-6,3,0.0016972671301346517,3,1,"Sacramento County, California"
060670096011,0.2077389727645636,354,329,25,0.005446902861047446,4.956015363647627e-6,3,0.009221540964276206,1,1,"Sacramento County, California"
060670093181,0.07268943440910589,169,114,55,0.005338034197607667,4.99705173947371e-6,3,0.0019089161391323804,1,1,"Sacramento County, California"
060670040043,0.023372228105296156,79,23,56,9.065608567725552e-4,5.032028863717563e-6,3,0.00030008700134698376,1,1,"Sacramento County, California"
060670056063,0.0031632042842630764,28,0,28,0,4.962926935789651e-6,3,1.6799584356768353e-4,2,1,"Sacramento County, California"
060670081451,0.006918653647003987,39,0,39,0,5.031016214965261e-6,3,1.6462711957477977e-4,4,1,"Sacramento County, California"
060670065005,0.01646372514742829,48,0,48,0,5.0423812141045485e-6,3,1.6462711957477977e-4,6,1,"Sacramento County, California"
060670064004,0.00461795311794384,46,11,35,0.002532800167267785,4.990169366348294e-6,3,2.1479441536505567e-4,6,1,"Sacramento County, California"
060670086001,0.03536195900842408,54,14,40,0.004210394957611518,4.9993250911127e-6,3,3.6060839101195974e-4,7,1,"Sacramento County, California"
060670081353,7.579712873183492e-4,10,0,10,0,4.891673881885642e-6,3,1.6462711957477977e-4,4,1,"Sacramento County, California"
