GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
060730191071,5.59851791602258e-4,62,1,61,3.800029140119831e-5,1.2018869625311742e-6,3,8.477397182011383e-5,5,1,"San Diego County, California"
060730132062,0.00975063619772876,127,69,58,3.3654473808211776e-4,1.1989228876777104e-6,3,3.282683720201731e-4,2,1,"San Diego County, California"
060730203044,8.195018550396536e-4,69,4,65,6.225229084658266e-4,1.2011507023728732e-6,3,8.691403676518775e-5,5,1,"San Diego County, California"
060730001002,0.0016051832980409004,35,8,27,2.428481178991805e-5,1.1956873947047787e-6,3,2.0152883077266122e-4,1,1,"San Diego County, California"
060730164021,0.0014268206394364715,76,13,63,7.356708725558606e-4,1.1968336568773652e-6,3,1.018694433080854e-4,3,1,"San Diego County, California"
060730203074,9.139855213548027e-4,69,0,69,0,1.2050414112480975e-6,3,8.360535714550652e-5,5,1,"San Diego County, California"
060730120021,0.0053030801773493765,94,55,39,2.3347973043649466e-4,1.1988855160243038e-6,3,2.9836859807881355e-4,2,1,"San Diego County, California"
060730092012,0.002048934158461568,45,1,44,3.108832129904416e-7,1.194770251654458e-6,3,8.752063138449837e-5,1,1,"San Diego County, California"
060730080032,3.911490356468849e-4,19,2,17,3.862723921406237e-6,1.1844987023816716e-6,3,1.0152793551528924e-4,11,1,"San Diego County, California"
060730070021,9.877609248291977e-4,38,0,38,0,1.1928078458128865e-6,3,8.360535714550652e-5,1,1,"San Diego County, California"
060730170342,8.393210148213029e-4,29,0,29,0,1.197633476250928e-6,3,8.360535714550652e-5,8,1,"San Diego County, California"
060730168041,0.002497687260671875,107,44,63,4.922040628998381e-4,1.200927115733346e-6,3,1.9537863270315542e-4,3,1,"San Diego County, California"
060730168061,0.0010421907391243615,49,2,47,5.9845018500660006e-06,1.1974441751525545e-6,3,8.567494878909383e-5,3,1,"San Diego County, California"
060730132042,0.0020081095774974905,20,0,20,0,1.2001329747336005e-6,3,8.861685467287367e-5,2,1,"San Diego County, California"
060730033053,0.0022515355953931252,85,17,68,1.0806596562798216e-4,1.1963883428705423e-6,3,1.2557526959283105e-4,12,1,"San Diego County, California"
060730168062,7.001358230919765e-4,47,4,43,0.0011269856962041545,1.1963296606012753e-6,3,8.720579398378713e-5,3,1,"San Diego County, California"
060730207063,0.0018386726270376538,76,4,72,6.540069890296617e-5,1.200104169041873e-6,3,9.0598883353413e-5,5,1,"San Diego County, California"
060730095112,0.002507940012652621,61,19,42,7.950147320646123e-4,1.1958747105983202e-6,3,1.5825147032656091e-4,1,1,"San Diego County, California"
060730189032,1.1494688513340249e-4,25,0,25,0,1.2011651301762711e-6,3,8.360535714550652e-5,14,1,"San Diego County, California"
060730079051,0.004470704241454468,114,93,21,0.0022629617827731223,1.1939642718131303e-6,3,6.685428248294595e-4,11,1,"San Diego County, California"
060730173043,0.0014593632521892577,98,63,35,2.440383685638832e-4,1.1955773203764633e-6,3,3.7078036510542877e-4,7,1,"San Diego County, California"
060730081023,0.0010371991936641543,62,11,51,7.93415287280318e-4,1.1958375287299965e-6,3,1.1481911035984562e-4,6,1,"San Diego County, California"
060730208063,9.806087491231194e-4,83,17,66,6.217664259808832e-7,1.2023652930043983e-6,3,1.4793568162293168e-4,15,1,"San Diego County, California"
060730185111,1.0565838879748521e-4,49,0,49,0,1.1936692557352825e-6,3,8.566014969336579e-5,4,1,"San Diego County, California"
060730016001,7.013268926119181e-4,62,16,46,6.633897600146213e-4,1.1977582756113657e-6,3,1.505271191028822e-4,1,1,"San Diego County, California"
060730031012,0.0010884134866812054,43,0,43,0,1.2029597621989142e-6,3,8.360535714550652e-5,12,1,"San Diego County, California"
060730083584,0.0014868359486100127,43,0,43,0,1.1985133640232655e-6,3,8.360535714550652e-5,9,1,"San Diego County, California"
060730083501,0.02181111640048622,840,727,113,0.024362394612120985,1.208161371698095e-6,2,0.005724579940897396,9,1,"San Diego County, California"
060730030013,7.790054562691663e-4,60,5,55,8.216899921354441e-4,1.1998982486285164e-6,3,8.922717291318249e-5,10,1,"San Diego County, California"
060730042001,9.39170337567292e-4,46,0,46,0,1.2017266408375554e-6,3,8.519694849094171e-5,1,1,"San Diego County, California"
060730134113,0.005296679935042167,29,0,29,0,1.1989832621936598e-6,3,8.459949872033069e-5,2,1,"San Diego County, California"
060730124021,0.005203423472446276,68,16,52,7.56594860477108e-5,1.2009862499084246e-6,3,1.8354046219679532e-4,2,1,"San Diego County, California"
060730171101,0.00236779151065735,95,4,91,1.184257786018255e-4,1.1997427751490081e-6,3,8.699991966622074e-5,7,1,"San Diego County, California"
060730187001,0.016049791099829052,344,134,210,0.01393645330141451,1.2090129497377046e-6,2,8.681579339798292e-4,4,1,"San Diego County, California"
060730200162,6.436806437086533e-4,60,0,60,0,1.1979204101679486e-6,3,8.391486562423894e-5,7,1,"San Diego County, California"
060730083012,5.792158001171271e-4,38,6,32,0.0011735634034913843,1.1923569916833101e-6,3,8.991165706667298e-5,11,1,"San Diego County, California"
060730083482,0.0010232585951686635,32,0,32,0,1.198902764190213e-6,3,8.360535714550652e-5,9,1,"San Diego County, California"
060730008003,4.859958271897398e-4,21,0,21,0,1.1901106564888402e-6,3,8.360535714550652e-5,1,1,"San Diego County, California"
060730170226,0.007608045625106464,278,249,29,0.002038071382134228,1.1920570852296976e-6,3,0.002037997943531868,9,1,"San Diego County, California"
060730136043,0.005399716176500211,116,0,116,0,1.2149974424303836e-6,3,8.425292380193736e-5,3,1,"San Diego County, California"
