GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
060770053071,0.0604098316707213,63,34,29,0.0020776016842975415,2.770927429410624e-5,3,0.0020227446169782297,2,1,"San Joaquin County, California"
060770052021,0.10859328293143915,146,72,74,0.013922953310522571,2.9079065980400712e-5,2,0.002608398984129882,2,1,"San Joaquin County, California"
060770033071,0.009452083959745408,194,162,32,0.02327956218761039,2.911208151382824e-5,2,0.013547221722525427,1,1,"San Joaquin County, California"
060770022012,0.002061021875140026,39,17,22,0.004186310346460694,2.8510334996436207e-5,3,6.683487875482237e-4,1,1,"San Joaquin County, California"
060770051104,0.05727061021987425,152,131,21,0.012547752209471892,2.7810223037988763e-5,3,0.020822874525107036,3,1,"San Joaquin County, California"
060770036021,5.002680471197176e-4,28,2,26,3.3281237218153563e-4,2.8925141733194495e-5,3,4.136761768194245e-4,1,1,"San Joaquin County, California"
060770018002,0.003191947800335762,55,14,41,0.001875029600065443,2.8292544914415053e-5,2,9.568768075559993e-4,1,1,"San Joaquin County, California"
060770034041,0.0035382202562104555,25,0,25,0,2.8944397811803524e-5,3,3.7974683544482896e-4,1,1,"San Joaquin County, California"
060770011013,0.0034476002616568593,51,21,30,0.004887419290488226,2.868452756583099e-5,2,0.0010843348524911137,1,1,"San Joaquin County, California"
060770011011,0.0024701097312557364,52,0,52,0,2.9220968967330954e-5,2,3.8269228825767805e-4,1,1,"San Joaquin County, California"
060770014001,9.61664014415738e-4,24,0,24,0,2.8235825615541e-5,3,3.7974683544482896e-4,1,1,"San Joaquin County, California"
060770051333,0.0038627518213697064,23,4,19,0.002000964423950436,2.8550219836692744e-5,3,5.267920124362805e-4,3,1,"San Joaquin County, California"
060770053053,0.0770025128356314,89,67,22,0.0019027537133089892,2.703067982159751e-5,3,0.004417153582527086,2,1,"San Joaquin County, California"
060770043051,0.00101686463579053,46,17,29,0.002414719520543522,2.812306653917543e-5,3,7.533366482013532e-4,4,1,"San Joaquin County, California"
060770051312,0.0063325803162795815,34,11,23,6.452814266585723e-4,2.7419797093501507e-5,3,5.160083989844005e-4,3,1,"San Joaquin County, California"
060770011025,8.437921457785388e-4,28,8,20,4.3689696593947374e-4,2.846407833314357e-5,3,4.89392664716231e-4,1,1,"San Joaquin County, California"
060770049024,0.002175651986638644,25,0,25,0,2.961471258921432e-5,3,3.7974683544482896e-4,6,1,"San Joaquin County, California"
060770051062,0.06776543739735007,94,4,90,0.003823897908836104,2.941436009059623e-5,2,5.020941202506336e-4,3,1,"San Joaquin County, California"
060770049012,0.004049880263315145,40,12,28,0.008190069016588952,2.8509522180408255e-5,3,0.0018122550080059924,6,1,"San Joaquin County, California"
060770051081,0.011444607030826774,69,33,36,0.0012808755591721455,2.7934521481647022e-5,3,0.00114552677824851,3,1,"San Joaquin County, California"
060770034053,0.007106438426291848,121,94,27,0.002362085222355691,2.764263600176913e-5,3,0.004917152514097907,1,1,"San Joaquin County, California"
