GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
060855043171,0.006735719689203883,223,173,50,0.0032685726049239833,3.440919413667332e-6,3,0.0022465803035005886,4,1,"Santa Clara County, California"
060855095003,0.0027298140956225603,25,9,16,5.452379754055732e-5,3.331345630440504e-6,3,5.929961615386729e-4,2,1,"Santa Clara County, California"
060855120201,0.0012334978546608341,33,1,32,0,3.4609261438360904e-6,3,1.403714816283257e-4,5,1,"Santa Clara County, California"
060855064023,0.0025495063177753442,99,32,67,0.002124738396651323,3.4606985766146754e-6,3,5.924610672026805e-4,7,1,"Santa Clara County, California"
060855022011,0.0031893124997034094,94,21,73,9.019260199186997e-4,3.4704749344947854e-6,3,3.17928391221977e-4,7,1,"Santa Clara County, California"
060855033323,7.273598206709732e-4,14,0,14,0,3.42072136172076e-6,3,1.396453009360984e-4,3,1,"Santa Clara County, California"
060855035043,9.705713121997346e-4,28,1,27,3.471010984014259e-6,3.464367250643506e-6,3,1.4457263082938353e-4,3,1,"Santa Clara County, California"
060855080043,0.003087958723996769,70,1,69,8.343442652824274e-5,3.433547128867891e-6,3,1.449288181118051e-4,6,1,"Santa Clara County, California"
060855033043,0.002411698066672812,46,3,43,6.565995778093639e-5,3.4606386954776375e-6,3,1.4687555789839302e-4,3,1,"Santa Clara County, California"
060855095002,0.003765953493973367,40,10,30,4.5208856854011913e-4,3.418406065619723e-6,3,3.075299955145341e-4,2,1,"Santa Clara County, California"
060855016002,5.204296053573511e-4,18,5,13,2.7475388195865946e-4,3.4096294755648903e-6,3,2.686844700464091e-4,1,1,"Santa Clara County, California"
060855057002,5.000476253579703e-4,16,2,14,3.549108731154579e-5,3.412491767363611e-6,3,1.61159765384203e-4,1,1,"Santa Clara County, California"
060855105003,0.007181187554024596,65,22,43,0.0015861287437091704,3.4180321705187888e-6,3,7.336280143797353e-4,2,1,"Santa Clara County, California"
060855077034,7.487495804134466e-4,36,1,35,3.904887357016041e-6,3.4556638330223238e-6,3,1.4815602077452637e-4,6,1,"Santa Clara County, California"
060855066063,9.52335819254524e-4,41,0,41,0,3.450179409329285e-6,3,1.396453009360984e-4,10,1,"Santa Clara County, California"
060855072053,0.0026465986487289356,68,18,50,2.1935549772190115e-4,3.4353400299561653e-6,3,2.5505124835790456e-4,11,1,"Santa Clara County, California"
060855044202,0.0024014062722475886,42,0,42,0,3.4521446448606195e-6,3,1.396453009360984e-4,4,1,"Santa Clara County, California"
060855106001,0.0024149549527248144,18,5,13,4.14238301928535e-5,3.334978589437456e-6,3,1.8119784526881666e-4,2,1,"Santa Clara County, California"
060855057001,7.447294180258136e-4,34,20,14,4.0061251773831237e-5,3.4000884022984596e-6,3,7.453523007640913e-4,1,1,"Santa Clara County, California"
060855029072,0.0035755083858200537,97,36,61,4.435228910281885e-4,3.43751289067334e-6,3,4.8499757288755936e-4,5,1,"Santa Clara County, California"
060855077035,5.532946346111395e-4,24,0,24,0,3.4201246977464798e-6,3,1.396453009360984e-4,6,1,"Santa Clara County, California"
060855003001,0.019305425836734738,626,589,37,0.01062348404864299,3.444119166523162e-6,2,0.021065284988999358,1,1,"Santa Clara County, California"
060855120333,0.003906953576022947,46,4,42,3.818112082415685e-5,3.444676768755404e-6,3,1.8391044797113777e-4,5,1,"Santa Clara County, California"
060855092021,0.0035834797551049387,36,3,33,3.651896109996669e-5,3.4006549661464798e-6,3,1.7256499305270536e-4,2,1,"Santa Clara County, California"
060855120293,0.0030675376697276067,82,64,18,6.71449888845381e-4,3.4273924055839075e-6,3,4.7512669558901334e-4,5,1,"Santa Clara County, California"
060855044161,0.00490510644020566,178,132,46,0.002809450825247396,3.4547445734599613e-6,3,0.001873672128853061,4,1,"Santa Clara County, California"
060855009021,5.755432684117763e-4,17,4,13,4.6424771911190716e-5,3.400204012240734e-6,3,2.0606848204176757e-4,1,1,"Santa Clara County, California"
060855120521,0.002275082388183005,118,96,22,0.0015880126937726628,3.432828135459398e-6,3,0.001064882392639113,5,1,"Santa Clara County, California"
060855123111,0.048163983458008874,206,106,100,0.010953511435114216,3.476217458259319e-6,3,0.0022072283474959885,9,1,"Santa Clara County, California"
060855059004,0.0016140816055574742,56,35,21,9.582153123859923e-4,3.4345377112240694e-6,3,7.665957347658142e-4,10,1,"Santa Clara County, California"
060855091084,0.0013942019525815877,35,22,13,4.306629643751583e-4,3.3472579263067693e-6,3,4.2788202436086205e-4,2,1,"Santa Clara County, California"
060855028003,0.0010565165467481697,39,0,39,0,3.429190642424575e-6,3,1.396453009360984e-4,7,1,"Santa Clara County, California"
060855095001,0.002842773364888603,25,1,24,0,3.390520105784227e-6,3,1.4531716025998218e-4,2,1,"Santa Clara County, California"
060855033371,0.002993341859930345,100,53,47,0.0013958147265795114,3.4573364679850643e-6,3,3.487199479510659e-4,3,1,"Santa Clara County, California"
060855120421,0.002150511160126803,51,12,39,1.7594513356408945e-4,3.4466951363684933e-6,3,1.832377822848325e-4,5,1,"Santa Clara County, California"
060855123082,0.021737697536377547,115,38,77,6.419025321934202e-4,3.4610459280794654e-6,3,5.290213223843313e-4,9,1,"Santa Clara County, California"
060855085071,9.544748836885286e-4,25,7,18,1.0703730121953971e-4,3.3903706692252663e-6,3,1.9847120738650668e-4,1,1,"Santa Clara County, California"
060855031102,9.837194044538923e-4,42,13,29,2.6335503844654293e-4,3.4431349054687315e-6,3,2.551859807879933e-4,3,1,"Santa Clara County, California"
060855120051,0.001976911111686979,56,12,44,5.499620626763758e-4,3.4468733411922042e-6,3,1.6903917801384605e-4,5,1,"Santa Clara County, California"
060855125063,0.01882229472248906,69,16,53,0.0011979626239884379,3.454840058179507e-6,3,2.645376191767345e-4,9,1,"Santa Clara County, California"
060855120342,0.002812930353494041,32,0,32,0,3.453730374177149e-6,3,1.396453009360984e-4,5,1,"Santa Clara County, California"
060855120251,0.002673978026120011,66,13,53,1.9363833657803993e-4,3.4477646417944926e-6,3,2.0009088918644509e-4,5,1,"Santa Clara County, California"
060855066051,0.002238014888299562,91,32,59,0.00189082110677179,3.4641392306839594e-6,3,5.181644529846669e-4,10,1,"Santa Clara County, California"
060855123072,0.016795509311690833,82,21,61,7.700727118950968e-4,3.4614412749180503e-6,3,2.4115096697849034e-4,9,1,"Santa Clara County, California"
060855075003,0.0016369887451583754,91,44,47,0.0015935026385806572,3.4459350027739777e-6,3,7.147002898139495e-4,10,1,"Santa Clara County, California"
060855106003,0.008056411155741999,59,29,30,2.57056255418806e-4,3.3793373795266226e-6,3,5.982211011664295e-4,2,1,"Santa Clara County, California"
060855120322,0.001799414199193486,28,2,26,2.0564775910566702e-4,3.440954933813232e-6,3,1.5157866248571232e-4,5,1,"Santa Clara County, California"
060855037081,0.003867296199787767,213,160,53,0.004831998710827452,3.458926971674847e-6,3,0.0017816258486572608,3,1,"Santa Clara County, California"
060855056002,5.769962243921503e-4,20,2,18,4.9895782895204975e-6,3.411339291805963e-6,3,1.72996023126787e-4,1,1,"Santa Clara County, California"
060855037113,9.915503447495227e-4,45,11,34,4.092755826525812e-4,3.452609482246682e-6,3,2.213797910574651e-4,3,1,"Santa Clara County, California"
060855006003,4.528278096553207e-4,22,8,14,2.3656523849164963e-4,3.3779903659714763e-6,3,3.643914767780617e-4,1,1,"Santa Clara County, California"
060855126042,0.012941531201222774,68,25,43,3.034965229147468e-4,3.4540166759925116e-6,3,4.219829301517911e-4,9,1,"Santa Clara County, California"
060855033324,0.004700638061395541,60,0,60,0,3.4646913306493525e-6,3,1.396453009360984e-4,3,1,"Santa Clara County, California"
