GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
471570102203,5.340158403362205e-4,67,42,25,0.004144596301833715,1.1407451347220004e-5,3,8.154104766924174e-4,8,1,"Shelby County, Tennessee"
471570211372,0.008117956780013794,90,26,64,0.0010124890274545563,1.1671743875252402e-5,3,6.092624621603295e-4,1,1,"Shelby County, Tennessee"
471570206332,0.03077009259853461,196,132,64,0.0033457032658198186,1.1590843233845261e-5,3,0.006044625851213665,1,1,"Shelby County, Tennessee"
471570210101,0.0765821819022522,282,44,238,0.020016341329035257,1.187338225166821e-5,2,6.239531983414731e-4,1,1,"Shelby County, Tennessee"
471570215403,0.010807470501145037,84,2,82,1.7919229286305124e-5,1.149240352127244e-5,3,2.4554301858613814e-4,4,1,"Shelby County, Tennessee"
471570203002,0.006991821118077048,106,58,48,0.0027365839729216225,1.1706449082799715e-5,3,0.0021927421178613475,9,1,"Shelby County, Tennessee"
471570225005,7.396322213633166e-5,15,0,15,0,1.1259359342453415e-5,3,2.461916286880051e-4,6,1,"Shelby County, Tennessee"
471570217411,0.0016493440284228228,84,21,63,8.822945639828098e-4,1.1561762937612727e-5,3,3.5224830427846917e-4,5,1,"Shelby County, Tennessee"
471570211125,0.009720974156734848,104,58,46,8.714868139788266e-4,1.1527909067853272e-5,3,0.0011316673194607869,1,1,"Shelby County, Tennessee"
471570013003,7.331964262578693e-5,21,4,17,1.8683556601834725e-5,1.1309018942606728e-5,3,2.9397443024885994e-4,7,1,"Shelby County, Tennessee"
471570078211,1.93940559240854e-4,28,5,23,3.582571978401809e-4,1.1445576284765938e-5,3,3.221578662704858e-4,3,1,"Shelby County, Tennessee"
471570215101,0.005459802564050747,143,85,58,0.0013299355951113135,1.1476444597463706e-5,3,0.0014948208099409375,5,1,"Shelby County, Tennessee"
471570206103,0.004609965838059336,97,49,48,0.0010603835284346463,1.1557754097223828e-5,3,0.0012483589141439903,1,1,"Shelby County, Tennessee"
471570213421,0.031742360613523535,522,393,129,0.022681115800450215,1.165215972780555e-5,3,0.020390719353856654,5,1,"Shelby County, Tennessee"
471570030002,0.002645753474520287,163,151,12,0.0016202131575429033,1.1155360708588511e-5,3,0.004878155125186955,2,1,"Shelby County, Tennessee"
471570213522,0.003861527039772389,63,1,62,1.528654631059205e-5,1.1397570038067884e-5,3,2.403719247925513e-4,4,1,"Shelby County, Tennessee"
471570024003,1.307351529835329e-4,14,0,14,0,1.1244925727265571e-5,3,2.3917723032873797e-4,3,1,"Shelby County, Tennessee"
471570073003,0.018455484808872224,282,233,49,0.002794300887304234,1.138498320714977e-5,3,0.007431461553217287,2,1,"Shelby County, Tennessee"
471570221122,2.717960052259053e-4,30,1,29,1.273878859216004e-5,1.1346358953411851e-5,3,2.561845573642276e-4,6,1,"Shelby County, Tennessee"
471570096002,0.0025682664769970023,65,8,57,1.0988115074208906e-4,1.1245810935426553e-5,3,3.7875485503636455e-4,2,1,"Shelby County, Tennessee"
471570059002,6.64174640442787e-5,17,1,16,2.8025334902752086e-5,1.1363378105043067e-5,3,2.919121942151847e-4,3,1,"Shelby County, Tennessee"
471570201011,0.001840394681402561,39,4,35,0.001686827922745192,1.1440993078199188e-5,3,2.552381936049847e-4,9,1,"Shelby County, Tennessee"
471570008001,7.953319764563872e-5,30,18,12,2.8240074481877066e-4,1.13323436419886e-5,3,7.750674493782019e-4,11,1,"Shelby County, Tennessee"
471570097002,0.0010317398479727494,54,24,30,2.733562049183371e-4,1.1414873580275099e-5,3,3.679774298103973e-4,2,1,"Shelby County, Tennessee"
471570217324,0.0011044331012374953,68,6,62,1.6036011706097465e-4,1.1590440204918982e-5,3,2.6055723647788607e-4,5,1,"Shelby County, Tennessee"
471570222101,4.8196267207894247e-4,59,3,56,1.7112439342134984e-4,1.1429224527115835e-5,3,2.620008419853475e-4,6,1,"Shelby County, Tennessee"
471570055002,4.298271806207291e-5,39,31,8,6.510370223166593e-4,1.1160838848647865e-5,3,0.0012699548420118697,3,1,"Shelby County, Tennessee"
471570110101,3.2311443550531285e-4,56,30,26,4.576834428019899e-4,1.13520263367011e-5,3,0.0011669273436321454,5,1,"Shelby County, Tennessee"
471570217444,0.0014274465355418931,64,0,64,0,1.1669564608544455e-5,3,2.3917723032873797e-4,5,1,"Shelby County, Tennessee"
471570074001,0.002796457022998174,94,28,66,0.0012887519004048343,1.1513574504340618e-5,3,0.0010703017508589502,2,1,"Shelby County, Tennessee"
471570227001,6.507750462838645e-5,22,5,17,0.0012842609719186143,1.1336069104677262e-5,3,3.622641459147979e-4,6,1,"Shelby County, Tennessee"
471570205323,0.0028576149490356167,88,33,55,0.007759347783729826,1.1482638250964542e-5,3,5.316173213981356e-4,1,1,"Shelby County, Tennessee"
471570055001,1.7251396091771167e-4,96,79,17,0.001748155171577218,1.1120996441281138e-5,3,0.003037576169451363,3,1,"Shelby County, Tennessee"
471570011003,5.247327919437978e-4,32,4,28,3.4904280742518507e-4,1.1327209088952573e-5,3,2.686630781171235e-4,7,1,"Shelby County, Tennessee"
471570211421,0.010662242479368632,83,12,71,7.991466710148399e-5,1.154441135046524e-5,3,2.914360796599788e-4,1,1,"Shelby County, Tennessee"
471570213535,0.003740656813618243,52,0,52,0,1.1393804049357959e-05,3,2.3917723032873797e-4,4,1,"Shelby County, Tennessee"
471570211422,0.03130150749212829,171,114,57,0.00253781438622535,1.151662424710069e-5,3,0.002575645513362293,1,1,"Shelby County, Tennessee"
471570215401,0.02104665744597412,139,45,94,0.0032078241154245876,1.1561896613520481e-5,3,7.651239046251914e-4,4,1,"Shelby County, Tennessee"
