GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
060971530053,0.07963138323561852,61,21,40,0.005723818495839222,1.60426091699554e-5,3,0.0012647167399151649,1,1,"Sonoma County, California"
060971514023,0.2533832536830812,69,13,56,0.009805675449642882,1.6170501770669942e-5,3,0.001776244631461466,1,1,"Sonoma County, California"
060971503044,0.02308242269533294,32,3,29,4.345826884686989e-4,1.5709931818895907e-5,3,4.3540065383081296e-4,3,1,"Sonoma County, California"
060971534044,0.0318724676845515,22,0,22,0,1.5986954645009672e-5,3,3.901677721433289e-4,1,1,"Sonoma County, California"
060971506112,0.05322732594255287,22,0,22,0,1.567742137773179e-5,3,3.901677721433289e-4,2,1,"Sonoma County, California"
060971522012,0.14421364432908385,125,105,20,0.007001323374380369,1.5914950504503932e-5,3,0.007506181936537966,1,1,"Sonoma County, California"
060971506092,0.09707574716217414,107,97,10,0.0023779884068559124,1.554001554001554e-5,3,0.0136323033527625,2,1,"Sonoma County, California"
060971513085,0.17815065203553634,115,74,41,0.010792518608950879,1.603180710529691e-5,3,0.004280180291238741,1,1,"Sonoma County, California"
060971530052,0.028504271501009253,20,4,16,3.2377812170558283e-4,1.5801532748676622e-5,3,4.338426066971263e-4,1,1,"Sonoma County, California"
060971527014,0.08755424531870926,33,0,33,0,1.6228760609552248e-5,3,3.961331632833238e-4,1,1,"Sonoma County, California"
060971518001,0.12455136439122994,76,38,38,0.0040012528798613195,1.5946674321070342e-5,3,0.00186844867437215,1,1,"Sonoma County, California"
060971527024,0.3567660176027571,178,125,53,0.011630666397505773,1.607096940087426e-5,3,0.009628023215140414,1,1,"Sonoma County, California"
060971506036,0.02453542016576082,13,0,13,0,1.552433439416285e-5,3,3.901677721433289e-4,2,1,"Sonoma County, California"
060971509011,0.056017363905171064,71,51,20,0.0026747863535428297,1.5716845314808412e-5,3,0.005663985336422404,2,1,"Sonoma County, California"
060971537054,0.034597536202200685,23,3,20,0.0029775923558306976,1.5721787252774896e-5,3,4.3610124690105526e-4,1,1,"Sonoma County, California"
060971513092,0.21263279715706163,59,0,59,0,1.6440878600552414e-5,3,3.9549596137602094e-4,1,1,"Sonoma County, California"
060971527021,0.06148228145520381,46,35,11,0.002243135596207395,1.5669805851105506e-5,3,0.0016457145656364662,1,1,"Sonoma County, California"
060971530051,0.06766381092061682,27,0,27,0,1.6066838046272496e-5,3,3.966879188762395e-4,1,1,"Sonoma County, California"
060971501002,0.006331371845353881,19,8,11,0.0013715990399928225,1.5489227242452876e-5,3,6.093696022301046e-4,3,1,"Sonoma County, California"
060971506071,0.04379205730851163,23,0,23,0,1.5863447444398617e-5,3,3.901677721433289e-4,2,1,"Sonoma County, California"
060971524002,0.12800650400759805,54,0,54,0,1.6104615582826037e-5,3,3.922989933214024e-4,1,1,"Sonoma County, California"
060971539033,0.028054116025808505,15,9,6,5.719668932104165e-5,1.5307840675994246e-5,4,0.001371362690016019,1,1,"Sonoma County, California"
060971537043,0.015076722128613084,12,0,12,0,1.593422352528761e-5,3,3.901677721433289e-4,4,1,"Sonoma County, California"
060971541001,0.007389197197447506,5,0,5,0,1.5596974187007723e-5,4,3.901677721433289e-4,1,1,"Sonoma County, California"
060971528025,0.05920532980856843,41,19,22,0.001264719736222327,1.5802781289506953e-5,3,0.0011777041978427492,1,1,"Sonoma County, California"
060971529053,0.06265524612294177,30,0,30,0,1.6036949130797357e-5,3,3.901677721433289e-4,1,1,"Sonoma County, California"
060971526005,0.040256482490650114,18,0,18,0,1.587200812646816e-5,3,3.901677721433289e-4,1,1,"Sonoma County, California"
060971514022,0.31810481407564006,172,133,39,0.014583938144263828,1.6063482884358986e-5,3,0.00913677461429221,1,1,"Sonoma County, California"
060971512043,0.05434146832033764,44,30,14,3.4934840634322505e-4,1.5490906837686278e-5,3,0.0014619877992044033,1,1,"Sonoma County, California"
060971525011,0.10071473021517575,58,16,42,0.00425569002919114,1.6000256004096065e-5,3,9.165328959423041e-4,1,1,"Sonoma County, California"
060971543022,0.014736761862022982,18,6,12,6.869210237085885e-4,1.5752496770738163e-5,3,5.996685319314789e-4,1,1,"Sonoma County, California"
060971530064,0.13585072884114624,80,42,38,0.001104344705380975,1.5935239187940212e-5,3,0.001637454938163441,1,1,"Sonoma County, California"
060971506014,0.01503790021646379,13,0,13,0,1.5889157239100036e-5,3,3.901677721433289e-4,2,1,"Sonoma County, California"
060971506034,0.042629741573977975,20,2,18,3.409371285018953e-4,1.5687751004016063e-5,3,4.978082712835389e-4,2,1,"Sonoma County, California"
060971526001,0.016458194376571547,14,0,14,0,1.596398524927763e-5,3,3.901677721433289e-4,1,1,"Sonoma County, California"
060971538092,0.24671665949713364,56,0,56,0,1.6248273620927776e-5,3,3.939326136468361e-4,1,1,"Sonoma County, California"
060971530055,0.09585260117371788,34,0,34,0,1.6043638697256537e-5,3,3.901677721433289e-4,1,1,"Sonoma County, California"
060971538012,0.7127883191760016,120,28,92,0.021757123951794567,1.6223494865263873e-5,3,0.0018998379629951295,1,1,"Sonoma County, California"
060971507022,0.03313025182230392,20,3,17,6.056120045757351e-5,1.5201726916177676e-5,3,4.412645958090047e-4,2,1,"Sonoma County, California"
060971506011,0.03578192834195982,18,0,18,0,1.5657048020166276e-5,3,3.901677721433289e-4,2,1,"Sonoma County, California"
060971503043,0.03156970811764658,34,9,25,0.002494224255882287,1.5766902119071645e-5,3,6.30852240182551e-4,3,1,"Sonoma County, California"
060971531031,0.10899295982527156,37,3,34,0.001175335890361797,1.6034634811192175e-5,3,4.571944997834651e-4,1,1,"Sonoma County, California"
060971516012,0.05469764883552415,50,19,31,0.0042254895363703655,1.6084410988869585e-5,3,9.251291652771381e-4,1,1,"Sonoma County, California"
060971503034,0.0046008461168052335,12,0,12,0,1.573415570520486e-5,3,3.901677721433289e-4,3,1,"Sonoma County, California"
060971513102,0.08264301149639122,35,3,32,1.1102886750555144e-4,1.5846604864907693e-5,3,4.218572002158232e-4,1,1,"Sonoma County, California"
060971539022,0.047186491353197794,30,17,13,0.0019013973936253732,1.5509406455014967e-5,3,0.0013936261330734115,1,1,"Sonoma County, California"
060971523002,0.04092893502645602,29,8,21,4.828073480923222e-4,1.590988640341108e-5,3,6.201694644169921e-4,1,1,"Sonoma County, California"
060971536003,0.007989930160196796,10,1,9,0.0030207702487495235,1.5717092337917486e-5,4,4.7917111370121817e-4,1,1,"Sonoma County, California"
060971539023,0.026399240739073796,17,5,12,8.538648620069789e-4,1.5782579189091082e-5,3,5.647982018068602e-4,1,1,"Sonoma County, California"
060971505003,0.025060955349753,20,0,20,0,1.615508885298869e-5,3,3.901677721433289e-4,1,1,"Sonoma County, California"
060971515022,0.04167275945533997,23,0,23,0,1.6045440688028495e-5,3,3.901677721433289e-4,1,1,"Sonoma County, California"
060971517001,0.036466633309376995,42,29,13,0.0013193369670053607,1.585816457603197e-5,3,0.0014607226281876445,1,1,"Sonoma County, California"
060971502024,0.03715139691696132,61,37,24,0.009052105062467756,1.5871504301177665e-5,3,0.005365636144579128,3,1,"Sonoma County, California"
