GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
391535308004,0.047089161609332374,90,28,62,0.0047712901371437955,1.4179369018078695e-5,2,9.814447040660983e-4,1,1,"Summit County, Ohio"
391535203021,0.0070202807967904984,18,0,18,0,1.4004033161550527e-5,3,3.318584070805202e-4,1,1,"Summit County, Ohio"
391535074001,0.01998712776421381,81,45,36,0.005607210314527388,1.4150075702905011e-5,3,0.0012840192281262676,4,1,"Summit County, Ohio"
391535057004,0.006597409650135327,45,13,32,0.0013463907366346387,1.4276740334646794e-5,3,5.210578104413452e-4,8,1,"Summit County, Ohio"
391535088004,0.010021739046265448,75,38,37,0.010461443705346143,1.4290409706046272e-5,3,0.001744620533190137,8,1,"Summit County, Ohio"
391535089003,0.03203251897748749,67,38,29,0.00403030303030303,1.4118909455433662e-5,2,0.004999961794228295,4,1,"Summit County, Ohio"
391535104004,0.008134497790754572,31,5,26,5.994908433932825e-5,1.4092645048549161e-5,3,0.00037562938422660143,6,1,"Summit County, Ohio"
391535304012,0.023666935362972267,62,30,32,0.001340806438367414,1.4123894805231489e-5,2,0.0015547592501340684,1,1,"Summit County, Ohio"
391535037011,0.011819941234658076,29,0,29,0,1.4254354705362488e-5,2,3.377619299910785e-4,3,1,"Summit County, Ohio"
391535301081,0.04051009296310982,27,7,20,2.1023240535435656e-4,1.3862511609853473e-5,3,4.4405199227039e-4,5,1,"Summit County, Ohio"
391535326003,0.02449163018855142,69,61,8,0.003255235279625524,1.3856556922735838e-5,3,0.00208869503513727,5,1,"Summit County, Ohio"
391535052001,0.008526278698128746,49,3,46,0.00311423174837809,1.4359357275168362e-5,3,3.7994684872673346e-4,8,1,"Summit County, Ohio"
391535301012,0.08069490404306405,37,12,25,0.0015430730064876408,1.3868471417080409e-5,3,8.778002220220322e-4,5,1,"Summit County, Ohio"
391535066001,0.00446710000694049,30,15,15,5.181900303851523e-4,1.4018364056914559e-5,3,6.262373630230522e-4,4,1,"Summit County, Ohio"
391535075004,0.008052361856271603,30,11,19,6.529522870986287e-4,1.4180173281717503e-5,3,6.096793267810865e-4,1,1,"Summit County, Ohio"
391535056001,0.013706569836689386,38,0,38,0,1.447492219729319e-5,3,3.424110759112348e-4,3,1,"Summit County, Ohio"
391535072032,0.007302274093608123,26,1,25,1.7245627001724563e-5,1.3931845412243306e-5,3,3.4228729827252683e-4,2,1,"Summit County, Ohio"
391535320034,0.010938912242651944,38,11,27,0.004747885357641455,1.4087284816724424e-5,3,4.905952628207861e-4,6,1,"Summit County, Ohio"
391535306061,0.023897361149099607,40,0,40,0,1.4245014245014244e-5,2,3.318584070805202e-4,1,1,"Summit County, Ohio"
391535317011,0.012584082537346738,31,0,31,0,1.4176554813649187e-5,3,3.318584070805202e-4,6,1,"Summit County, Ohio"
391535322023,0.014456154763929845,27,1,26,1.1456023651145602e-4,1.4208581983518046e-5,3,3.3675256143838374e-4,2,1,"Summit County, Ohio"
391535301044,0.03797804319005902,28,16,12,3.646218280364622e-4,1.3376494823296504e-5,3,0.0017549605838611524,5,1,"Summit County, Ohio"
391535205003,0.009494428734818481,24,0,24,0,1.4181178739576834e-5,2,3.318584070805202e-4,1,1,"Summit County, Ohio"
391535064002,0.0025323269235170255,13,0,13,0,1.3861166555777335e-5,3,3.318584070805202e-4,2,1,"Summit County, Ohio"
391535057003,0.00920089976944826,36,15,21,7.338424899400509e-4,1.4105367092178574e-5,3,6.234438883103128e-4,8,1,"Summit County, Ohio"
391535325012,0.02905119615282974,31,8,23,5.120308778845363e-4,1.3842746400885935e-5,3,4.7417290676840626e-4,2,1,"Summit County, Ohio"
391535090002,0.003955221508773272,22,0,22,0,1.4375871537211944e-5,3,3.318584070805202e-4,4,1,"Summit County, Ohio"
391535073003,0.010449502116425365,91,73,18,0.0021682680463168268,1.4071426561224776e-5,3,0.002671996341103746,2,1,"Summit County, Ohio"
391535027003,0.02071434818447375,48,2,46,1.0018888067668557e-4,1.4362863380443527e-5,2,3.460651401615111e-4,1,1,"Summit County, Ohio"
391535327054,0.11182673274031192,22,1,21,6.52870165065287e-4,1.3772966421507864e-5,3,4.139435618661581e-4,5,1,"Summit County, Ohio"
391535202013,0.008563041212705723,29,0,29,0,1.4322338551438678e-5,2,3.318584070805202e-4,1,1,"Summit County, Ohio"
391535083994,0.011421732178408533,80,49,31,0.0027253839205058717,1.4187818339173985e-5,3,9.426480197053017e-4,8,1,"Summit County, Ohio"
391535310022,0.03801058002670034,53,15,38,0.001347294079001396,1.4223739421093806e-5,2,5.762124462477846e-4,3,1,"Summit County, Ohio"
391535066002,0.0057829929000697755,24,1,23,9.969614847663629e-4,1.4252526260279636e-5,3,3.7345806556449927e-4,4,1,"Summit County, Ohio"
