GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
484530018192,0.006444564223321257,102,74,28,0.0022099162737329006,1.7213777907837433e-5,3,0.0018234874060185258,2,1,"Travis County, Texas"
484530013054,0.00445716280164862,56,31,25,5.81593672383783e-4,1.6987157708772167e-5,3,9.827141948392563e-4,1,1,"Travis County, Texas"
484530017712,0.13531990855820764,67,19,48,3.137493949118812e-4,1.7510068289266328e-5,3,4.660012831945526e-4,7,1,"Travis County, Texas"
484530018042,0.005724131836189384,86,48,38,8.500059240059599e-4,1.7487714880296592e-5,3,6.369447272916835e-4,2,1,"Travis County, Texas"
484530017863,0.006704000431808072,26,7,19,0.0023303896383301873,1.720074995269794e-5,3,3.2553353461044606e-4,2,1,"Travis County, Texas"
484530019131,0.029232795922112767,68,0,68,0,1.795783500341199e-5,3,2.604733214555123e-4,5,1,"Travis County, Texas"
484530023163,0.0061062974193583745,72,20,52,5.045897127310613e-4,1.752479758858785e-5,3,3.4308828477849285e-4,1,1,"Travis County, Texas"
484530021072,0.002698513253203491,23,8,15,2.560460670434316e-4,1.7369856351287976e-5,3,3.0635829754642387e-4,3,1,"Travis County, Texas"
484530024252,0.009765723943274353,75,21,54,5.489902961082838e-4,1.759788825340959e-5,2,3.671518985968481e-4,1,1,"Travis County, Texas"
484530018333,0.011834536515667921,111,42,69,0.002099237235583758,1.793915040183697e-5,2,5.445713523981367e-4,2,1,"Travis County, Texas"
484530017751,0.04662177220155446,162,22,140,0.004611891998494004,1.7965900720432618e-5,3,3.580594546654515e-4,1,1,"Travis County, Texas"
484530017193,0.007723448129539163,37,6,31,9.980218847673174e-5,1.74440916861459e-5,3,2.7496745037598573e-4,2,1,"Travis County, Texas"
484530017743,0.011686191625270589,72,2,70,3.2370969316305204e-5,1.7673152713712598e-5,3,2.6373001681177034e-4,1,1,"Travis County, Texas"
484530017662,0.0072740509697739285,40,8,32,1.060629473774677e-4,1.7626425537165316e-5,3,8.566493582957037e-4,10,1,"Travis County, Texas"
484530017382,0.031311620138935604,182,160,22,0.001482725570163044,1.6921046397509223e-5,3,0.004954588495873937,1,1,"Travis County, Texas"
484530018494,0.011384159874069355,97,61,36,0.003380259618494017,1.749965000699986e-5,3,0.001042190951820438,2,1,"Travis County, Texas"
484530001021,0.01063678468668763,57,22,35,0.0012946964826771913,1.7400685587012128e-5,3,4.172028665371699e-4,2,1,"Travis County, Texas"
484530008033,0.0021948095749682065,21,8,13,4.1828628230729465e-4,1.6988023443472353e-5,3,4.47585896885601e-4,1,1,"Travis County, Texas"
484530017864,0.004443349570041151,25,0,25,0,1.7494751574527642e-5,3,2.604733214555123e-4,2,1,"Travis County, Texas"
