GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
490490016023,0.012996810165740396,53,18,35,0.0010876443600696091,3.172790151659369e-5,3,9.994491172479985e-4,1,1,"Utah County, Utah"
490490033003,0.015647558573081463,54,2,52,2.7120482744592855e-4,3.239286061352078e-5,3,4.6934218223887013e-4,3,1,"Utah County, Utah"
490490101051,0.26017582671290834,59,10,49,2.2035392229981693e-4,3.2342572528218895e-5,2,5.022881862176117e-4,2,1,"Utah County, Utah"
490490102153,0.11347508186126844,161,124,37,0.009670167307549502,3.135287662643048e-5,2,0.0056019592519306,2,1,"Utah County, Utah"
490490005093,0.0532846184294578,110,84,26,0.0065461190804434405,3.2152273165712814e-5,2,0.0038632292214761774,2,1,"Utah County, Utah"
490490102132,0.06560401041162109,86,45,41,0.005235706052710596,3.135779241141424e-5,2,0.001111928060808287,2,1,"Utah County, Utah"
490490005072,0.036321564067434954,41,1,40,1.8645331886907586e-4,3.149308726734482e-5,3,4.4567901875161554e-4,2,1,"Utah County, Utah"
490490102182,0.013724742276745087,16,4,12,5.586536940357538e-4,3.0377593487043954e-5,3,5.41099318733173e-4,2,1,"Utah County, Utah"
490490007081,0.019079960553826634,46,1,45,1.525527154383348e-4,3.165959602355474e-5,3,4.7068210163488545e-4,1,1,"Utah County, Utah"
490490104061,0.01871455838699776,105,53,52,0.010679820100797795,3.272572569296724e-5,3,0.0014360378926340644,3,1,"Utah County, Utah"
490490005082,0.05744623116227098,54,15,39,6.62756797070988e-4,3.0838498781879296e-5,2,7.144713083712055e-4,2,1,"Utah County, Utah"
490490101093,0.8744310516802689,121,77,44,0.024110109159943053,3.187250996015936e-5,2,0.00795414080445433,2,1,"Utah County, Utah"
490490005061,0.061046362654937056,92,41,51,0.0030428616629376002,3.13883047176622e-5,2,0.0012260462870525366,2,1,"Utah County, Utah"
490490007061,0.014586159199109583,46,17,29,7.92709110222162e-4,3.147623544224111e-5,3,0.0010578765398596194,1,1,"Utah County, Utah"
490490014012,0.004004989345645217,27,11,16,7.931530466956597e-4,3.0858482996975865e-5,3,6.965942355113944e-4,1,1,"Utah County, Utah"
