GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
518100410033,0.08214149977574656,180,159,21,0.004721127986078153,3.3012016373960125e-5,3,0.00979791350846593,1,1,"Virginia Beach city, Virginia"
518100454053,0.029413663529937087,34,4,30,2.934662236987818e-4,3.382606636674221e-5,3,5.328251100597449e-4,1,1,"Virginia Beach city, Virginia"
518100458091,0.08178597988293383,123,84,39,0.006437562621948003,3.3477285661678555e-5,2,0.0036498605630992122,1,1,"Virginia Beach city, Virginia"
518100440041,0.14473669639769868,197,152,45,0.010277065865105735,3.369158721067349e-5,2,0.009920119037107275,1,1,"Virginia Beach city, Virginia"
518100404021,0.06344537718141445,94,39,55,0.005109265411590993,3.3946635888383456e-5,2,0.0020275741354729947,1,1,"Virginia Beach city, Virginia"
518100454071,0.0972350428533763,61,3,58,3.709856035437431e-4,3.391209983722192e-5,2,5.158400727490029e-4,1,1,"Virginia Beach city, Virginia"
518100460142,0.12816346137652018,95,48,47,0.004685677371723882,3.372681281618887e-5,2,0.0022417075259151716,1,1,"Virginia Beach city, Virginia"
518100462224,0.03754751325493811,35,0,35,0,3.346944239908963e-5,3,4.987237796979903e-4,1,1,"Virginia Beach city, Virginia"
518100456031,0.02980771129013304,86,71,15,0.0020436639772187944,3.2835330815957974e-5,2,0.0033020814399484116,1,1,"Virginia Beach city, Virginia"
518100462063,0.029053646329985753,33,1,32,1.744186046511628e-4,3.366323301689895e-5,2,5.033684951334068e-4,1,1,"Virginia Beach city, Virginia"
518100440032,0.06040336017858094,38,0,38,0,3.3292272863468385e-5,2,5.040608950574218e-4,1,1,"Virginia Beach city, Virginia"
518100460091,0.09639674089729171,166,117,49,0.00798204398038285,3.377579626439693e-5,2,0.003926894494887168,1,1,"Virginia Beach city, Virginia"
518100408014,0.021614526033788276,41,0,41,0,3.446136880556896e-5,3,4.987237796979903e-4,1,1,"Virginia Beach city, Virginia"
518100430031,0.07556173516663252,112,75,37,0.007668986974634815,3.3179601181193804e-5,2,0.004961617298339776,1,1,"Virginia Beach city, Virginia"
518100454202,0.5020048035962151,117,77,40,0.0029800664451827244,3.333555570371358e-5,2,0.006212053184104597,1,1,"Virginia Beach city, Virginia"
518100404022,0.052349593820291446,105,42,63,0.0048531350524706,3.4300610550867805e-5,2,0.0022750865556481624,1,1,"Virginia Beach city, Virginia"
518100454151,0.06822454630593318,52,6,46,5.68844592100406e-4,3.35042047776996e-5,2,5.48937851920686e-4,1,1,"Virginia Beach city, Virginia"
518100454121,0.19952552033705742,65,19,46,0.0016412399585157061,3.374502260916515e-5,2,8.151425458558439e-4,1,1,"Virginia Beach city, Virginia"
518100416002,0.03725026459773201,96,76,20,0.0037286821705426357,3.323805092069401e-5,3,0.006259786450089299,1,1,"Virginia Beach city, Virginia"
518100404031,0.005967894980464165,15,0,15,0,3.327787021630616e-5,3,5.254999343932312e-4,1,1,"Virginia Beach city, Virginia"
518100454222,0.6509079003420705,300,210,90,0.014488055687391237,3.427827100401056e-5,2,0.016140957811500635,1,1,"Virginia Beach city, Virginia"
518100456041,0.07137300028457187,111,64,47,0.007027448188577758,3.381348481774532e-5,3,0.0037750731999534456,1,1,"Virginia Beach city, Virginia"
518100454251,0.1586334621254092,58,5,53,3.7504614248800287e-4,3.36802398033074e-5,2,5.81621340597729e-4,1,1,"Virginia Beach city, Virginia"
518100402002,0.03511470715446973,59,9,50,0.0025538768478967815,3.399048266485384e-5,3,6.595958127988854e-4,1,1,"Virginia Beach city, Virginia"
518100448081,0.09622864575394699,63,0,63,0,3.4497033255140055e-5,2,5.049785227853129e-4,1,1,"Virginia Beach city, Virginia"
518100454084,0.3552319537607038,157,93,64,0.009275852976849654,3.420206580477461e-5,2,0.005126949940475379,1,1,"Virginia Beach city, Virginia"
518100462131,0.075574010903962,65,0,65,0,3.53082409434362e-5,2,4.987237796979903e-4,1,1,"Virginia Beach city, Virginia"
518100454173,0.13189408588324458,42,1,41,7.475083056478405e-5,3.369045212586753e-5,2,5.443683325697757e-4,1,1,"Virginia Beach city, Virginia"
518100434001,0.015271275653471932,20,0,20,0,3.3184005309440854e-5,2,4.987237796979903e-4,1,1,"Virginia Beach city, Virginia"
518100460023,0.014329874496319598,17,0,17,0,3.2776138970829235e-5,3,5.077668657838551e-4,1,1,"Virginia Beach city, Virginia"
518100462132,0.03918996909155981,60,43,17,7.142857142857143e-4,3.312903760145768e-5,3,0.0018422692138954108,1,1,"Virginia Beach city, Virginia"
518100462133,0.16569049071526246,177,119,58,0.0079140826873385,3.4252440486384655e-5,2,0.007504990341297041,1,1,"Virginia Beach city, Virginia"
518100410031,0.04478278634828218,69,19,50,0.003231371618414807,3.401476240688459e-5,3,0.0011072923022311199,1,1,"Virginia Beach city, Virginia"
518100446002,0.1849082941861139,225,183,42,0.009765411590992989,3.361909564632711e-5,2,0.011019807738810143,1,1,"Virginia Beach city, Virginia"
518100456012,0.13553708174306184,240,186,54,0.01596585455887782,3.415883859948762e-5,2,0.010803153436714844,1,1,"Virginia Beach city, Virginia"
518100410021,0.1587599562502301,272,233,39,0.007604690713494699,3.384209279501845e-5,2,0.02049014039255377,1,1,"Virginia Beach city, Virginia"
518100460053,0.09592134019963997,78,0,78,0,3.439026067817594e-5,2,5.038642775389594e-4,1,1,"Virginia Beach city, Virginia"
518100458092,0.03532426744232099,30,4,26,6.0908084163898114e-5,3.323473694705706e-5,3,5.493188364391792e-4,1,1,"Virginia Beach city, Virginia"
518100458101,0.15149450064651468,165,110,55,0.011809115118915787,3.3796343235661904e-5,2,0.005200828246380383,1,1,"Virginia Beach city, Virginia"
518100462251,0.1097774501676622,84,20,64,0.0016982281284606865,3.4007821799013776e-5,2,8.957642125053817e-4,1,1,"Virginia Beach city, Virginia"
518100460154,0.06012795364964543,38,1,37,1.2919896640826871e-5,3.365756790414325e-5,2,5.275916699802357e-4,1,1,"Virginia Beach city, Virginia"
